COAL IN Equity,price,volume,mc,pe,bm,div
2013-07-31,281.55,51748515.0,1778372.357,10.2462,3.6689,10.2
2013-08-31,251.4,54209241.0,1587933.974,9.149,3.276,10.2
2013-09-30,294.45,59457071.0,1859853.456,10.7157,3.837,14.0
2013-10-31,287.95,52149335.0,1818797.088,10.4791,3.7523,14.0
2013-11-30,271.95,51598745.0,1717735.26,9.8969,3.5438,14.0
2013-12-31,290.0,68090077.0,1831745.635,10.5537,3.779,14.0
2014-01-31,247.45,124496302.0,1562984.336,9.0052,3.2245,33.3
2014-02-28,244.0,54890902.0,1541192.879,8.8797,3.1796,33.3
2014-03-31,288.75,69438956.0,1823850.179,12.0691,4.3011,33.3
2014-04-30,291.85,65097416.0,1843430.909,12.1987,4.3473,33.3
2014-05-31,370.9,155069311.0,2342739.503,15.5028,5.5247,33.3
2014-06-30,384.95,127664660.0,2431484.421,16.0901,5.734,33.3
2014-07-31,367.7,104595580.0,2322527.138,15.3691,5.4771,33.3
2014-08-31,356.1,54120318.0,2249257.312,14.8842,5.3043,33.3
2014-09-30,341.35,84955224.0,2156090.939,14.2677,5.0846,33.3
2014-10-31,370.55,51511491.0,2340528.776,15.4882,5.5195,33.3
2014-11-30,355.0,59222285.0,2242309.312,14.8383,5.2879,29.0
2014-12-31,383.85,65310653.0,2424536.42,16.0441,5.7176,29.0
2015-01-31,360.85,72273063.0,2279260.042,15.0828,5.375,29.0
2015-02-28,393.95,211591438.0,2488331.507,16.4663,5.8681,29.0
2015-03-31,362.9,76098342.0,2292208.589,16.6989,5.6804,20.7
2015-04-30,362.75,58667463.0,2291261.135,16.692,5.678,20.7
2015-05-31,391.05,69534800.0,2470014.243,17.9942,6.121,20.7
2015-06-30,421.25,107970820.0,2660768.444,19.3839,6.5937,20.7
2015-07-31,439.05,108247698.0,2773199.727,20.2029,6.8723,20.7
2015-08-31,366.35,138150559.0,2314000.046,16.8576,5.7344,20.7
2015-09-30,327.6,106937972.0,2069240.931,15.0746,5.1278,20.7
2015-10-31,319.9,71816561.0,2020604.926,14.7202,5.0073,20.7
2015-11-30,330.55,67137094.0,2087874.205,15.2103,5.174,20.7
2015-12-31,329.8,62197095.0,2083136.932,15.1758,5.1623,20.7
2016-01-31,319.95,74346548.0,2020920.744,14.7225,5.0081,20.7
2016-02-29,311.0,96930229.0,1964389.284,14.3107,4.868,20.7
2016-03-31,291.95,124190739.0,1844062.545,12.9239,5.294,48.1
2016-04-30,288.05,103296074.0,1819428.725,12.7512,5.2233,48.1
2016-05-31,291.4,103656648.0,1840588.545,12.8995,5.284,27.4
2016-06-30,313.0,77293402.0,1977022.013,13.8557,5.6757,27.4
2016-07-31,328.0,62830983.0,2071767.477,14.5197,5.9477,27.4
2016-08-31,333.5,87641088.0,2106507.48,14.7632,6.0474,27.4
2016-09-30,322.3,72688338.0,2035764.2,14.2674,5.8443,27.4
2016-10-31,325.4,62900561.0,2055344.93,14.4046,5.9005,27.4
2016-11-30,308.6,74655442.0,1949230.01,13.6609,5.5959,27.4
2016-12-31,300.0,75650776.0,1862222.754,13.2802,5.44,27.4
2017-01-31,309.2,78453408.0,1919330.918,13.6875,5.6068,27.4
2017-02-28,321.9,77306899.0,1998165.015,14.2497,5.8371,27.4
2017-03-31,292.65,149121945.0,1816598.296,19.7736,7.4092,19.9
2017-04-30,276.65,90414988.0,1717279.75,18.6926,7.0041,19.9
2017-05-31,262.55,69142346.0,1629755.28,17.7399,6.6472,19.9
2017-06-30,244.25,53754413.0,1516159.692,16.5034,6.1838,19.9
2017-07-31,249.1,71450506.0,1546265.627,16.8311,6.3066,19.9
2017-08-31,237.4,119822413.0,1473638.939,16.0405,6.0104,19.9
2017-09-30,270.85,130718830.0,1681276.776,18.3007,6.8573,19.9
2017-10-31,286.45,119877058.0,1778112.36,19.3547,7.2522,19.9
2017-11-30,275.8,95485268.0,1712003.398,18.6351,6.9826,19.9
2017-12-31,262.95,70753920.0,1632238.192,17.7669,6.6573,19.9
2018-01-31,299.55,141401852.0,1859429.361,20.2399,7.5839,19.9
2018-02-28,309.15,107455311.0,1919020.547,20.8885,7.827,19.9
2018-03-31,283.3,84785495.0,1758559.02,24.9824,8.7149,33.0
2018-04-30,285.0,44549980.0,1769111.615,25.1323,8.7672,33.0
2018-05-31,296.25,90735789.0,1838944.969,26.1243,9.1133,16.5
2018-06-30,264.35,70557161.0,1640928.616,23.3113,8.132,16.5
2018-07-31,261.1,65683737.0,1620754.536,23.0247,8.032,16.5
2018-08-31,285.95,102458925.0,1775008.654,25.216,8.7964,16.5
2018-09-30,266.25,71816425.0,1652722.693,23.4788,8.1904,16.5
2018-10-31,266.15,84491456.0,1652101.953,23.47,8.1873,16.5
2018-11-30,244.9,164089570.0,1520194.507,21.5961,7.5336,16.5
2018-12-31,240.75,172699299.0,1494433.759,21.2302,7.406,23.75
2019-01-31,224.65,96002175.0,1394494.472,19.8104,6.9107,23.75
2019-02-28,228.3,166168212.0,1417151.515,20.1323,7.023,23.75
2019-03-31,237.2,237784649.0,1472397.457,8.4293,5.5256,13.1
2019-04-30,252.15,217069466.0,1553931.948,8.9606,5.8738,13.1
2019-05-31,253.5,145219108.0,1562251.631,9.0085,5.9053,13.1
2019-06-30,253.8,113859422.0,1564100.449,9.0192,5.9123,13.1
2019-07-31,204.45,172766653.0,1259969.807,7.2655,4.7627,13.1
2019-08-31,184.75,231667526.0,1138564.058,6.5654,4.3038,13.1
2019-09-30,199.85,215835568.0,1231621.256,7.102,4.6555,13.1
2019-10-31,207.55,152525457.0,1279074.264,7.3756,4.8349,13.1
2019-11-30,205.25,124366213.0,1264899.989,7.2939,4.7813,13.1
2019-12-31,211.35,123167773.0,1302492.632,7.5107,4.9234,13.1
2020-01-31,181.7,236375100.0,1119767.737,6.457,4.2327,13.1
2020-02-29,168.4,306753274.0,1037803.45,5.9844,3.9229,5.85
2020-03-31,140.05,427783361.0,863090.1022,5.1641,2.684,17.85
2020-04-30,148.5,154066829.0,915165.1566,5.4757,2.8459,17.85
2020-05-31,141.3,187686114.0,870793.5126,5.2102,2.708,12.0
2020-06-30,132.85,313279331.0,818718.4582,4.8986,2.546,12.0
2020-07-31,129.25,233167361.0,796532.6363,4.7659,2.477,12.0
2020-08-31,134.35,255514073.0,827962.5507,4.9539,2.5748,12.0
2020-09-30,116.0,278288348.0,714876.4859,4.2773,2.2231,12.0
2020-10-31,114.2,289619232.0,703783.5965,4.2109,2.1886,12.0
2020-11-30,125.55,379459699.0,773730.5652,4.6294,2.4061,19.5
2020-12-31,135.45,423404297.0,834741.5775,4.9945,2.5958,19.5
2021-01-31,125.9,322333669.0,775887.5202,4.6423,2.4128,19.5
2021-02-28,152.2,538783725.0,937967.2801,5.6121,2.9168,19.5
2021-03-31,130.35,354817008.0,803311.6621,6.3246,2.1998,12.5
2021-04-30,133.05,180569424.0,819951.0291,6.4556,2.2454,12.5
2021-05-31,147.7,420232195.0,910235.0018,7.1664,2.4926,12.5
2021-06-30,146.65,446280659.0,903764.1369,7.1155,2.4749,12.5
2021-07-31,143.3,170085093.0,883118.9693,6.9529,2.4184,12.5
2021-08-31,145.85,196947992.0,898833.9265,7.0767,2.4614,12.5
2021-09-30,185.1,493417212.0,1140721.013,8.9811,3.1238,8.5
2021-10-31,164.45,460227755.0,1013460.673,7.9791,2.7753,8.5
2021-11-30,152.0,295227034.0,936734.7057,7.3751,2.5652,8.5
2021-12-31,146.05,236326392.0,900066.4722,7.0864,2.4648,17.5
2022-01-31,159.8,249142328.0,984803.9867,7.7535,2.6968,17.5
2022-02-28,169.55,271888557.0,1044890.588,8.2266,2.8614,22.5
2022-03-31,183.05,507896596.0,1128087.42,6.498,2.6148,17.5
2022-04-30,182.85,456335353.0,1126854.875,6.4909,2.6119,17.5
2022-05-31,192.9,317875085.0,1188790.294,6.8477,2.7555,17.5
2022-06-30,185.6,303012419.0,1143802.378,6.5886,2.6512,17.5
2022-07-31,211.25,189839718.0,1301876.359,7.4991,3.0176,17.5
2022-08-31,234.8,255705408.0,1447008.611,8.3351,3.354,20.5
2022-09-30,212.25,185290200.0,1308039.087,7.5346,3.0319,17.0
2022-10-31,245.95,188404369.0,1515723.032,8.7309,3.5133,17.0
2022-11-30,227.25,264170852.0,1400480.012,8.0671,3.2461,45.0
2022-12-31,225.05,134389510.0,1386922.01,7.989,3.2147,45.0
2023-01-31,224.85,157769205.0,1385689.464,7.9819,3.2118,45.0
2023-02-28,215.4,158056218.0,1327451.682,7.6464,3.0769,30.375
2023-03-31,213.65,139593395.0,1316666.907,4.1453,2.164,30.375
2023-04-30,233.1,82622677.0,1436531.973,4.5227,2.361,30.375
2023-05-31,241.25,116685194.0,1486758.209,4.6808,2.4436,30.375
2023-06-30,231.0,248424193.0,1423590.244,4.482,2.3398,30.375
2023-07-31,229.25,173156063.0,1412805.469,4.448,2.3221,30.375
2023-08-31,230.05,215433163.0,1417735.652,4.4635,2.3302,24.25
2023-09-30,295.2,385428924.0,1819237.402,5.7276,2.9901,24.25
2023-10-31,314.25,190028991.0,1936637.377,6.0972,3.183,24.25
2023-11-30,342.15,291442988.0,2108577.497,6.6385,3.4656,24.5
2023-12-31,376.0,303571338.0,2317185.851,7.2953,3.8085,24.5
2024-01-31,406.15,339528896.0,2502992.11,7.8803,4.1139,24.5
2024-02-29,436.7,389245821.0,2691263.46,8.473,4.4233,24.5
2024-03-31,434.1,223856945.0,2675240.367,7.1527,3.2337,24.5
2024-04-30,454.3,169598186.0,2799727.479,7.4856,3.3842,24.5
2024-05-31,491.2,367578877.0,3027132.154,8.0936,3.6591,24.5
2024-06-30,473.15,268704698.0,2915894.908,7.7962,3.5246,24.5
2024-07-31,522.2,244748232.0,3218176.732,8.6044,3.89,24.5
2024-08-31,524.95,252910159.0,3235124.235,8.6497,3.9105,25.5
2024-09-30,510.15,196896656.0,3143915.856,8.4058,3.8002,25.5
2024-10-31,452.05,171495245.0,2785861.34,7.4485,3.3674,25.5
2024-11-30,416.4,167019206.0,2566160.075,6.8611,3.1019,26.0
2024-12-31,384.15,159073944.0,2367412.087,6.3297,2.8616,26.0
2025-01-31,395.9,199400657.0,2439824.145,6.5233,2.9491,26.35
2025-02-28,369.35,121225117.0,2276203.708,6.0858,2.7514,26.35
2025-03-31,398.2,139352509.0,2453998.42,6.9409,2.4762,26.35
2025-04-30,385.3,120708226.0,2374499.224,6.7161,2.3959,26.35
2025-05-31,397.3,166554140.0,2448451.964,6.9252,2.4706,26.35
2025-06-30,391.95,141794297.0,2415481.368,6.832,2.4373,26.35
2025-07-31,376.35,118371877.0,2319342.806,6.56,2.3403,26.35
2025-08-31,374.8,125381599.0,2309790.577,6.533,2.3307,16.25
2025-09-30,389.95,116820679.0,2403155.911,6.7971,2.4249,16.25
2025-10-31,388.65,153499712.0,2395144.364,6.7744,2.4168,16.25
2025-11-30,376.15,106110948.0,2318110.26,6.5566,2.339,26.5
2025-12-31,399.0,123737737.0,2458928.603,6.9549,2.4811,26.5
2026-01-31,440.75,246299623.0,2716222.51,7.6826,2.7408,20.9
2026-02-28,430.65,164798608.0,2653978.954,7.5065,2.6779,26.4
2026-03-31,449.0,60031882.0,2767065.019,7.8264,2.7921,26.4
