EIH IN Equity,price,volume,mc,pe,bm,div
2012-07-31,77.19,3879470.0,44982.5115,36.7757,1.7356,1.0789
2012-08-31,75.47,1857992.0,43982.2651,35.9579,1.697,1.0789
2012-09-30,78.56,10729994.0,45782.7087,37.4299,1.7665,1.0789
2012-10-31,74.2,3407860.0,43239.2249,35.3505,1.6683,1.0789
2012-11-30,70.72,2521506.0,41210.1535,33.6916,1.59,1.0789
2012-12-31,68.36,1852211.0,39838.387,32.5701,1.5371,1.0789
2013-01-31,68.22,4884905.0,39752.6516,32.5,1.5338,1.0789
2013-02-28,62.53,2264868.0,36437.5491,29.7897,1.4059,1.0789
2013-03-31,54.09,1353489.0,31522.0522,58.9539,1.2146,1.0789
2013-04-30,60.08,1263366.0,35008.6256,65.4746,1.3489,1.0789
2013-05-31,55.37,2318837.0,32265.0925,60.3435,1.2432,1.0789
2013-06-30,50.81,1103211.0,29607.2979,55.3728,1.1408,1.0789
2013-07-31,46.0,1412888.0,26806.6076,50.1349,1.0329,0.8827
2013-08-31,49.29,2556854.0,28721.3653,53.7159,1.1067,0.8827
2013-09-30,52.77,1426175.0,30750.4368,57.5108,1.1848,0.8827
2013-10-31,53.85,1311464.0,31379.1632,58.6866,1.2091,0.8827
2013-11-30,52.28,2916543.0,30464.6521,56.9763,1.1738,0.8827
2013-12-31,61.55,5746656.0,35865.9835,67.0781,1.3819,0.8827
2014-01-31,55.56,4031055.0,32379.4098,60.5573,1.2476,0.8827
2014-02-28,63.61,4011202.0,37066.2794,69.3229,1.4282,0.8827
2014-03-31,71.55,5642879.0,41695.992,36.6583,1.5944,0.8827
2014-04-30,74.0,4459596.0,43124.9156,37.9146,1.649,0.8827
2014-05-31,78.91,4610878.0,45982.7629,40.4271,1.7583,0.8827
2014-06-30,93.62,11863300.0,54556.3048,47.9648,2.0861,0.8827
2014-07-31,99.01,5605110.0,57699.9368,50.7286,2.2063,1.0789
2014-08-31,106.17,6675479.0,61872.3938,54.397,2.3659,1.0789
2014-09-30,98.23,4948990.0,57242.6812,50.3266,2.1888,1.0789
2014-10-31,100.14,3037773.0,58357.2417,51.3065,2.2315,1.0789
2014-11-30,107.89,5341961.0,62872.6404,55.2764,2.4041,1.0789
2014-12-31,124.37,7235862.0,72475.0073,63.7186,2.7713,1.0789
2015-01-31,110.64,12788868.0,64473.0349,56.6834,2.4653,1.0789
2015-02-28,108.14,2291306.0,63015.4789,55.402,2.4096,1.0789
2015-03-31,105.34,4040031.0,61386.5598,97.6364,2.352,1.0789
2015-04-30,103.57,2372113.0,60357.7348,96.0,2.3126,1.0789
2015-05-31,102.99,1854802.0,60014.7931,95.4545,2.2994,1.0789
2015-06-30,96.51,1212834.0,56242.4347,89.4545,2.1549,1.0789
2015-07-31,111.23,3587780.0,64815.9765,103.0909,2.4834,1.0789
2015-08-31,100.73,1736832.0,58700.1833,93.3636,2.2491,1.0789
2015-09-30,95.97,1280794.0,55928.0715,88.9545,2.1428,1.0789
2015-10-31,112.99,1819450.0,65844.8016,104.7273,2.5228,1.0789
2015-11-30,113.14,2076314.0,65930.537,104.8636,2.5261,1.0789
2015-12-31,127.56,12778571.0,74332.608,118.2273,2.848,1.0789
2016-01-31,114.31,3696747.0,66616.4203,105.9545,2.5524,1.0789
