KPR IN Equity,price,volume,mc,pe,bm,div
2012-12-31,13.21,4907960.0,4976.0269,15.7578,0.8558,0.5
2013-01-31,13.83,4815990.0,5211.545,16.5036,0.8963,0.5
2013-02-28,12.16,1388730.0,4580.3564,14.5048,0.7878,0.3
2013-03-31,10.4,840740.0,3919.0215,3.8611,0.5895,0.3
2013-04-30,12.29,1058120.0,4629.3442,4.5609,0.6964,0.3
2013-05-31,12.29,2952730.0,4631.2283,4.5628,0.6966,0.3
2013-06-30,11.71,774540.0,4412.6666,4.3475,0.6638,0.3
2013-07-31,11.92,840040.0,4489.9166,4.4236,0.6754,0.3
2013-08-31,11.76,741750.0,4431.5081,4.366,0.6666,0.3
2013-09-30,12.53,750110.0,4719.7822,4.65,0.71,0.3
2013-10-31,15.0,9781380.0,5652.4338,5.5689,0.8502,1.2
2013-11-30,16.27,4771450.0,6132.8906,6.0423,0.9225,1.2
2013-12-31,15.71,14083550.0,5918.0982,5.8306,0.8902,1.2
2014-01-31,12.9,6370180.0,4859.2089,4.7874,0.7309,1.2
2014-02-28,11.66,2587550.0,4393.8252,4.3289,0.6609,1.2
2014-03-31,12.18,8498940.0,4587.8921,3.2667,0.5967,1.2
2014-04-30,13.58,8461750.0,5115.4526,3.6423,0.6653,1.2
2014-05-31,15.57,18277760.0,5865.3421,4.1763,0.7628,1.2
2014-06-30,24.8,58231600.0,9343.473,6.6528,1.2151,1.2
2014-07-31,23.37,24242960.0,8806.4918,6.2705,1.1453,1.2
2014-08-31,25.59,7991060.0,9641.1679,6.8648,1.2538,0.3
2014-09-30,31.17,58679720.0,11745.7574,8.3633,1.5275,0.3
2014-10-31,30.62,13282410.0,11536.6173,8.2144,1.5003,0.3
2014-11-30,32.49,20551860.0,12241.2874,8.7161,1.592,0.3
2014-12-31,36.83,43572430.0,13878.6091,9.8819,1.8049,0.3
2015-01-31,39.11,23913480.0,14739.6631,10.495,1.9169,0.3
2015-02-28,52.18,25922440.0,19661.1045,13.9992,2.5569,0.8
2015-03-31,47.51,6841310.0,17901.2578,10.3881,2.001,0.8
2015-04-30,61.85,12621140.0,23304.9845,13.5239,2.6051,0.8
2015-05-31,59.8,8035820.0,22534.3693,13.0768,2.5189,0.8
2015-06-30,60.78,5271660.0,22901.7775,13.29,2.56,0.8
2015-07-31,76.93,34785530.0,28989.4487,16.8227,3.2405,0.8
2015-08-31,74.77,20703140.0,28173.6141,16.3492,3.1493,0.9
2015-09-30,81.26,12670100.0,30621.1179,17.7695,3.4229,0.9
2015-10-31,80.22,14254340.0,30231.1,17.5432,3.3793,0.9
2015-11-30,82.84,7311370.0,31214.6235,18.1139,3.4892,0.9
2015-12-31,87.02,8533140.0,32791.6525,19.0291,3.6655,0.9
2016-01-31,73.31,10059110.0,27625.328,16.0311,3.088,0.9
2016-02-29,63.82,5154810.0,24049.2216,13.9558,2.6883,0.5
2016-03-31,83.22,4010840.0,31357.8184,29.8583,2.8492,0.4
2016-04-30,81.55,2503880.0,30728.5142,29.2591,2.792,0.4
2016-05-31,97.48,8234740.0,36733.283,34.9767,3.3376,0.4
2016-06-30,106.99,4577210.0,40318.8078,38.3907,3.6633,0.4
2016-07-31,110.41,5276210.0,41603.7991,39.6143,3.7801,0.4
2016-08-31,113.89,3741760.0,42917.0455,40.8647,3.8994,0.3
2016-09-30,121.79,3087150.0,45895.8758,43.7011,4.1701,0.3
2016-10-31,118.13,8869310.0,44514.8025,42.3861,4.0446,0.3
2016-11-30,119.95,6193835.0,45200.6288,43.0391,4.1069,0.3
2016-12-31,114.0,4980335.0,42958.4967,40.9042,3.9032,0.3
2017-01-31,114.24,6040415.0,43048.9356,40.9903,3.9114,0.3
2017-02-28,116.97,3362420.0,44077.6786,41.9699,4.0049,0.3
2017-03-31,131.99,7164110.0,49737.6489,17.2898,3.7923,0.3
2017-04-30,145.24,3370595.0,54730.6321,19.0254,4.173,0.3
2017-05-31,157.52,5442290.0,59358.0912,20.634,4.5258,0.3
2017-06-30,160.81,2670770.0,60597.8584,21.065,4.6204,0.3
2017-07-31,158.6,6647035.0,59765.0665,20.7755,4.5569,0.3
2017-08-31,151.83,2976615.0,57213.9347,19.8887,4.3623,0.15
2017-09-30,150.65,4310640.0,56769.2766,19.7341,4.3284,0.15
2017-10-31,157.27,5978355.0,59263.884,20.6013,4.5186,0.15
2017-11-30,143.4,3008370.0,52983.2757,18.7844,4.1201,0.15
2017-12-31,160.47,6070265.0,59290.2807,21.0204,4.6106,0.15
2018-01-31,146.5,2950230.0,54128.6603,19.1905,4.2092,0.15
2018-02-28,145.03,5690295.0,53585.5278,18.9979,4.167,0.15
2018-03-31,126.51,3861965.0,46742.7782,16.0954,2.9773,0.15
2018-04-30,139.63,4538705.0,51590.3416,17.7646,3.2861,0.15
2018-05-31,121.64,3013715.0,44943.4158,15.4758,2.8627,0.15
2018-06-30,127.77,4529850.0,47208.3216,16.2557,3.0069,0.15
2018-07-31,130.98,4230170.0,47520.0574,16.6641,3.0825,0.15
2018-08-31,135.4,4821495.0,49123.6508,17.2265,3.1865,0.15
2018-09-30,121.2,9554900.0,43971.8351,15.4198,2.8523,0.15
2018-10-31,119.85,3294565.0,43482.0498,15.2481,2.8205,0.15
2018-11-30,116.41,1653670.0,42234.0043,14.8104,2.7396,0.15
2018-12-31,112.06,2218440.0,40655.8073,14.257,2.6372,0.15
2019-01-31,104.83,4858195.0,38032.7349,13.3372,2.4671,0.15
2019-02-28,106.4,3775370.0,38602.452,13.5369,2.504,0.15
2019-03-31,115.21,3165460.0,41798.7641,12.4902,2.3349,0.15
2019-04-30,119.95,4858490.0,43518.4598,13.0041,2.431,0.15
2019-05-31,123.34,5425770.0,44748.3687,13.3716,2.4997,0.15
2019-06-30,123.67,2107745.0,44868.0944,13.4074,2.5064,0.15
2019-07-31,114.53,2606750.0,41552.0567,12.4165,2.3211,0.15
2019-08-31,113.22,630700.0,41076.7821,12.2745,2.2946,0.15
2019-09-30,109.97,3651750.0,39897.6659,11.9222,2.2287,0.15
2019-10-31,129.98,3296400.0,44719.619,14.0915,2.6342,0.15
2019-11-30,131.64,1462020.0,45290.742,14.2715,2.6679,0.15
2019-12-31,131.69,1197115.0,45307.9445,14.2769,2.6689,0.15
2020-01-31,136.18,1324790.0,46852.729,14.7637,2.7599,0.15
2020-02-29,118.3,1399755.0,40701.115,12.8252,2.3975,1.5
2020-03-31,67.63,1829135.0,23268.1015,6.3922,1.247,1.5
2020-04-30,92.0,1021480.0,31652.6,8.6957,1.6964,1.5
2020-05-31,84.13,700435.0,28944.9265,7.9518,1.5513,1.5
2020-06-30,96.8,1797710.0,33304.04,9.1493,1.7849,1.5
2020-07-31,83.86,1344910.0,28852.033,7.9263,1.5463,1.5
2020-08-31,109.65,9669355.0,37725.0825,10.3639,2.0218,1.5
2020-09-30,130.02,10366180.0,44733.381,12.2892,2.3975,0.9
2020-10-31,147.8,8998935.0,50850.5885,13.9698,2.7253,0.9
2020-11-30,161.1,6664780.0,55426.4534,15.2268,2.9705,0.9
2020-12-31,174.99,10895790.0,60205.3078,16.5397,3.2267,0.9
2021-01-31,182.93,6245470.0,62937.0647,17.2902,3.3731,0.9
2021-02-28,185.27,4780010.0,63742.1416,17.5113,3.4162,0.9
2021-03-31,213.29,9060585.0,73382.4224,14.2383,3.1224,0.9
2021-04-30,275.49,12959975.0,94782.3317,18.3905,4.033,0.9
2021-05-31,317.71,8758760.0,109308.1223,21.2089,4.6511,0.9
2021-06-30,304.45,5016410.0,104746.0195,20.3238,4.457,0.9
2021-07-31,376.6,12685875.0,129569.23,25.1402,5.5132,0.9
2021-08-31,354.59,5850760.0,121996.6895,23.6709,5.191,0.9
2021-09-30,425.25,14762440.0,146307.2625,28.3879,6.2254,0.9
2021-10-31,450.15,10366505.0,154874.1075,30.0501,6.5899,0.9
2021-11-30,527.15,11591262.0,181365.9575,35.1903,7.7171,0.9
2021-12-31,669.3,14971725.0,230272.665,44.6796,9.7981,0.9
2022-01-31,670.75,11766719.0,230771.5375,44.7764,9.8194,0.9
2022-02-28,632.4,11626108.0,217577.22,42.2163,9.2579,0.9
2022-03-31,622.55,10959407.0,214188.3275,25.4414,6.721,0.9
2022-04-30,630.2,6890108.0,216820.31,25.754,6.8036,0.15
2022-05-31,628.35,12423654.0,214778.8269,25.6784,6.7836,0.15
2022-06-30,515.65,7776492.0,176256.3891,21.0727,5.5669,0.15
2022-07-31,588.35,11199426.0,201106.2669,24.0437,6.3518,0.15
2022-08-31,604.5,8138446.0,206626.563,24.7037,6.5261,0.3
2022-09-30,536.0,6393511.0,183212.304,21.9044,5.7866,0.3
2022-10-31,551.9,8155823.0,188647.1466,22.5541,5.9583,0.15
2022-11-30,557.1,6999919.0,190424.5794,22.7667,6.0144,0.15
2022-12-31,516.75,8520505.0,176632.3845,21.1177,5.5788,0.15
2023-01-31,528.8,3613019.0,180751.2432,21.6101,5.7089,0.15
2023-02-28,575.55,6349610.0,196731.0477,23.5206,6.2136,2.15
2023-03-31,578.1,3531037.0,197602.6734,24.2797,5.331,2.15
2023-04-30,600.95,3573908.0,205413.1233,25.2394,5.5417,2.15
2023-05-31,573.85,4522349.0,196149.9639,24.1012,5.2918,2.15
2023-06-30,664.6,9768106.0,227169.5844,27.9126,6.1286,2.15
2023-07-31,640.15,4591671.0,218812.2321,26.8858,5.9032,4.15
2023-08-31,757.55,16939142.0,258941.1957,31.8165,6.9858,4.0
2023-09-30,753.1,5844359.0,257420.1234,31.6296,6.9447,4.0
2023-10-31,805.05,8585123.0,275177.3607,33.8114,7.4238,4.0
2023-11-30,864.2,9498425.0,295395.6588,36.2957,7.9693,4.0
2023-12-31,824.8,4484453.0,281928.1872,34.6409,7.6059,4.0
2024-01-31,790.15,8223957.0,270084.3321,33.1856,7.2864,4.0
2024-02-29,769.2,6446119.0,262923.3288,32.3058,7.0932,5.0
2024-03-31,832.45,6258982.0,284543.0643,35.3332,6.5289,5.0
2024-04-30,846.85,4736805.0,289465.1859,35.9444,6.6418,5.0
2024-05-31,769.75,6520652.0,263111.3265,32.6719,6.0371,5.0
2024-06-30,882.15,4795484.0,301531.2201,37.4427,6.9187,5.0
2024-07-31,869.9,6030157.0,297343.9986,36.9228,6.8226,5.0
2024-08-31,846.8,16622704.0,289448.0952,35.9423,6.6414,5.0
2024-09-30,954.0,26419020.0,326090.556,40.4924,7.4822,5.0
2024-10-31,934.4,5007599.0,319391.0016,39.6604,7.3285,5.0
2024-11-30,978.8,4620705.0,334567.5432,41.545,7.6767,5.0
2024-12-31,994.2,16848606.0,339831.4788,42.1986,7.7975,5.0
2025-01-31,932.0,5357209.0,318570.648,39.5586,7.3096,5.0
2025-02-28,801.6,4548972.0,273998.1024,34.0238,6.2869,5.0
2025-03-31,906.5,4581250.0,309854.391,38.0084,6.1946,5.0
2025-04-30,997.25,9082710.0,340874.0115,41.8134,6.8148,5.0
2025-05-31,1126.5,47791309.0,385053.471,47.2327,7.698,5.0
2025-06-30,1141.0,8654358.0,390009.774,47.8407,7.7971,5.0
2025-07-31,1140.0,13506391.0,389667.96,47.7987,7.7902,5.0
2025-08-31,986.4,7821474.0,337165.3296,41.3585,6.7406,5.0
2025-09-30,1064.85,8719405.0,363980.6379,44.6478,7.2767,5.0
2025-10-31,1069.4,5372417.0,365535.8916,44.8386,7.3078,5.0
2025-11-30,1079.5,7066489.0,368988.213,45.2621,7.3768,5.0
2025-12-31,942.4,5349934.0,322125.5136,39.5136,6.4399,5.0
2026-01-31,869.55,13846533.0,297224.3637,36.4591,5.9421,5.0
2026-02-28,897.8,20585680.0,306880.6092,37.6436,6.1352,5.0
2026-03-31,837.7,673573.0,286337.592,35.1237,5.7245,5.0
