NFIL IN Equity,price,volume,mc,pe,bm,div
2013-01-31,54.76,1157505.0,2672.5891,1.2283,0.5595,14.8
2013-02-28,46.49,1031490.0,2268.9677,1.0428,0.475,14.8
2013-03-31,42.39,822535.0,2068.8651,4.7683,0.4104,14.8
2013-04-30,47.44,774950.0,2315.3329,5.3363,0.4593,14.8
2013-05-31,37.4,2278710.0,1825.3257,4.207,0.3621,14.8
2013-06-30,32.16,885625.0,1569.5844,3.6175,0.3113,3.0
2013-07-31,32.56,1276305.0,1589.1066,3.6625,0.3152,3.0
2013-08-31,33.82,552095.0,1650.6015,3.8043,0.3274,3.0
2013-09-30,36.24,512100.0,1768.7108,4.0765,0.3508,3.0
2013-10-31,49.02,3028820.0,2392.4449,5.5141,0.4746,3.0
2013-11-30,52.81,1791785.0,2577.4177,5.9404,0.5112,3.0
2013-12-31,52.44,752500.0,2559.3596,5.8988,0.5077,3.0
2014-01-31,55.1,1511920.0,2689.1822,6.198,0.5334,3.0
2014-02-28,55.53,2105505.0,2710.1686,6.2463,0.5376,3.0
2014-03-31,69.64,5137440.0,3398.814,5.1715,0.612,3.0
2014-04-30,74.96,3725130.0,3658.4591,5.5666,0.6588,3.0
2014-05-31,82.64,3344020.0,4033.3369,6.1369,0.7263,3.0
2014-06-30,122.61,8925345.0,5984.1171,9.1052,1.0775,3.2
2014-07-31,114.29,1097120.0,5578.0502,8.4873,1.0044,3.2
2014-08-31,119.76,2449525.0,5845.0197,8.8935,1.0525,3.2
2014-09-30,128.77,3782145.0,6284.7627,9.5626,1.1317,3.2
2014-10-31,122.06,572235.0,5957.2737,9.0643,1.0727,3.2
2014-11-30,115.71,727940.0,5652.3885,8.5928,1.0169,3.2
2014-12-31,122.44,895440.0,5981.1464,9.0925,1.076,3.2
2015-01-31,145.93,5657665.0,7128.6238,10.8369,1.2825,3.2
2015-02-28,140.35,1149710.0,6856.0978,10.4225,1.2334,3.2
2015-03-31,167.11,2795485.0,8163.2585,14.9553,1.3891,3.2
2015-04-30,166.07,1356585.0,8112.4549,14.8622,1.3804,3.2
2015-05-31,181.7,1806365.0,8875.9744,16.261,1.5104,3.2
2015-06-30,194.6,1250095.0,9506.0128,17.4154,1.6176,3.2
2015-07-31,257.41,2472405.0,12574.2183,23.0365,2.1397,3.2
2015-08-31,240.18,1445410.0,11732.5496,21.4945,1.9965,3.2
2015-09-30,242.95,1247540.0,11867.8613,21.7424,2.0195,3.2
2015-10-31,323.17,3750785.0,15786.527,28.9216,2.6863,3.2
2015-11-30,368.39,6056900.0,17995.4776,32.9685,3.0622,3.7
2015-12-31,374.48,2322180.0,18292.9685,33.5135,3.1128,3.7
2016-01-31,351.64,2518185.0,17177.257,31.4695,2.923,3.7
