BDL IN Equity,price,volume,mc,pe,bm,div
2020-09-30,157.38,46537182.0,57687.7734,10.7865,2.2129,4.4
2020-10-31,144.7,11788420.0,53041.5937,9.9178,2.0347,4.4
2020-11-30,163.85,14076664.0,60061.2656,11.2303,2.304,4.4
2020-12-31,170.18,17449320.0,62379.7734,11.6638,2.3929,4.4
2021-01-31,165.5,21499310.0,60666.0938,11.3434,2.3272,4.4
2021-02-28,175.15,26478420.0,64203.4219,12.0048,2.4629,4.4
2021-03-31,166.28,21440678.0,60950.1797,23.6522,2.2702,4.625
2021-04-30,168.43,5497234.0,61738.2891,23.958,2.2996,4.625
2021-05-31,180.85,10953260.0,66292.8281,25.7255,2.4692,4.625
2021-06-30,178.98,12596448.0,65605.5234,25.4587,2.4436,4.625
2021-07-31,210.03,30039930.0,76987.2891,29.8755,2.8676,4.625
2021-08-31,196.55,16404322.0,72047.8594,27.9587,2.6836,4.625
2021-09-30,191.48,9650112.0,70187.5547,27.2368,2.6143,3.675
2021-10-31,202.73,22584130.0,74311.3828,28.8371,2.7679,3.675
2021-11-30,207.23,13327848.0,75960.9141,29.4772,2.8294,3.675
2021-12-31,194.78,7456244.0,71397.2109,27.7063,2.6594,3.675
2022-01-31,248.95,24002778.0,91255.7344,35.4125,3.399,3.675
2022-02-28,224.08,28650236.0,82137.4922,31.8741,3.0594,3.975
2022-03-31,274.65,42665096.0,100676.3906,20.1356,3.322,3.975
2022-04-30,374.1,139275662.0,137131.0313,27.4267,4.5249,3.975
2022-05-31,391.83,71069554.0,143628.3516,28.7262,4.7393,3.975
2022-06-30,340.63,77925396.0,124860.3516,24.9725,4.12,3.975
2022-07-31,405.88,37537214.0,148778.5547,29.7562,4.9093,3.975
2022-08-31,408.9,57007748.0,149887.4063,29.978,4.9459,3.975
2022-09-30,437.38,95254604.0,160325.2734,32.0656,5.2903,4.15
2022-10-31,479.1,50569272.0,175620.0938,35.1246,5.795,4.15
2022-11-30,484.5,43243720.0,177599.5313,35.5205,5.8603,4.15
2022-12-31,472.05,32627552.0,173035.8281,34.6078,5.7097,4.15
2023-01-31,472.68,16497540.0,173264.9297,34.6536,5.7173,4.15
2023-02-28,467.25,76516916.0,171276.3281,34.2559,5.6516,4.575
2023-03-31,494.35,37371402.0,181210.1719,51.4412,5.6425,4.575
2023-04-30,502.65,20830438.0,184252.6406,52.3049,5.7373,4.575
2023-05-31,550.88,28484836.0,201930.1172,57.3231,6.2877,4.575
2023-06-30,560.13,37510974.0,205320.8203,58.2856,6.3933,4.575
2023-07-31,613.78,43234304.0,224986.8984,63.8684,7.0057,4.575
2023-08-31,563.2,17613214.0,206448.0,58.6056,6.4284,4.575
2023-09-30,515.65,37583732.0,189017.9531,53.6576,5.8857,4.675
2023-10-31,487.08,21380428.0,178543.4297,50.6842,5.5595,4.675
2023-11-30,581.38,30872550.0,213110.2734,60.4969,6.6359,4.675
2023-12-31,856.18,86328384.0,313841.6484,89.0921,9.7724,4.675
2024-01-31,853.53,35594612.0,312870.2578,88.8163,9.7422,4.675
2024-02-29,904.55,62597584.0,331574.1094,94.1259,10.3246,4.675
2024-03-31,875.95,31858350.0,321090.4219,52.3894,8.8289,4.675
2024-04-30,988.78,55827944.0,362447.8359,59.1373,9.9661,5.025
2024-05-31,1557.35,101156718.0,570866.1094,93.1429,15.6968,5.025
2024-06-30,1596.6,78844455.0,585253.6875,95.4904,16.0924,5.025
2024-07-31,1460.1,72548205.0,535217.9063,87.3266,14.7166,5.025
2024-08-31,1302.9,27139624.0,477594.2813,77.9246,13.1322,5.025
2024-09-30,1160.0,20601240.0,425212.5,69.378,11.6919,5.275
2024-10-31,1085.3,16704255.0,397830.2813,64.9103,10.9389,5.275
2024-11-30,1150.0,16306733.0,421546.875,68.7799,11.5911,5.275
2024-12-31,1122.85,18285277.0,411594.7031,67.1561,11.3174,5.275
2025-01-31,1305.0,26180082.0,478364.0625,78.0502,13.1533,5.275
2025-02-28,975.4,27625112.0,357545.0625,58.3373,9.8312,4.85
2025-03-31,1281.4,36096703.0,469713.1875,85.4837,11.7166,4.85
2025-04-30,1529.6,45781954.0,560694.0,102.0414,13.9861,4.85
2025-05-31,2015.5,136022727.0,738806.7188,134.4563,18.4289,4.85
2025-06-30,1943.2,67760689.0,712304.25,129.6331,17.7678,4.85
2025-07-31,1619.0,46010595.0,593464.6875,108.0053,14.8035,4.85
2025-08-31,1435.7,37920354.0,526273.7813,95.7772,13.1275,4.85
2025-09-30,1493.2,36953060.0,547351.125,99.6131,13.6532,4.65
2025-10-31,1529.9,22879013.0,560803.9688,102.0614,13.9888,4.65
2025-11-30,1513.6,30682005.0,554829.0,100.974,13.8398,4.65
2025-12-31,1466.5,34929167.0,537563.9063,97.8319,13.4091,4.65
2026-01-31,1538.2,39311292.0,563846.4375,102.6151,14.0647,4.65
2026-02-28,1265.2,40914953.0,463774.875,84.4029,11.5685,5.15
2026-03-31,1281.6,7515572.0,469786.4911,85.497,11.7184,5.15
