GUJGA IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2021-10-31,-0.6263244767871168,-1.9232066951561253,0.7266936100215213,-0.985915752861236,-0.21246207066426573,-0.14764354230897472,0.03738383244615878,-0.6703183937430627,-0.1903052426826404,-1.3073170050065992,-1.6171809749946935,0.3976768092299442,0.019641743462405194,-0.17056823396592527,0.07378079115944494
2021-11-30,0.2069390844860465,-1.3630337629335765,0.13567964265167864,-0.4219534913685909,-0.22885670662748284,-1.0074604597401615,-1.1179370080804842,-0.7212164402755282,0.08501807305247402,-1.0371261452988096,-1.171599669219606,0.002174973343431495,-0.8336223715621375,-1.0758051021767399,-0.05381433221881669
2021-12-31,-0.8196655351479994,-0.8546165216000725,-0.6001826685627698,-1.186161607705854,-1.4121348473570254,-1.211828442725577,-1.329216300933737,-0.6455725562790677,-0.27931853134965834,-1.529833675504196,-1.4605642676368387,0.15554197026985025,-1.5107465455223252,-1.0770016227197439,0.0578363844157514
2022-01-31,0.13511711145678745,-0.32947106412030974,-0.19678805357147647,-1.2860898224713924,-1.712104805092717,-1.0103268173790207,-1.0874734728224889,-0.7385287873361267,0.026782137242590816,-1.2875300348480199,-0.8031464761423044,0.7611149579850863,-1.2356658050800893,-1.0139436458469686,-0.1420949970731892
2022-02-28,-1.4697307229418446,-1.527284183146721,-2.1102525591966854,-0.5824411896801597,-1.1881681491033251,-0.8159279017366878,-0.10162899419130651,-0.6298485952267697,-0.7037284652751875,-2.5049124381806807,-1.5903782270046978,-1.503519528648265,-3.0538031424489676,-0.4603741004737888,-0.1480430733384617
2022-03-31,-1.4326207684390733,-1.9190144651969026,-2.6651816481408375,-0.15370813802232997,-1.0357928829076477,0.6052144027014783,1.6400757077228707,-0.37352123979949337,-2.493204980820286,-3.3806342225722683,-2.213904554318258,-2.298618748497186,-3.3363478187985423,-0.3841514273355342,-0.04231341910692525
2022-04-30,-0.6080894206375428,-2.2902490003911162,-2.3076147385287067,-1.5457132200272623,-0.9710336465305798,-0.3326810624817742,0.6173299833015872,-0.13220156190783536,-2.5844909340227322,-3.1140342357983695,-2.034164313590229,-2.0651216649864637,-2.69122450296357,-0.2661908080680753,0.1479123564145665
2022-05-31,0.9952233692246194,-0.6469749813172667,-1.701559390506829,0.802135757279754,-0.18594548986708964,0.3395948867030009,1.0889508145417097,-0.3899477265326759,-1.860085091332863,-1.825107725308276,-0.7223296994029549,-1.5191297366194236,-1.9156059478195997,-0.2606865433193979,-0.2891731412277237
2022-06-30,-2.634866836076363,-1.3833846109483523,-2.551913822932845,2.482221812534338,1.3096809593621632,1.043037995532495,-0.23924227529880052,1.0014371766834622,-2.7090601893357493,-3.392699354660033,-2.0931374558973337,-2.1193610457639784,-2.9120697226408963,-0.8086838202624381,0.06089844341986165
2022-07-31,0.38460249374281996,-0.7572865611037164,-2.187300062069606,2.5259416815293245,1.4186835275530427,-1.085386613301565,-0.6718986502088025,0.9074347459180349,-2.07731662130042,-2.522347878166245,-1.1195046255826058,-1.8959768737266265,-2.4018695405673554,0.1267608010853812,0.058037880228979426
