BHARTI IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2015-02-28,-0.6130015205341087,-0.8958157841284256,1.2068795538546304,-0.38476343957064185,-0.9047800132166162,-1.102812586124057,-0.400305781927064,1.7919161737964537,0.33429746795153487,-0.10686676104039129,-1.0913380191608282,1.3873333902277138,2.365575074366283,-2.4574979840227065,0.09893633673463918
2015-03-31,1.122941855586298,1.015708916740076,1.1063908820285226,-0.29512754516738776,-0.7517430145322259,3.701412259913801,2.498439246309351,1.3021591795915255,1.3676083338858183,0.7967101306165115,0.45790048310762843,1.1972678067033369,1.9464130065443828,6.485182523351585,-0.031495733023162865
2015-04-30,-0.5264266802961817,-0.009670416004857338,0.40596469471725194,-0.1553248359632023,-0.6557296363538744,0.6809234915958154,1.1149439703069413,1.1713422849913222,0.7800864981031369,0.25449589894056673,0.04686117322000142,0.4431059415320834,0.9734956202464272,0.5167418331854591,0.11044843240285968
2015-05-31,1.251586650106144,1.6562770357599468,0.9973991573067671,-0.17848194902244288,-0.12327286114104759,2.203390615759921,3.0827724093836504,0.6522984668115909,2.0104436236367405,1.3434919640713197,1.4557108571505861,0.7495248086666878,1.491708986113309,2.8255979501135067,-0.01314720767376149
2015-06-30,-0.3276155234372738,0.3296938348930328,1.00203716269382,-0.20043606686850998,-0.639326528097579,-0.4778923084792329,-2.3767128404406064,1.0913358591741453,0.9126603632005293,0.9187485243094353,0.6662960063702726,1.0959286249512528,2.0000880120873994,-0.7461307071113379,-0.002962886747295062
2015-07-31,-0.21771546337069464,0.5991511294968025,-0.15614301055533455,-0.4314264944954831,-0.6490322818921263,-0.7203270609102176,-1.4386668801068263,0.8915317363385984,0.7384412248512064,0.598510418573991,0.260708094035019,-0.09129611702414984,0.30069971469776613,-0.5239170561158806,-0.16724437480803567
2015-08-31,-2.2793535594072747,-2.2975997975742932,-1.5921202774489793,0.2639038128394946,0.7283877834465671,0.017161024799411048,-1.600491125681771,1.2056367413696796,-1.325971967094295,-1.8356605624082278,-2.121662830554011,-1.481659727420619,-1.8321575132357715,-0.0054208065682763654,-0.047555488889410566
2015-09-30,-0.6888348176632928,-2.3423900065099033,-2.484601877299397,0.15732653994960138,0.28356347339632637,-0.24530113097344314,0.24012377895249282,1.1367106447778565,-1.6780458777426193,-2.5972370071023985,-2.217832701627092,-2.227861366182097,-3.4871174565396106,0.2870170929598349,0.03260016992430876
2015-10-31,0.38136706914040425,-1.7145124272828678,-1.8078985747365046,0.8284102558746366,0.4573369322313719,-0.4790029354731861,0.3774569160904857,0.7840338156358546,-1.1911606179795946,-1.8016207106457454,-1.4141611649287311,-1.6702477816292087,-2.189606604823369,0.40236757751425084,-0.042999220439354016
2015-11-30,-0.5548865186801055,-0.5314422177494743,-1.6870486617681504,-1.1830671319164998,-0.5235914417218908,-1.030995611481318,-1.7279992342921677,0.728667567611223,-1.4775991798427777,-2.1862167863540303,-1.3470120779408548,-1.7480275896537611,-1.9715691479253898,0.7414782237128584,0.017924279064625837
2015-12-31,0.24196033569492872,0.05117156866876148,-0.9222528341462881,-1.3656262478525316,-0.2800550846172634,-0.34159642910700944,-0.2168588965018119,0.2732048967651018,-1.3478596839598622,-1.733690959442362,-0.6082650646644241,-0.9712009868013258,-0.8397192183730838,0.02309255783074616,-0.16060911906501033
2016-01-31,-2.302178562604851,-1.5206676257218639,-2.26350342608605,1.1496804370620637,0.6502466688032844,-0.4468931539477332,-0.0781001674742408,0.7058490687502754,-2.2741366475685605,-3.1902655272073863,-1.698663328153855,-1.988205108859286,-2.965012028363406,0.5590059616211537,0.08465151838005097
2016-02-29,1.1415944034015144,-0.457343900601341,-1.3151512405517805,2.8088942985628833,0.7377213523888225,0.0877819389109225,1.744638947235184,0.12010915229486706,-1.495488545843385,-1.9481376772123211,-0.43727710718773644,-1.249435193439853,-1.3379661484990542,-0.08367937564686098,0.10604254080669423
2016-03-31,1.329684701405926,0.2334094868843579,-1.2686762939544238,3.2538074844249087,1.680968105831737,-0.32165008220598673,-0.06666040476373425,-0.4653168340470323,-0.9144533481980691,-0.9049977543837165,0.7404802675574675,-1.1318542077207614,-1.1420773636151968,0.1419363374977418,0.0358501411452659
2016-04-30,0.4109505234336795,1.8257708005022875,-0.769461249328625,-1.373294865857664,1.7889538333166957,-0.3397659930280702,-0.1001415261684267,-0.7802497795295236,-0.6321748179787042,-0.5669481090525925,1.0649274701212483,-0.7797031830337718,-0.5815502914591069,0.006701975871838823,-0.03414360216017477
2016-05-31,-0.49736352165803965,0.7363842077579718,-1.5698588828025701,-0.04619717636226552,1.5803337122600605,0.45403300024599796,-0.34215615652837733,-0.7808797719966886,-0.8237772879878154,-0.8605435053725979,0.4700315005261389,-1.3498145408336493,-1.5347076661418546,-0.33301036912588855,0.0428937339446132
2016-06-30,0.5451770992014744,0.27931959760330327,-1.128285355648671,-1.1129666918820942,1.5015706697903435,-1.0081510144413721,-0.4475882922900511,-1.8383273495661177,-0.19725161740892005,-0.4290962621386282,0.8671109910230046,-1.0192587461852138,-0.9226743118990199,0.6271756103661945,-0.013031483889932279
2016-07-31,-0.21418241385609374,-0.10288103502610003,-1.0916605652612539,-1.2413667411982958,-1.4657765913502852,-0.8884748628760399,-0.27433993022819314,-1.832100382257486,-0.26484033965904324,-0.5078437454727337,0.24455755138508958,-1.4518651262161182,-0.9184603060194984,0.6529456000707753,-0.08770813430938287
2016-08-31,-1.1598325149100575,-0.49360572087179894,-0.5880392635164343,-0.24222066589922722,-0.4968332527402477,-0.3189481455153688,-0.46692182756375805,-1.4166617840533444,-0.7966059170573939,-1.236438879730904,-0.8525538581253075,-0.6975796466544787,-0.46051255523822554,0.04116894657369433,-0.05469750796002051
2016-09-30,-0.6546475717983179,-1.242140024181332,-0.5685309095059368,-1.2571046013340228,-1.6490216802645672,2.773926180250799,1.9052757582837572,-1.252198024314482,-0.9978192058400942,-1.528895033134745,-1.2076280658526042,-0.8194632819404638,-0.4771288699970158,-1.0866976102771169,0.014871727213475901
2016-10-31,0.34251751455951784,-0.9227315326566612,-0.6107395365089334,-0.6611545279632757,-1.9138881386066546,-0.6285833842574956,-0.030394776850332986,-1.394562111022085,-0.7510542721689907,-1.1925271786490164,-0.6960455079751416,-0.9825247338250956,-0.5283015011129867,0.19455887542935216,0.01835230369089759
2016-11-30,0.37132359066730225,0.025114268252898614,-0.193365354186189,-1.0365689818115589,-1.6907745476537288,-0.5328270314816372,-0.1289339954506008,-1.5263908057818876,-0.4826982004311229,-0.8630988097917986,-0.2432508240913643,-0.32962979367335665,-0.07777257798161304,-0.1348687335005868,-0.06015686249250063
2016-12-31,-0.7162703756905431,-0.0011477826914930709,-0.6239720917165307,-0.8641041003242148,-1.9414797517710998,-0.6173774392779741,-1.7727926398841585,-1.921029760096058,-0.6807423993838145,-1.266761428630588,-0.5826599995169307,-1.1117008977112548,-0.5089593885665656,0.18355209740618533,0.1303408433891776
2017-01-31,1.849430487441245,0.9369223208404713,1.4147995786062681,0.894089968126219,0.29100630215583123,1.0643572726481085,1.239291036378442,-2.901201575394632,0.42501147205530976,0.07058573289964604,1.2172746516083288,1.2553807122074998,1.3811815447082216,0.6632599716973375,0.04751169645576928
2017-02-28,0.6485209341745358,1.1133396524029326,1.1167904062198744,0.8373852080713945,-0.25309271825326296,1.9029353652401446,1.6414588193605322,-2.70280753870431,0.9022753535463065,0.5626986110203429,1.5539602785776516,1.1352800665870062,1.0706874320975293,1.2429890117729008,-0.04220428382882117
2017-03-31,-0.5553663664138812,1.174249475343057,0.10117517481008016,0.4808712344239778,-0.3972647600000187,1.1452056504938752,1.4749975086943572,-3.027994047297277,0.004556851874863526,0.2134313188884792,0.6168374688522407,0.09522286818359514,0.22322950380001488,-0.5596824727081198,0.015443229436333932
2017-04-30,0.26910747488953884,0.2229139528443739,0.03499798480861462,-0.9107046704707917,-0.395206898698321,-0.5437056770568915,-0.8709102088745773,-2.3468544399031437,0.2728696363730162,0.4783024351020666,0.5839687275250297,0.022448775364117438,0.1982373136344182,-0.40488930994812256,0.044142318834193145
2017-05-31,0.6246301375978754,0.19521991854053605,0.697848690167443,-0.8981313920807543,-0.3442259961339995,1.6285105018516028,0.18985010026333624,-2.048443948917208,0.9485085051042197,1.1542844633144924,0.8459658407936455,0.7356819764048012,0.6538530059443185,0.16508190224788413,0.021712049679518997
2017-06-30,0.37954678608937986,0.8079357980159215,0.6424911539444959,-1.7815210033418192,-1.0367148628213199,-0.19626324148598986,-0.8537101007601986,-2.1711741456918765,1.6397498014605456,1.782694714638018,0.732879156164706,0.7191889249083943,0.5730595160475739,-0.6118030052245804,0.09835788305898098
2017-07-31,1.4183969168178978,1.503391680994307,1.9789551885714884,-0.8496300292220513,-1.5492837729884739,0.3981879207847744,1.0970227825606231,-1.7349676029005285,3.9049353459611615,3.364470404044106,1.6696073615792795,2.8665768454630642,1.1797690069633067,-0.17918851304044614,0.020680902196601972
2017-08-31,0.27451788209281974,1.241661923650953,3.145330580576008,-0.6443091705492597,-1.464486319565152,-0.9735540797406046,-2.038045912861197,-1.3718526878337796,3.094121241019354,2.7342199547796264,1.4650957060164638,4.424310033385729,1.7280150635628964,-4.129431620112558,-0.09370563593197181
2017-09-30,-1.5299172147412474,0.1819556007855662,2.153667085818404,1.000967061516834,-0.4340047112887332,0.03405767575805792,0.2270267437644674,-1.3672458078709897,0.9496924888946482,1.249909472456866,-0.06979047660787814,1.9623065214315727,1.0845624019596478,-0.6511728347767328,0.2442810049587836
2017-10-31,3.4706031583769743,1.4387089853959545,4.232412725357698,3.243761521120578,2.294677581174946,2.623302351390234,1.8484379601197745,-1.1772559323709633,3.1284417159870035,2.6725404352055695,2.487154390910218,2.2642104114486505,1.4658297924702193,11.455823056821593,-0.001518637092006997
2017-11-30,-0.19331535810245215,1.1409848292085323,2.9077839103093477,2.740028021746288,2.2148051868155183,2.669737954373951,5.506945368323258,-0.9327146004914155,2.0619705755897964,1.8456072558108203,1.4452444622404825,1.810534438673175,1.2815558194676988,4.978554647684324,0.06472987354573845
2017-12-31,0.5793701042122046,2.533055676851724,3.3906158840737364,1.2224337074626048,1.9011758937363121,-0.1599278014378532,0.7197983314027167,-0.7897840016624176,1.7501068219362848,1.6372114970466083,1.4534010832520874,2.3221025087147424,1.3050302004249286,-0.43398228773632236,-0.1857757191741929
2018-01-31,-2.434425721112123,-1.4365346764175766,0.7809567847178278,1.1795659033267263,3.1251017237002814,0.16102856434662188,-0.028190707990930867,-0.5616186510018275,0.3986939226463136,0.5780759487358029,-1.0485713581491134,0.37557729692657654,0.6172751490740241,-0.13101388529057253,-0.026041208333796324
2018-02-28,-0.5028404170704519,-1.7322851786155047,0.34639374787639254,1.0496724320566506,2.5637387967421414,-0.28705109894414454,-2.595132629876361,-0.39427636769116015,0.13563844164799957,0.332114273852856,-1.4770457406317719,0.09936705210222571,0.4001185474308589,-0.4186892212649526,-0.07219186061609463
2018-03-31,-0.9931434373750472,-2.7686790865818196,0.15703124899289872,0.0915623034551841,2.1082449214738017,-0.3970631813219121,-0.3896638707017836,-0.29667916425139945,-0.22921068741520895,-0.12732674423570126,-2.245846253284877,-0.017728537533716716,0.22780400473366455,-0.45026206081695824,0.026853516277733417
2018-04-30,0.2537164342180072,-0.7742577715319465,0.17152105155766686,-0.5808216064580994,0.21580764141877087,-0.29860656739232355,-0.6844191740435155,-0.14628833363479093,-0.11206122799919735,-0.0353020506217414,-1.3710108061693078,0.23045545350913477,0.19011309685656716,-0.40084209205048216,-0.09187267684200014
2018-05-31,-1.1432203970638526,-1.2015261193814792,-0.48850712164656346,-0.27759071948952385,0.26953726892563856,-0.2715502922796805,0.08113363353735774,0.04644634454723283,-0.7229828464239947,-0.5485725626229712,-1.6909138620444903,-0.42015837813153106,-0.10244349229644459,-0.3476041837956779,0.022117062774652585
2018-06-30,0.22576952433284764,-0.41000002497596694,-0.534964222814492,-0.18900856912114133,-0.005568265859359215,-0.6116171622364881,-0.4561501719514797,0.0898218254756717,-0.5809763813729314,-0.44913714543983746,-0.7683263227023448,-0.4554991855029319,-0.21114521339243833,-0.35765349986140493,0.022377310708842312
2018-07-31,0.23964033150867348,-0.41523818270739227,-0.9033538813912152,-0.24587680442058987,-0.8303041783842476,-0.5742006516808081,-0.538711177879722,0.2292195174838424,-0.4325853297655788,-0.343273193037545,-0.283566790377483,-1.016321332039363,-0.4107736428204838,-0.2681098887477575,-0.017422143294366605
2018-08-31,-0.23830661073522416,0.14387080742427963,-1.0886562409597416,-1.2843930269236985,-0.8291543282952164,-0.6944304612023742,-0.7766450141674914,0.3763737835415381,-0.5658449156922181,-0.47743530191212963,-0.24836080769424648,-1.3306410958840413,-0.5812879760366584,-0.19851272975773512,-0.12558911409271112
2018-09-30,-1.5614668181410407,-0.9670748988045453,-1.2009105479516333,0.016913008716186364,-0.3898132346396815,-0.7647843936742995,-0.1712773613902349,0.46721637662657867,-1.3136806552638016,-1.2700288202614676,-1.2429280376515996,-1.2955077857040327,-0.6405536013537771,-0.14311549839992238,-0.14672767807961667
2018-10-31,-1.7083284595860542,-2.248341991073121,-2.4355394477624634,-0.1873415208569809,-0.14209035592054362,-0.1768966720923208,0.6316373015073928,0.7551135399547251,-1.9443148709224627,-2.09094980428737,-2.0587922773691094,-2.6294287536618595,-1.2804060540422622,-0.33428184336118943,0.06984266971102598
2018-11-30,0.7910340711952665,-1.43172828578694,-1.979815071383099,0.9607757762217816,0.20857762668912302,-0.05976385599920515,0.4575671682591613,0.957130785518408,-1.4396742800578082,-1.568814605678384,-1.0612989279262657,-1.8667162040723757,-1.2197686487573713,-0.47254420064333136,-0.0031904738325858875
2018-12-31,-0.018517415174762446,-0.5163186467163811,-1.9487196913244746,0.6693703499282151,0.08752949480748234,-0.18102483181843318,0.5578860696025852,0.9261183406727641,-1.4732861847390544,-1.5474946128201283,-0.751493871245517,-1.9025985192269026,-0.9920124764171713,-0.3928620213204314,-0.0196854633037359
2019-01-31,-0.22129911562049398,0.33576914990072154,-1.4032974736598356,-0.8574508797310134,-0.09235458855489057,0.5957810508149286,-0.3098991026910246,1.136826520127385,-1.3884802015936983,-1.5659564705793823,-0.5443302446988131,-1.4418937682591824,-0.9895983691156462,-0.9632883333973551,0.03731776300719528
2019-02-28,0.4791466716772697,0.1341611475639105,-1.1259415602170837,-1.2243134440965293,0.0996582001802095,-0.9976371420893766,-0.5634746801344992,1.1062127316894534,-1.0729660620164396,-1.218593416467089,0.1672011914318812,-1.0805069430448344,-0.8727129592478979,0.16316198023710768,0.04622027041608278
2019-03-31,0.5855158341191192,0.49645299224317785,-0.7289440708278673,-0.983945410999629,-0.23228801307460725,1.1359317171383112,0.2654968839128298,1.1129401052106016,-0.8181755795653625,-0.9102776860348715,0.7039961095645786,-0.7493612969538588,-0.6805110530901822,-0.7586115652628258,0.04618383078457709
