ESCORTS IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2016-06-30,1.6289994740498406,1.9693290230059188,1.9915930393875987,-0.2529991891039353,1.3640952159130202,2.59414334725823,2.461732841842926,0.32806594721073384,2.2164840302964692,1.993690507649686,2.5235755197879306,0.9172489894635437,1.7620261674592912,3.0558752311208193,0.17707818447096282
2016-07-31,1.1257852720131105,1.7040031979433554,2.0865039870862225,-0.35552902866416797,-0.43926546203869643,1.0246606150201063,0.7178440505371974,-0.30624101043277746,2.0223237296691177,2.2096982815479294,2.665293344532118,2.410539690562979,1.459952684062574,0.9139949728793989,0.2149577579867178
2016-08-31,1.3082427660513276,2.288634044284222,1.9323717338515796,-1.7438781241064654,-1.5657128241598735,1.9685202687623187,1.1859247853415251,-0.8048513193151926,1.8557580589577194,2.1502446905713244,2.6422714834316747,3.842472357472228,0.9994350139737125,2.297345825836925,0.1433159073157117
2016-09-30,0.6968047233852327,1.6550731986423703,3.5183322853151444,-1.4411469212885673,-1.666160778570521,0.9607840402168043,-0.3983576105542448,-0.9174840144338716,1.4673989846742164,1.6822714716021954,2.0372392749140356,5.883902963028268,1.7916697482605421,1.8030162360339124,0.00039928129897607515
2016-10-31,-0.27652369971022406,0.8736471373249809,2.0629300493859333,-0.033405430514896396,-0.8687614665537124,0.2442456596642071,-0.35461583615785797,-0.72088408451901,0.9361035170220648,1.1137309082781388,0.9861370130947061,1.8991136309099508,1.2174257875329841,-0.14736218930343806,-0.15220092957516781
2016-11-30,-1.381296842402903,-0.4399263886161177,1.234011574971087,0.7183243789949063,0.6008274062606137,-0.08679557512253355,-0.9468804879586928,-0.29918225882608657,0.2966688210008058,0.4475608490602528,-0.3265878600040164,0.5223820439583456,1.0084358554094457,-0.6538733129005732,-0.08400157176114
2016-12-31,-0.9033503867765866,-1.2189049612393428,0.86136160779947,-0.5995573649372858,0.6843629615223693,-0.7907263133304826,-1.2256712208439693,-0.045940848588965445,-0.027599938470087484,0.07927298155725775,-0.9029598508432811,0.3173577377073869,0.8194908874741996,-1.3814528377347106,0.20333283500654784
2017-01-31,1.2822806107997675,-0.47864721129902454,3.0037051015536798,1.8817402589189598,0.8741187359604184,-0.31229682058541247,-0.23807205611048457,-0.37670637086112196,0.31666231465152184,0.38700533934629433,-0.17915513050301068,1.4736692416891504,2.277554755370338,-1.3549139619520307,0.21107987781363485
2017-02-28,1.2385873098224738,0.7958951622219355,4.207159390046701,1.267804102185489,0.8807630076528403,0.05341046105367855,0.2582492120051469,-0.5735309572369371,0.6265107523965079,0.6018436508529768,0.6345345715780206,2.44023012500319,2.6671714181472215,-0.35929992350365675,0.18211740130099877
2017-03-31,0.9426764926031092,1.7034940606406745,3.5099675628645883,-1.8759421473295295,1.0587172113369838,-0.13785688905510649,0.8808971408832295,1.9507272052034275,0.5535752846688986,0.671516719611315,1.2748999723327823,2.3138736865203278,9.298083063200433,-1.0503036710092604,0.01611082027269827
2017-04-30,-0.3130151082830362,0.8846689843648812,1.9501664904142468,-0.058000486711390326,0.9472815683610256,-1.4032002874896676,-0.6125896502319611,1.5950527062832092,0.32849098765022916,0.4209053141344999,0.8190902557574868,1.3916115551653496,3.0359457172557573,-4.655757220391535,0.23559538482415568
2017-05-31,1.24391182306002,0.9000164705753679,2.5919650778146703,0.0749385889728119,0.03638434546304346,0.24828612867962624,0.15053008063610068,0.8125828916713785,0.6632376571606644,0.5780938581987628,1.401008549591589,2.6126895660387324,2.6294107810491525,0.5719408444856702,-0.07147499861695664
2017-06-30,-1.0610821194074855,-0.0632486721965274,1.1109954510075146,0.9133489673591338,-0.1944480284198372,0.29328442010608363,0.06060233142924358,0.9581018250565285,0.12901867779153675,0.16689898971929948,0.11808479334909772,1.188696335470573,1.3310405755690304,0.5014509940979224,0.036824244334051834
2017-07-31,-0.23310464730014072,-0.0257972539803311,0.6140728077349863,0.796485454215869,-0.35626321200206873,-0.73218101207941,0.48081145643946466,0.7919056648549296,-0.04365896636227825,-0.023243313309519304,-0.23180513001711026,0.6835739908131047,0.751880968141473,-1.1724569778198906,-0.033497226680442284
2017-08-31,-0.6962680024796892,-1.0002549137344796,-0.043312522705661466,-1.2552614100235067,-0.5292575917397726,0.1173838718996389,-0.3514120573978681,0.7761916997979508,-0.38318509912863175,-0.2962096894038825,-0.7042031098196495,0.01756302039267943,0.1540648777945916,0.06787062405776637,0.018899525778321203
2017-09-30,-0.25674029863064696,-0.5973620972552379,-0.31530820613131855,-1.5937608520516036,-1.102670126529516,-0.824798131410955,-0.6398187746344003,0.6317358130432783,-0.4404967912643807,-0.36679133147810716,-0.7133856919761321,-0.1513139473182109,-0.13557560074174002,-0.6569860062086179,0.14180639089705943
2017-10-31,0.6068524296087373,-0.1884866987470875,-0.06267238630823121,-0.4055304401804731,-0.7255537592467636,-0.6216249352323976,-0.07063881941663369,0.2069593741493334,-0.1713626505187606,-0.24826678583599326,-0.22890734340930727,0.0707017981403308,-0.031847636577578706,-0.6867786052010217,-0.05669808436744597
