IH IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2008-09-30,-1.075205095756492,-0.6245017634432012,-1.6448089705809226,0.6908247229394129,1.9140401395840192,0.08083837668563452,1.099303990207678,1.4757879598785757,-1.3555616612022605,-2.3258948203205225,-2.000759209542378,-1.0524529219266274,-2.8011443106235205,0.36273693425024456,-0.37796418379130503
2008-10-31,-3.230696283733823,-3.699134914489629,-2.136022601129167,0.7778637845649868,2.260943657010747,-0.3493706091843692,-0.01434323451528282,2.2107810796612415,-1.3714409753738652,-2.379466750314154,-3.1572578234363244,-1.0931449562818631,-5.02518172543586,1.6097751097252686,-0.1370251451079473
2008-11-30,-0.7222775899552554,-3.0158640527916556,-2.1541743675391904,0.6235037380795938,1.8155251030837192,-0.17553657934864894,-0.34586192416431194,1.6691325415244982,-1.1249177723843145,-1.7904857907786398,-2.459576137152169,-1.0729148935286912,-4.155744580393487,1.1800586190021618,0.11720336971078005
2008-12-31,1.3093778888219256,-1.3075933141642022,-2.0705716816378037,2.2228195591790847,1.701964941808298,0.2755366184709505,-0.06455654841428105,0.6759442952156521,-0.7977674095186646,-1.1553850872467828,-1.1858084881003526,-1.0325154802808907,-2.765994575107635,-0.4465672412140311,-0.11227455359910751
2009-01-31,-0.4855169509642146,0.051380894340296544,-1.8952249608833427,0.39771431359528325,1.0144284393316696,-0.7698048476831898,-0.3533932711541583,0.7045821189808429,-0.6707025066221654,-1.0359921531904985,-0.9684048707362749,-1.423643590667643,-2.596588360193926,3.4001820534007825,-0.11141846505088393
2009-02-28,-0.44774847363829207,0.2163786339105977,-1.8057981251794855,0.22604320784925366,0.9360621498393504,-1.4457950361292529,-1.3873308169687248,0.7164847287921616,-0.5392200867042339,-0.9200058235035863,-0.7397092216762627,-1.37766739305129,-2.6755460821444643,5.1917563281369175,0.0887655626966735
2009-03-31,1.0669216794723346,0.08995953601522284,-1.4156368653150053,-0.0747164840518172,1.2984012790302049,0.10418581146162488,-0.4706540496258095,-4.572864943949883,-0.4044089199081402,-0.6057753950449907,0.5472428122408202,-0.9595773601817144,0.5490749942211426,-0.22401695880349237,0.22409308639267433
2009-04-30,2.025014638708039,1.7413468448084042,-1.0631942215067676,0.7129328077015632,0.6504392411813317,1.0319142522323919,1.142986008687838,-3.1159904905043847,-0.09907191120261255,-0.19826977327713347,2.1971505972303422,-0.9407315207606585,0.5807951622416907,-2.194051778061804,0.28067904654866754
2009-05-31,2.1849292436767844,3.394131460691822,-0.47751627670813773,-0.49168135119988937,0.8632730681827333,2.622376485927131,3.265400559699515,-2.449945122663146,0.27021460181722506,0.2452689309334646,3.5548273757880633,-0.45617828609991434,0.6118777632686152,-3.773345441032931,0.010736556750817503
2009-06-30,0.25202834941514585,2.417741381083482,0.4363059412592727,0.1817548886156901,0.8252029307075421,2.1816857657209474,2.283414745141464,-2.034785859649603,0.41306625947128306,0.32871743935260417,2.3221101853820953,0.1851977818267124,0.6477201315156043,-1.175583088669919,0.03347318250392216
2009-07-31,0.40237149389818966,1.4570284115680368,0.32291515014798416,0.24746869018647935,0.25786412456847896,-0.04733497668305283,0.12208963511821648,-1.7484235746847707,0.6078372514270144,0.44987811535938615,1.685857043412939,0.16676029670376638,0.6677198929559395,-0.1616205905618158,-0.04488461695877552
2009-08-31,-0.11569941675908647,0.2834203573286024,0.6332415452345457,-1.9036509353129862,-0.25609248571778587,0.2488887848040144,-0.5074325447884755,-1.517631152591245,0.6727984382503824,0.4433761655043732,0.8138284215151839,0.5385161302669194,0.6882358807056257,-0.3391412916630256,0.1698673907250456
2009-09-30,1.2145821547681674,0.7864158899531541,1.8262472348458092,-0.5457298944975668,-0.2842891190022786,0.998505518729479,-0.3698331143524429,-1.3403813083215743,0.967523249395677,0.7460164570789198,1.121793889064152,2.134229127194065,0.7082454659832399,0.3222938836189726,-0.05157815409607124
2009-10-31,-0.1893728046486753,0.4678980162688009,3.3764319344928175,-0.23773720250561203,-0.3550289518536204,0.15773270760916247,0.49805653104740155,-1.194412903534564,0.9765851674371164,0.7176322329697565,0.49470037500312086,4.09789191741641,0.7371827696863815,0.2613370158196674,0.15524255828764222
2009-11-30,1.109408649766113,1.1095640173591144,4.445123491001454,-0.3040835811421296,-1.7887978095511188,0.822763032903952,0.7370650493147363,-1.0796364741092475,1.3842078163078153,1.0397185788911778,1.0262306031201385,6.740417964808885,0.761741857074389,2.9125828072390085,0.17826919219654142
2009-12-31,1.164727867564779,1.0833647570485019,3.4877931783774327,-0.2859593415235842,-1.4716236353439827,0.13600383447186015,-0.4925520997823672,-0.9768383452473526,1.8504471507043645,1.3678448452320695,1.497337007712137,3.7983248065812805,0.7449845326060067,0.4276153259086176,-0.09669689657200754
2010-01-31,-0.4907810829904395,0.9085233660161294,2.820684985501789,0.20875335961047092,-0.6649990837058688,-0.31547420711603164,-0.2996589510064308,-0.8962999044483749,1.899114001918488,1.2976369050524739,0.6587703395154921,2.5209658306648763,0.7512166620611519,-1.3027869114767232,-0.03884686279790996
