APNT IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2016-03-31,0.025138810850081423,-0.9618804470355495,-1.20069233768846,-1.1204691159806939,-2.3994650488997773,-0.18371578881443365,0.9124549559848409,2.634707805494315,-2.135218166678738,-1.2443774817922335,-0.696899277590737,-0.6679383732136784,-1.2721067533054673,-0.2925280929598592,-0.002478887500023738
2016-04-30,-0.32836215389598694,-0.7565995865220391,-0.8794544091834657,-1.066602096195131,-2.1605713922239214,-1.7752552971391844,-2.3311504076513914,2.5025824154470286,-2.056881625583218,-1.2442852802490427,-0.7887462839293464,0.0005467148797011771,-0.8519034218208975,-0.7532585786384858,0.12831579480759062
2016-05-31,1.6898605173866152,0.8790258548456755,-0.36672559840450697,0.22633408163160387,-0.4935505975719836,0.5884085374472376,0.6814964552160281,1.2521903239884289,-1.445882459381668,0.3709893909180646,0.7929723665741917,-0.14321720306132504,-0.36833135783588095,0.05421419429464386,0.018560500619863328
2016-06-30,-0.1370063984119244,0.7560879434926276,-0.051970563480416114,0.3440253849836707,-0.518955932937767,-0.14947271465561882,-0.26224107452273654,1.1452186086604006,-1.414658459078363,0.3877507994671675,0.6712481562550833,0.26667616985497894,-0.0426334327112782,-0.352499522787078,0.10479721540141025
2016-07-31,1.3810969195002092,1.788149244374267,-0.3808069094841324,0.028723086721713583,-0.17379511687869606,0.07076428906199396,1.69443754539321,0.0012511629433309814,-0.6020553827974348,1.4143851270984744,1.7732806501573215,-0.27753636196646725,-0.5313949628139772,-0.21344263817497838,0.03851623728525004
2016-08-31,0.23645025342147968,0.8615030029425911,0.10869050830084906,-0.37047807007281564,-0.6348384368941803,-0.6928940317316188,-1.065838005514948,-0.3431509476790352,-0.30451689465458,1.4450639500834213,1.4694846188397221,0.5859915287318075,-0.09959916577742517,-0.7688500202434545,0.0024152517563496875
2016-09-30,-0.37776916340675587,0.738087491375996,0.20556065558903966,-0.08970400128045333,-0.39064285887764794,-1.0387892203809164,-0.879551168107137,-0.2995756023314805,-0.30236139830468756,1.070354658803012,0.6443525381042695,0.5136421980274004,0.015244780572537031,-1.0756326856681744,-0.07600517865586796
2016-10-31,-1.641138321216222,-1.0826838603364637,-0.20671770595462605,0.1123940698039929,0.7407123924016998,0.05776631374696258,-0.180124318682541,0.6182179879992568,-0.8749627489674805,-0.10492592878070524,-1.00288266934991,-0.4329043200778406,-0.252563390572406,-0.20712736039252974,-0.10358039831921191
2016-11-30,-1.9075309993601395,-2.3926679680637477,-0.9038718318045232,-0.06068443923761387,0.8573344744191932,2.513007039135847,2.1276090525156883,1.8931383702356992,-1.4485738378443584,-1.6144291447533534,-2.271766430182463,-1.0639432323223763,-0.8855663040248778,0.5711642839744755,-0.08479243078038885
2016-12-31,-1.4555184119851419,-2.8391067353915354,-1.557838898567594,-1.5116501072604296,1.1417772026845612,0.7542840538534799,1.5693017120559765,2.7937035002317994,-1.7397272199260414,-2.8333772024213766,-2.7679959072788782,-1.5948995111319397,-1.6533007570919611,-0.15576416729047884,0.08561691809907232
2017-01-31,1.1441693078537967,-1.1066704582262092,-0.9040028270819613,1.6917793658765081,0.7336795626744301,0.5907561327086583,0.7026030766798043,1.2338122913448923,-1.0408362384562841,-1.3058644555771244,-1.1959254330124045,-1.0387580338157176,-0.9097324331191529,0.021131969710673614,0.053649638310269386
2017-02-28,0.738722390719022,0.2580082353194174,-0.35996770571997083,1.1143379598096166,0.8368864997408134,-0.39219501433949894,-1.8090943219431506,0.3701107590297138,-0.5099975096904434,-0.6163727199648563,-0.22384536886156672,-0.6141713502290446,-0.3547678174288689,-0.32225401549272165,0.047012518290385795
