COCHIN IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2024-04-30,2.383952488148966,0.5319864179736353,3.863330912395891,2.0133304683119473,1.3378923524753852,-0.33942960266707795,-0.29489231510075936,0.761140367659267,0.8536457957981577,0.5572031339692599,1.4977108014859066,3.0513460381722037,2.642387286450189,0.10939961336887505,0.4012637441722983
2024-05-31,2.063384068219289,2.203866125678873,5.414537770536555,1.6411525414938986,1.8994327104094928,0.19372137042879878,0.7598314072021234,0.6527380193632616,1.202676630368981,0.6877847394017368,2.699692724267811,4.092756053441251,2.5952577979742175,3.887399175109064,0.1286966036749029
2024-06-30,0.15257744678462945,2.3932069824956703,3.4995571427468786,0.44156727611416335,1.6702526746916297,-0.9291872304776759,0.24443146209867778,0.7215372015693191,0.9087617412672814,0.48486225598469734,1.6894565445854146,3.0637007949656883,1.8470951415560395,-2.8157451876034436,0.1679114467480838
2024-07-31,0.35616121954943014,1.2953019321116104,2.7468545635469717,0.26443006228737337,1.3524923780290847,-0.9094431007468836,-0.4620928481971053,0.8792658798974878,0.8042598336624444,0.33250125585150625,1.376298495272243,2.6424606108446675,1.25644285174915,-2.207081273288662,-0.32842879845687334
2024-08-31,-2.7516679899710907,-1.1624683939709077,0.5918370413491684,2.000685782086673,3.340977537413317,-1.5202965769988923,-1.3494489213123488,1.2245855877209084,-0.4941850592473294,-0.6065663110012826,-0.9862236743499129,-0.02372377313854742,0.19088646673974324,-2.018814308175951,-0.08071652716180931
2024-09-30,-0.9568753307434288,-1.7733718290925626,0.08438935964635992,1.408314153865695,2.9418355889783827,-1.409937674826595,-0.8308409999898452,1.2743154558873266,-0.9927194321464722,-1.010080897084216,-1.5636672834209266,-0.4304013346535122,-0.32913225139876096,-1.3056944871182148,-0.15048954537575496
2024-10-31,-1.2608513913832033,-2.539404858415242,0.017306771893705473,-0.2644977225478705,2.0105849346071274,-1.6104262184271034,-1.6049407898966301,1.4550151001450735,-1.4425039946243563,-1.3561795829166008,-1.9538065237413906,-0.41324964635354433,-0.17217177015199356,-1.4592469698731088,0.05211782746315445
2024-11-30,-0.10088562432540005,-1.1471704651612649,-0.27209909996244125,-0.6622629536883032,0.4140108695406661,-1.3600463829955565,-1.3251420177901847,1.4732452511546141,-1.2717115411710136,-1.3419794340745912,-1.4971620348148678,-0.3915565197205526,-0.63850988933894,-0.849715400222139,-0.024744125994765116
2024-12-31,-0.47202301989984347,-0.9071999249824104,-0.4562958275082679,-0.7521213257461381,0.014028265777664632,-1.0688725335866218,-1.1018926603782286,1.6635133225914565,-1.3151779862633117,-1.5490698467786264,-1.2594908438283399,-0.4985396841523805,-0.8155590636665636,-0.45918214747100655,-0.004200523914532717
2025-01-31,-0.42707155796619073,-0.4803655128414662,-0.7705996479221375,-1.6064015095671509,-0.6944172925624361,-0.8163756697345558,0.03838889362019406,1.6347986308097708,-1.3119061240430059,-1.5488950622248026,-0.8813260727463633,-0.7677550455099449,-1.2139037272042486,-0.09602765133104496,-0.1888953586877896
2025-02-28,-1.4655299621986353,-1.1160921147806655,-0.8912531662825935,-0.5767428489365175,-1.5338911337148062,-0.5795032580001107,0.8238399793010989,2.12813776711314,-1.7028119321626134,-1.9466244395304566,-1.2320743775679548,-0.7921256181992741,-1.2332837606359464,0.044947116109511756,0.1042247165721408
2025-03-31,0.17647770920200412,-0.8216078643620581,-0.8052991108455166,0.09093493916467653,-0.9699541662681549,-0.38341578368823975,1.0153713979566599,1.868163228224634,-1.7221671354240484,-1.7412148509321173,-0.8025314375176978,-0.7570651083970045,-1.0220951132483407,0.04606097747453101,0.12251489947495278
2025-04-30,0.26409125747431245,-0.4882026632429499,-1.0005502285692087,0.4435280369141321,-0.9176166132636223,0.0723820382789252,1.360386185753363,1.4567301398275792,-1.4524023356449691,-1.478791363012574,-0.437781381037834,-1.1236256141383523,-1.3100508390482004,0.18261708954026648,0.2017269541781409
2025-05-31,0.6802365440842663,0.5516308441624037,-1.0977562402023302,-1.4038757692625197,-0.41992402641636195,2.509755354288983,1.9851176665033174,0.681527087856498,-0.9664683702228054,-1.0207751247431112,0.17510398334292152,-1.308995458697566,-1.3973724917096204,0.1822938903412214,0.05917647445095782
2025-06-30,-0.1446587991706623,0.39209651669967827,-1.107653895345622,-1.1375671500161606,-0.5075107522543582,1.4145378481312507,1.3452743761178263,0.38987688811810517,-0.8635142328024864,-0.9379082409699,0.1575383405865169,-1.3086445618405305,-1.3496439815800605,0.13174267358101463,-0.15408613871454724
2025-07-31,-1.28727345999525,-0.36987765355994634,-1.195206352686655,0.4633523640044852,-0.10892423513716776,-0.3122555626160794,-0.4972925824993557,1.3583060596522276,-1.3192123188907485,-1.379868942344785,-0.5665362980019767,-1.3766352879022046,-1.407018334938383,0.2529871287733984,-0.09631588074393724
2025-08-31,-0.8758275995257468,-1.1421043195041947,-1.0589630679141662,-0.6158296536172956,-0.5901129937334261,-0.4229441562102505,-2.197107464157031,2.1413142944482733,-1.5155918792908571,-1.6328972067235088,-0.9701075232655054,-1.1917264168076147,-1.2123563746801196,0.27311270162739865,0.10687659006187111
2025-09-30,0.29173376968452075,-0.9236460376193192,-0.9266268545059786,-0.22885232676882225,-0.6173049694094033,0.19099236633641972,-0.8175107679255903,1.1653632621740302,-1.161261173116381,-1.251165683839255,-0.6595544837413426,-0.9910906988363838,-1.0279059405987332,0.31653301721652954,-5.5879969839332444e-05
2025-10-31,-0.27092361497564316,-0.43473837034308926,-0.8093482973940799,-0.8302499660960734,-0.7742826883337346,-0.1654346225156237,0.04422886058142611,1.2168682562003035,-1.1423226049295838,-1.2385820508679526,-0.6604552562324219,-0.8107385052899077,-0.8833185542184753,0.34533073512982937,-0.07145068527105745
2025-11-30,-0.7036128953552655,-0.33005540844155806,-0.8548208322211801,-0.9495658089802107,-1.4087980699497664,-0.25968929408424146,0.4315830557699542,1.7786901027230322,-1.3515892928792475,-1.5304034539829316,-0.7714224728582878,-0.8715771322970853,-0.9223150523409869,0.3704464450040277,-0.02799769021865058
2025-12-31,-0.3965674023140522,-0.666190740825418,-0.8341458312596867,-1.7231557258969912,-1.4927464064717113,-0.2504444101387635,-0.6292614574314649,1.8582303782111522,-1.4134530173603777,-1.6663506687333083,-0.6632076305689392,-0.8422558054274211,-0.8947205769494202,0.37483372880767885,0.0242694838558014
2026-01-31,-0.06817350902201158,-0.559948552168192,-0.7823996518622709,-1.3685389537108548,-1.7072334267064901,-0.22857246532509173,-0.03241156015319291,1.354648571573582,-1.266836084553871,-1.5030873759171983,-0.49226230655333736,-0.7481120784124861,-0.8357061492385659,0.37994453607892503,-0.10684095041228897
2026-02-28,-0.7829169336380116,-0.5969908254514051,-0.6896979504064126,-1.0384240263516142,-1.499864311984911,-0.16204141208123757,0.2489993598089692,2.2587985103042447,-1.6434933914489522,-2.2546563209556036,-0.7538528704011599,-0.5911405094214325,-0.7295120418533623,0.3923171145122173,-0.0338853703149904
