BOOT IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2010-11-30,1.3471827893344293,0.7010563615936498,0.7117847488746379,0.0777254897840442,-0.6247034329614285,0.4048607845128726,1.2320819340145006,-0.9243740083316792,0.6806626764432226,0.6962572214694761,0.7318601102053319,1.0963400211735221,0.08922924416773671,0.3786826672449582,-0.07369355478588449
2010-12-31,-1.4349177751276183,0.1577357744324172,0.23808889665944297,0.7262720451111034,-0.24359290255630262,-0.6278647130974538,-0.13400489957967976,-0.6862658162010544,0.33147011487805556,0.3745040813218227,-0.30125139830467035,0.34951564369710664,-0.12517591077834317,-0.7707513342940787,-0.08735836548003335
2011-01-31,-1.4629179617757646,-1.1319316840017961,0.11937580968801823,1.1459930556556606,0.17556842376485007,-0.6588595225936198,0.09533107353005708,-0.4379133704901575,-0.05005447735248136,0.04636103241475054,-1.3648547017419037,0.08657507283153948,-0.16732396415334172,-0.7550589711518914,0.027966097269020027
2011-02-28,-0.18008937709124118,-2.399356161728316,-0.4504000923014566,-0.44513655035375366,0.15523325401269347,-0.7865118376041434,-2.128560205353634,-0.34042037731514946,-0.10593053062282638,-0.032758423086066614,-1.3396473104687372,-0.40934294180305897,-0.5366516425464147,-0.5494699764855115,0.08415561782535874
2011-03-31,0.3931386968259053,-0.9072844553510634,-0.22281952485320705,0.019168302008429398,0.24734710614446073,-0.7597910077047179,-0.6499647222182485,-0.34436894993356937,0.06220400358070749,0.039489211057351446,-0.8088764557650341,-0.24471184013535738,-0.49758476818049524,-0.6010043336154915,0.1576917656545699
2011-04-30,1.1413395935242774,1.039711108864412,0.023402917812792,-0.5039229538425996,0.6621494750606444,-0.47259226161646856,0.2805515797810903,-0.45922471341050164,0.6733860184566014,0.3350306283799302,0.4943465040365056,-0.19260526573467138,-0.5316889517864606,-0.42464136312920064,-0.09391206702852159
2011-05-31,-1.5515183263313357,-0.03700861846323929,-0.6489745714845941,0.8108895924542682,0.4266171037246689,0.5402564814602262,1.356115111444381,-0.02298076069717513,-0.12467373013908262,-0.18803406833683767,-0.7945395686804343,-0.6597945278747372,-0.8467926081286486,0.2361462065030655,0.03477089077091182
2011-06-30,-0.11088665158899125,-0.428471550698423,-0.9645781288080817,0.6788304578583269,0.14790651825945772,-1.0195398114958807,-0.2551474695681544,0.10917068119996164,-0.08149392199424739,-0.24746555915924617,-0.5825528429862515,-0.8659008945514494,-1.0324082041440055,-0.49217832575924303,-0.00894587647416838
2011-07-31,-0.5766111382099361,-1.7580028951467725,-1.137056711438508,-0.5926644695350218,-0.35334269910087507,-0.8479470174336723,-0.9888243290501311,0.4789977047648832,-0.4198957239150738,-0.5619175076855518,-1.0599522571146027,-0.9189583056140493,-1.1374582236011468,-0.4061221125073799,0.007629353928452792
2011-08-31,-0.37647007257320864,-0.8069292753408285,-1.195989940580072,-1.4810492584330734,-0.38059266246216483,-0.26269691884824614,-0.7231652116261076,0.8661636444489005,-0.6266886756814728,-0.909443960865616,-1.2291136561780491,-0.9643157301219971,-1.1829699387992219,-0.2098470953455929,-0.04162598155051973
2011-09-30,-0.8420686911414728,-1.3445309279246052,-1.4675891200763675,-1.3549323641909607,-0.4696510957174171,-0.6059070744676089,0.26850299451633053,1.4096276838451687,-1.3724747514016689,2.2176929801012646,-1.667533044506171,-1.1795888878228966,-1.2845854775079062,-0.3376981279042651,0.02242511884072302
2011-10-31,-0.06182965559549503,-1.0548448593317188,-1.5196057187010348,-1.0752949723142209,-1.870442801966645,-0.7692567661632287,-0.06170223649986702,1.619896317446039,-1.2256227139034646,1.6535867424081718,-1.3089208258168,-0.8402206346400272,-1.2720582328508616,-0.2879495762255913,0.009663566394787928
2011-11-30,-0.2769435170408931,-0.9627957427248008,-1.892628300028516,-1.0111384170194337,-2.4566533732497517,-0.11243571529854159,-0.20095661358001493,1.665356505524437,-1.1035571151210044,1.0179526484148236,-1.1301156916058464,-1.4883208289243233,-1.3901307616956606,-0.053184902533968466,-0.0035872333098887804
2011-12-31,-0.4071852642620989,-0.549313419008069,-1.4972032371918977,-1.453491044831301,-2.2931183118368392,-0.8170334130582059,-0.4346292912098622,3.958752487910526,-3.372716694999568,0.4920811961077381,-1.0632174885986823,-0.6257855461562357,-1.1526218497825016,-0.169101748905308,0.0037236356971420102
2012-01-31,-0.28068300759730924,-0.7031661594059885,-1.1093206694554416,-1.4670494389322906,-2.008738824284897,-0.6732847755169342,-0.10416994748821985,3.18775019501372,-2.871549239181685,0.24488891740381147,-0.9277047236475987,0.37783084213735757,-0.9091402461174632,-0.23996730320254103,0.04627509806083272
2012-02-29,0.22170871335883033,-0.34019373387561846,-0.9758721060516428,-0.9121695986695749,-1.6000990875150778,0.3664238472200227,0.2552243126046921,2.48652375795941,-1.9408110412292447,0.19202833272029718,-0.34684578964297297,-0.00730836784091781,-0.8188897720268287,-0.007741314068501325,-0.004960845682976795
