GUJS IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2015-02-28,-0.3722415386630147,-0.07852853603086436,1.7684308594112519,-1.851968640001303,-1.4499222935919571,-0.7188330497916294,-1.5145972493488,-0.7679178176102149,1.6329430715420878,1.0628872387755173,0.2533566122712213,2.6153043380968084,1.3439720242396915,-2.2487094713135733,0.055949954478380276
2015-03-31,0.3665076728406284,0.14143839764047542,1.1194655731998164,-1.3698188667698246,-1.6255645551127622,-0.6162172435723398,-0.4945702974382808,-0.5586953147132909,1.141183323726344,0.9763789125716957,0.2878932844656576,1.7204561541936305,1.0259235256653567,-1.480957730502222,-0.03235998105187214
2015-04-30,-0.6793336365397075,-0.3879482626656386,0.7540892360197898,-0.9557898138810514,-1.0315826996128465,-1.0492790728055374,-2.3614963816125507,-0.4289760552433571,0.8517296866371753,0.739257846671612,-0.33676527745212365,0.9522265513053506,0.7727794636578655,-1.7259892822752954,0.003325023844771916
2015-05-31,-0.24230450050652608,-0.31301846781558257,0.7068923248098057,-0.9584228792291639,-3.0295648470616814,-0.8125752231348773,-0.35797044708433373,-0.3376556227713062,0.7228709434756985,0.6042826202309607,-0.4322904429664611,2.249822848679587,0.7289555719712996,-1.3409497205120797,-0.015471770048937059
2015-06-30,-0.5610168925583393,-0.8333333913800108,-0.017173332098303958,-1.6850095988285099,-2.4022414530267886,-0.8319661016036037,-1.2143927592256527,-0.21706792140022424,0.5400404021479107,0.4432843189298014,-0.7055220315261155,0.5603465837704337,0.17662974226751826,-0.7992435592321957,0.08904610844062548
2015-07-31,0.7380485085573439,-0.048595450394293194,0.2312821463010102,-0.4690844553453183,-1.5105741225361542,-0.09702908619045955,0.9467974335135281,-0.19999768143137878,0.7498426687679057,0.49986431578802026,-0.0654794009951086,0.5886414301172119,0.2967036469733337,-0.4023467788783748,-0.05141504022297866
2015-08-31,-1.2935243336653426,-0.6648342261083072,0.13910338414824142,0.027070495513103972,-1.0813594236234854,0.10476174909308528,0.9389468748676891,-0.0081540260219596,0.40856751326139196,0.25631292604937383,-0.8660216584969926,0.32578739501111037,0.24128420186235097,-0.18899701247921305,-0.04567003683318832
2015-09-30,-1.1456061740372288,-1.1315394061650954,-0.3312156947455629,0.22051445680488363,-1.109296433440368,-0.5226094087085782,0.7430485930714803,0.22725750221389862,0.09128991426044498,-0.007872280156585029,-1.5438474039495687,-0.18905360486079567,-0.13580465463613675,-0.45831124621313524,0.09515569193131553
2015-10-31,0.8606411031801706,-1.1147540015876094,-0.22437525328427496,0.39365978788958583,-0.44509152725630735,-0.14821285534582104,-0.11889067136730035,0.2181007418160009,0.41955365473384726,0.12890360011461266,-0.4852351508807815,-0.21597070028092338,-0.13843913455342263,-0.3002484453518056,0.04752025261649828
2015-11-30,0.16785756697592127,-0.0738506994349451,-0.6175092999098157,0.015557503095857576,-0.34073093566574175,-0.7421378347517062,-1.3707182685244605,0.29594061492249274,0.5314226616841502,0.12527081060498887,-0.13532363638450592,-0.5914381725973875,-0.5115035519200267,-0.46109619775791905,0.008435773480358386
