PSYS IN Equity,ret_1m,ret_3m,mom_12m,vol_3m,vol_6m,vol_z,vol_trend,ey_z,bm_z,mc_z,rev_6m,mom_vol_adj,value_mom,liquidity_adj_mom,R
2017-02-28,0.8025598959084673,0.7112583579318331,0.014226532955601468,-0.6792094549382193,-1.230512740709792,-0.5694042971806798,-1.2974492674705336,0.9989567756458753,-0.7041472058369267,-0.8190054943003187,0.5224450050440711,0.37037525446134767,0.10672548778041895,-0.5331553355195398,-0.0660272563023971
2017-03-31,-0.49905389702104985,0.0721467608618427,-1.2563520890187574,-0.41197060321611106,-1.0480163046781017,1.9676716644694536,1.3752865350570538,1.6578149037765157,-1.1394305810706684,-1.7526407019681007,-0.06990539790641406,-1.5478937390718388,-1.4601147010552704,-2.9226582853795207,-0.016929471538905207
2017-04-30,-0.10200708434841448,0.2162518367853912,-1.1427496635774606,-0.39960970271420426,-1.026627115315946,2.0623719661368853,1.088827505803021,1.5065089762293948,-1.0569303285973612,-1.6860566360692049,-0.07493171378778248,-1.4463161470401005,-1.3473860408281892,-3.198084734282267,0.034831060928761225
2017-05-31,0.46397940085546235,-0.18600352431779976,-0.8922065863355196,-0.626754842271401,-1.0316439453006607,2.279905236661928,1.8331165032797516,0.8227048616930402,-0.7697829944711867,-0.9196707273741678,0.38303758705927815,-1.1648144393484912,-1.00735197331256,-2.671353234698911,0.11762546040929639
2017-06-30,1.4443252825428152,1.7198213113591792,0.26243925731423084,-0.27125114310050824,-0.4976204911382799,2.0297560562876713,0.8073503176081664,-0.6509482754006749,0.6026853736019693,1.2727506798096342,1.8870150120752378,0.4153425656447031,0.29848440453459885,-0.2571811614500375,-0.05353636914246139
2017-07-31,-0.7989839588799803,1.1923582850464287,0.026918889436371735,0.12412259131235172,-0.3657680183817537,-0.3329013361261469,-0.5697438740133105,-0.03351674015086747,-0.07243776356525673,0.24204818200219297,0.7296008017511781,0.2129330497834358,0.0484532924748183,0.22667334915090373,-0.03814489242715091
2017-08-31,-0.516488377991157,0.33902870323924483,0.5493018309040317,0.46130744373899163,-0.37077013761529204,-0.5018280379647033,-1.0247113880829715,0.34837408108271634,-0.4374527826478534,-0.36696384874120164,0.08869550530282147,0.6211460510186145,0.5830482132586066,0.10011025382309624,0.07339618749592243
2017-09-30,1.1033860227834758,-0.18674744693693304,1.0209074961091573,0.011844211306062382,-0.34824747323745686,-0.9071985980966544,-1.8302244907182745,-0.3714973280691362,0.765019135427518,1.168076886973767,1.0046376265422055,0.9741038803132226,1.052252831055296,-0.21468560790035351,-0.0272413939566431
2017-10-31,-0.38187293855273163,0.15258671230959853,0.5250308757510528,-0.18427137794073115,-0.24008650913001872,-0.5844110197701402,-0.24926006574580073,-0.05547558206325577,0.45371623015575635,0.5986721493683484,0.1877562838553096,0.5750555016950083,0.5487214269780915,0.12396068376579586,0.003767059567095877
2017-11-30,0.046556009744105765,0.5964778933080142,1.1958084500174595,-0.45647505256545423,-0.17299360561789212,-0.7571514667338347,-0.48493132382987914,-0.18541181551492747,0.728521258837015,0.6959940545265102,0.012361777402909797,1.1245703430538672,1.2447830588929836,-0.24716703599520615,0.09296474307766721
