SF IN Equity,price,volume,mc,pe,bm,div
2003-05-31,23.48,1072680.0,4796.2712,9.9894,2.1751,0.5
2003-06-30,24.31,383440.0,4967.3842,10.3457,2.2527,0.5
2003-07-31,24.25,615720.0,4954.6146,10.3191,2.2469,0.5
2003-08-31,27.1,4107040.0,5536.9095,11.5319,2.511,0.6
2003-09-30,30.15,727920.0,6160.0672,12.8298,2.7936,0.6
2003-10-31,39.89,2091660.0,8150.0856,16.9745,3.696,0.6
2003-11-30,45.76,1224780.0,9349.4088,19.4723,4.2399,0.6
2003-12-31,52.92,1620380.0,10812.8072,22.5202,4.9036,0.6
2004-01-31,55.4,1804902.0,11318.9514,23.5745,5.1331,0.6
2004-02-29,46.45,1226638.0,9490.3482,19.766,4.3039,0.6
2004-03-31,44.03,1035690.0,8994.8887,16.0008,3.9185,0.6
2004-04-30,48.0,490764.0,9807.0337,17.4455,4.2723,0.6
2004-05-31,45.63,2284508.0,9321.7898,16.5824,4.0609,0.6
2004-06-30,48.13,477874.0,10115.8749,17.491,4.2834,0.6
2004-07-31,42.68,445600.0,8970.2849,15.5102,3.7983,0.7
2004-08-31,56.3,4410466.0,11834.2598,20.4622,5.011,0.7
2004-09-30,54.45,3425848.0,11441.4915,19.7898,4.8464,0.7
2004-10-31,54.3,3137156.0,11409.9723,19.7353,4.833,0.7
2004-11-30,54.98,2883738.0,11551.8089,19.9806,4.8931,0.75
2004-12-31,59.05,4833164.0,12408.0822,21.4617,5.2558,0.75
2005-01-31,57.08,3354176.0,11993.0786,20.7438,5.08,0.75
2005-02-28,57.35,6058672.0,12050.8639,20.8438,5.1045,0.75
2005-03-31,54.73,3890088.0,11499.2768,16.1882,4.0812,0.75
2005-04-30,58.65,6127598.0,12324.0308,17.3493,4.3739,0.75
2005-05-31,66.35,8186642.0,13942.0195,19.627,4.9482,0.75
2005-06-30,63.53,3178276.0,13348.4068,18.7913,4.7375,0.75
2005-07-31,66.33,6419872.0,13936.7663,19.6196,4.9463,1.5
2005-08-31,77.63,6139526.0,16311.2173,22.9623,5.789,1.5
2005-09-30,73.05,4948728.0,15349.8798,21.6089,5.4478,1.5
2005-10-31,71.65,2637084.0,15055.7001,21.1948,5.3434,1.5
2005-11-30,82.0,3182240.0,17230.529,24.2564,6.1153,0.85
2005-12-31,79.45,4641606.0,16694.7016,23.5021,5.9251,0.85
2006-01-31,76.47,2303106.0,16069.5696,22.6221,5.7032,0.85
2006-02-28,77.0,5692694.0,16179.887,22.7774,5.7424,0.85
2006-03-31,84.65,3667358.0,17787.3693,30.2041,5.5664,0.85
2006-04-30,80.6,5376324.0,17225.2758,28.759,5.3001,0.85
2006-05-31,75.33,2532432.0,15827.9219,26.8768,4.9532,0.85
2006-06-30,58.95,1880150.0,12387.0693,21.034,3.8764,1.275
2006-07-31,54.03,1883596.0,11352.187,19.2767,3.5526,1.275
