CGCL IN Equity,price,volume,mc,pe,bm,div
2022-12-31,177.83,30117113.0,132229.4654,64.3285,6.8709,0.1182
2023-01-31,177.81,20824438.0,132211.8817,64.3199,6.87,0.1182
2023-02-28,170.03,10871103.0,125178.5284,61.5041,6.5693,0.1182
2023-03-31,165.29,15620124.0,136297.9528,59.7625,3.8227,0.1182
2023-04-30,164.74,14737436.0,135844.4166,59.5637,3.81,0.1182
2023-05-31,175.43,19114128.0,144657.4506,63.4279,4.0572,0.1182
2023-06-30,191.49,28232728.0,157902.7709,69.2356,4.4287,0.1182
2023-07-31,194.41,21926940.0,160314.7591,70.2932,4.4963,0.1182
2023-08-31,199.93,25418808.0,164860.4293,72.2863,4.6238,0.125
2023-09-30,199.24,26079716.0,164293.509,72.0377,4.6079,0.125
2023-10-31,190.25,20570408.0,156882.3143,68.7881,4.4001,0.125
2023-11-30,186.71,20401028.0,154026.6045,67.5091,4.3182,0.125
2023-12-31,192.41,14408340.0,158728.7624,69.57,4.4501,0.125
2024-01-31,236.91,92053016.0,195438.5911,85.6598,5.4792,0.125
2024-02-29,241.2,21446024.0,198975.5212,87.21,5.5784,0.125
2024-03-31,204.1,16814484.0,168370.2483,60.2065,4.3886,0.125
2024-04-30,221.0,35916076.0,182311.7338,65.1917,4.7519,0.125
2024-05-31,211.65,14429512.0,174598.5451,62.4336,4.5509,0.125
2024-06-30,215.21,11323705.0,177535.3314,63.4838,4.6274,0.125
2024-07-31,208.97,6857599.0,172387.7059,61.6431,4.4933,0.125
2024-08-31,205.52,28466702.0,169541.663,60.6254,4.4191,0.125
2024-09-30,206.95,8138024.0,170721.3272,61.0472,4.4498,0.15
2024-10-31,202.49,31104423.0,167042.0949,59.7316,4.3539,0.15
2024-11-30,208.87,14454589.0,172335.7863,61.6136,4.4911,0.15
2024-12-31,186.63,2788628.0,153991.4648,55.0531,4.0129,0.15
2025-01-31,178.13,50136031.0,146977.9758,52.5457,3.8302,0.15
2025-02-28,159.72,6228399.0,131787.5837,47.115,3.4343,0.15
2025-03-31,170.21,241478451.0,140443.0543,29.3466,3.263,0.15
2025-04-30,161.56,59020599.0,133305.7978,27.8552,3.0972,0.15
2025-05-31,151.69,29503653.0,125161.8994,26.1534,2.908,0.15
2025-06-30,172.7,328230715.0,166074.3856,29.7759,3.3107,0.15
2025-07-31,186.29,115670027.0,179143.0069,32.119,3.5713,0.15
2025-08-31,185.36,113898408.0,178248.6862,31.9586,3.5534,0.15
2025-09-30,185.18,41910936.0,178075.5919,31.9276,3.55,0.2
2025-10-31,203.03,65793591.0,195240.7788,35.0052,3.8922,0.2
2025-11-30,188.14,30966896.0,181019.6464,32.4379,3.6067,0.2
2025-12-31,182.84,25046392.0,175920.2304,31.5241,3.5051,0.2
2026-01-31,175.74,47021386.0,169088.9373,30.3,3.369,0.2
2026-02-28,159.68,22375737.0,153636.7447,27.531,3.0611,0.2
2026-03-31,157.3,2838469.0,151346.8212,27.1207,3.0155,0.2
