INFOE IN Equity,price,volume,mc,pe,bm,div
2012-08-31,66.84,3755335.0,36488.2901,35.309,6.9206,0.2
2012-09-30,69.8,1637035.0,38104.1689,36.8727,7.2271,0.2
2012-10-31,70.08,13506685.0,38257.0223,37.0206,7.2561,0.2
2012-11-30,73.0,1237050.0,39851.0649,38.5631,7.5584,0.2
2012-12-31,68.96,2116550.0,37645.6087,36.4289,7.1401,0.2
2013-01-31,69.02,7067865.0,37678.363,36.4606,7.1463,0.2
2013-02-28,69.67,7558090.0,38033.2013,36.804,7.2136,0.2
2013-03-31,71.88,1938010.0,39239.6513,42.8367,6.449,0.2
2013-04-30,70.53,10245660.0,38502.6796,42.0322,6.3279,0.2
2013-05-31,67.68,2396110.0,36946.8503,40.3337,6.0722,0.2
2013-06-30,59.06,5409900.0,32241.1537,35.1967,5.2988,0.2
2013-07-31,63.02,14083145.0,34402.9378,37.5566,5.6541,0.2
2013-08-31,59.75,26483900.0,32617.8282,35.6079,5.3607,0.2
2013-09-30,63.46,15520015.0,34643.1361,37.8188,5.6935,0.2
2013-10-31,77.37,11802255.0,42236.6757,46.1085,6.9415,0.4
2013-11-30,89.2,9280380.0,48694.7327,53.1585,8.0029,0.4
2013-12-31,92.39,14589015.0,50436.1699,55.0596,8.2891,0.4
2014-01-31,98.9,27011790.0,53990.0119,58.9392,8.8732,0.4
2014-02-28,125.78,17710460.0,68663.9403,74.9583,11.2848,0.4
2014-03-31,123.92,18686455.0,67648.5569,75.4689,10.0668,0.4
2014-04-30,116.99,6959180.0,63865.4347,71.2485,9.5038,0.4
2014-05-31,141.98,10376120.0,77507.6026,86.4677,11.5339,0.4
2014-06-30,134.79,8595045.0,73986.9192,82.0889,10.9498,0.4
2014-07-31,138.04,14448255.0,75770.8608,84.0682,11.2138,0.5
2014-08-31,151.39,12447220.0,83098.7439,92.1985,12.2983,0.5
2014-09-30,170.18,37456510.0,102036.661,103.6419,13.8248,0.5
2014-10-31,168.6,18214805.0,101089.3234,102.6797,13.6964,0.5
2014-11-30,193.67,11505500.0,116411.3221,117.9476,15.733,0.5
2014-12-31,170.08,17328930.0,102231.8256,103.581,13.8166,0.5
2015-01-31,169.89,16117775.0,102542.3387,103.4653,13.8012,0.5
2015-02-28,165.08,9864940.0,99226.2892,100.5359,13.4105,0.5
2015-03-31,167.98,23886915.0,101389.4994,401.866,7.1353,0.5
2015-04-30,153.81,15593080.0,92836.7598,367.9665,6.5334,0.5
2015-05-31,163.34,24099210.0,98588.8846,390.7656,6.9382,0.5
2015-06-30,170.81,8384095.0,103097.633,408.6364,7.2555,0.5
2015-07-31,166.54,11923935.0,100520.3431,398.4211,7.0741,0.8
2015-08-31,150.02,8921695.0,90549.1886,358.8995,6.3724,0.8
2015-09-30,159.69,9405930.0,96385.8148,382.0335,6.7832,0.8
2015-10-31,150.98,6646700.0,91128.6262,361.1962,6.4132,0.8
2015-11-30,178.91,16385105.0,107986.6374,428.0144,7.5996,0.6
2015-12-31,170.67,12236185.0,103013.1317,408.3014,7.2496,0.6
2016-01-31,158.79,10373920.0,95842.5921,379.8804,6.7449,0.6
2016-02-29,140.02,12183700.0,84513.3808,334.9761,5.9476,0.6
2016-03-31,153.38,12018125.0,92730.6036,68.0479,6.0013,1.0
2016-04-30,150.35,3123490.0,90898.7237,66.7036,5.8827,1.0
2016-05-31,161.51,11717315.0,97645.8455,71.6548,6.3194,1.0
2016-06-30,165.26,6308465.0,99913.0235,73.3185,6.4661,1.0
2016-07-31,163.63,12186280.0,98927.5568,72.5954,6.4023,0.6
2016-08-31,164.7,7412815.0,99574.4582,73.0701,6.4442,0.6
2016-09-30,169.99,8502145.0,102772.6907,75.417,6.6512,0.6
2016-10-31,180.42,11532830.0,109078.4685,80.0444,7.0593,0.6
2016-11-30,179.52,7748015.0,108534.3457,79.6451,7.0241,0.7
2016-12-31,179.18,3820120.0,108507.9724,79.4942,7.0108,0.7
2017-01-31,164.8,5326105.0,99799.7201,73.1145,6.4481,0.7
2017-02-28,171.37,2889045.0,103778.3861,76.0293,6.7052,0.7
2017-03-31,160.24,16548220.0,97118.3903,72.0142,6.0918,0.6
2017-04-30,167.11,6503835.0,101282.1655,,6.353,0.6
2017-05-31,182.82,8268365.0,110803.6952,,6.9502,0.6
2017-06-30,206.83,20208550.0,125355.6956,,7.863,0.6
2017-07-31,198.78,7321140.0,120625.8316,,7.557,0.9
2017-08-31,192.45,10175120.0,116784.5924,,7.3163,0.9
2017-09-30,221.12,20240210.0,134182.4322,,8.4063,0.9
2017-10-31,227.35,5760135.0,137962.9882,,8.6431,0.9
2017-11-30,253.9,6035405.0,154264.7677,,9.6525,1.1
2017-12-31,278.12,19033570.0,168980.3749,,10.5732,1.1
2018-01-31,270.31,7094065.0,164235.1688,,10.2763,1.1
2018-02-28,256.42,24207745.0,155859.9725,,9.7483,1.4
2018-03-31,235.08,12991505.0,143123.9433,27.8399,6.9884,1.1
2018-04-30,248.17,4401575.0,151093.5384,29.3901,7.3776,1.1
2018-05-31,253.95,9093045.0,154612.5804,30.0746,7.5494,1.1
2018-06-30,237.27,12902910.0,144635.2352,28.0992,7.0535,1.1
2018-07-31,273.38,21657545.0,166647.1977,32.3757,8.127,1.1
2018-08-31,327.6,14983545.0,199698.6684,38.7968,9.7389,1.1
2018-09-30,284.63,12450410.0,173504.9817,33.708,8.4615,1.1
2018-10-31,315.79,14290010.0,192815.3093,37.3982,9.3878,1.1
2018-11-30,309.12,27103665.0,188742.7354,36.6082,9.1895,1.1
2018-12-31,288.13,18682480.0,175926.6445,34.1225,8.5655,1.1
2019-01-31,349.47,36545900.0,213379.6704,41.3868,10.389,1.1
2019-02-28,357.93,21037845.0,218545.184,42.3887,10.6405,0.9
2019-03-31,368.51,33906060.0,225005.1288,37.2007,8.8416,0.9
2019-04-30,386.65,18707965.0,236081.0644,39.0319,9.2768,0.9
2019-05-31,410.66,26576665.0,250741.1093,41.4557,9.8529,0.9
2019-06-30,449.43,28603180.0,274413.3267,45.3695,10.7831,0.9
2019-07-31,448.98,15716595.0,274587.5453,45.324,10.7723,0.9
2019-08-31,405.35,18395650.0,247904.2753,40.9196,9.7255,1.05
2019-09-30,404.23,29501125.0,247219.3048,40.8066,9.6986,1.05
2019-10-31,513.8,32865180.0,314230.2125,51.8676,12.3275,1.05
2019-11-30,526.75,78986785.0,322150.1838,53.1748,12.6382,1.2
2019-12-31,506.01,23923625.0,309465.9981,51.0812,12.1406,1.2
2020-01-31,569.53,45300765.0,348883.1402,57.4934,13.6647,1.2
2020-02-29,518.67,32951445.0,317727.2809,52.3592,12.4444,1.6
2020-03-31,407.01,45160205.0,249326.5094,43.3232,11.3328,1.6
2020-04-30,509.52,35975280.0,312122.1667,,14.1871,1.6
2020-05-31,536.76,45436360.0,328808.8675,,14.9455,1.6
2020-06-30,552.37,71353125.0,338371.2537,,15.3802,1.6
2020-07-31,638.89,38191315.0,391371.7441,,17.7892,1.6
2020-08-31,652.73,45101060.0,419653.5632,,18.1746,1.2
2020-09-30,726.94,67368520.0,467364.701,,20.2409,1.2
2020-10-31,709.79,63081965.0,456338.6091,,19.7634,1.2
2020-11-30,861.27,64983175.0,553728.2209,,23.9812,0.7
2020-12-31,951.58,57896490.0,611790.3798,,26.4958,0.7
2021-01-31,872.8,115590765.0,561141.0953,,24.3022,0.7
2021-02-28,982.07,102002790.0,631393.0287,,27.3447,0.7
2021-03-31,856.11,64438835.0,551266.8606,38.1375,10.1953,0.7
2021-04-30,982.94,75504955.0,632935.3096,43.7874,11.7057,0.0
2021-05-31,869.09,67342790.0,559624.9499,38.7157,10.3498,0.0
2021-06-30,983.15,64540565.0,633070.533,43.7968,11.7082,1.6
2021-07-31,1042.96,87530790.0,671583.429,46.4612,12.4204,1.6
2021-08-31,1236.47,44405520.0,796188.5043,55.0815,14.7249,1.6
2021-09-30,1286.28,63524450.0,828262.1894,57.3004,15.3181,1.6
2021-10-31,1215.07,40773470.0,782408.6034,54.1282,14.4701,1.6
2021-11-30,1161.01,38929335.0,747598.2558,51.72,13.8263,1.6
2021-12-31,1115.34,36892980.0,718190.402,49.6855,13.2824,1.6
2022-01-31,980.16,60630200.0,631145.2153,43.6636,11.6726,1.6
2022-02-28,890.86,49238700.0,573643.1057,39.6855,10.6091,1.6
2022-03-31,901.89,50071935.0,580745.5499,4.5487,3.3661,1.6
2022-04-30,930.25,27433240.0,599937.3881,4.6917,3.472,1.6
2022-05-31,832.88,74327215.0,537141.4693,4.2006,3.1086,1.6
2022-06-30,751.76,59563950.0,484825.5103,3.7915,2.8058,1.6
2022-07-31,867.28,36592505.0,559326.738,4.3741,3.237,1.6
2022-08-31,868.86,57801385.0,560345.7125,4.3821,3.2428,2.6
2022-09-30,772.12,42634875.0,497956.0937,3.8942,2.8818,2.6
2022-10-31,784.34,30687650.0,505837.0234,3.9558,2.9274,2.6
2022-11-30,798.72,54058110.0,515110.9816,4.0283,2.9811,4.6
2022-12-31,786.41,40762415.0,507958.419,3.9662,2.9351,4.6
2023-01-31,734.19,27416530.0,474228.4453,3.7029,2.7402,3.0
2023-02-28,698.34,48963160.0,451072.1918,3.5221,2.6064,3.0
2023-03-31,744.71,30319945.0,481023.53,3.6334,3.5854,3.0
2023-04-30,755.24,14507905.0,487825.0739,,3.6361,3.0
2023-05-31,814.77,44174950.0,526276.7273,,3.9227,3.0
2023-06-30,896.73,41407355.0,579216.3796,,4.3173,3.0
2023-07-31,917.42,25212455.0,592580.4769,,4.4169,4.8
2023-08-31,866.3,39160755.0,559561.0158,,4.1708,3.8
2023-09-30,833.06,31209635.0,538090.615,,4.0108,3.8
2023-10-31,816.85,27951330.0,528437.0921,,3.9327,3.8
2023-11-30,922.2,26116895.0,596590.1773,,4.4399,3.8
2023-12-31,1028.03,36316580.0,665053.7844,,4.9495,3.8
2024-01-31,1006.33,31489285.0,651015.6074,,4.845,3.8
2024-02-29,1053.55,29077335.0,681563.1981,,5.0723,3.8
2024-03-31,1118.4,30755320.0,723515.999,125.7833,2.3859,3.8
2024-04-30,1210.75,35440105.0,783259.1165,136.1696,2.583,3.8
2024-05-31,1139.42,42101675.0,737114.2701,128.1473,2.4308,3.8
2024-06-30,1357.17,32484455.0,877981.2307,152.637,2.8953,3.8
2024-07-31,1405.45,28335490.0,909214.5573,158.0669,2.9983,4.8
2024-08-31,1535.76,32396420.0,993514.7807,172.7225,3.2763,4.8
2024-09-30,1620.14,25610250.0,1049722.081,182.2125,3.4563,4.8
2024-10-31,1488.19,22672100.0,964228.9577,167.3725,3.1748,4.8
2024-11-30,1651.06,29910040.0,1069755.786,185.69,3.5223,4.8
2024-12-31,1735.45,30910825.0,1124433.805,195.1811,3.7023,4.8
2025-01-31,1544.74,40872640.0,1000868.868,173.7325,3.2955,4.8
2025-02-28,1398.53,32588530.0,906136.3967,157.2887,2.9836,4.8
2025-03-31,1436.28,32713595.0,930595.3994,96.5242,2.6683,4.8
2025-04-30,1413.9,28630810.0,916094.9363,95.0202,2.6267,4.8
2025-05-31,1427.5,19514717.0,924906.6565,95.9341,2.652,4.8
2025-06-30,1488.3,28380577.0,964300.229,100.0202,2.7649,4.8
2025-07-31,1392.3,37768138.0,902099.8514,93.5685,2.5866,6.0
2025-08-31,1358.1,40520296.0,879940.9669,91.2702,2.523,6.0
2025-09-30,1309.3,26899143.0,848977.0916,87.9906,2.4324,6.0
2025-10-31,1378.3,20840769.0,893718.113,92.6277,2.5606,6.0
2025-11-30,1330.2,18904715.0,862529.0821,89.3952,2.4712,6.0
2025-12-31,1333.6,16486188.0,864733.7122,89.6237,2.4775,6.0
2026-01-31,1249.4,22635060.0,810136.6976,83.9651,2.3211,6.0
2026-02-28,1029.6,48438090.0,667613.8498,69.1935,1.9128,8.4
2026-03-31,1014.9,7000699.0,658082.0828,68.2056,1.8855,8.4
