AKZO IN Equity,price,volume,mc,pe,bm,div
2001-04-30,57.9,126858.0,2366.4308,,,5.5
2001-05-31,69.5,558509.0,2840.5344,,,5.5
2001-06-30,63.85,254161.0,2619.831,,,0.0
2001-07-31,49.7,56006.0,2031.2689,,,5.5
2001-08-31,60.35,57444.0,2466.5408,,,5.5
2001-09-30,57.9,52060.0,2366.4078,,,5.5
2001-10-31,66.8,76793.0,2730.1562,,,5.5
2001-11-30,67.05,76148.0,2740.3738,,,5.5
2001-12-31,66.95,72032.0,2736.2868,,,5.5
2002-01-31,70.9,76986.0,2897.7257,,,5.5
2002-02-28,68.15,70750.0,2785.3315,,,5.5
2002-03-31,70.8,62066.0,2893.6386,3.5477,0.6573,5.5
2002-04-30,78.3,112950.0,3200.1681,3.9235,0.7269,5.5
2002-05-31,83.5,192069.0,3412.6952,4.184,0.7752,5.5
2002-06-30,93.05,107794.0,3803.0095,4.6626,0.8638,5.5
2002-07-31,82.4,230051.0,3367.7376,4.1289,0.7649,10.0
2002-08-31,90.0,82543.0,3678.3541,4.5097,0.8355,10.0
2002-09-30,100.3,137477.0,4099.3213,5.0258,0.9311,10.0
2002-10-31,101.25,74652.0,4138.1484,5.0734,0.9399,10.0
2002-11-30,115.7,123251.0,4728.7286,5.7975,1.0741,10.0
2002-12-31,118.2,101139.0,4830.9051,5.9228,1.0973,10.0
2003-01-31,119.15,107736.0,4869.7322,5.9704,1.1061,10.0
2003-02-28,111.45,60198.0,4555.0286,5.5845,1.0346,10.0
2003-03-31,107.95,119608.0,4411.9814,3.8292,0.8864,10.0
2003-04-30,124.05,48888.0,5069.9981,4.4003,1.0186,10.0
2003-05-31,143.4,273915.0,5860.8443,5.0867,1.1775,10.0
2003-06-30,143.85,111924.0,5879.236,5.1026,1.1812,10.0
2003-07-31,133.35,242099.0,5450.0947,4.7302,1.0949,10.0
2003-08-31,143.15,227313.0,5850.6266,5.0778,1.1754,10.0
2003-09-30,173.0,130425.0,7070.6141,6.1366,1.4205,10.0
2003-10-31,160.9,299573.0,6576.0798,5.7074,1.3212,10.0
2003-11-30,165.65,67485.0,6770.2152,5.8759,1.3602,10.0
2003-12-31,192.4,162968.0,7863.5038,6.8248,1.5798,10.0
2004-01-31,186.0,106072.0,7601.9319,6.5978,1.5273,10.0
2004-02-29,185.3,49541.0,7573.3225,6.5729,1.5215,10.0
2004-03-31,182.95,142790.0,7477.2766,6.5966,1.4631,10.0
2004-04-30,179.95,97075.0,7354.6648,6.4885,1.4392,10.0
2004-05-31,176.85,54521.0,7227.9659,6.3767,1.4144,10.0
2004-06-30,177.05,50939.0,7236.14,6.3839,1.416,10.0
2004-07-31,163.7,73556.0,6690.5175,5.9025,1.3092,12.5
2004-08-31,171.8,137942.0,7021.5694,6.1946,1.374,12.5
2004-09-30,194.7,958277.0,7957.5061,7.0203,1.5571,12.5
2004-10-31,199.65,205183.0,8159.8156,7.1988,1.5967,12.5
2004-11-30,209.8,518317.0,8574.6522,7.5648,1.6779,12.5
2004-12-31,224.5,385287.0,9175.4501,8.0948,1.7954,12.5
2005-01-31,233.2,1196937.0,9531.0243,8.4085,1.865,12.5
2005-02-28,238.4,566855.0,9743.5514,8.596,1.9066,12.5
2005-03-31,227.8,772433.0,9310.3231,19.1689,1.7854,12.5
2005-04-30,225.45,212263.0,9214.2771,18.9711,1.767,12.5
2005-05-31,257.85,987029.0,10538.4846,21.6975,2.0209,12.5
2005-06-30,264.3,498881.0,10802.1,22.2403,2.0715,12.5
2005-07-31,312.65,770431.0,12778.1936,26.3088,2.4504,5.5
2005-08-31,332.75,884495.0,13599.6927,28.0002,2.608,5.5
2005-09-30,331.45,1121259.0,13546.5609,27.8908,2.5978,5.5
2005-10-31,321.05,376193.0,13121.5067,27.0157,2.5163,5.5
2005-11-30,315.0,360269.0,12874.2395,26.5066,2.4688,5.5
2005-12-31,332.1,275945.0,13573.1268,27.9455,2.6029,5.5
2006-01-31,370.75,574041.0,15152.7756,31.1978,2.9058,5.5
2006-02-28,407.85,271851.0,16669.0749,34.3197,3.1966,5.5
2006-03-31,384.35,423558.0,15708.6157,32.0519,2.8958,5.5
2006-04-30,381.4,298495.0,14329.2329,31.8059,2.8736,5.5
2006-05-31,349.4,809391.0,14280.1882,29.1373,2.6325,5.5
2006-06-30,287.15,643135.0,11735.9933,23.9461,2.1635,5.5
2006-07-31,299.3,421496.0,12232.5711,24.9593,2.255,6.0
2006-08-31,316.05,208050.0,12917.1537,26.3562,2.3812,6.0
2006-09-30,348.85,236936.0,14257.7094,29.0914,2.6283,6.0
2006-10-31,350.5,224524.0,14325.1459,29.229,2.6408,6.0
2006-11-30,400.05,539803.0,16350.2842,33.3611,3.0141,6.0
2006-12-31,437.6,421609.0,17884.9753,36.4925,3.297,6.0
2007-01-31,452.25,454957.0,18483.7296,37.7142,3.4074,6.0
2007-02-28,433.75,530216.0,17727.6235,36.1715,3.268,6.0
2007-03-31,463.95,211643.0,18961.9156,4.0972,2.1801,6.0
2007-04-30,433.15,246638.0,17703.1011,3.8252,2.0354,6.0
2007-05-31,527.25,285737.0,21549.0247,4.6562,2.4776,6.0
2007-06-30,537.45,195090.0,21965.9049,4.7463,2.5255,27.0
2007-07-31,510.0,539428.0,20844.0068,4.5039,2.3965,27.0
2007-08-31,526.5,758859.0,21518.3718,4.6496,2.4741,27.0
2007-09-30,544.25,1350775.0,22244.0409,4.8064,2.5575,27.0
2007-10-31,521.0,624756.0,21293.7902,4.601,2.4482,27.0
2007-11-30,586.3,319210.0,23962.6664,5.1777,2.7551,27.0
2007-12-31,570.55,423781.0,23318.9481,5.0386,2.6811,27.0
2008-01-31,524.85,532518.0,21451.1435,4.635,2.4663,27.0
2008-02-29,565.2,157990.0,23100.2883,4.9914,2.6559,27.0
2008-03-31,662.8,298830.0,27089.2977,44.1278,3.336,27.0
2008-04-30,610.55,30709.0,24953.7881,40.6491,3.073,27.0
2008-05-31,594.45,187691.0,24295.765,39.5772,2.992,27.0
2008-06-30,543.3,62082.0,22205.2134,36.1718,2.7345,8.0
2008-07-31,550.0,97091.0,22479.0491,36.6178,2.7682,8.0
2008-08-31,492.05,24346.0,20110.5748,32.7597,2.4766,8.0
2008-09-30,481.1,15251.0,19663.0373,32.0306,2.4215,8.0
2008-10-31,400.95,59918.0,16387.2268,26.6944,2.0181,8.0
2008-11-30,404.3,159252.0,16524.1446,26.9174,2.0349,8.0
2008-12-31,382.4,26017.0,15629.0698,25.4594,1.9247,8.0
2009-01-31,393.55,51925.0,16084.7814,26.2017,1.9808,8.0
2009-02-28,416.5,146790.0,15918.505,27.7297,2.0963,8.0
2009-03-31,442.4,268497.0,16908.3952,5.7358,1.7344,8.0
2009-04-30,445.2,29528.0,17015.4104,5.7721,1.7453,8.0
2009-05-31,509.85,102567.0,19486.314,6.6103,1.9988,8.0
2009-06-30,525.1,67447.0,20069.1644,6.808,2.0586,16.0
2009-07-31,541.2,140697.0,20684.5016,7.0167,2.1217,16.0
2009-08-31,564.45,331054.0,21573.1096,7.3182,2.2129,16.0
2009-09-30,561.65,1881687.0,21466.0944,7.2819,2.2019,16.0
2009-10-31,564.5,85366.0,21575.0206,7.3188,2.213,16.0
2009-11-30,570.85,63472.0,21817.7157,7.4011,2.2379,16.0
2009-12-31,649.95,253524.0,23940.4539,8.4267,2.548,16.0
2010-01-31,614.2,218702.0,22623.6277,7.9632,2.4079,16.0
2010-02-28,622.75,609337.0,22938.5609,8.074,2.4414,16.0
2010-03-31,602.25,56471.0,22183.4578,7.8082,2.361,16.0
2010-04-30,586.25,123814.0,21594.109,7.6008,2.2983,16.0
2010-05-31,595.0,714642.0,21916.4091,7.7142,2.3326,16.0
2010-06-30,758.3,1165219.0,27931.4504,9.8315,2.9728,16.0
2010-07-31,865.6,919733.0,31883.7709,11.2226,3.3935,16.0
2010-08-31,877.4,835295.0,32318.4157,11.3756,3.4397,16.0
2010-09-30,926.95,1610538.0,34143.5553,12.018,3.634,16.0
2010-10-31,867.1,493141.0,31939.0224,11.2421,3.3994,16.0
2010-11-30,795.25,592909.0,29292.4779,10.3105,3.1177,16.0
2010-12-31,802.05,259567.0,29542.9511,10.3987,3.1443,16.0
2011-01-31,720.9,191444.0,26553.8476,9.3466,2.8262,16.0
2011-02-28,708.15,325153.0,26084.2102,9.1813,2.7762,16.0
2011-03-31,839.45,469132.0,30920.554,10.8836,3.291,16.0
2011-04-30,840.0,85491.0,30940.8128,10.8907,3.2931,16.0
2011-05-31,855.95,233653.0,31528.3199,11.0975,3.3556,16.0
2011-06-30,890.7,419141.0,32808.3119,11.548,3.4919,16.0
2011-07-31,969.15,924791.0,35697.9628,12.5651,3.7994,18.0
2011-08-31,929.8,486478.0,34248.5331,12.055,3.6452,18.0
2011-09-30,934.35,554129.0,34416.1291,12.114,3.663,18.0
2011-10-31,828.7,459792.0,30524.5852,10.7442,3.2488,18.0
2011-11-30,809.35,492805.0,29811.8415,10.4933,3.173,18.0
2011-12-31,789.15,230714.0,29067.7886,10.2314,3.0938,18.0
2012-01-31,802.0,1442538.0,29541.1094,10.398,3.1441,18.0
2012-02-29,817.7,1418584.0,30119.4079,10.6016,3.2057,18.0
2012-03-31,816.1,270544.0,30060.473,19.394,2.0861,18.0
2012-04-30,869.75,233471.0,32036.6333,20.669,2.2232,18.0
2012-05-31,874.85,438939.0,32224.4882,20.7902,2.2363,18.0
2012-06-30,880.75,110564.0,42241.0346,20.9304,2.2513,18.0
2012-07-31,879.35,1359855.0,42173.8902,20.8971,2.2478,20.0
2012-08-31,885.65,112277.0,42476.0401,21.0468,2.2639,20.0
2012-09-30,870.5,141906.0,41749.4415,20.6868,2.2251,20.0
2012-10-31,968.35,262747.0,46442.3569,23.0121,2.4753,20.0
2012-11-30,964.35,227261.0,46250.5157,22.9171,2.465,20.0
2012-12-31,960.4,347510.0,46061.0725,22.8232,2.4549,20.0
2013-01-31,960.45,712514.0,46063.4706,22.8244,2.4551,20.0
2013-02-28,993.4,292201.0,47643.7625,23.6074,2.5393,20.0
2013-03-31,1022.05,284090.0,49017.8251,21.9843,4.3146,20.0
2013-04-30,991.65,484887.0,47559.8319,21.3304,4.1863,20.0
2013-05-31,1136.6,511704.0,54511.6775,24.4483,4.7982,20.0
2013-06-30,1142.05,144703.0,54773.0815,24.5655,4.8212,20.0
2013-07-31,1004.15,457156.0,48159.351,21.5993,4.239,80.0
2013-08-31,744.05,243829.0,35684.8729,16.0045,3.141,80.0
2013-09-30,820.9,641424.0,39370.6232,17.6576,3.4654,80.0
2013-10-31,842.9,343157.0,40425.7501,18.1308,3.5583,80.0
2013-11-30,833.0,116453.0,39950.943,17.9178,3.5165,80.0
2013-12-31,858.7,528143.0,41183.5231,18.4706,3.625,80.0
2014-01-31,777.05,272322.0,37267.5633,16.7143,3.2803,80.0
2014-02-28,770.85,69790.0,36970.2094,16.581,3.2541,80.0
2014-03-31,901.8,333011.0,43250.6127,28.0236,4.9632,80.0
2014-04-30,865.6,154995.0,41514.4493,26.8987,4.764,80.0
2014-05-31,973.5,691828.0,46689.3673,30.2517,5.3578,80.0
2014-06-30,1082.45,479226.0,51914.6407,33.6374,5.9575,80.0
2014-07-31,1043.8,573883.0,50060.9805,32.4363,5.7448,15.0
2014-08-31,1140.5,532558.0,54698.7401,35.4413,6.277,15.0
2014-09-30,1266.2,1011219.0,60727.3487,39.3474,6.9688,15.0
2014-10-31,1299.3,456290.0,62314.8412,40.376,7.1509,15.0
2014-11-30,1332.0,997556.0,63883.1405,41.3922,7.3309,15.0
2014-12-31,1388.2,785639.0,66578.5073,43.1386,7.6402,15.0
2015-01-31,1497.55,766815.0,71822.9738,46.5367,8.2421,15.0
2015-02-28,1473.05,394975.0,70647.4796,45.7753,8.1072,15.0
2015-03-31,1400.8,346571.0,67182.8132,35.0814,7.1045,15.0
2015-04-30,1401.2,393432.0,67201.9914,35.0914,7.1066,15.0
2015-05-31,1373.35,309303.0,65866.2996,34.3939,6.9653,15.0
2015-06-30,1250.05,425436.0,59952.7956,31.306,6.34,15.0
2015-07-31,1359.85,535778.0,65218.8353,34.0558,6.8969,15.0
2015-08-31,1296.95,783232.0,62202.1285,32.4806,6.5778,20.0
2015-09-30,1381.5,270367.0,66257.1761,34.598,7.0067,20.0
2015-10-31,1348.5,192201.0,64674.4857,33.7716,6.8393,20.0
2015-11-30,1279.6,140127.0,61370.02,32.0461,6.4898,20.0
2015-12-31,1404.0,266635.0,67336.2832,35.1615,7.1208,20.0
2016-01-31,1340.2,201852.0,64276.4121,33.5637,6.7972,20.0
2016-02-29,1313.0,216581.0,62971.8945,32.8825,6.6592,20.0
2016-03-31,1363.95,491127.0,65415.4696,29.7157,5.4746,20.0
2016-04-30,1331.0,206539.0,63835.1802,28.9978,5.3424,20.0
2016-05-31,1536.0,329666.0,73667.0449,33.4641,6.1652,20.0
2016-06-30,1592.65,284631.0,76383.9968,34.6983,6.3926,20.0
2016-07-31,1677.75,351190.0,80465.4197,36.5523,6.7341,70.0
2016-08-31,1720.0,228762.0,82491.743,37.4728,6.9037,70.0
2016-09-30,1697.7,369819.0,81422.225,36.9869,6.8142,70.0
2016-10-31,1662.3,227158.0,79724.4358,36.2157,6.6721,70.0
2016-11-30,1425.7,234120.0,68377.0191,31.061,5.7225,70.0
2016-12-31,1401.8,242962.0,67230.7736,30.5403,5.6265,70.0
2017-01-31,1437.0,364650.0,68918.9737,31.3072,5.7678,70.0
2017-02-28,1509.5,448314.0,72396.0966,32.8867,6.0588,70.0
2017-03-31,1912.1,722809.0,91704.9197,38.1124,8.8371,70.0
2017-04-30,1963.3,344642.0,94160.4908,39.1329,9.0737,70.0
2017-05-31,1791.55,234566.0,85923.3036,35.7096,8.2799,70.0
2017-06-30,1832.7,241596.0,87896.8706,36.5298,8.4701,70.0
2017-07-31,1786.05,530636.0,85659.5219,35.6,8.2545,20.0
2017-08-31,1816.9,278998.0,87139.0976,36.2149,8.3971,22.0
2017-09-30,1931.5,278074.0,92635.3498,38.4991,8.9267,22.0
2017-10-31,1913.3,184154.0,91762.472,38.1363,8.8426,22.0
2017-11-30,1787.85,456748.0,85745.8492,35.6358,8.2628,22.0
2017-12-31,1834.4,279633.0,87978.4018,36.5637,8.478,22.0
2018-01-31,1841.3,432339.0,88309.328,36.7012,8.5099,22.0
2018-02-28,1800.2,135587.0,83997.8973,35.882,8.3199,22.0
2018-03-31,1789.55,293234.0,83500.9649,40.6901,6.4684,22.0
2018-04-30,1926.7,320146.0,89900.427,43.8085,6.9642,22.0
2018-05-31,1933.3,284615.0,90208.3851,43.9586,6.988,22.0
2018-06-30,1841.55,126277.0,85927.3012,41.8724,6.6564,22.0
2018-07-31,1857.2,358518.0,86657.5352,42.2283,6.713,22.0
2018-08-31,1716.25,266914.0,80080.7639,39.0234,6.2035,22.0
2018-09-30,1603.35,116031.0,74812.8145,36.4563,5.7954,22.0
2018-10-31,1531.05,164356.0,71439.2737,34.8124,5.5341,22.0
2018-11-30,1579.35,113365.0,73692.9669,35.9106,5.7087,22.0
2018-12-31,1749.3,779443.0,81622.8873,39.7749,6.3229,22.0
2019-01-31,1759.85,162119.0,82115.1536,40.0148,6.3611,22.0
2019-02-28,1786.55,129966.0,81360.048,40.6219,6.4576,22.0
2019-03-31,1802.85,238072.0,82102.3551,39.2265,7.2254,22.0
2019-04-30,1718.65,103920.0,78267.8607,37.3945,6.888,22.0
2019-05-31,1738.25,135021.0,79160.4508,37.8209,6.9665,22.0
2019-06-30,1796.8,214670.0,81826.8362,39.0949,7.2012,22.0
2019-07-31,1747.6,65661.0,79586.2527,38.0244,7.004,24.0
2019-08-31,1720.7,201870.0,78361.2183,37.4391,6.8962,24.0
2019-09-30,1919.8,608224.0,87428.2948,41.7711,7.6941,24.0
2019-10-31,2118.05,375174.0,96456.6621,46.0846,8.4887,24.0
2019-11-30,1935.05,400778.0,88122.7846,42.1029,7.7552,24.0
2019-12-31,1971.15,297051.0,89766.7899,42.8884,7.8999,24.0
2020-01-31,2046.5,827393.0,93198.2526,44.5279,8.2019,24.0
2020-02-29,2350.55,581783.0,107044.7851,51.1434,9.4205,24.0
2020-03-31,2213.05,776078.0,100782.9919,42.4525,8.1408,24.0
2020-04-30,2085.85,297417.0,94990.264,40.0125,7.6729,24.0
2020-05-31,1878.9,315622.0,85565.696,36.0426,6.9116,24.0
2020-06-30,1834.2,437574.0,83530.0439,35.1851,6.7472,24.0
2020-07-31,1898.95,335049.0,86478.7793,36.4272,6.9854,24.0
2020-08-31,2100.1,426657.0,95639.2134,40.2858,7.7253,14.0
2020-09-30,2165.2,286887.0,100558.9249,41.5346,7.9648,14.0
2020-10-31,1983.35,205121.0,90322.3818,38.0462,7.2958,14.0
2020-11-30,2153.0,349863.0,98048.296,41.3006,7.9199,14.0
2020-12-31,2399.5,429043.0,109273.9834,46.0292,8.8267,14.0
2021-01-31,2228.0,567841.0,101463.8196,42.7393,8.1958,14.0
2021-02-28,2158.1,583630.0,98280.5516,41.3984,7.9387,20.0
2021-03-31,2296.05,885769.0,104562.838,50.352,8.1163,20.0
2021-04-30,2243.15,335402.0,102153.7553,49.1919,7.9293,20.0
2021-05-31,2277.6,342066.0,103722.6192,49.9474,8.0511,20.0
2021-06-30,2354.6,440658.0,107229.2233,51.636,8.3233,20.0
2021-07-31,2271.75,165493.0,103456.2083,49.8191,8.0304,20.0
2021-08-31,2211.45,600622.0,100710.1274,48.4967,7.8173,50.0
2021-09-30,2284.35,381609.0,104030.0163,50.0954,8.075,50.0
2021-10-31,2100.9,254753.0,95675.6457,46.0724,7.4265,50.0
2021-11-30,2058.7,236658.0,93753.8444,45.1469,7.2773,50.0
2021-12-31,2045.45,283034.0,93150.4353,44.8564,7.2305,50.0
2022-01-31,1930.8,176021.0,87929.2383,42.3421,6.8252,50.0
2022-02-28,1886.1,410105.0,85893.5862,41.3618,6.6672,70.0
2022-03-31,1908.55,236789.0,86915.9663,29.9615,6.9008,70.0
2022-04-30,1878.45,113647.0,85545.2028,29.489,6.792,70.0
2022-05-31,1843.15,149977.0,83937.6297,28.9349,6.6644,70.0
2022-06-30,1885.15,426723.0,85850.3229,29.5942,6.8162,70.0
2022-07-31,1945.0,192852.0,88575.9107,30.5338,7.0326,70.0
2022-08-31,1940.65,251087.0,88377.8104,30.4655,7.0169,70.0
2022-09-30,2205.65,853274.0,100445.9936,34.6256,7.9751,70.0
2022-10-31,2132.3,245961.0,97105.6115,33.4741,7.7099,70.0
2022-11-30,2284.75,506987.0,104048.2324,35.8673,8.2611,70.0
2022-12-31,2219.55,359599.0,101079.0039,34.8438,8.0253,70.0
2023-01-31,2244.9,236552.0,102233.4509,35.2418,8.117,70.0
2023-02-28,2150.45,311331.0,97932.1682,33.759,7.7755,60.0
2023-03-31,2300.55,274813.0,104767.7694,31.266,7.9593,60.0
2023-04-30,2324.7,227741.0,105867.568,31.5942,8.0428,60.0
2023-05-31,2453.65,457451.0,111739.9914,33.3467,8.4889,60.0
2023-06-30,2432.85,214505.0,110792.7529,33.064,8.417,60.0
2023-07-31,2775.2,503508.0,126383.4794,37.7168,9.6014,65.0
2023-08-31,2747.5,459344.0,125122.0127,37.3403,9.5056,65.0
2023-09-30,2508.6,337686.0,114242.4317,34.0935,8.6791,65.0
2023-10-31,2416.25,255642.0,110036.7837,32.8384,8.3596,65.0
2023-11-30,2449.35,330924.0,111544.1681,33.2883,8.4741,65.0
2023-12-31,2607.45,385542.0,118744.0917,35.4369,9.0211,65.0
2024-01-31,2612.2,367305.0,118960.4082,35.5015,9.0375,65.0
2024-02-29,2516.1,699482.0,114583.9841,34.1954,8.705,90.0
2024-03-31,2384.7,347530.0,108599.9868,25.4558,8.166,90.0
2024-04-30,2449.85,234068.0,111566.9383,26.1513,8.3891,90.0
2024-05-31,2565.55,308559.0,116835.9526,27.3863,8.7853,90.0
2024-06-30,2835.4,382150.0,129125.0063,30.2669,9.7094,90.0
2024-07-31,2975.85,301915.0,135521.1434,31.7661,10.1903,75.0
2024-08-31,3465.15,599870.0,157804.0191,36.9892,11.8659,75.0
2024-09-30,3773.55,418454.0,171848.6519,40.2813,12.9219,75.0
2024-10-31,4402.3,977572.0,200482.1243,46.993,15.075,75.0
2024-11-30,3707.2,583444.0,168827.0521,39.573,12.6947,145.0
2024-12-31,3588.75,450661.0,163432.8019,38.3086,12.2891,145.0
2025-01-31,3788.1,539639.0,172511.2635,40.4366,12.9717,145.0
2025-02-28,3110.25,296889.0,141641.7616,33.2008,10.6506,95.0
2025-03-31,3598.0,310078.0,163854.0498,38.1508,12.318,95.0
2025-04-30,3454.3,290277.0,157309.9067,36.6271,11.826,95.0
2025-05-31,3345.8,345086.0,152368.7826,35.4766,11.4546,95.0
2025-06-30,3415.3,1692808.0,155533.8344,36.2136,11.6925,95.0
2025-07-31,3771.4,3647102.0,171750.7402,39.9894,12.9116,60.0
2025-08-31,3410.6,842566.0,155319.7949,36.1637,11.6764,216.0
2025-09-30,3309.5,642811.0,150715.6692,35.0917,11.3303,216.0
2025-10-31,3241.7,1003050.0,147628.0359,34.3728,11.0982,216.0
2025-11-30,3310.8,1054331.0,150774.8716,35.1055,11.3348,216.0
2025-12-31,3177.3,19867553.0,144695.2397,33.69,10.8777,216.0
2026-01-31,2800.0,1288238.0,127512.8792,29.6893,9.586,186.0
2026-02-28,2935.3,1029359.0,133674.4837,31.124,10.0492,186.0
2026-03-31,2842.9,90860.0,129466.5542,30.1442,9.7329,186.0
