CANF IN Equity,price,volume,mc,pe,bm,div
2002-11-30,4.79,88760.0,533.6421,2.6943,0.4721,0.4593
2002-12-31,4.94,89827.0,551.0546,2.7822,0.4875,0.4593
2003-01-31,5.08,52638.0,566.4185,2.8597,0.501,0.4593
2003-02-28,5.06,53607.0,564.37,2.8494,0.4992,0.4593
2003-03-31,5.28,126086.0,588.9524,2.7927,0.4588,0.4593
2003-04-30,5.17,408974.0,576.6612,2.7344,0.4493,0.4593
2003-05-31,7.29,530090.0,813.2664,3.8563,0.6336,0.4593
2003-06-30,6.59,754021.0,734.398,3.4824,0.5721,0.4593
2003-07-31,7.63,1363166.0,851.1642,4.036,0.6631,0.4593
2003-08-31,7.0,885948.0,780.4899,3.7009,0.6081,0.4593
2003-09-30,6.55,335194.0,730.3009,3.4629,0.569,0.4593
2003-10-31,6.92,1643866.0,771.2715,3.6572,0.6009,0.4593
2003-11-30,7.26,566223.0,809.1694,3.8369,0.6304,0.4593
2003-12-31,9.26,3890933.0,1032.4591,4.8957,0.8044,0.4593
2004-01-31,7.61,2148922.0,849.1157,4.0263,0.6615,0.4593
2004-02-29,7.6,601927.0,847.0672,4.0166,0.6599,0.4593
2004-03-31,7.5,489390.0,835.8002,4.038,0.6082,0.4593
2004-04-30,8.17,419006.0,910.5716,4.3992,0.6627,0.4593
2004-05-31,7.34,865001.0,818.3877,3.9538,0.5956,0.4593
2004-06-30,6.36,298898.0,708.7914,3.4244,0.5158,0.4593
2004-07-31,6.58,238133.0,733.3737,3.5431,0.5337,0.4593
2004-08-31,6.43,773095.0,716.9855,3.4639,0.5218,0.4593
2004-09-30,6.71,3885734.0,747.7135,3.6124,0.5441,0.4593
2004-10-31,6.75,1481456.0,752.8348,3.6371,0.5479,0.4593
2004-11-30,7.38,2918386.0,822.4848,3.9736,0.5986,0.4593
2004-12-31,9.86,8231311.0,1099.0363,5.3097,0.7998,0.4593
2005-01-31,8.54,14238233.0,952.5665,4.6021,0.6932,0.4593
2005-02-28,9.19,38659746.0,1024.265,4.9485,0.7454,0.4593
2005-03-31,8.1,9951178.0,903.4017,4.2766,0.5921,0.4593
2005-04-30,8.85,10283150.0,987.3915,4.6742,0.6472,0.4593
2005-05-31,8.65,25351906.0,964.8576,4.5676,0.6324,0.4593
2005-06-30,8.47,12679687.0,944.3723,4.4706,0.619,0.4593
2005-07-31,8.57,9960067.0,955.6392,4.5239,0.6264,0.4593
2005-08-31,9.25,19338898.0,1031.4349,4.8827,0.6761,0.4593
2005-09-30,9.77,55884848.0,1089.818,5.1591,0.7143,0.4593
2005-10-31,8.69,10134920.0,968.9547,4.587,0.6351,0.4593
2005-11-30,8.93,5073388.0,995.5856,4.713,0.6526,0.4593
2005-12-31,8.89,15410324.0,991.4885,4.6936,0.6499,0.4593
2006-01-31,9.5,20260837.0,1059.09,5.0137,0.6942,0.4593
2006-02-28,9.46,35016140.0,1054.993,4.9943,0.6915,0.4593
2006-03-31,9.02,8172566.0,1005.8282,0.8122,0.5792,0.4593
2006-04-30,9.53,10651386.0,1043.726,0.8577,0.6116,0.4593
2006-05-31,10.46,61322705.0,1166.6378,0.942,0.6717,0.4593
2006-06-30,8.42,12781969.0,939.251,0.7584,0.5408,0.4593
2006-07-31,8.81,3234060.0,982.2701,0.7932,0.5656,0.4593
2006-08-31,9.53,4543031.0,1063.1871,0.8585,0.6122,0.4593
2006-09-30,9.74,8906680.0,1085.7209,0.8767,0.6252,0.4593
2006-10-31,10.38,9448670.0,1157.4195,0.9346,0.6664,0.4593
2006-11-30,11.19,9610061.0,1247.5548,1.0074,0.7183,0.4593
2006-12-31,12.28,7428278.0,1369.4423,1.1058,0.7885,0.4593
2007-01-31,12.6,6643534.0,1405.2916,1.1348,0.8092,0.4593
2007-02-28,11.75,2680117.0,1310.0349,1.0578,0.7543,0.4593
2007-03-31,11.24,3033013.0,1253.7004,4.1661,0.7903,0.4593
2007-04-30,10.71,2456393.0,1194.293,3.9687,0.7528,0.4593
2007-05-31,10.58,3417677.0,1179.9533,3.921,0.7438,0.4593
2007-06-30,10.49,3146884.0,1169.7106,3.887,0.7373,0.4593
2007-07-31,10.15,8452569.0,1131.8128,3.7611,0.7134,0.4593
