ACC IN Equity,price,volume,mc,pe,bm,div
2003-07-31,194.15,12013954.0,33262.5556,27.335,2.9544,2.5
2003-08-31,212.4,26350011.0,36389.2187,29.9045,3.2321,2.5
2003-09-30,203.1,28858789.0,34795.9054,28.5952,3.0906,2.5
2003-10-31,214.2,41042768.0,36697.6019,30.158,3.2595,2.5
2003-11-30,227.05,36576962.0,38899.1154,31.9672,3.4551,2.5
2003-12-31,245.55,27021535.0,42068.6095,34.5718,3.7366,2.5
2004-01-31,255.35,44114343.0,43747.5847,35.9516,3.8857,2.5
2004-02-29,259.8,34187129.0,44509.9765,36.5781,3.9534,2.5
2004-03-31,254.55,23299959.0,43610.5255,19.8177,3.1907,2.5
2004-04-30,279.95,15668997.0,47962.1552,21.7952,3.509,2.5
2004-05-31,237.0,24010773.0,40603.7892,18.4514,2.9707,2.5
2004-06-30,242.0,15273732.0,42881.4318,18.8407,3.0334,4.0
2004-07-31,239.6,15845117.0,42456.1614,18.6538,3.0033,4.0
2004-08-31,269.25,19458052.0,47710.0228,20.9622,3.3749,4.0
2004-09-30,266.9,11377726.0,47293.6122,20.7792,3.3455,4.0
2004-10-31,256.2,8618682.0,45397.615,19.9462,3.2113,4.0
2004-11-30,286.8,6286865.0,50819.8126,22.3285,3.5949,4.0
2004-12-31,338.7,14853962.0,60016.2849,26.3692,4.2454,4.0
2005-01-31,357.3,91425247.0,63312.1305,27.8172,4.4786,4.0
2005-02-28,367.5,39402637.0,65119.5297,28.6114,4.6064,4.0
2005-03-31,360.55,26229675.0,64370.3279,28.0703,4.5193,4.0
2005-04-30,360.6,10890290.0,64379.2546,28.0742,4.5199,4.0
2005-05-31,376.7,15896846.0,67253.6473,29.3276,4.7218,4.0
2005-06-30,379.6,12421996.0,67832.1672,29.5534,4.7581,7.0
2005-07-31,430.4,24457057.0,77014.746,33.5084,5.3949,7.0
2005-08-31,478.4,22073097.0,85627.7164,37.2454,5.9965,7.0
2005-09-30,487.15,21965642.0,88797.6048,37.9266,6.1062,7.0
2005-10-31,445.3,24292729.0,81503.9719,34.6684,5.5816,7.0
2005-11-30,510.8,21012323.0,93978.1042,39.7678,6.4026,7.0
2005-12-31,534.1,22512511.0,98402.4239,41.0446,4.5798,7.0
2006-01-31,574.2,21665099.0,105944.6663,,4.9237,7.0
2006-02-28,626.3,19818297.0,115985.1866,,5.3704,7.0
2006-03-31,782.2,56152930.0,145306.5522,,6.7073,8.0
2006-04-30,1013.75,66723337.0,177372.694,,8.6928,8.0
2006-05-31,762.9,74627293.0,142378.8084,,6.5418,8.0
2006-06-30,783.95,58265273.0,146517.3554,,6.7223,8.0
2006-07-31,843.8,44379395.0,157703.099,,7.2355,8.0
2006-08-31,909.75,28137904.0,170088.1293,,7.801,8.0
2006-09-30,993.45,19198984.0,185736.7981,,8.5187,8.0
2006-10-31,966.8,14595993.0,180798.9466,,8.2902,8.0
2006-11-30,1129.0,25257687.0,211311.3102,,9.681,8.0
2006-12-31,1086.55,19966878.0,203380.9682,16.5735,6.4298,8.0
2007-01-31,1020.4,13711375.0,191098.6735,15.5645,6.0383,8.0
2007-02-28,902.0,23575136.0,168945.5937,13.7585,5.3377,8.0
2007-03-31,735.25,50671605.0,137713.135,11.215,4.3509,15.0
2007-04-30,839.2,30332568.0,157240.8231,12.8006,4.966,15.0
2007-05-31,850.85,17305599.0,159423.6824,12.9783,5.035,15.0
2007-06-30,934.95,18580397.0,175195.9858,14.2611,5.5327,15.0
2007-07-31,1063.85,38230382.0,199349.9647,16.2273,6.2954,15.0
2007-08-31,1067.45,24901312.0,200031.7026,16.2822,6.3167,20.0
2007-09-30,1197.1,17170227.0,224371.0195,18.2598,7.0839,20.0
2007-10-31,1077.3,23350429.0,202035.7663,16.4324,6.375,20.0
2007-11-30,1090.4,12155783.0,204507.7844,16.6323,6.4525,20.0
2007-12-31,1024.8,11355196.0,192272.1579,13.4559,4.6194,20.0
2008-01-31,768.1,21095798.0,144114.7625,10.0853,3.4623,20.0
2008-02-29,795.95,14706596.0,149346.41,10.451,3.5879,20.0
2008-03-31,826.15,12369055.0,155014.2473,10.8476,3.724,20.0
2008-04-30,758.65,10382858.0,142353.0855,9.9613,3.4197,20.0
2008-05-31,661.3,12664508.0,124086.3316,8.683,2.9809,20.0
2008-06-30,525.5,17312141.0,98606.1347,6.8999,2.3688,20.0
2008-07-31,583.4,17658046.0,109475.7097,7.6602,2.6298,20.0
2008-08-31,562.35,9791979.0,105525.875,7.3838,2.5349,20.0
2008-09-30,614.95,10226036.0,115397.278,8.0744,2.772,20.0
2008-10-31,493.75,7402341.0,92654.1659,6.4831,2.2256,20.0
2008-11-30,405.6,9370187.0,76112.4652,5.3256,1.8283,20.0
2008-12-31,480.15,12235255.0,90105.427,8.1937,1.868,20.0
2009-01-31,506.4,11841838.0,95042.1142,8.6416,1.9701,20.0
2009-02-28,540.05,15398151.0,101358.154,9.2159,2.101,20.0
2009-03-31,574.4,18571705.0,107805.7455,9.802,2.2346,20.0
2009-04-30,654.35,15229374.0,122811.5484,11.1664,2.5457,20.0
2009-05-31,782.5,18460562.0,146863.3554,13.3532,3.0442,20.0
2009-06-30,765.75,17744268.0,143727.4519,13.0674,2.9791,20.0
2009-07-31,880.8,18143294.0,165322.7301,15.0307,3.4266,20.0
2009-08-31,807.0,18523013.0,151475.1166,13.7713,3.1395,20.0
2009-09-30,820.25,13445044.0,153963.3882,13.9974,3.1911,20.0
2009-10-31,750.65,10074324.0,140901.8134,12.8097,2.9203,20.0
2009-11-30,797.65,11775367.0,149727.7632,13.6118,3.1032,20.0
2009-12-31,872.45,11688347.0,163794.0207,10.4711,2.7904,20.0
2010-01-31,871.7,12214714.0,163653.2155,10.4621,2.788,20.0
2010-02-28,923.1,9102711.0,173307.405,11.079,2.9524,20.0
2010-03-31,951.05,12402086.0,178554.8776,11.4144,3.0418,23.0
2010-04-30,905.05,11175357.0,169918.6078,10.8623,2.8947,23.0
2010-05-31,818.55,8907974.0,153678.6658,9.8242,2.618,23.0
2010-06-30,878.1,8489127.0,164858.8802,10.5389,2.8085,23.0
2010-07-31,831.0,10051557.0,156016.0909,9.9736,2.6578,23.0
2010-08-31,870.35,7494642.0,163403.8565,10.4459,2.7837,23.0
2010-09-30,989.85,15942480.0,185839.3834,11.8801,3.1659,23.0
2010-10-31,985.35,10449934.0,184994.5309,11.8261,3.1515,23.0
2010-11-30,983.8,9173437.0,184703.5262,11.8075,3.1465,23.0
2010-12-31,1075.6,12382641.0,201938.9599,18.7419,3.2152,23.0
2011-01-31,991.65,5997166.0,186177.733,17.2791,2.9643,23.0
2011-02-28,969.35,11248465.0,181991.0104,16.8906,2.8976,23.0
2011-03-31,1074.55,6713615.0,201741.8389,18.7236,3.2121,30.5
2011-04-30,1112.8,6435927.0,208923.1008,19.3901,3.3264,30.5
2011-05-31,1027.25,5687461.0,192861.4694,17.8995,3.0707,30.5
2011-06-30,950.45,3786078.0,178442.6222,16.5612,2.8411,30.5
2011-07-31,1011.6,6216225.0,189923.2538,17.6268,3.0239,30.5
2011-08-31,1002.8,5664883.0,188271.0942,17.4734,2.9976,31.5
2011-09-30,1098.55,8240321.0,206247.7287,19.1418,3.2838,31.5
2011-10-31,1195.05,5550537.0,224365.1605,20.8233,3.5723,31.5
2011-11-30,1144.3,6150332.0,214837.0811,19.939,3.4206,31.5
2011-12-31,1136.9,5996003.0,213447.7533,16.4079,3.0584,31.5
2012-01-31,1193.2,6814701.0,224017.808,17.2204,3.2099,31.5
2012-02-29,1306.05,12064407.0,245204.9007,18.849,3.5134,31.5
2012-03-31,1359.45,8649968.0,255230.482,19.6197,3.6571,28.0
2012-04-30,1237.15,9740506.0,232269.2304,17.8547,3.3281,28.0
2012-05-31,1140.95,9277451.0,214208.1105,16.4663,3.0693,28.0
2012-06-30,1268.05,12419781.0,238070.5752,18.3006,3.4112,28.0
2012-07-31,1324.2,8252512.0,248612.4564,19.111,3.5623,28.0
2012-08-31,1308.5,4891000.0,245664.8652,18.8844,3.52,28.0
2012-09-30,1470.05,5581703.0,275995.1474,21.2159,3.9546,28.0
2012-10-31,1379.05,9019572.0,258910.3154,19.9026,3.7098,28.0
2012-11-30,1383.9,4431858.0,259820.8689,19.9726,3.7229,28.0
2012-12-31,1432.2,5347998.0,268888.9603,25.3846,3.6472,28.0
2013-01-31,1323.1,7510276.0,248405.9481,23.4509,3.3694,28.0
2013-02-28,1272.55,10241434.0,238915.4295,22.5549,3.2407,28.0
2013-03-31,1159.2,7844978.0,217634.4642,20.5459,2.952,30.0
2013-04-30,1233.3,5267222.0,231546.4223,21.8593,3.1407,30.0
2013-05-31,1218.75,5718973.0,228814.7149,21.6014,3.1037,30.0
2013-06-30,1222.65,5604266.0,229546.866,21.6705,3.1136,30.0
2013-07-31,1173.55,6849018.0,220328.5805,20.8002,2.9885,30.0
2013-08-31,964.1,9057298.0,181005.3029,17.0879,2.4552,30.0
2013-09-30,1111.95,8234809.0,208763.4428,19.7084,2.8317,30.0
2013-10-31,1134.85,7945468.0,213062.8233,20.1143,2.89,30.0
2013-11-30,1096.6,7032139.0,205881.5632,19.4364,2.7926,30.0
2013-12-31,1108.75,4883019.0,208162.6694,19.0147,2.6642,30.0
2014-01-31,1010.85,5845299.0,189782.3985,17.3358,2.4289,30.0
2014-02-28,1104.9,5196755.0,207439.8497,18.9487,2.6549,30.0
2014-03-31,1399.55,7044444.0,262759.0322,24.0019,3.3629,30.0
2014-04-30,1293.0,7170632.0,242754.7522,22.1746,3.1069,30.0
2014-05-31,1337.0,9946573.0,251015.5481,22.9292,3.2126,30.0
2014-06-30,1469.25,7701647.0,275844.8721,25.1972,3.5304,30.0
2014-07-31,1395.9,6050655.0,262073.7499,23.9393,3.3542,34.0
2014-08-31,1492.55,7281826.0,280219.3508,25.5968,3.5864,34.0
2014-09-30,1399.55,8209321.0,262759.0322,24.0019,3.3629,34.0
2014-10-31,1499.25,5562202.0,281477.233,25.7117,3.6025,34.0
2014-11-30,1475.35,5404974.0,276990.1188,25.3018,3.5451,34.0
2014-12-31,1400.15,9253994.0,262871.6677,22.6269,3.1989,34.0
2015-01-31,1560.45,8302281.0,292967.2374,25.2174,3.5651,34.0
2015-02-28,1678.1,11699133.0,315054.8763,27.1186,3.8339,34.0
2015-03-31,1562.75,7589006.0,293399.0634,25.2545,3.5703,34.0
2015-04-30,1433.7,7268819.0,269170.5128,23.169,3.2755,34.0
2015-05-31,1512.4,6722352.0,283946.0845,24.4409,3.4553,34.0
2015-06-30,1444.55,6630017.0,271207.5734,23.3444,3.3003,34.0
2015-07-31,1387.4,7837422.0,260477.9143,22.4208,3.1697,30.0
2015-08-31,1334.85,7588974.0,250611.8956,21.5716,3.0497,30.0
2015-09-30,1346.75,4993712.0,252846.0654,21.7639,3.0769,30.0
2015-10-31,1379.6,4976510.0,259013.5005,22.2948,3.1519,30.0
2015-11-30,1344.25,4101170.0,252376.702,21.7235,3.0711,30.0
2015-12-31,1360.65,3904882.0,255455.7259,43.4712,3.0335,30.0
2016-01-31,1240.05,3618786.0,232813.647,39.6182,2.7646,30.0
2016-02-29,1193.9,4316199.0,224149.1869,38.1438,2.6617,17.0
2016-03-31,1381.9,7098632.0,259445.3148,44.1502,3.0809,17.0
2016-04-30,1443.15,5596421.0,270944.7182,46.107,3.2174,17.0
2016-05-31,1529.05,5992378.0,287072.0565,48.8514,3.4089,17.0
2016-06-30,1616.05,8376257.0,303473.6164,51.631,3.6029,17.0
2016-07-31,1688.7,6930806.0,317116.3375,53.9521,3.7649,17.0
2016-08-31,1709.8,6548528.0,321078.6722,54.6262,3.8119,17.0
2016-09-30,1599.85,5985654.0,300431.4511,51.1134,3.5668,17.0
2016-10-31,1517.75,6569331.0,285014.1168,48.4904,3.3838,17.0
2016-11-30,1342.4,16405346.0,252085.6205,42.8882,2.9928,17.0
2016-12-31,1331.05,4890828.0,249954.2468,37.9649,2.8361,17.0
2017-01-31,1413.5,7165289.0,265437.2948,40.3166,3.0117,17.0
2017-02-28,1411.5,7376425.0,265061.7203,40.2596,3.0075,17.0
2017-03-31,1446.05,7553971.0,271549.7819,41.245,3.0811,17.0
2017-04-30,1626.55,9030297.0,305445.3827,46.3933,3.4657,17.0
2017-05-31,1637.05,9528855.0,307417.1372,46.6928,3.4881,17.0
2017-06-30,1568.05,7146555.0,294459.8161,44.7248,3.341,17.0
2017-07-31,1733.2,12182227.0,325472.8824,49.4353,3.6929,17.0
2017-08-31,1800.25,8973508.0,338064.0183,51.3477,3.8358,17.0
2017-09-30,1656.9,11264297.0,311144.7143,47.259,3.5303,17.0
2017-10-31,1809.5,8760909.0,339801.0505,51.6115,3.8555,17.0
2017-11-30,1667.9,7307297.0,313210.3843,47.5727,3.5538,17.0
2017-12-31,1758.4,8576215.0,330205.1321,35.7181,3.5483,17.0
2018-01-31,1715.25,7313399.0,322102.1114,34.8416,3.4612,17.0
2018-02-28,1623.05,7786210.0,304787.89,32.9687,3.2752,17.0
2018-03-31,1507.5,5702391.0,283089.0879,30.6216,3.042,17.0
2018-04-30,1587.15,6286741.0,298046.3323,32.2395,3.2027,17.0
2018-05-31,1354.6,13851629.0,254376.4368,27.5157,2.7335,15.0
2018-06-30,1339.9,12399138.0,251615.9661,27.2171,2.7038,15.0
2018-07-31,1529.75,23008175.0,287267.3514,31.0735,3.0869,15.0
2018-08-31,1638.75,13881832.0,307736.1478,33.2876,3.3069,15.0
2018-09-30,1552.35,12392323.0,291511.3404,31.5326,3.1325,15.0
2018-10-31,1374.8,21220766.0,258169.7367,27.9261,2.7742,15.0
2018-11-30,1485.5,12177006.0,278957.7712,30.1747,2.9976,15.0
2018-12-31,1508.1,11918244.0,283201.7602,18.6254,2.689,15.0
2019-01-31,1423.35,11392796.0,267286.8015,17.5787,2.5379,15.0
2019-02-28,1422.3,17783752.0,267089.625,17.5658,2.536,15.0
2019-03-31,1666.3,20168570.0,312909.6831,20.5792,2.9711,14.0
2019-04-30,1632.05,21377590.0,306477.9741,20.1562,2.91,14.0
2019-05-31,1686.0,15025331.0,316609.0894,20.8225,3.0062,14.0
2019-06-30,1562.15,12570849.0,293351.6542,19.2929,2.7854,14.0
2019-07-31,1560.4,24142931.0,293023.0267,19.2713,2.7822,14.0
2019-08-31,1519.85,15560083.0,285408.2589,18.7705,2.7099,14.0
2019-09-30,1608.15,15923200.0,301989.8619,19.8611,2.8674,14.0
2019-10-31,1568.05,19302125.0,294459.5982,19.3658,2.7959,14.0
2019-11-30,1522.15,15943421.0,285840.1693,18.7989,2.714,14.0
2019-12-31,1445.65,11616809.0,271474.6568,19.7089,2.3517,14.0
2020-01-31,1504.6,17216821.0,282544.7159,20.5126,2.4476,14.0
2020-02-29,1320.85,17034684.0,248038.8063,18.0075,2.1487,14.0
2020-03-31,968.5,24183956.0,181871.9642,13.2038,1.5755,14.0
2020-04-30,1179.1,37562339.0,221419.9618,16.075,1.9181,14.0
2020-05-31,1270.2,29155134.0,238527.3815,17.317,2.0663,14.0
2020-06-30,1332.25,24807741.0,250179.5811,18.1629,2.1672,14.0
2020-07-31,1425.45,35661631.0,267681.354,19.4335,2.3188,14.0
2020-08-31,1321.8,15983683.0,248217.2042,18.0204,2.1502,14.0
2020-09-30,1393.45,21143670.0,261672.1616,18.9973,2.2668,14.0
2020-10-31,1649.0,40253189.0,309661.2049,22.4813,2.6825,14.0
2020-11-30,1705.05,35454194.0,320186.6813,23.2454,2.7737,14.0
2020-12-31,1617.65,37035304.0,303774.0741,21.2402,2.3921,14.0
2021-01-31,1603.85,24992611.0,301182.6098,21.059,2.3717,14.0
2021-02-28,1733.2,26364764.0,325472.8929,22.7574,2.563,14.0
2021-03-31,1903.25,24953786.0,357406.1178,24.9902,2.8144,14.0
2021-04-30,1882.75,24995116.0,353556.4788,24.721,2.7841,14.0
2021-05-31,1986.05,13210205.0,372954.9036,26.0773,2.9369,14.0
2021-06-30,2014.8,8695610.0,378353.7876,26.4548,2.9794,14.0
2021-07-31,2394.1,21832963.0,449581.4863,31.4351,3.5403,14.0
2021-08-31,2413.2,10175803.0,453168.2231,31.6859,3.5685,14.0
2021-09-30,2254.5,8093177.0,423366.3844,29.6022,3.3338,14.0
2021-10-31,2333.4,14335363.0,438182.7995,30.6381,3.4505,14.0
2021-11-30,2286.4,7291919.0,429356.7981,30.021,3.381,14.0
2021-12-31,2215.75,7592310.0,416089.628,22.3339,2.9079,14.0
2022-01-31,2285.75,8123696.0,429234.7364,23.0395,2.9998,14.0
2022-02-28,2089.15,7375476.0,392315.7605,21.0579,2.7418,14.0
2022-03-31,2151.35,10504902.0,403996.1283,21.6848,2.8234,14.0
2022-04-30,2328.9,19993192.0,437337.7568,23.4744,3.0564,58.0
2022-05-31,2198.4,13549188.0,412831.519,22.1591,2.8852,58.0
2022-06-30,2121.95,8210779.0,398475.1827,21.3885,2.7848,58.0
2022-07-31,2227.4,6690111.0,418277.3496,22.4514,2.9232,58.0
2022-08-31,2299.7,8651926.0,431854.3687,23.1801,3.0181,58.0
2022-09-30,2415.65,41339574.0,453628.3019,24.3489,3.1703,58.0
2022-10-31,2390.3,12962099.0,448867.8947,24.0933,3.137,58.0
2022-11-30,2563.25,11168713.0,481345.7019,25.8366,3.364,58.0
2022-12-31,2441.6,8661575.0,458501.3813,24.6104,3.2043,58.0
2023-01-31,1968.3,16532587.0,369621.6698,19.8397,2.5832,58.0
2023-02-28,1731.7,33089559.0,325191.2033,17.4549,2.2727,58.0
2023-03-31,1667.2,16179196.0,313078.9249,64.0492,2.2144,58.0
2023-04-30,1762.85,7943935.0,331040.7766,67.7238,2.3414,58.0
2023-05-31,1777.2,15934664.0,333735.5238,68.2751,2.3605,58.0
2023-06-30,1813.7,11960468.0,340589.7589,69.6773,2.409,0.0
2023-07-31,2017.9,16083603.0,378935.918,77.5221,2.6802,9.25
2023-08-31,2005.75,18894817.0,376654.3028,77.0553,2.664,9.25
2023-09-30,2012.25,10965061.0,377874.92,77.305,2.6727,9.25
2023-10-31,1888.2,7307422.0,354579.91,72.5394,2.5079,9.25
2023-11-30,1875.55,8245580.0,352204.4011,72.0534,2.4911,9.25
2023-12-31,2211.25,17444996.0,415244.5853,84.9501,2.937,9.25
2024-01-31,2544.3,14596340.0,477787.1333,97.7449,3.3793,9.25
2024-02-29,2629.3,10062030.0,493749.0506,101.0104,3.4922,9.25
2024-03-31,2491.7,5468417.0,467909.5232,20.0396,2.8656,9.25
2024-04-30,2531.8,11057028.0,475439.7925,20.3621,2.9118,9.25
2024-05-31,2546.4,10268855.0,478181.4865,20.4796,2.9286,9.25
2024-06-30,2619.05,11515946.0,491824.2312,21.0639,3.0121,7.5
2024-07-31,2590.65,11984953.0,486491.0729,20.8354,2.9794,7.5
2024-08-31,2329.15,8083029.0,437384.7036,18.7323,2.6787,7.5
2024-09-30,2513.45,8924250.0,471993.8962,20.2146,2.8907,7.5
2024-10-31,2320.4,7354458.0,435741.5651,18.6619,2.6686,7.5
2024-11-30,2222.55,9574264.0,417366.5814,17.875,2.5561,7.5
2024-12-31,2052.5,6181315.0,385433.3573,16.5073,2.3605,7.5
2025-01-31,2007.65,8390741.0,377011.0986,16.1466,2.309,7.5
2025-02-28,1818.55,5397861.0,341500.5271,14.6258,2.0915,7.5
2025-03-31,1942.65,6357427.0,364804.9265,15.1864,1.9661,7.5
2025-04-30,1888.0,7168580.0,354542.3525,14.7592,1.9108,7.5
2025-05-31,1882.8,10191610.0,353565.8588,14.7186,1.9055,7.5
2025-06-30,1917.2,8153429.0,360025.7406,14.9875,1.9403,7.5
2025-07-31,1788.4,11358164.0,335838.7411,13.9806,1.81,7.5
2025-08-31,1801.8,5701811.0,338355.0905,14.0854,1.8235,7.5
2025-09-30,1824.7,4952533.0,342655.4188,14.2644,1.8467,7.5
2025-10-31,1881.5,5169275.0,353321.7353,14.7084,1.9042,7.5
2025-11-30,1850.6,8124928.0,347519.1089,14.4669,1.8729,7.5
2025-12-31,1737.7,5020940.0,326317.9269,13.5843,1.7587,7.5
2026-01-31,1636.9,3812668.0,307388.9708,12.7963,1.6567,7.5
2026-02-28,1592.4,2743599.0,299032.4376,12.4484,1.6116,7.5
2026-03-31,1525.0,705983.0,286375.5761,11.9215,1.5434,7.5
