HMFC IN Equity,price,volume,mc,pe,bm,div
1999-01-31,52.0,2499480.0,3362.1639,,,0.7
1999-02-28,63.7,6601870.0,4118.6508,,,0.7
1999-03-31,86.1,11558260.0,5566.9675,,,0.7
1999-04-30,53.05,3910010.0,3430.0537,,,0.7
1999-05-31,65.8,3251860.0,4254.4304,,,0.7
1999-06-30,88.0,4198830.0,5689.8158,,,0.7
1999-07-31,146.1,10157086.0,9446.3874,,,0.7
1999-08-31,208.2,12295300.0,13461.5869,,,1.0
1999-09-30,252.0,23664095.0,16293.5634,,,1.0
1999-10-31,296.0,35188290.0,19138.4713,,,1.0
1999-11-30,432.9,63803915.0,27990.0143,,,1.0
1999-12-31,677.5,61727540.0,43805.1159,,,1.0
2000-01-31,970.0,48346506.0,62717.2878,,,1.0
2000-02-29,1755.5,74482191.0,113505.3594,,,1.0
2000-03-31,1692.85,57131960.0,109454.5985,,,1.0
2000-04-30,834.15,26312416.0,53933.6346,,,5.0
2000-05-31,1036.25,65403790.0,67000.8138,,,5.0
2000-06-30,1419.9,88997187.0,101745.771,,,5.0
2000-07-31,1363.9,79229810.0,97732.9791,,,5.0
2000-08-31,1418.25,93429345.0,101627.537,,,5.0
2000-09-30,1359.55,99720932.0,97421.2757,,,5.0
2000-10-31,1234.1,91978743.0,88431.9008,,,5.0
2000-11-30,1377.5,108740915.0,98707.5143,,,5.0
2000-12-31,1277.0,115324623.0,91505.986,,,5.0
2001-01-31,1183.9,135097576.0,93317.3641,,,5.0
2001-02-28,670.4,138651884.0,52842.2679,,,5.0
2001-03-31,158.6,101041037.0,12501.169,,,5.0
2001-04-30,156.4,62395604.0,12327.7606,,,5.0
2001-05-31,153.8,99083352.0,12122.8234,,,5.0
2001-06-30,88.6,72219791.0,6983.6291,,,0.0
2001-07-31,55.85,43146375.0,4402.2086,,,0.0
2001-08-31,52.1,32057396.0,4106.6261,,,0.0
2001-09-30,32.3,23780340.0,2545.9506,,,0.0
2001-10-31,52.15,45213312.0,4110.5672,,,0.0
2001-11-30,89.65,96166406.0,7066.3922,,,0.0
2001-12-31,87.8,187803297.0,6920.5715,,,0.0
2002-01-31,83.5,155016650.0,6581.6534,,,0.0
2002-02-28,74.0,48829957.0,5832.8426,,,0.0
2002-03-31,67.7,26991285.0,5336.2627,,0.2497,0.0
2002-04-30,65.3,42566389.0,5147.0895,,0.2409,0.0
2002-05-31,54.75,40486880.0,4315.5153,,0.2019,0.0
2002-06-30,66.95,67557095.0,5277.1461,,0.2469,0.0
2002-07-31,50.0,37898137.0,3941.1098,,0.1844,0.0
2002-08-31,45.75,26798381.0,3606.1155,,0.1687,0.0
2002-09-30,42.75,63835801.0,5695.2275,,0.1577,0.0
2002-10-31,34.55,96558841.0,4602.8096,,0.1274,0.0
2002-11-30,41.65,56010855.0,5548.6836,,0.1536,0.0
2002-12-31,38.3,52762626.0,5102.3909,,0.1413,0.0
2003-01-31,30.75,40981046.0,4096.5671,,0.1134,0.0
2003-02-28,25.75,30351062.0,3505.5716,,0.095,0.0
2003-03-31,11.5,53696608.0,1633.1093,,0.1547,0.0
2003-04-30,16.95,82181514.0,2422.5703,,0.228,0.0
2003-05-31,31.0,91968130.0,5247.9311,,0.417,0.0
2003-06-30,33.15,99715354.0,5786.233,,0.4459,0.0
2003-07-31,33.7,87993874.0,8353.5592,,0.4533,0.0
2003-08-31,27.1,55490843.0,6717.5506,,0.3645,0.0
2003-09-30,20.3,122750206.0,5031.966,,0.273,0.0
2003-10-31,12.95,33340445.0,3210.0472,,0.1742,0.0
2003-11-30,16.37,17553969.0,4070.5643,,0.2202,0.0
2003-12-31,22.4,48173553.0,5569.9841,,0.3013,0.0
2004-01-31,17.0,32305988.0,4671.4063,,0.2287,0.0
2004-02-29,14.15,9208743.0,3907.6822,,0.1903,0.0
2004-03-31,12.24,26132711.0,3380.2141,,0.3713,0.0
2004-04-30,12.19,22735836.0,3817.0804,,0.3698,0.0
2004-05-31,8.85,20547534.0,2771.2192,,0.2685,0.0
2004-06-30,8.4,29764554.0,2758.6104,,0.2548,0.0
2004-07-31,9.76,43143683.0,3205.2426,,0.2961,0.0
2004-08-31,8.43,11746949.0,2779.9291,,0.2557,0.0
2004-09-30,8.02,14424184.0,2644.725,,0.2433,0.0
2004-10-31,7.86,15107222.0,2591.9624,,0.2384,0.0
2004-11-30,8.64,19508187.0,2849.18,,0.2621,0.0
2004-12-31,18.4,79344807.0,6067.6982,,0.5582,0.0
2005-01-31,20.55,552095472.0,6776.6955,,0.6234,0.0
2005-02-28,20.4,324868275.0,6727.2306,,0.6189,0.0
2005-03-31,17.2,348051881.0,5671.9787,,0.8101,0.0
2005-04-30,15.55,208741747.0,5127.8645,,0.7324,0.0
2005-05-31,18.8,362952160.0,6199.6047,,0.8855,0.0
2005-06-30,19.2,364716047.0,6331.5111,,0.9043,0.0
2005-07-31,22.45,529296063.0,7533.3692,,1.0574,0.0
2005-08-31,25.35,563044969.0,8506.4993,,1.194,0.0
2005-09-30,22.9,349604181.0,7850.6075,,1.0786,0.0
2005-10-31,21.0,203453744.0,7199.2471,,0.9891,0.0
2005-11-30,19.6,102041050.0,6862.6988,,0.9232,0.0
2005-12-31,19.1,108967104.0,6687.63,,0.8996,0.0
2006-01-31,18.5,81037402.0,6477.5474,,0.8714,0.0
2006-02-28,22.9,187291385.0,8018.1532,,1.0786,0.0
2006-03-31,25.65,147479288.0,8981.0319,,1.1705,0.0
2006-04-30,33.8,312147444.0,11221.9131,,,0.0
2006-05-31,29.35,359238013.0,10276.5414,,,0.0
2006-06-30,24.85,100897195.0,8700.9217,,,0.0
2006-07-31,25.75,61241681.0,9016.0457,,,0.0
2006-08-31,26.05,96530548.0,10762.8022,,,0.0
2006-09-30,27.3,103740125.0,11279.2514,,,0.0
2006-10-31,24.55,50734222.0,10166.8669,,,0.0
2006-11-30,24.1,101224477.0,10021.146,,,0.0
2006-12-31,22.8,40083133.0,9480.5862,,,0.0
2007-01-31,26.4,198825939.0,11511.6907,,,0.0
2007-02-28,24.45,245328232.0,10661.3953,,,0.0
2007-03-31,22.25,83003281.0,9852.1599,,,0.0
2007-04-30,23.25,108597342.0,10294.9536,,,0.0
2007-05-31,22.1,182778820.0,9785.7408,,,0.0
2007-06-30,23.5,79097492.0,10405.652,,,0.0
2007-07-31,22.7,176823532.0,10051.417,,,0.0
2007-08-31,20.35,191431773.0,9010.8518,,,0.0
2007-09-30,26.7,595211371.0,11822.6,,,0.0
2007-10-31,26.5,578735360.0,11734.0412,,,0.0
2007-11-30,27.3,341455768.0,12088.2764,,,0.0
2007-12-31,46.85,452586236.0,20744.8992,,,0.0
2008-01-31,25.7,490332375.0,11379.806,,,0.0
2008-02-29,22.75,211428079.0,10073.5636,,,0.0
2008-03-31,19.15,153127414.0,8479.5052,,,0.0
2008-04-30,20.75,164055706.0,9187.9756,,,0.0
2008-05-31,18.6,161439173.0,8235.9685,,,0.0
2008-06-30,14.9,106376669.0,6597.6307,,,0.0
2008-07-31,17.4,143385415.0,7704.6157,,,0.0
2008-08-31,15.35,89857925.0,6796.888,,,0.0
2008-09-30,10.7,74015780.0,4737.8959,,,0.0
2008-10-31,7.35,75780719.0,3254.5359,,,0.0
2008-11-30,6.7,34417214.0,2966.7198,,,0.0
2008-12-31,10.15,65432997.0,4494.3592,,,0.0
2009-01-31,8.15,80014382.0,3608.7712,,,0.0
2009-02-28,7.95,38046065.0,3520.2124,,,0.0
2009-03-31,8.0,40294831.0,3542.3521,,,0.0
2009-04-30,8.8,46106842.0,3896.5873,,,0.0
2009-05-31,13.65,87121050.0,6044.1382,,,0.0
2009-06-30,12.45,123016445.0,5512.7854,,,0.0
2009-07-31,12.05,83618900.0,5335.6678,,,0.0
2009-08-31,13.95,158258469.0,6176.9764,,,0.0
2009-09-30,13.2,118723722.0,5844.8809,,,0.0
2009-10-31,10.4,78275876.0,4605.0577,,,0.0
2009-11-30,10.0,44963796.0,4427.9401,,,0.0
2009-12-31,11.1,83462507.0,4915.0135,,,0.0
2010-01-31,14.65,338762151.0,6486.9322,,,0.0
2010-02-28,13.5,312964500.0,5977.7191,,,0.0
2010-03-31,12.45,30926805.0,5512.7854,,,0.0
2010-04-30,11.95,17159827.0,5530.3847,,,0.0
2010-05-31,10.2,16149929.0,4720.4958,,,0.0
2010-06-30,11.25,69751191.0,5206.4291,,,0.0
2010-07-31,10.0,43079594.0,4627.937,,,0.0
2010-08-31,10.55,103450416.0,4882.4735,,,0.0
2010-09-30,11.2,86786138.0,5183.2895,,,0.0
2010-10-31,10.8,46195250.0,4998.172,,,0.0
2010-11-30,11.6,335659183.0,5368.4069,,,0.0
2010-12-31,11.1,27724154.0,5137.0101,,,0.0
2011-01-31,10.05,15590915.0,4651.0767,,,0.0
2011-02-28,9.4,14625992.0,4350.2608,,,0.0
2011-03-31,12.1,58249222.0,12007.9834,,,0.0
2011-04-30,19.65,321856931.0,19500.5681,,,0.0
2011-05-31,18.2,239633651.0,18061.5949,,,0.0
2011-06-30,16.35,243897521.0,16225.6636,,,0.0
2011-07-31,15.5,64416944.0,15382.1275,,,0.0
2011-08-31,12.1,48161502.0,12007.9834,,,0.0
2011-09-30,11.2,28210830.0,11114.8276,,,0.0
2011-10-31,13.1,30998184.0,13000.3788,,,0.0
2011-11-30,11.1,38221844.0,11015.5881,,,0.0
2011-12-31,10.6,35286174.0,13137.3983,,,0.0
2012-01-31,13.5,52046925.0,16731.5922,,,0.0
2012-02-29,13.95,79478218.0,17289.3119,,,0.0
2012-03-31,11.75,40828398.0,14562.6806,,34.382,0.0
2012-04-30,11.05,17370180.0,13695.1167,,32.3337,0.0
2012-05-31,11.35,47533968.0,14066.9298,,33.2116,0.0
2012-06-30,11.3,29097648.0,14004.9609,,33.0653,0.0
2012-07-31,11.85,62160823.0,14686.6183,,34.6746,0.0
2012-08-31,10.9,26753634.0,13509.2101,,31.8948,0.0
2012-09-30,11.25,28277413.0,13942.9921,,32.919,0.0
2012-10-31,10.8,36927395.0,13385.2724,,31.6022,0.0
2012-11-30,10.2,31972371.0,12641.6462,,29.8465,0.0
2012-12-31,9.8,39094056.0,12145.8953,,28.6761,0.0
2013-01-31,9.5,34055282.0,11774.0822,,27.7982,0.0
2013-02-28,8.25,22265343.0,10224.8609,,24.1406,0.0
2013-03-31,8.2,38530861.0,10162.892,20.0,10.2936,0.0
2013-04-30,9.0,37812028.0,11154.3937,21.9512,11.2979,0.0
2013-05-31,7.55,23847374.0,9357.2969,18.4146,9.4777,0.0
2013-06-30,7.55,13858505.0,9357.2978,18.4146,9.4777,0.0
2013-07-31,7.8,18488855.0,9667.1421,19.0244,9.7915,0.0
2013-08-31,7.2,12283795.0,8923.5158,17.561,9.0383,0.0
2013-09-30,7.3,18690847.0,9047.4535,17.8049,9.1638,0.0
2013-10-31,8.5,49694268.0,10534.7062,20.7317,10.6702,0.0
2013-11-30,8.0,25553028.0,9915.0176,19.5122,10.0426,0.0
2013-12-31,8.3,21473073.0,10286.8307,20.2439,10.4192,0.0
2014-01-31,8.85,81085078.0,10968.4882,21.5854,11.1096,0.0
2014-02-28,8.0,14907210.0,9915.0176,19.5122,10.0426,0.0
2014-03-31,8.2,19909606.0,10162.893,2.1636,1.8349,0.0
2014-04-30,9.05,46788080.0,11216.3636,2.3879,2.0251,0.0
2014-05-31,14.65,185810385.0,18156.8759,3.8654,3.2782,0.0
2014-06-30,18.15,155326822.0,22494.6961,4.7889,4.0614,0.0
2014-07-31,14.55,127877644.0,18032.9382,3.8391,3.2559,0.0
2014-08-31,13.4,46335608.0,16607.6544,3.5356,2.9985,0.0
2014-09-30,19.9,485384037.0,24663.6062,5.2507,4.453,0.0
2014-10-31,18.45,155409938.0,22866.5093,4.8681,4.1286,0.0
2014-11-30,19.6,235965937.0,24291.7931,5.1715,4.3859,0.0
2014-12-31,18.15,148648909.0,22494.6961,4.7889,4.0614,0.0
2015-01-31,16.9,139974019.0,20945.4746,4.4591,3.7817,0.0
2015-02-28,15.45,93897556.0,19148.3739,4.0765,3.4573,0.0
2015-03-31,13.35,131015929.0,16545.6856,5.1946,1.8862,0.0
2015-04-30,13.45,67750963.0,16669.6233,5.2335,1.9003,0.0
2015-05-31,12.0,38221749.0,14872.5264,4.6693,1.6954,0.0
2015-06-30,11.55,83357412.0,14314.8066,4.4942,1.6319,0.0
2015-07-31,13.25,81454462.0,16421.7479,5.1556,1.872,0.0
2015-08-31,13.25,122040514.0,16421.7479,5.1556,1.872,0.0
2015-09-30,16.45,88609106.0,20387.7549,6.4008,2.3242,0.0
2015-10-31,15.9,89706549.0,19706.0974,6.1868,2.2465,0.0
2015-11-30,19.15,94334336.0,23734.0733,7.4514,2.7056,0.0
2015-12-31,20.55,252271269.0,25469.2014,7.9961,2.9034,0.0
2016-01-31,20.85,440801957.0,25841.0146,8.1128,2.9458,0.0
2016-02-29,16.8,152394498.0,20821.5369,6.537,2.3736,0.0
2016-03-31,16.2,149520110.0,20077.9106,12.8571,2.3899,0.0
2016-04-30,18.35,129909472.0,22742.5716,14.5635,2.7071,0.0
2016-05-31,16.8,91949550.0,20821.5369,13.3333,2.4784,0.0
2016-06-30,18.3,132126447.0,22680.6027,14.5238,2.6997,0.0
2016-07-31,17.55,103142693.0,21751.0698,13.9286,2.589,0.0
2016-08-31,17.1,77041339.0,21193.3501,13.5714,2.5227,0.0
2016-09-30,14.85,86933748.0,18404.7514,11.7857,2.1907,0.0
2016-10-31,15.35,65324485.0,19024.44,12.1825,2.2645,0.0
2016-11-30,12.65,59981168.0,15678.1215,10.0397,1.8662,0.0
2016-12-31,12.55,58548898.0,15554.1838,9.9603,1.8514,0.0
2017-01-31,13.9,57561664.0,17227.343,11.0317,2.0506,0.0
2017-02-28,14.1,53304139.0,17475.2185,11.1905,2.0801,0.0
2017-03-31,12.75,58372186.0,15802.0593,12.75,1.6391,0.0
2017-04-30,15.4,149504632.0,19086.4088,15.4,1.9797,0.0
2017-05-31,12.9,61622827.0,15987.9658,12.9,1.6583,0.0
2017-06-30,11.9,32108300.0,14748.5886,11.9,1.5298,0.0
2017-07-31,18.15,242818226.0,22494.6961,18.15,2.3333,0.0
2017-08-31,17.95,165068207.0,22246.8207,17.95,2.3075,0.0
2017-09-30,24.1,786460651.0,29868.9905,24.1,3.0982,0.0
2017-10-31,29.5,229184318.0,36561.6273,29.5,3.7923,0.0
2017-11-30,28.65,178366449.0,35508.1553,28.65,3.6831,0.0
2017-12-31,28.65,217612346.0,35508.1553,28.65,3.6831,0.0
2018-01-31,29.2,381813342.0,36189.8127,29.2,3.7538,0.0
2018-02-28,29.95,172371303.0,37119.347,29.95,3.8502,0.0
2018-03-31,25.85,162294054.0,32037.9005,19.0849,2.7181,0.0
2018-04-30,27.9,119804201.0,34578.6237,20.5984,2.9336,0.0
2018-05-31,25.75,102193474.0,31913.9627,19.0111,2.7076,0.0
2018-06-30,28.95,324991503.0,35879.9698,21.3737,3.044,0.0
2018-07-31,25.95,180075035.0,32161.8382,19.1588,2.7286,0.0
2018-08-31,25.7,164095045.0,31851.9939,18.9742,2.7023,0.0
2018-09-30,19.75,119670407.0,24477.6996,14.5813,2.0767,0.06
2018-10-31,21.1,86710319.0,26150.8588,15.578,2.2186,0.06
2018-11-30,18.1,50493911.0,22432.7272,13.3632,1.9032,0.06
2018-12-31,21.2,64124518.0,26433.7965,15.6519,2.2291,0.06
2019-01-31,22.8,110998335.0,28428.8,16.8331,2.3974,0.06
2019-02-28,21.15,41247733.0,26371.4527,15.615,2.2239,0.06
2019-03-31,22.55,81628421.0,28117.0807,12.7421,1.9933,0.06
2019-04-30,22.15,63321017.0,27618.3298,12.5161,1.958,0.06
2019-05-31,21.15,55715079.0,27063.2339,11.951,1.8696,0.06
2019-06-30,19.5,43131529.0,24951.9178,11.0187,1.7237,0.06
2019-07-31,19.55,51549808.0,25109.5741,11.0469,1.7282,0.06
2019-08-31,18.8,39987246.0,24146.2912,10.6231,1.6619,0.06
2019-09-30,18.0,35334720.0,23118.7895,10.1711,1.5911,0.1
2019-10-31,17.75,36379253.0,22797.6952,10.0298,1.569,0.1
2019-11-30,17.1,38127700.0,21962.85,9.6625,1.5116,0.1
2019-12-31,17.55,72859374.0,22540.8198,9.9168,1.5514,0.1
2020-01-31,16.95,49864006.0,21770.1934,9.5778,1.4983,0.1
2020-02-29,14.55,40231968.0,18687.6882,8.2216,1.2862,0.1
2020-03-31,9.05,78889987.0,11623.6136,5.1132,0.6967,0.1
2020-04-30,10.85,34587618.0,13935.4926,6.1301,0.8352,0.1
2020-05-31,9.5,42804959.0,12201.5833,5.3674,0.7313,0.1
2020-06-30,15.9,177454457.0,20421.5974,8.9833,1.224,0.1
2020-07-31,12.5,84937799.0,16054.7149,7.0624,0.9623,0.1
2020-08-31,15.4,149903157.0,19779.4088,8.7009,1.1855,0.1
2020-09-30,15.85,103591315.0,20357.3785,8.9551,1.2202,0.1
2020-10-31,17.25,109230594.0,22155.5058,9.7461,1.3279,0.1
2020-11-30,18.45,158399264.0,23696.7584,10.4241,1.4203,0.0
2020-12-31,25.8,378998185.0,33136.9304,14.5767,1.9861,0.0
2021-01-31,28.9,439413325.0,37118.4996,16.3282,2.2248,0.0
2021-02-28,29.15,284951649.0,37439.5939,16.4695,2.244,0.0
2021-03-31,25.15,156818306.0,32302.0853,13.5215,1.6857,0.0
2021-04-30,27.8,117146106.0,35705.6847,14.9462,1.8633,0.0
2021-05-31,45.3,971476428.0,58182.2848,24.3548,3.0363,0.0
2021-06-30,67.5,1053800935.0,86695.4575,36.2903,4.5243,0.0
2021-07-31,74.95,528650675.0,96633.8965,40.2957,5.0237,0.0
2021-08-31,68.1,80938126.0,87802.1127,36.6129,4.5645,0.0
2021-09-30,71.4,92096324.0,92056.8407,38.3871,4.7857,0.15
2021-10-31,71.25,110266167.0,91863.4439,38.3065,4.7757,0.15
2021-11-30,71.8,146314413.0,92572.5653,38.6022,4.8125,0.15
2021-12-31,78.8,589318208.0,108474.8366,42.3656,5.2817,0.15
2022-01-31,79.35,625052655.0,109231.9579,42.6613,5.3186,0.15
2022-02-28,72.75,296808596.0,100146.5021,39.1129,4.8762,0.15
2022-03-31,78.7,238133663.0,108337.1782,33.0672,3.8666,0.15
2022-04-30,74.2,233104699.0,102142.5492,31.1765,3.6455,0.15
2022-05-31,62.95,159978328.0,86655.9767,26.4496,3.0928,0.15
2022-06-30,55.15,126479262.0,75983.3714,23.1723,2.7096,0.15
2022-07-31,66.55,209037067.0,91689.8163,27.9622,3.2697,0.15
2022-08-31,74.3,253417206.0,102367.4433,31.2185,3.6504,0.15
2022-09-30,72.85,264453857.0,100369.6937,30.6092,3.5792,0.18
2022-10-31,82.7,252508850.0,113940.6131,34.7479,4.0631,0.18
2022-11-30,79.5,209993157.0,109531.7865,33.4034,3.9059,0.18
2022-12-31,73.7,352585084.0,101540.7883,30.9664,3.621,0.18
2023-01-31,69.3,111282224.0,95478.6516,29.1176,3.4048,0.18
2023-02-28,63.85,95057178.0,87969.8688,26.8277,3.137,0.18
2023-03-31,60.95,126099622.0,83974.3697,27.9587,2.6996,0.18
2023-04-30,64.8,69970514.0,89278.7392,29.7248,2.8701,0.18
2023-05-31,64.7,105522732.0,89140.9634,29.6789,2.8657,0.18
2023-06-30,64.95,166292674.0,89485.4029,29.7936,2.8767,0.18
2023-07-31,63.8,98200616.0,87900.9809,29.2661,2.8258,0.18
2023-08-31,76.2,379191660.0,104985.1841,34.9541,3.375,0.18
2023-09-30,77.15,335043430.0,110229.8224,35.3899,3.4171,0.2
2023-10-31,65.2,164344578.0,93155.9873,29.9083,2.8878,0.2
2023-11-30,66.65,96153384.0,95227.7079,30.5734,2.952,0.2
2023-12-31,84.15,767794408.0,120231.2321,38.6009,3.7271,0.2
2024-01-31,103.1,1044378998.0,147306.4769,47.2936,4.5665,0.2
2024-02-29,107.3,974944416.0,153307.3227,49.2202,4.7525,0.2
2024-03-31,91.8,427908541.0,132079.3441,39.3991,3.3421,0.2
2024-04-30,100.5,354447711.0,144817.7676,43.133,3.6588,0.2
2024-05-31,103.75,451176990.0,149677.3042,44.5279,3.7771,0.2
2024-06-30,113.17,982597717.0,163267.2821,48.5708,4.1201,0.2
2024-07-31,134.54,945328552.0,194097.2001,57.7425,4.8981,0.2
2024-08-31,149.62,1190925822.0,215852.7061,64.2146,5.4471,0.2
2024-09-30,148.39,811101869.0,214078.2186,63.6867,5.4023,0.2
2024-10-31,121.69,451443896.0,175558.8545,52.2275,4.4302,0.2
2024-11-30,129.09,389161587.0,186234.6333,55.4034,4.6997,0.2
2024-12-31,112.63,278222133.0,162488.2388,48.3391,4.1004,0.2
2025-01-31,98.03,309168737.0,141425.2158,42.073,3.5689,0.2
2025-02-28,79.19,302533507.0,114245.26,33.9871,2.883,0.2
2025-03-31,79.1,319353100.0,114115.4194,64.3089,2.7964,0.2
2025-04-30,79.39,219040562.0,114533.7945,64.5447,2.8066,0.2
2025-05-31,87.59,472549880.0,126363.7116,71.2114,3.0965,0.2
2025-06-30,86.54,399057878.0,124848.9052,70.3577,3.0594,0.2
2025-07-31,75.57,184333583.0,109022.7844,61.439,2.6716,0.2
2025-08-31,70.23,167880779.0,101318.9116,57.0976,2.4828,0.2
2025-09-30,72.88,455911761.0,105141.9945,59.252,2.5765,0.1
2025-10-31,73.51,296180116.0,106050.8784,59.7642,2.5988,0.1
2025-11-30,70.17,231517414.0,101232.3512,57.0488,2.4807,0.1
2025-12-31,67.79,822024788.0,103759.541,55.1138,2.3965,0.1
2026-01-31,68.61,480162437.0,105014.635,55.7805,2.4255,0.1
2026-02-28,68.51,371146767.0,104861.5747,55.6992,2.422,0.1
2026-03-31,69.71,62550337.0,106698.2963,56.6748,2.4644,0.1
