LT IN Equity,price,volume,mc,pe,bm,div
1999-05-31,41.61,210002648.0,60762.1636,,,1.4444
1999-06-30,48.75,257399987.0,71199.8359,,,1.4444
1999-07-31,54.5,240608210.0,79587.2511,,,1.4444
1999-08-31,66.62,272306003.0,97294.0165,,,1.4444
1999-09-30,62.28,126203202.0,90956.8584,,,1.4444
1999-10-31,67.74,163777113.0,98934.2222,,,1.4444
1999-11-30,66.7,129311303.0,97418.2745,,,1.4444
1999-12-31,94.59,158123817.0,138150.048,,,1.4444
2000-01-31,68.32,172282820.0,99779.1766,,,1.4444
2000-02-29,60.28,122492997.0,88036.7953,,,1.4444
2000-03-31,48.92,115156616.0,71448.3519,,,1.4444
2000-04-30,39.73,110034135.0,58028.4875,,,1.4444
2000-05-31,32.16,139464527.0,46969.5252,,,1.4444
2000-06-30,41.98,183738555.0,61308.8988,,,1.4444
2000-07-31,33.33,250765727.0,48671.8599,,,1.4444
2000-08-31,34.67,179345813.0,50641.0434,,,1.4444
2000-09-30,28.2,119127861.0,41183.9062,,,1.4444
2000-10-31,25.21,123532335.0,36821.9415,,,1.4444
2000-11-30,30.84,294911361.0,45043.5981,,,1.4444
2000-12-31,33.29,339092384.0,48622.2343,,,1.4444
2001-01-31,42.39,438062891.0,61905.436,,,1.4444
2001-02-28,44.47,395561376.0,64949.762,,,1.4444
2001-03-31,37.66,135506228.0,54996.68,,,1.4444
2001-04-30,37.42,160192508.0,54648.7571,,,1.4444
2001-05-31,42.29,160638071.0,61756.3262,,,1.4444
2001-06-30,37.39,102243879.0,54640.7054,,,1.4444
2001-07-31,36.27,52993917.0,52999.6194,,,1.4444
2001-08-31,35.92,38439437.0,52489.8881,,,1.4444
2001-09-30,26.81,115102485.0,39170.1908,,,1.4444
2001-10-31,28.24,137884739.0,41258.6047,,,1.4444
2001-11-30,34.93,179617523.0,51029.3981,,,1.4444
2001-12-31,32.57,81055256.0,47586.0014,,,1.4444
2002-01-31,33.01,78963620.0,48232.4152,,,1.4444
2002-02-28,32.59,69601806.0,47623.2945,,,1.4444
2002-03-31,30.76,32287770.0,44938.191,11.8735,0.5485,1.4444
2002-04-30,29.65,32110119.0,43322.1565,11.4465,0.5287,1.4444
2002-05-31,29.5,39601256.0,43098.3978,11.3874,0.526,1.4444
2002-06-30,30.51,30301182.0,44577.691,11.7782,0.5441,1.4444
2002-07-31,26.97,22932216.0,39412.6565,10.4119,0.4809,1.5556
2002-08-31,31.33,38574225.0,45778.36,12.0935,0.5586,1.5556
2002-09-30,28.49,21384518.0,41638.1662,10.9998,0.5081,1.5556
2002-10-31,32.09,22284041.0,46897.3314,12.3891,0.5723,1.5556
