MRCO IN Equity,price,volume,mc,pe,bm,div
2004-05-31,6.34,5364840.0,11572.8431,,,0.25
2004-06-30,5.94,3839660.0,10833.3927,,,0.25
2004-07-31,6.25,3491740.0,11403.5713,,,0.25
2004-08-31,6.38,2665720.0,11639.6609,,,0.175
2004-09-30,6.62,10642160.0,12071.7493,,,0.175
2004-10-31,6.75,2827860.0,12325.6569,,,0.175
2004-11-30,8.59,9675520.0,15684.365,,,0.11
2004-12-31,8.31,5912860.0,15158.7317,,,0.11
2005-01-31,9.02,32569400.0,16459.4515,,,0.28
2005-02-28,12.17,66479680.0,14462.3,,,0.28
2005-03-31,11.8,27277360.0,14012.8,,,0.28
2005-04-30,11.74,49846400.0,13949.0,,,0.28
2005-05-31,13.15,32965860.0,15628.1,,,0.315
2005-06-30,12.21,16701340.0,14500.0,,,0.315
2005-07-31,13.0,13085520.0,15442.5,,,0.315
2005-08-31,13.84,10395260.0,16437.2,,,0.12
2005-09-30,14.14,15352960.0,16793.9,,,0.12
2005-10-31,13.66,16443000.0,16225.5,,,0.21
2005-11-30,15.25,7768600.0,18116.3,,,0.21
2005-12-31,17.98,19971260.0,21358.5,,,0.21
2006-01-31,20.95,13955520.0,24884.9,,,0.32
2006-02-28,19.71,26356300.0,23420.4,,,0.32
2006-03-31,26.51,22274740.0,31499.8,,,0.32
2006-04-30,26.8,49624260.0,31523.0,,,0.36
2006-05-31,22.28,9107700.0,26471.2,,,0.36
2006-06-30,21.51,17076840.0,25557.7,,,0.36
2006-07-31,23.83,6351860.0,28312.7,,,0.33
2006-08-31,24.9,11068900.0,29585.8,,,0.33
2006-09-30,25.47,10381140.0,30258.6,,,0.33
2006-10-31,25.81,15217240.0,30661.7,,,0.3225
2006-11-30,25.59,17124980.0,30397.8,,,0.3225
2006-12-31,26.51,25143980.0,33074.7908,,,0.3225
2007-01-31,28.0,19121120.0,34929.1959,,,0.3275
2007-02-28,29.76,19643962.0,37118.55,,,0.3275
2007-03-31,29.98,34705776.0,37392.6,,,0.3275
2007-04-30,26.68,31964420.0,33281.85,,,0.3275
2007-05-31,28.05,40980638.0,34987.05,,,0.3275
2007-06-30,27.05,23183210.0,33738.6,,,0.3275
2007-07-31,27.49,34271032.0,34286.7,,,0.3275
2007-08-31,28.19,16456728.0,35169.75,,,0.3275
2007-09-30,29.61,13608572.0,36935.85,,,0.3275
2007-10-31,32.98,20026734.0,41137.95,,,0.3275
2007-11-30,32.0,15605368.0,39919.95,,,0.3275
2007-12-31,33.54,22506436.0,41838.3,,,0.3275
2008-01-31,31.12,71625840.0,38823.75,,,0.3275
2008-02-29,30.78,9647352.0,38397.45,,,0.3275
2008-03-31,33.1,13041644.0,41290.2,,,0.2425
2008-04-30,32.51,15546016.0,40559.4,,,0.4275
2008-05-31,31.54,38854026.0,39341.4,,,0.3275
2008-06-30,26.07,15198700.0,32520.6,,,0.3275
2008-07-31,26.05,34703712.0,32490.15,,,0.3275
2008-08-31,29.41,5336224.0,36692.25,,,0.3275
2008-09-30,28.46,24438414.0,35504.7,,,0.26
2008-10-31,23.95,13387076.0,29871.45,,,0.45
2008-11-30,26.02,8027920.0,32459.7,,,0.45
2008-12-31,27.12,7772658.0,33829.95,17.842,,0.45
2009-01-31,28.41,9178706.0,35443.8,18.6931,,0.45
2009-02-28,28.22,6607468.0,35200.2,18.5646,,0.45
2009-03-31,29.44,22008922.0,36722.7,18.9927,7.9068,0.45
2009-04-30,33.37,23125194.0,41625.15,21.5283,8.9623,0.4913
2009-05-31,33.95,48228012.0,42355.95,21.9062,9.1197,0.4913
2009-06-30,35.66,38537008.0,44487.45,21.8794,9.8277,0.4913
2009-07-31,43.01,51344180.0,53655.4542,26.387,,0.4913
2009-08-31,41.81,26649152.0,52170.8087,25.6532,,0.4913
2009-09-30,43.69,26243788.0,54520.1617,24.8971,,0.4913
2009-10-31,47.75,21871060.0,59576.2214,27.206,,0.3
2009-11-30,50.53,14632352.0,63058.3289,28.7916,,0.3
2009-12-31,50.36,15615630.0,62845.0882,27.2945,,0.3
2010-01-31,48.04,20164392.0,59951.1069,26.0376,,0.3
2010-02-28,50.43,10955844.0,62938.7279,27.3342,,0.3
2010-03-31,53.24,20024180.0,66446.9658,27.9469,,0.3
2010-04-30,52.48,14684226.0,65502.511,27.5496,,0.3
2010-05-31,52.38,15329146.0,65382.1587,27.4984,,0.33
2010-06-30,63.22,57935010.0,78915.2639,30.8403,,0.33
2010-07-31,60.56,24677440.0,75594.1196,29.5424,,0.33
2010-08-31,61.34,48521714.0,77121.292,29.9235,,0.33
2010-09-30,62.22,23002618.0,78263.2613,29.313,9.2374,0.33
2010-10-31,66.96,20324202.0,84229.9141,31.544,9.9404,0.33
2010-11-30,63.42,8140542.0,79791.8837,29.8765,9.415,0.33
2010-12-31,58.44,16477800.0,73531.241,26.6516,8.6358,0.33
2011-01-31,61.34,32215468.0,77191.3336,27.9764,,0.33
2011-02-28,58.12,62096282.0,73136.7152,26.5069,,0.33
2011-03-31,68.08,22447538.0,85678.0068,28.9375,9.138,0.33
2011-04-30,68.67,8812584.0,86415.2862,29.1865,9.2167,0.33
2011-05-31,73.18,15068004.0,92109.6708,31.106,9.8228,0.33
2011-06-30,75.94,12484582.0,95603.5991,30.9623,10.2029,0.33
2011-07-31,82.02,25306686.0,103255.5747,33.4405,,0.33
2011-08-31,72.38,12374506.0,91147.4914,29.5092,,0.33
2011-09-30,70.23,19457162.0,88443.4121,28.0352,8.3114,0.33
2011-10-31,75.45,7913716.0,95022.1018,30.1206,8.9297,0.33
2011-11-30,71.16,22080994.0,89614.3573,28.4055,8.4212,0.33
2011-12-31,70.96,8034456.0,89368.4173,27.188,8.4212,0.33
2012-01-31,74.11,8070786.0,93334.1985,28.3945,,0.33
2012-02-29,76.79,14424130.0,96715.8724,29.4232,,0.33
2012-03-31,85.58,12151128.0,107797.9981,33.0434,9.2086,0.33
2012-04-30,86.46,11530384.0,108904.88,33.3827,9.3031,0.33
2012-05-31,85.53,17033576.0,112913.2134,33.0245,9.2033,0.35
2012-06-30,89.68,19589140.0,118392.4076,31.5157,9.5868,0.35
2012-07-31,95.74,15121418.0,126390.7588,33.643,,0.35
2012-08-31,97.64,13143000.0,128908.6548,34.3121,,0.35
2012-09-30,97.69,9746778.0,128975.5151,33.9711,6.9902,0.35
2012-10-31,102.3,21524546.0,135066.5627,35.5754,7.3203,0.35
2012-11-30,108.41,19784566.0,143157.3183,37.6976,7.757,0.45
2012-12-31,106.45,7597152.0,140578.4879,35.6546,7.6382,0.45
2013-01-31,110.6,9114664.0,146059.6362,37.0445,,0.45
2013-02-28,104.18,7565100.0,137581.6657,34.8943,,0.45
2013-03-31,103.94,8929688.0,137271.914,33.8489,6.7643,0.45
2013-04-30,110.04,8934488.0,145333.0334,35.8363,7.1614,0.45
2013-05-31,115.24,13545992.0,152206.9965,37.5295,7.4998,0.5
2013-06-30,101.38,19095994.0,133895.7465,30.3975,6.6181,0.5
2013-07-31,102.3,8981428.0,135123.0813,30.6757,,0.5
2013-08-31,103.77,23913480.0,137063.9261,31.1148,,0.5
2013-09-30,107.36,22178984.0,141803.6102,30.7611,10.1733,0.5
2013-10-31,103.48,22055706.0,136677.0131,29.649,9.8055,0.5
2013-11-30,108.03,12086666.0,139324.8086,30.9527,10.2367,0.625
2013-12-31,108.35,14512464.0,139743.976,28.9319,10.4618,0.625
2014-01-31,107.0,11516156.0,138002.819,28.5714,,0.625
2014-02-28,105.5,12513900.0,136068.2,28.1709,,0.875
2014-03-31,104.58,11984640.0,134875.185,27.6288,9.9127,1.75
2014-04-30,102.0,11295092.0,131554.0891,26.9485,9.6686,1.75
2014-05-31,121.98,24174540.0,157316.7649,32.2259,11.5621,1.75
2014-06-30,122.03,5701386.0,157381.2522,30.5444,11.4744,1.75
2014-07-31,127.83,18409312.0,164861.7788,31.9962,,1.75
2014-08-31,136.13,24617524.0,175566.6704,34.0738,,1.75
2014-09-30,155.0,30554416.0,199910.6256,37.8973,12.0647,1.75
2014-10-31,155.63,26910644.0,200716.7168,38.0501,12.1133,1.75
2014-11-30,161.57,23989820.0,208400.3896,39.5049,12.5765,1.875
2014-12-31,162.57,23580372.0,209690.1955,37.9848,12.7594,1.875
2015-01-31,180.4,120596462.0,232709.5037,42.1495,,1.875
2015-02-28,177.88,34016312.0,229452.3446,41.5596,,2.125
2015-03-31,192.88,47068226.0,248801.8044,43.3915,13.6346,1.25
2015-04-30,200.85,29383448.0,259117.5853,45.1856,14.1984,1.25
2015-05-31,219.8,112935700.0,283579.5366,49.4488,15.538,1.25
2015-06-30,224.83,29561860.0,290062.6448,47.3038,15.3524,1.25
2015-07-31,220.03,15389494.0,283869.8251,46.2938,,1.25
2015-08-31,202.78,23822442.0,261614.4534,42.6644,,1.25
2015-09-30,202.1,20139078.0,260743.5879,40.4422,11.747,1.25
2015-10-31,193.6,20468868.0,249777.1332,38.7413,11.2529,1.25
2015-11-30,211.33,43320856.0,272645.4167,42.2882,12.2832,1.625
2015-12-31,226.15,86453646.0,291772.2039,42.2138,13.1071,1.625
2016-01-31,221.65,38498491.0,285966.4338,41.3738,,1.625
2016-02-29,236.75,40952690.0,305448.018,44.1924,,2.375
2016-03-31,244.3,46196767.0,315188.8101,44.0796,15.6237,3.375
2016-04-30,259.1,22531520.0,334283.343,46.75,16.5703,3.375
2016-05-31,249.2,22792476.0,321510.6487,44.9637,15.9371,3.375
2016-06-30,263.6,20141914.0,340089.1132,45.0874,16.5767,3.375
2016-07-31,284.25,26413491.0,366731.1473,48.6194,,3.375
2016-08-31,291.5,31667320.0,376084.8881,49.8595,,3.375
2016-09-30,275.5,21767066.0,355442.1498,45.2606,14.3641,3.375
2016-10-31,278.2,14655569.0,358925.6119,45.7042,14.5049,3.375
2016-11-30,252.65,47989509.0,325961.7392,41.5067,13.1728,3.0
2016-12-31,260.45,24501422.0,336077.1832,43.5756,13.118,3.0
2017-01-31,257.25,22694268.0,331947.9953,43.0402,,3.0
2017-02-28,281.2,30490831.0,362852.3859,47.0473,,3.5
2017-03-31,294.85,32314694.0,380465.953,47.1989,16.3606,3.5
2017-04-30,315.2,24394100.0,406756.5195,50.4565,17.4898,3.5
2017-05-31,314.0,34499288.0,405207.9541,50.2644,17.4232,3.5
2017-06-30,314.35,22665294.0,405659.619,52.3917,17.3511,3.5
2017-07-31,334.7,17042507.0,431920.7078,55.7833,,3.5
2017-08-31,315.45,41657220.0,407079.1373,52.575,,3.5
2017-09-30,310.75,27936275.0,401013.9227,51.7055,14.6275,3.5
2017-10-31,315.25,15426999.0,406821.0431,52.4542,14.8394,3.5
2017-11-30,306.0,22441630.0,394975.9844,50.9151,14.4039,3.75
2017-12-31,322.5,14520457.0,416273.7091,51.7657,14.9429,3.75
2018-01-31,309.4,21178495.0,399364.6065,49.6629,,3.75
2018-02-28,308.15,27420476.0,397751.1447,49.4623,,4.25
2018-03-31,326.05,26091710.0,420886.337,51.5902,16.5457,4.25
2018-04-30,332.55,25972746.0,429276.9556,52.6187,16.8756,4.25
2018-05-31,321.85,52998494.0,415464.7065,50.9256,16.3326,4.25
2018-06-30,331.65,31406874.0,428115.1776,51.0231,16.8781,4.25
2018-07-31,364.1,46619560.0,470003.7273,56.0154,,4.25
2018-08-31,369.45,46926193.0,476909.8518,56.8385,,4.25
2018-09-30,333.05,35626606.0,429922.3878,49.4139,14.1141,4.25
2018-10-31,321.3,51507905.0,414754.7311,47.6706,13.6162,4.25
2018-11-30,356.75,42732256.0,460515.874,52.9303,15.1185,4.5
