PWGR IN Equity,price,volume,mc,pe,bm,div
2011-10-31,58.98,91024157.0,485426.7789,17.1044,2.2665,0.9844
2011-11-30,55.74,115329181.0,458805.854,16.1664,2.1422,0.9844
2011-12-31,56.31,121224782.0,463435.58,16.3295,2.1638,0.9844
2012-01-31,58.56,153782195.0,481954.4843,16.9821,2.2503,0.9844
2012-02-29,63.56,221129651.0,523159.0464,18.4339,2.4427,1.1531
2012-03-31,60.83,129588195.0,500704.8221,15.1471,2.1231,1.1531
2012-04-30,62.58,91477762.0,515056.9714,15.5812,2.184,1.1531
2012-05-31,59.71,84330130.0,491445.3709,14.8669,2.0839,1.1531
2012-06-30,63.87,125315671.0,525705.3403,15.9034,2.2292,1.1531
2012-07-31,66.91,106537773.0,550705.8584,16.6597,2.3352,1.1531
2012-08-31,67.19,105631291.0,553020.7212,16.7297,2.345,1.1531
2012-09-30,67.78,138707563.0,557881.9331,16.8768,2.3656,1.1869
2012-10-31,64.13,123976784.0,527788.7168,15.9664,2.238,1.1869
2012-11-30,66.32,124317198.0,545844.6466,16.5126,2.3145,1.1869
2012-12-31,64.55,104906333.0,531261.011,16.0714,2.2527,1.1869
2013-01-31,61.99,184087983.0,510195.7596,15.4342,2.1634,1.1869
2013-02-28,58.67,200758648.0,482880.3786,14.6078,2.0476,1.6425
2013-03-31,59.51,100914378.0,489824.967,11.3519,1.8552,1.6425
2013-04-30,63.11,85502400.0,519455.2107,12.0386,1.9674,1.6425
2013-05-31,63.73,112974057.0,524547.9089,12.1567,1.9867,1.6425
2013-06-30,62.61,112787314.0,515288.4577,11.9421,1.9516,1.6425
2013-07-31,56.87,109946473.0,468065.2567,10.8476,1.7728,1.6425
2013-08-31,54.93,272554367.0,452092.7035,10.4775,1.7123,1.6425
2013-09-30,55.15,157302232.0,453944.5937,10.5204,1.7193,1.5469
2013-10-31,56.98,144705037.0,468991.2019,10.8691,1.7763,1.5469
2013-11-30,53.49,171237914.0,440286.9032,10.2039,1.6676,1.5469
2013-12-31,56.19,1339238568.0,522635.7766,10.7189,1.7517,1.5469
2014-01-31,53.72,310358609.0,499616.7834,10.2468,1.6746,1.5469
2014-02-28,53.16,169251994.0,494385.1941,10.1395,1.657,1.5469
2014-03-31,59.06,244134456.0,549316.8823,11.0876,1.5831,1.3556
2014-04-30,59.51,159366438.0,553502.1538,11.1721,1.5952,1.3556
2014-05-31,68.63,382259987.0,638253.9014,12.8828,1.8395,1.3556
2014-06-30,78.3,392339061.0,728237.2383,14.699,2.0988,1.3556
2014-07-31,74.87,245874019.0,696324.5432,14.0549,2.0068,1.3556
2014-08-31,72.68,205380008.0,675921.3447,13.6431,1.948,1.3556
2014-09-30,76.08,201850756.0,707572.4603,14.2819,2.0392,1.4513
2014-10-31,82.01,183819512.0,762765.728,15.396,2.1983,1.4513
2014-11-30,80.27,175861581.0,746547.801,15.0686,2.1516,1.4513
2014-12-31,77.63,102439120.0,721959.3311,14.5723,2.0807,1.4513
2015-01-31,83.25,109676557.0,774275.2246,15.6283,2.2315,1.4513
2015-02-28,88.23,94059413.0,820574.7138,16.5628,2.3649,1.4513
2015-03-31,81.7,97872984.0,759888.3539,15.0738,1.9769,1.125
2015-04-30,79.99,62805544.0,743932.0063,14.7573,1.9354,1.125
2015-05-31,80.83,135856707.0,751779.3904,14.9129,1.9558,1.125
2015-06-30,78.24,115902925.0,727714.0793,14.4356,1.8932,1.125
2015-07-31,79.88,51002481.0,742885.6885,14.7365,1.9326,1.125
2015-08-31,73.49,69403709.0,683507.1493,13.5586,1.7782,1.125
2015-09-30,74.45,75014716.0,692400.8512,13.7351,1.8013,1.125
2015-10-31,72.42,52150223.0,673567.1295,13.3615,1.7523,1.125
2015-11-30,76.56,61776182.0,712019.3113,14.1242,1.8523,1.125
2015-12-31,79.4,104346773.0,738438.8375,14.6483,1.9211,1.125
2016-01-31,83.17,193923179.0,773490.4862,15.3436,2.0123,1.125
2016-02-29,73.15,208704649.0,680368.1957,13.4964,1.77,1.1869
2016-03-31,78.24,218067775.0,727714.0793,12.2127,1.655,1.1869
2016-04-30,80.66,143646942.0,750209.9136,12.5902,1.7062,1.1869
2016-05-31,84.38,133208632.0,784738.4033,13.1697,1.7847,1.1869
2016-06-30,91.74,139087434.0,853272.2239,14.3199,1.9406,1.1869
2016-07-31,99.0,191824946.0,920759.7266,15.4525,2.0941,1.1869
2016-08-31,103.33,223556539.0,961042.9646,16.1285,2.1857,1.1869
2016-09-30,99.31,153214377.0,923637.1007,15.5008,2.1006,1.2994
2016-10-31,98.47,121393436.0,915789.7167,15.3691,2.0828,1.2994
2016-11-30,107.94,224530618.0,1003941.997,16.8485,2.2832,1.2994
2016-12-31,103.22,170445083.0,959996.6467,16.111,2.1833,1.2994
2017-01-31,116.55,236975498.0,1083985.315,18.1918,2.4653,1.2994
2017-02-28,108.08,210842430.0,1005249.895,16.8704,2.2862,1.4119
2017-03-31,110.98,224431346.0,1032192.58,13.8553,2.07,1.4119
2017-04-30,117.0,190882575.0,1088170.586,14.6067,2.1822,1.4119
2017-05-31,116.97,176788873.0,1087909.007,14.6032,2.1817,1.4119
2017-06-30,118.43,225208008.0,1101511.139,14.7858,2.209,1.4119
2017-07-31,125.61,189233824.0,1168213.903,15.6812,2.3427,1.4119
2017-08-31,123.33,160195442.0,1147025.966,15.3968,2.3002,1.4119
2017-09-30,118.69,159324742.0,1103865.354,14.8174,2.2137,2.4469
2017-10-31,119.17,255766505.0,1108312.205,14.8771,2.2226,2.4469
2017-11-30,115.9,275352664.0,1077969.007,14.4698,2.1618,2.4469
2017-12-31,112.7,258743517.0,1048148.947,14.0695,2.102,2.4469
2018-01-31,109.01,323060946.0,1013882.036,13.6096,2.0332,2.4469
2018-02-28,111.21,349566739.0,1034285.273,13.8834,2.0742,3.2625
2018-03-31,108.7,223081823.0,1011004.7,12.3246,1.8576,3.2625
2018-04-30,116.92,170127168.0,1087385.908,13.2557,1.9979,3.2625
2018-05-31,117.82,703401460.0,1095756.452,13.3578,2.0133,3.2625
2018-06-30,105.1,284646510.0,977522.5257,11.9165,1.7961,3.2625
2018-07-31,102.54,246450323.0,953718.7928,11.6263,1.7523,3.2625
2018-08-31,113.34,162229853.0,1054165.314,12.8508,1.9369,3.2625
2018-09-30,105.98,179464886.0,985631.4897,12.0153,1.811,2.9531
2018-10-31,104.6,149345456.0,972814.095,11.8591,1.7874,2.9531
2018-11-30,101.33,141216879.0,942470.8751,11.4892,1.7317,2.9531
2018-12-31,111.74,226078891.0,1039255.284,12.669,1.9095,2.9531
2019-01-31,106.09,172432417.0,986677.8076,12.0281,1.8129,2.9531
2019-02-28,102.85,307685558.0,956596.1671,11.6614,1.7576,2.9531
2019-03-31,111.32,255623159.0,1035331.591,10.318,1.7522,4.8544
2019-04-30,104.85,221331464.0,975168.3104,9.7185,1.6504,4.8544
2019-05-31,106.48,235506520.0,990339.9204,9.8697,1.676,4.8544
2019-06-30,116.38,315092223.0,1082415.898,10.7873,1.8319,4.8544
2019-07-31,118.58,283363611.0,1102819.098,10.9906,1.8664,4.8544
2019-08-31,112.78,243502541.0,1048933.724,10.4536,1.7752,4.6856
2019-09-30,111.97,288885191.0,1041347.919,10.378,1.7624,4.6856
2019-10-31,111.57,173375250.0,1037685.807,10.3415,1.7562,4.6856
2019-11-30,108.73,295921633.0,1011266.279,10.0782,1.7114,4.6856
2019-12-31,107.02,312946818.0,995309.9305,9.9192,1.6844,4.6856
2020-01-31,105.1,633277701.0,977522.5257,9.7419,1.6543,4.6856
2020-02-29,102.09,456083845.0,949533.5211,9.463,1.607,4.6856
2020-03-31,89.49,898649551.0,832345.913,7.5261,1.2866,4.7588
2020-04-30,91.15,390847721.0,847779.1025,7.6657,1.3104,4.7588
2020-05-31,88.62,447196141.0,824236.949,7.4528,1.274,4.7588
2020-06-30,98.35,518120379.0,914743.45,8.2712,1.4139,4.7588
2020-07-31,100.29,430728320.0,932792.4342,8.4344,1.4418,4.7588
2020-08-31,100.66,372145129.0,936192.9675,8.4651,1.4471,4.7588
2020-09-30,91.38,352884252.0,849871.7383,7.6846,1.3137,5.625
2020-10-31,96.19,426270409.0,894601.7965,8.0891,1.3828,5.625
2020-11-30,108.23,461745193.0,1006557.811,9.1014,1.5558,5.625
2020-12-31,106.79,414322397.0,993217.2577,8.9808,1.5352,5.085
2021-01-31,103.75,417149399.0,964966.6746,8.7253,1.4916,5.085
2021-02-28,120.54,647368041.0,1121129.62,10.1373,1.7329,5.085
2021-03-31,121.3,537099342.0,1128192.266,9.3731,1.6132,5.0625
2021-04-30,123.78,356984869.0,1151211.259,9.5644,1.6461,5.0625
2021-05-31,126.93,477119838.0,1180508.16,9.8078,1.688,5.0625
2021-06-30,130.73,480675335.0,1215821.389,10.1012,1.7385,5.0625
2021-07-31,128.36,266292184.0,1193848.758,9.9186,1.7071,5.0625
2021-08-31,131.51,427156155.0,1223145.66,10.162,1.7489,5.0625
2021-09-30,142.43,354636102.0,1324638.499,11.0052,1.8941,4.5
2021-10-31,138.79,316844929.0,1290807.553,10.7241,1.8457,4.5
2021-11-30,155.06,322802686.0,1442174.88,11.9817,2.0621,4.5
2021-12-31,153.3,493353079.0,1425782.565,11.8455,2.0387,11.25
2022-01-31,161.55,330436971.0,1502512.547,12.483,2.1484,11.25
2022-02-28,156.86,279238130.0,1458915.967,12.1208,2.0861,12.9375
2022-03-31,162.6,378599191.0,1512278.181,8.9884,1.9834,12.9375
2022-04-30,170.81,290515029.0,1588659.39,9.4424,2.0836,12.9375
2022-05-31,174.68,400796816.0,1624582.972,9.6559,2.1307,12.9375
2022-06-30,158.93,299078197.0,1478098.462,8.7852,1.9386,12.9375
2022-07-31,160.46,320406768.0,1492398.14,8.8702,1.9573,12.9375
2022-08-31,172.2,229220920.0,1601563.978,9.5191,2.1005,11.0625
2022-09-30,159.15,741634600.0,1480191.098,8.7977,1.9413,11.0625
2022-10-31,171.11,332885269.0,1591449.571,9.459,2.0872,11.0625
2022-11-30,168.0,256441556.0,1562501.442,9.2869,2.0493,11.8125
2022-12-31,160.28,226531018.0,1490654.277,8.8599,1.955,9.5625
2023-01-31,162.49,304884306.0,1511231.863,8.9822,1.982,9.5625
2023-02-28,166.69,230108185.0,1550294.399,9.2143,2.0332,9.1875
2023-03-31,169.28,363309763.0,1574359.711,10.21,1.8962,9.1875
2023-04-30,177.94,165197713.0,1654926.192,10.7325,1.9933,9.1875
2023-05-31,175.39,273653921.0,1631209.652,10.5787,1.9647,9.1875
2023-06-30,191.36,263706935.0,1779786.798,11.5423,2.1436,9.1875
2023-07-31,199.54,367956600.0,1855819.235,12.0353,2.2352,9.1875
2023-08-31,183.41,311586941.0,1705846.998,11.0627,2.0546,11.0625
2023-09-30,199.75,370554826.0,1857795.613,12.0482,2.2376,11.0625
2023-10-31,202.15,290800607.0,1880117.062,12.1929,2.2645,11.0625
2023-11-30,208.95,306015847.0,1943361.168,12.6031,2.3407,11.3125
2023-12-31,237.2,488667409.0,2206103.226,14.307,2.6571,11.3125
2024-01-31,259.3,386596573.0,2411646.57,15.64,2.9047,11.3125
2024-02-29,282.85,610342123.0,2630675.79,17.0604,3.1685,12.0625
2024-03-31,276.9,410566133.0,2575337.198,16.537,2.9552,12.0625
2024-04-30,301.85,346405758.0,2807387.263,18.0271,3.2215,12.0625
2024-05-31,310.0,403219502.0,2883187.184,18.5138,3.3085,12.0625
2024-06-30,330.95,510846613.0,3078034.834,19.765,3.5321,12.0625
2024-07-31,348.2,306362089.0,3238470.25,20.7952,3.7162,12.0625
2024-08-31,337.4,274519386.0,3138023.729,20.1502,3.6009,11.25
2024-09-30,352.85,356929001.0,3281718.058,21.0729,3.7658,11.25
2024-10-31,320.8,299361549.0,2983633.705,19.1588,3.4238,11.25
2024-11-30,329.4,302936838.0,3063618.898,19.6724,3.5155,11.75
2024-12-31,308.7,260318613.0,2871096.399,18.4362,3.2946,11.75
2025-01-31,301.65,247228514.0,2805527.142,18.0151,3.2194,11.75
2025-02-28,250.85,332676271.0,2333056.468,14.9813,2.6772,10.5
2025-03-31,290.35,303495856.0,2700430.319,17.3966,2.9143,10.5
2025-04-30,307.45,281934578.0,2859470.644,18.4212,3.0859,10.5
2025-05-31,289.75,308777139.0,2694849.957,17.3607,2.9082,10.5
2025-06-30,299.9,255160283.0,2789251.085,17.9688,3.0101,10.5
2025-07-31,291.0,201274060.0,2706475.711,17.4356,2.9208,10.5
2025-08-31,275.25,197226995.0,2559991.201,16.4919,2.7627,9.0
2025-09-30,280.25,281845730.0,2606494.22,16.7915,2.8129,9.0
2025-10-31,288.15,267226587.0,2679968.99,17.2648,2.8922,9.0
2025-11-30,269.95,302691658.0,2510698.001,16.1744,2.7095,9.0
2025-12-31,264.6,206565095.0,2460939.771,15.8538,2.6558,9.0
2026-01-31,256.5,290200422.0,2385604.88,15.3685,2.5745,9.0
2026-02-28,298.65,379082182.0,2777625.331,17.8939,2.9976,9.0
2026-03-31,299.45,67513372.0,2785065.927,17.9419,3.0056,9.0
