NLC IN Equity,price,volume,mc,pe,bm,div
1999-07-31,9.5,888600.0,17069.4485,6.2621,0.5249,0.0
1999-08-31,12.0,2694900.0,21561.4087,7.91,0.663,0.5
1999-09-30,10.8,1703900.0,19405.2678,7.119,0.5967,0.5
1999-10-31,13.3,9112300.0,23897.228,8.767,0.7349,0.5
1999-11-30,13.9,1574700.0,24975.2984,9.1625,0.768,0.5
1999-12-31,11.7,3058600.0,21022.3735,7.7123,0.6464,0.5
2000-01-31,9.6,1053300.0,17249.127,6.328,0.5304,0.5
2000-02-29,8.2,1395400.0,14733.6293,5.4052,0.4531,0.5
2000-03-31,5.8,1081900.0,10421.3475,3.8232,0.3205,0.5
2000-04-30,5.5,452500.0,9882.3123,3.6254,0.3039,1.0
2000-05-31,6.0,237100.0,10780.7043,3.955,0.3315,1.0
2000-06-30,6.5,299900.0,11679.0964,4.2846,0.3591,1.0
2000-07-31,5.35,390000.0,9612.7947,3.5266,0.2956,1.0
2000-08-31,5.35,192100.0,9612.7947,3.5266,0.2956,0.7
2000-09-30,5.55,528696.0,9972.1515,3.6584,0.3066,0.7
2000-10-31,5.25,212030.0,9433.1169,3.4606,0.2901,0.7
2000-11-30,7.95,448731.0,14284.4342,5.2404,0.4393,0.7
2000-12-31,8.85,685107.0,15901.54,5.8337,0.489,0.7
2001-01-31,8.65,1224962.0,15542.1832,5.7018,0.4779,0.7
2001-02-28,11.95,4256114.0,21471.5709,7.8771,0.6603,0.7
2001-03-31,8.6,1012035.0,15452.3439,5.6689,0.4752,0.7
2001-04-30,8.4,372587.0,15092.9871,5.537,0.4641,0.7
2001-05-31,9.35,732013.0,16799.9321,6.1632,0.5166,0.7
2001-06-30,9.9,1579733.0,17788.1634,6.5258,0.547,0.2
2001-07-31,10.0,1124604.0,17967.8418,6.5917,0.5525,0.2
2001-08-31,10.7,411504.0,19225.5907,7.0531,0.5912,0.2
2001-09-30,8.6,316250.0,15452.3439,5.6689,0.4752,1.0
2001-10-31,10.35,1232759.0,18596.7163,6.8224,0.5719,1.0
2001-11-30,11.25,2643458.0,20213.822,7.4157,0.6216,1.0
2001-12-31,10.25,976255.0,18417.0378,6.7565,0.5663,1.0
2002-01-31,12.1,1983540.0,20300.2861,7.976,0.6685,1.0
2002-02-28,19.9,19404131.0,33386.4209,13.1175,1.0995,1.0
2002-03-31,19.95,7422265.0,33470.3064,13.1504,1.1023,1.0
2002-04-30,22.25,12487152.0,37329.0385,14.6665,1.2294,1.0
2002-05-31,30.05,22734012.0,50415.1733,19.8081,1.6603,1.0
2002-06-30,29.65,26926625.0,49744.0895,19.5444,1.6382,1.0
2002-07-31,25.15,9722923.0,42194.3963,16.5781,1.3896,1.0
2002-08-31,23.6,3102244.0,39593.9464,15.5564,1.3039,1.0
2002-09-30,17.8,5172101.0,29863.2308,11.7332,0.9835,1.35
2002-10-31,20.55,5305895.0,34476.9322,13.5459,1.1354,1.35
2002-11-30,22.15,1538477.0,37161.2675,14.6006,1.2238,1.35
2002-12-31,23.25,5397724.0,39006.7481,15.3257,1.2846,1.35
2003-01-31,25.0,5110873.0,41942.7399,16.4793,1.3813,1.35
2003-02-28,26.3,4526909.0,44123.7623,17.3362,1.4531,1.35
2003-03-31,26.35,1714083.0,44207.6478,17.3691,1.4559,1.35
2003-04-30,30.1,2386300.0,50499.0588,19.841,1.6631,1.35
2003-05-31,32.5,7215558.0,54525.5618,21.423,1.7957,1.35
2003-06-30,40.9,29685900.0,68618.3224,26.9601,2.2598,1.35
2003-07-31,35.95,10104413.0,60313.6599,23.6972,1.9863,1.35
2003-08-31,43.9,15744754.0,73651.4512,28.9376,2.4256,1.35
2003-09-30,41.4,8083290.0,69457.1924,27.2896,2.2874,1.4
2003-10-31,55.3,32706133.0,92777.3608,36.4521,3.0554,1.4
2003-11-30,56.85,19139014.0,95377.8113,37.4738,3.1411,1.4
2003-12-31,65.2,20524321.0,109386.6895,42.9779,3.6024,1.4
2004-01-31,54.95,24160820.0,92190.1624,36.2214,3.0361,1.4
2004-02-29,49.95,10692192.0,83801.6125,32.9255,2.7598,1.4
2004-03-31,54.85,12360755.0,92022.3914,36.1555,3.0306,1.4
2004-04-30,63.1,16780667.0,105863.4985,41.5936,3.4864,1.4
2004-05-31,41.35,9116380.0,69373.3069,27.2567,2.2847,1.4
2004-06-30,42.15,4225452.0,70715.4749,27.784,2.3289,1.4
2004-07-31,46.2,6268428.0,77510.2002,30.4537,2.5526,1.4
2004-08-31,51.05,18937163.0,85647.0935,33.6506,2.8206,1.4
2004-09-30,57.95,19299121.0,97223.2922,38.1989,3.2019,1.4
2004-10-31,59.45,14239860.0,99739.8572,39.1877,3.2847,1.4
2004-11-30,61.05,7729395.0,102424.1931,40.2423,3.3731,1.4
2004-12-31,72.9,18641622.0,122305.0562,48.0535,4.0279,1.4
2005-01-31,67.95,45240772.0,114000.3918,44.7906,3.7544,1.4
2005-02-28,69.35,30196562.0,116349.1858,45.7134,3.8317,1.2
2005-03-31,66.0,21869007.0,110728.8574,43.5052,3.6466,1.2
2005-04-30,68.05,15289407.0,114168.1628,44.8565,3.7599,1.2
2005-05-31,74.95,16934872.0,125744.3616,49.4048,4.1411,1.2
2005-06-30,74.0,20261646.0,124150.5371,48.7786,4.0887,1.2
2005-07-31,79.25,32626876.0,132958.5144,52.2392,4.3787,1.2
2005-08-31,84.1,26301678.0,141095.4077,55.4362,4.6467,1.2
2005-09-30,83.35,16724792.0,139837.1252,54.9418,4.6053,2.0
2005-10-31,68.25,20388004.0,114503.7048,44.9884,3.771,2.0
2005-11-30,77.9,7722936.0,130693.606,51.3494,4.3041,2.0
2005-12-31,78.95,22712249.0,132455.2014,52.0415,4.3622,2.0
2006-01-31,72.2,13636694.0,121130.6592,47.5921,3.9892,2.0
2006-02-28,73.7,6805954.0,123647.2241,48.5808,4.0721,2.0
2006-03-31,74.85,13525489.0,125576.5906,49.3389,4.1356,4.2
2006-04-30,78.05,18027365.0,128260.9265,51.4482,4.3124,4.2
2006-05-31,75.55,54529920.0,126750.9875,49.8003,4.1743,4.2
2006-06-30,63.0,34068282.0,105695.7275,41.5277,3.4809,4.2
2006-07-31,54.45,11248973.0,91351.3074,35.8918,3.0085,4.2
2006-08-31,63.3,14609734.0,106199.0405,41.7255,3.4975,4.2
2006-09-30,64.3,12526464.0,107876.7505,42.3846,3.5527,4.2
2006-10-31,64.0,10300991.0,107373.4375,42.1869,3.5361,4.2
2006-11-30,62.3,10111864.0,104521.3306,41.0663,3.4422,4.2
2006-12-31,56.35,5459096.0,94538.9563,37.1442,3.1135,4.2
2007-01-31,60.9,4647437.0,102172.5366,40.1435,3.3649,4.2
2007-02-28,53.7,6423233.0,90093.0249,35.3974,2.967,4.2
2007-03-31,50.4,6804020.0,84556.582,33.2222,2.7847,4.2
2007-04-30,62.3,12157284.0,104521.3306,41.0663,3.4422,4.2
2007-05-31,64.35,11818638.0,107960.636,42.4176,3.5555,0.0
2007-06-30,61.95,10255140.0,103934.1321,40.8356,3.4229,0.0
2007-07-31,81.7,58407606.0,137068.9038,53.8542,4.5141,0.0
2007-08-31,76.5,45560651.0,128344.812,50.4265,4.2268,1.2
2007-09-30,105.5,144743649.0,176998.4009,69.5425,5.8291,1.2
2007-10-31,140.15,130063111.0,235131.051,92.3827,7.7436,1.2
2007-11-30,235.15,268213913.0,394513.4973,155.0039,12.9925,1.2
2007-12-31,257.6,129710951.0,432178.0859,169.8022,14.2329,1.2
2008-01-31,142.2,104270568.0,238570.3564,93.734,7.8568,1.2
2008-02-29,151.75,166001713.0,254592.4866,100.0291,8.3845,2.0
2008-03-31,119.85,66547853.0,201073.5388,79.0015,6.622,2.0
2008-04-30,155.8,77875449.0,261387.2119,102.6987,8.6083,2.0
2008-05-31,142.65,68673678.0,239325.3259,94.0306,7.8817,2.0
2008-06-30,106.8,75698074.0,179179.4238,70.3994,5.9009,2.0
2008-07-31,115.85,85697823.0,194362.699,76.3649,6.401,2.0
2008-08-31,114.1,39640645.0,191426.7065,75.2113,6.3043,2.0
2008-09-30,83.95,25545975.0,140843.7512,55.3373,4.6384,2.0
2008-10-31,54.15,20487752.0,90847.9944,35.6941,2.9919,2.0
2008-11-30,48.85,24138010.0,81956.1316,32.2005,2.6991,2.0
2008-12-31,66.45,39641301.0,111483.8269,43.8019,3.6715,2.0
2009-01-31,80.1,62699271.0,134384.5679,52.7995,4.4257,2.0
2009-02-28,71.95,29961294.0,120711.2317,47.4273,3.9754,2.0
2009-03-31,83.9,22722161.0,140759.8657,17.1575,1.4865,2.0
2009-04-30,88.55,38163337.0,148561.217,18.1084,1.5689,1.0
2009-05-31,139.55,79319656.0,234124.425,28.5378,2.4725,1.0
2009-06-30,121.25,64755397.0,203422.3328,24.7955,2.1482,1.0
2009-07-31,137.5,57846726.0,230685.1196,28.1186,2.4362,1.0
2009-08-31,130.2,35238499.0,218437.8369,26.6258,2.3068,2.0
2009-09-30,133.55,26792505.0,224058.1653,27.3108,2.3662,2.0
2009-10-31,129.05,29591513.0,216508.4705,26.3906,2.2864,2.0
2009-11-30,150.15,81658212.0,251908.1506,30.7055,2.6603,2.0
2009-12-31,152.75,24195640.0,256270.1965,31.2372,2.7063,2.0
2010-01-31,152.0,45714397.0,255011.9141,31.0838,2.6931,2.0
2010-02-28,156.75,16502232.0,262981.0364,32.0552,2.7772,2.0
2010-03-31,144.95,13793658.0,243184.0588,19.4825,2.3554,2.0
2010-04-30,151.6,13252732.0,254340.8301,20.3763,2.4634,2.0
2010-05-31,148.4,7715624.0,248972.1582,19.9462,2.4114,2.0
2010-06-30,156.15,8644917.0,261974.4104,20.9879,2.5374,2.0
2010-07-31,156.45,8950680.0,262477.7234,21.0282,2.5422,2.0
2010-08-31,157.1,15597270.0,263568.2349,21.1156,2.5528,2.0
2010-09-30,159.15,8606312.0,267007.5403,21.3911,2.5861,2.0
2010-10-31,156.65,16461974.0,262813.2654,21.0551,2.5455,2.0
2010-11-30,129.05,10946068.0,216508.4705,17.3454,2.097,2.0
2010-12-31,134.15,7567720.0,225064.7913,18.0309,2.1799,2.0
2011-01-31,106.9,6628789.0,179347.1948,14.3683,1.7371,2.0
2011-02-28,96.25,6576399.0,161479.5837,12.9368,1.564,2.0
2011-03-31,104.05,9008533.0,174565.7214,13.4432,1.5622,2.0
2011-04-30,112.45,8230026.0,188658.4851,14.5284,1.6883,2.0
2011-05-31,104.9,6169403.0,175991.7749,13.553,1.575,1.0
2011-06-30,97.1,3397417.0,162905.6372,12.5452,1.4578,1.0
2011-07-31,99.9,6775970.0,167603.2251,12.907,1.4999,1.0
2011-08-31,82.8,3354154.0,138914.3848,10.6977,1.2431,2.3
2011-09-30,78.4,3096206.0,131532.4609,10.1292,1.1771,2.3
2011-10-31,81.45,4248056.0,136649.4763,10.5233,1.2229,2.3
2011-11-30,75.45,2951313.0,126583.2166,9.7481,1.1328,2.3
2011-12-31,72.85,2554568.0,122221.1707,9.4121,1.0938,2.3
2012-01-31,89.85,7940209.0,150742.24,11.6085,1.349,2.3
2012-02-29,90.6,16588259.0,152000.5225,11.7054,1.3603,2.3
2012-03-31,85.95,5496810.0,144199.1397,10.22,1.1977,2.3
2012-04-30,83.0,4110854.0,139249.8964,9.8692,1.1566,2.3
2012-05-31,74.25,2947696.0,124569.9374,8.8288,1.0347,2.3
2012-06-30,81.85,5788941.0,137320.5303,9.7325,1.1406,2.3
2012-07-31,80.05,3767230.0,134300.6531,9.5184,1.1155,2.3
2012-08-31,78.45,7515546.0,131616.3177,9.3282,1.0932,2.8
2012-09-30,87.35,7235820.0,146547.9331,10.3864,1.2172,2.8
2012-10-31,81.8,2668081.0,137236.6448,9.7265,1.1399,2.8
2012-11-30,81.45,1860778.0,136649.4465,9.6849,1.135,2.8
2012-12-31,81.1,1647851.0,136062.2481,9.6433,1.1301,2.8
2013-01-31,84.0,3387180.0,140927.606,9.9881,1.1705,2.8
2013-02-28,72.3,1922538.0,121298.4037,8.5969,1.0075,2.8
2013-03-31,65.8,2778003.0,110393.2913,7.5719,0.8524,2.0
2013-04-30,72.25,1117370.0,121214.5182,8.3142,0.936,2.0
2013-05-31,66.55,1916366.0,111651.5735,7.6582,0.8622,2.0
2013-06-30,56.5,4852472.0,94790.5921,6.5017,0.732,2.0
2013-07-31,54.45,3168907.0,91351.2874,6.2658,0.7054,2.0
2013-08-31,54.75,2570383.0,91854.6003,6.3003,0.7093,2.8
2013-09-30,55.6,1305157.0,93280.6535,6.3982,0.7203,2.8
2013-10-31,57.15,1709272.0,95881.1033,6.5765,0.7404,2.8
2013-11-30,59.7,6583735.0,100159.2628,6.87,0.7734,2.8
2013-12-31,63.65,6763403.0,106786.2157,7.3245,0.8246,2.8
2014-01-31,57.85,3313648.0,97055.5001,6.6571,0.7495,2.8
2014-02-28,55.75,1771619.0,93532.3099,6.4154,0.7222,2.8
2014-03-31,61.15,3156682.0,102591.9417,6.8324,0.7379,2.8
2014-04-30,69.6,9006703.0,116768.5878,7.7765,0.8399,2.8
2014-05-31,94.85,16783002.0,159130.7551,10.5978,1.1446,2.8
2014-06-30,99.45,11331066.0,166848.2192,11.1117,1.2001,2.8
2014-07-31,91.65,5916589.0,153762.0844,10.2402,1.106,2.8
2014-08-31,86.15,4086581.0,144534.6816,9.6257,1.0396,2.8
2014-09-30,82.65,4122867.0,138662.698,9.2346,0.9974,2.8
2014-10-31,86.9,2292396.0,145792.9638,9.7095,1.0487,2.8
2014-11-30,84.1,5228866.0,141095.3769,9.3966,1.0149,2.8
2014-12-31,80.0,2338184.0,134216.7676,8.9385,0.9654,2.8
2015-01-31,78.25,2420372.0,131280.7758,8.743,0.9443,2.8
2015-02-28,78.55,3270546.0,131784.1174,8.7765,0.9479,3.6
2015-03-31,69.55,2172217.0,116684.7023,7.3879,0.7844,3.6
2015-04-30,76.4,2587428.0,128177.013,8.1156,0.8617,3.6
2015-05-31,73.05,1004791.0,122556.6859,7.7597,0.8239,3.6
2015-06-30,81.65,9690178.0,136984.9884,8.6732,0.9209,3.6
2015-07-31,82.25,4418915.0,137991.6142,8.737,0.9276,3.6
2015-08-31,74.35,7521742.0,124737.7084,7.8978,0.8385,3.6
2015-09-30,72.35,1445316.0,121382.2892,7.6853,0.816,2.8
2015-10-31,79.95,3247792.0,134132.8821,8.4926,0.9017,2.8
2015-11-30,82.6,2287074.0,138578.8125,8.7741,0.9316,2.8
2015-12-31,81.7,2408314.0,137068.8739,8.6785,0.9214,2.8
2016-01-31,72.6,1543077.0,121801.7166,7.7119,0.8188,2.8
2016-02-29,64.15,4826287.0,107625.0705,6.8143,0.7235,2.5
2016-03-31,71.15,4881274.0,119369.0377,12.0343,0.9339,2.8
2016-04-30,69.9,1884804.0,117271.9007,11.8228,0.9175,2.8
2016-05-31,68.7,3945650.0,115258.6492,11.6199,0.9017,2.8
2016-06-30,71.95,2816462.0,120711.2053,12.1696,0.9444,2.8
2016-07-31,76.3,6614418.0,128009.2421,12.9053,1.0015,2.8
2016-08-31,77.75,2215589.0,130441.921,13.1506,1.0205,2.8
2016-09-30,71.9,2833590.0,120627.3199,12.1611,0.9437,2.4
2016-10-31,81.55,3402156.0,136817.2174,13.7933,1.0704,2.4
2016-11-30,78.4,3088014.0,131532.4322,13.2605,1.029,2.4
2016-12-31,76.2,2409163.0,127841.4711,12.8884,1.0002,2.4
2017-01-31,93.65,8016359.0,157117.5035,15.8399,1.2292,2.4
2017-02-28,92.25,5252402.0,154768.7101,15.6031,1.2108,2.4
2017-03-31,107.35,18471829.0,164091.8177,5.4172,1.3532,8.54
2017-04-30,105.3,4906874.0,160958.2525,5.3138,1.3273,8.54
2017-05-31,105.65,4449467.0,161493.2515,5.3315,1.3317,8.54
2017-06-30,100.0,4525583.0,152856.84,5.0463,1.2605,8.54
2017-07-31,101.0,5486730.0,154385.4084,5.0968,1.2731,8.54
2017-08-31,93.6,4985935.0,143074.0022,4.7234,1.1798,8.54
2017-09-30,93.95,10098985.0,143609.0012,4.741,1.1843,8.54
2017-10-31,99.05,30912013.0,151404.7,4.9984,1.2485,8.54
2017-11-30,104.65,31164680.0,159964.6831,5.281,1.3191,7.34
2017-12-31,109.6,17583609.0,167531.0966,5.5308,1.3815,7.34
2018-01-31,103.8,31114849.0,158665.4058,5.2381,1.3084,7.34
2018-02-28,98.05,12811514.0,149876.1343,4.9479,1.2359,7.34
2018-03-31,83.75,12090552.0,128017.6058,6.3823,0.9588,11.57
2018-04-30,88.0,6397130.0,134514.0216,6.7062,1.0074,11.57
2018-05-31,85.95,5454296.0,131380.4563,6.55,0.984,4.23
2018-06-30,81.75,8955386.0,124960.4689,6.2299,0.9359,4.23
2018-07-31,77.75,6782356.0,118846.1952,5.9251,0.8901,4.5
2018-08-31,77.3,3959182.0,118158.3394,5.8908,0.885,4.5
2018-09-30,66.85,8653000.0,102184.7993,5.0944,0.7653,4.5
2018-10-31,81.1,26986278.0,123966.8994,6.1804,0.9285,4.5
2018-11-30,80.55,4604940.0,123126.1868,6.1385,0.9222,4.5
2018-12-31,69.65,18705377.0,106464.7909,5.3078,0.7974,4.5
2019-01-31,64.35,7384844.0,98363.3783,4.9039,0.7367,4.5
2019-02-28,60.75,9757157.0,84238.174,4.6296,0.6955,4.5
2019-03-31,69.4,22065301.0,96232.5807,31.9936,0.7536,4.8
2019-04-30,65.6,14124735.0,90963.3616,30.2418,0.7124,4.8
2019-05-31,65.1,11486239.0,90270.0432,30.0113,0.7069,4.8
2019-06-30,65.5,25287364.0,90824.6979,30.1957,0.7113,4.8
2019-07-31,58.05,20920027.0,80494.2552,26.7612,0.6304,4.53
2019-08-31,54.25,13695358.0,75225.036,25.0094,0.5891,4.53
2019-09-30,57.1,6843177.0,79176.9504,26.3233,0.62,4.53
2019-10-31,58.35,11855197.0,80910.2461,26.8995,0.6336,4.53
2019-11-30,55.0,9423003.0,76265.0135,25.3552,0.5972,4.53
2019-12-31,57.15,5712348.0,79246.2822,26.3463,0.6206,4.53
2020-01-31,58.7,16775179.0,81395.5689,27.0609,0.6374,4.53
2020-02-29,59.95,41791507.0,83128.8647,27.6371,0.651,4.53
2020-03-31,43.9,40861047.0,60873.3471,4.6273,0.4717,7.06
2020-04-30,45.25,11936748.0,62745.3066,4.7696,0.4862,7.06
2020-05-31,41.75,10034632.0,57892.0784,4.4007,0.4486,7.06
2020-06-30,46.15,30135910.0,63993.2795,4.8644,0.4959,7.06
2020-07-31,47.7,30216508.0,66142.5662,5.0278,0.5125,7.06
2020-08-31,52.3,17088622.0,72521.0947,5.5127,0.562,7.06
2020-09-30,49.5,10174140.0,68638.5121,5.2176,0.5319,7.06
2020-10-31,48.8,11550073.0,67667.8671,5.1438,0.5243,7.06
2020-11-30,51.2,11756475.0,70995.795,5.3967,0.5501,7.06
2020-12-31,55.05,26868298.0,76334.346,5.8026,0.5915,7.06
2021-01-31,51.3,21420115.0,71134.4587,5.4073,0.5512,7.06
2021-02-28,52.85,52360443.0,73283.7454,5.5707,0.5679,8.06
2021-03-31,50.4,51354951.0,69886.4857,5.4522,0.5183,8.06
2021-04-30,47.6,21662915.0,66003.9032,5.1493,0.4895,8.06
2021-05-31,60.15,245966365.0,83406.1928,6.5069,0.6185,1.0
2021-06-30,61.05,194187132.0,84654.1657,6.6043,0.6278,1.0
2021-07-31,59.3,62522826.0,82227.5509,6.415,0.6098,1.0
2021-08-31,52.65,45466734.0,73006.4175,5.6956,0.5414,1.0
2021-09-30,61.35,81456857.0,85070.156,6.6367,0.6309,2.5
2021-10-31,63.65,226712314.0,88259.4202,6.8855,0.6545,2.5
2021-11-30,57.25,81671797.0,79384.9459,6.1932,0.5887,2.5
2021-12-31,62.05,38750440.0,86040.8016,6.7125,0.6381,2.5
2022-01-31,66.75,87448470.0,92557.9937,7.2209,0.6864,2.5
2022-02-28,62.3,116654907.0,86387.4607,6.7395,0.6406,2.5
2022-03-31,62.55,67103295.0,86734.1199,7.9378,0.6113,3.0
2022-04-30,81.8,309824773.0,113426.8746,10.3807,0.7994,3.0
2022-05-31,75.45,242228333.0,104621.7321,9.5749,0.7373,3.0
2022-06-30,63.65,69438300.0,88259.4202,8.0774,0.622,3.0
2022-07-31,67.95,53527606.0,94221.9576,8.6231,0.664,3.0
2022-08-31,76.8,84598085.0,106493.6916,9.7462,0.7505,3.0
2022-09-30,68.05,79873697.0,94360.6212,8.6358,0.665,3.0
2022-10-31,77.05,55462059.0,106840.3507,9.7779,0.753,3.0
2022-11-30,84.85,123055482.0,117656.1163,10.7678,0.8292,3.0
2022-12-31,86.1,149212280.0,119389.412,10.9264,0.8414,3.0
2023-01-31,78.05,50918174.0,108226.9873,9.9048,0.7627,3.0
2023-02-28,78.85,45286492.0,109336.2966,10.0063,0.7706,3.0
2023-03-31,77.15,34620148.0,106979.0144,7.665,0.7053,3.0
2023-04-30,81.45,22636910.0,112941.5518,8.0922,0.7446,3.0
2023-05-31,94.65,87692045.0,131245.155,9.4037,0.8652,3.0
2023-06-30,108.45,79884687.0,150380.7402,10.7747,0.9914,3.0
2023-07-31,116.9,67617596.0,162097.8196,11.6143,1.0686,3.0
2023-08-31,130.4,64987097.0,180817.4138,12.9555,1.192,3.0
2023-09-30,134.95,60843637.0,187126.6104,13.4076,1.2336,3.5
2023-10-31,134.0,57820095.0,185809.3056,13.3132,1.2249,3.5
2023-11-30,170.35,83944872.0,236213.5463,16.9246,1.5572,3.5
2023-12-31,253.45,180983172.0,351443.0486,25.1808,2.3169,3.5
2024-01-31,259.3,149707436.0,359554.8727,25.762,2.3704,3.5
2024-02-29,222.45,177736692.0,308457.3137,22.1009,2.0335,3.5
2024-03-31,228.1,236013991.0,316291.8105,17.0593,1.9133,3.5
2024-04-30,242.35,132620768.0,336051.3822,18.125,2.0328,3.5
2024-05-31,236.5,133276780.0,327939.558,17.6875,1.9838,3.5
2024-06-30,240.15,129246917.0,333000.7817,17.9605,2.0144,3.5
2024-07-31,287.86,279984771.0,399157.2143,21.5286,2.4146,3.5
2024-08-31,275.1,76676079.0,381463.7311,20.5743,2.3076,3.5
2024-09-30,282.5,79224284.0,391724.842,21.1278,2.3696,3.0
2024-10-31,257.5,46043474.0,357058.9268,19.2581,2.1599,3.0
2024-11-30,258.85,31200535.0,358930.8862,19.359,2.1713,3.0
2024-12-31,248.8,32305050.0,344995.1883,18.6074,2.087,3.0
2025-01-31,221.92,35454820.0,307722.3963,16.5971,1.8615,3.0
2025-02-28,207.04,95760475.0,287089.2435,15.4842,1.7367,3.0
2025-03-31,244.67,73474442.0,339268.3791,12.5023,1.812,3.0
2025-04-30,227.58,23957740.0,315570.7595,11.629,1.6855,3.0
2025-05-31,241.72,46397637.0,335177.8011,12.3516,1.7902,3.0
2025-06-30,230.27,24881384.0,319300.812,11.7665,1.7054,3.0
2025-07-31,242.25,41188753.0,335912.7185,12.3786,1.7941,3.0
2025-08-31,225.15,20356793.0,312201.2325,11.5049,1.6675,3.0
2025-09-30,285.32,94017503.0,395635.1573,14.5795,2.1131,3.0
2025-10-31,262.3,48913465.0,363714.7825,13.4032,1.9426,3.0
2025-11-30,243.2,19059213.0,337230.0233,12.4272,1.8012,3.0
2025-12-31,250.22,27468909.0,346964.2123,12.7859,1.8531,3.0
2026-01-31,259.1,44171362.0,359277.5454,13.2397,1.9189,5.1
2026-02-28,260.05,34167426.0,360594.8502,13.2882,1.9259,5.1
2026-03-31,253.7,5822846.0,351789.7035,12.9637,1.8789,5.1
