LLOYDSME IN Equity,price,volume,mc,pe,bm,div
2021-05-31,29.55,6604831.0,7439.1894,2955.0,4.1131,0.0
2021-06-30,50.8,14826497.0,12788.8603,5080.0,7.0708,0.0
2021-07-31,55.7,6465059.0,15506.8366,5570.0,7.7529,0.0
2021-08-31,66.3,8521491.0,24424.8682,6630.0,9.2283,0.0
2021-09-30,91.1,3307286.0,33590.3204,9110.0,12.6802,0.0
2021-10-31,89.45,3321623.0,32981.9337,8945.0,12.4505,0.0
2021-11-30,78.75,1616797.0,29036.6381,7875.0,10.9612,0.0
2021-12-31,100.4,2317554.0,37019.4091,10040.0,13.9747,0.0
2022-01-31,129.8,7424349.0,47859.754,12980.0,18.0668,0.0
2022-02-28,115.8,5205262.0,42697.685,11580.0,16.1182,0.0
2022-03-31,132.65,16359097.0,48910.6037,46.3811,10.2022,0.0
2022-04-30,203.05,5154909.0,74868.4364,70.9965,15.6168,0.0
2022-05-31,142.25,6735543.0,52450.3082,49.7378,10.9406,0.0
2022-06-30,139.9,2767928.0,62216.2214,48.9161,10.7598,0.0
2022-07-31,139.8,3610513.0,62171.747,48.8811,10.7521,0.0
2022-08-31,139.15,2640048.0,61882.6795,48.6538,10.7022,0.5
2022-09-30,178.1,9934283.0,79204.4931,62.2727,13.6978,0.5
2022-10-31,195.35,2997055.0,86875.8996,68.3042,15.0245,0.5
2022-11-30,165.8,2855872.0,73751.8557,57.972,12.7518,0.5
2022-12-31,245.3,6375165.0,109115.3812,85.7692,18.8662,0.5
2023-01-31,290.1,5652696.0,129043.5062,101.4336,22.3119,0.5
2023-02-28,279.5,2902135.0,124328.3695,97.7273,21.4966,0.5
2023-03-31,284.7,4737026.0,126641.4554,98.3042,9.4081,0.5
2023-04-30,323.4,2256431.0,163260.1527,,10.6869,0.5
2023-05-31,319.6,2610644.0,161341.8207,,10.5614,0.5
2023-06-30,395.7,3447503.0,199758.9439,,13.0761,0.5
2023-07-31,629.05,17530364.0,317559.6756,,20.7873,0.5
2023-08-31,536.9,12117437.0,271040.1237,,17.7422,0.5
2023-09-30,536.1,3390963.0,270636.2643,,17.7157,0.5
2023-10-31,515.45,7195032.0,260211.6442,,17.0333,0.0
2023-11-30,524.9,3555039.0,264982.2331,,17.3456,0.0
2023-12-31,599.8,8218888.0,302793.5672,,19.8207,0.0
2024-01-31,566.6,6552202.0,286276.6529,,18.7236,0.0
2024-02-29,595.7,7238154.0,300979.5308,,19.6852,0.0
2024-03-31,602.0,11287824.0,304162.6281,24.4517,10.8117,0.0
2024-04-30,742.2,11251126.0,374999.1737,30.1462,13.3297,0.0
2024-05-31,680.3,7062124.0,343723.9799,27.632,12.218,0.0
2024-06-30,732.2,9668906.0,369946.6383,29.74,13.1501,0.0
2024-07-31,731.45,21186718.0,382368.0732,29.7096,13.1366,0.0
2024-08-31,774.45,14735750.0,404846.4752,31.4561,13.9089,1.0
2024-09-30,948.35,15179432.0,495753.3149,38.5195,17.0321,1.0
2024-10-31,972.85,13042545.0,508617.3088,39.5146,17.4721,1.0
2024-11-30,1039.5,7871272.0,543462.705,42.2218,18.6691,1.0
2024-12-31,1231.85,16856272.0,644025.5249,50.0345,22.1237,1.0
2025-01-31,1239.1,21681016.0,648349.094,50.329,22.2539,1.0
2025-02-28,1021.1,10023377.0,534282.35,41.4744,18.3387,1.0
2025-03-31,1287.25,10869021.0,673543.1937,46.4498,10.1589,1.0
2025-04-30,1203.2,10880197.0,629564.7082,43.4169,9.4956,1.0
2025-05-31,1393.1,10641907.0,728928.3536,50.2693,10.9943,1.0
2025-06-30,1588.9,15160385.0,831379.1264,57.3347,12.5396,1.0
2025-07-31,1504.7,8251168.0,787467.7283,54.2963,11.8751,1.0
2025-08-31,1288.8,6226363.0,674491.2014,46.5057,10.1712,1.0
2025-09-30,1225.0,5945517.0,641101.5842,44.2035,9.6677,1.0
2025-10-31,1304.8,6867738.0,686909.6531,47.0831,10.2974,1.0
2025-11-30,1220.4,7541830.0,642477.4223,44.0375,9.6314,1.0
2025-12-31,1321.3,15709402.0,698310.0494,47.6785,10.4277,1.0
2026-01-31,1103.8,7227729.0,584009.6391,39.8301,8.7112,1.0
2026-02-28,1233.0,18145367.0,652368.0785,44.4922,9.7308,1.0
2026-03-31,1208.7,5245635.0,639511.1635,43.6153,9.539,1.0
