CPBI IN Equity,price,volume,mc,pe,bm,div
2011-07-31,38.17,2302671.0,15829.8265,5.4838,1.3495,1.25
2011-08-31,34.69,892100.0,14385.702,4.9836,1.2264,2.0
2011-09-30,31.79,553634.0,13185.9678,4.5679,1.1241,2.0
2011-10-31,31.87,156230.0,13219.2937,4.5795,1.1269,2.0
2011-11-30,25.93,976277.0,10753.1734,3.7252,0.9167,2.0
2011-12-31,25.18,673500.0,10442.1312,3.6174,0.8902,2.0
2012-01-31,28.5,1193344.0,11819.6038,4.0946,1.0076,2.0
2012-02-29,30.8,977690.0,12774.9477,4.4256,1.0891,2.0
2012-03-31,31.61,789515.0,13108.2072,5.7153,0.9664,2.0
2012-04-30,33.0,1354383.0,13685.8571,5.9671,1.009,2.0
2012-05-31,29.38,511064.0,12186.1893,5.3132,0.8984,2.0
2012-06-30,28.71,75516.0,11908.473,5.1922,0.878,1.0
2012-07-31,26.78,616247.0,11108.6502,4.8434,0.819,1.0
2012-08-31,27.32,187963.0,11330.8232,4.9403,0.8354,1.0
2012-09-30,32.25,660834.0,13374.8148,5.8315,0.9861,1.0
2012-10-31,32.25,341246.0,13374.8148,5.8315,0.9861,0.0
2012-11-30,31.44,1531252.0,13041.5553,5.6862,0.9615,0.0
2012-12-31,30.56,726221.0,12674.9699,5.5264,0.9345,0.0
2013-01-31,31.15,2391767.0,12919.3602,5.6329,0.9525,0.0
2013-02-28,28.93,1134010.0,11997.3422,5.2309,0.8845,0.0
2013-03-31,29.06,226544.0,12052.8855,11.7181,2.5239,0.0
2013-04-30,27.61,85437.0,11453.0184,11.1349,2.3983,0.0
2013-05-31,28.07,128422.0,11641.8654,11.3185,2.4378,0.0
2013-06-30,25.71,158462.0,10664.3042,10.3681,2.2331,0.0
2013-07-31,31.85,228708.0,7076.2102,12.8427,2.7661,0.0
2013-08-31,24.3,107874.0,5398.804,9.7984,2.1104,0.0
2013-09-30,29.4,131504.0,6531.8863,11.8548,2.5533,0.25
2013-10-31,28.05,86906.0,6231.9528,11.3105,2.4361,0.25
2013-11-30,25.45,85021.0,5654.303,10.2621,2.2103,0.25
2013-12-31,25.4,7934969.0,5643.1943,10.2419,2.206,0.25
2014-01-31,24.0,6160208.0,5332.1521,9.6774,2.0844,0.25
2014-02-28,22.5,7457342.0,4998.8926,9.0726,1.9541,0.25
2014-03-31,27.3,5060210.0,6065.323,10.0738,2.0695,0.25
2014-04-30,36.95,9872927.0,8209.2925,13.6347,2.801,0.25
2014-05-31,61.1,39623236.0,13574.7706,22.5461,4.6317,0.25
2014-06-30,82.5,30671461.0,18329.2728,30.4428,6.2539,0.25
2014-07-31,86.5,29417320.0,19217.9649,31.9188,6.5572,0.25
2014-08-31,90.2,7876445.0,20040.005,33.2841,6.8376,1.25
2014-09-30,116.2,18827285.0,25816.5031,42.8782,8.8086,1.0
2014-10-31,137.95,8992087.0,30648.7659,50.9041,10.4574,1.0
2014-11-30,170.65,15654533.0,37913.8232,62.9705,12.9362,1.0
2014-12-31,158.85,10988223.0,35292.1817,58.6162,12.0417,1.0
2015-01-31,183.75,21385891.0,40824.2895,67.8044,13.9292,1.75
2015-02-28,234.0,24085360.0,51988.483,86.3469,17.7385,1.75
2015-03-31,233.65,9126037.0,51910.7224,34.8731,13.3315,1.75
2015-04-30,204.3,9837640.0,45389.9447,30.4925,11.6568,1.75
2015-05-31,209.3,17027496.0,46500.8098,31.2388,11.9421,1.75
2015-06-30,196.25,11308175.0,43601.4521,29.291,11.1975,1.75
2015-07-31,208.55,24599446.0,46334.18,31.1269,11.8993,1.75
2015-08-31,153.35,14595281.0,34070.2302,22.8881,8.7498,2.0
2015-09-30,155.65,9017783.0,34581.2281,23.2313,8.881,2.0
2015-10-31,175.0,8388472.0,38880.2757,26.1194,9.985,2.0
2015-11-30,192.1,6075310.0,42679.4341,28.6716,10.9607,2.0
2015-12-31,169.5,6149431.0,37658.3242,25.2985,9.6712,2.0
2016-01-31,149.5,5548540.0,33214.8641,22.3134,8.5301,1.25
2016-02-29,149.0,2477403.0,33103.7776,22.2388,8.5016,1.25
