ATGL IN Equity,price,volume,mc,pe,bm,div
2023-07-31,663.7,16398640.0,729943.9521,133.5412,24.8199,0.25
2023-08-31,635.8,19839452.0,699259.2508,127.9276,23.7766,0.25
2023-09-30,613.25,13069648.0,674458.5334,123.3903,22.9333,0.25
2023-10-31,564.3,22439148.0,620622.8298,113.5412,21.1027,0.25
2023-11-30,708.8,45618152.0,779545.3868,142.6157,26.5065,0.25
2023-12-31,987.95,159961473.0,1086557.372,198.7827,36.9457,0.25
2024-01-31,1012.35,64549205.0,1113392.738,203.6922,37.8581,0.25
2024-02-29,1025.65,78733474.0,1128020.212,206.3682,38.3555,0.25
2024-03-31,926.55,64025528.0,1019029.032,152.6442,28.462,0.25
2024-04-30,929.1,28583522.0,1021833.548,153.0643,28.5403,0.25
2024-05-31,1039.3,49649386.0,1143032.619,171.2191,31.9254,0.25
2024-06-30,896.0,56114826.0,985429.8344,147.6112,27.5235,0.25
2024-07-31,895.55,48466153.0,984934.9198,147.5371,27.5097,0.25
2024-08-31,830.35,84876941.0,913227.3024,136.7957,25.5069,0.25
2024-09-30,786.5,30840534.0,865000.6303,129.5717,24.1599,0.25
2024-10-31,718.35,16386729.0,790048.5731,118.3443,22.0664,0.25
2024-11-30,812.35,79818570.0,893430.7209,133.8303,24.9539,0.25
2024-12-31,761.05,40230847.0,837010.4637,125.3789,23.3781,0.25
2025-01-31,643.1,37464503.0,707287.8644,105.9473,19.7549,0.25
2025-02-28,557.15,14607633.0,612759.1877,91.7875,17.1146,0.25
2025-03-31,602.6,27449161.0,662745.556,101.2773,15.7532,0.25
2025-04-30,600.2,16914667.0,660106.0118,100.8739,15.6905,0.25
2025-05-31,683.75,44288404.0,751995.1443,114.916,17.8746,0.25
2025-06-30,675.75,41317187.0,743196.6636,113.5714,17.6655,0.25
2025-07-31,604.1,14564900.0,664395.2711,101.5294,15.7924,0.25
2025-08-31,591.1,15053717.0,650097.7401,99.3445,15.4526,0.25
2025-09-30,625.3,105872546.0,687711.2449,105.0924,16.3466,0.25
2025-10-31,631.6,28178919.0,694640.0484,106.1513,16.5113,0.25
2025-11-30,606.65,11074869.0,667199.7869,101.958,15.8591,0.25
2025-12-31,566.7,9609147.0,623262.374,95.2437,14.8147,0.25
2026-01-31,526.95,25789777.0,579544.9232,88.563,13.7756,0.25
2026-02-28,512.0,9430959.0,563102.7625,86.0504,13.3847,0.25
2026-03-31,485.0,2088081.0,533407.8903,81.5126,12.6789,0.25
