ZYDUSLIF IN Equity,price,volume,mc,pe,bm,div
2014-08-31,240.06,9864465.0,245759.6612,30.5809,7.1463,1.8
2014-09-30,264.41,14636610.0,270687.7935,33.6828,7.8711,1.8
2014-10-31,280.87,7752645.0,287538.5839,35.7796,8.3611,1.8
2014-11-30,309.43,9740370.0,316776.6726,39.4178,9.2113,1.8
2014-12-31,319.94,8638160.0,327536.1945,40.7567,9.5242,1.8
2015-01-31,327.67,20019350.0,335449.7376,41.7414,9.7543,1.8
2015-02-28,309.3,16249475.0,316644.3176,39.4013,9.2074,1.8
2015-03-31,348.36,23183225.0,356630.9848,30.9929,8.3882,1.8
2015-04-30,340.36,16163780.0,348441.044,30.2811,8.1955,1.8
2015-05-31,376.48,17727380.0,385418.6139,33.4947,9.0653,1.8
2015-06-30,359.33,14346520.0,367861.4283,31.9689,8.6523,1.8
2015-07-31,377.37,14824600.0,386329.7448,33.5738,9.0867,2.4
2015-08-31,379.64,15509325.0,388653.6277,33.7758,9.1413,2.4
2015-09-30,418.34,16614020.0,428272.4663,37.2189,10.0732,2.4
2015-10-31,416.8,23362184.0,426695.8964,37.0819,10.0361,2.4
2015-11-30,400.9,51501627.0,410418.3898,35.6673,9.6533,2.4
2015-12-31,327.55,53781128.0,335326.8735,29.1415,7.8871,2.4
2016-01-31,304.2,66008262.0,311422.4848,27.0641,7.3248,2.4
2016-02-29,314.6,30199660.0,322069.4074,27.9893,7.5753,2.4
2016-03-31,316.9,25109144.0,324424.0153,16.7756,5.6924,3.2
2016-04-30,327.6,16262283.0,335378.0606,17.3421,5.8847,3.2
2016-05-31,336.4,16722316.0,344386.9951,17.8079,6.0427,3.2
2016-06-30,328.2,15966159.0,335992.3061,17.3738,5.8954,3.2
2016-07-31,366.9,24295954.0,375611.143,19.4225,6.5906,3.2
2016-08-31,380.9,26788038.0,389943.5387,20.1636,6.8421,3.2
2016-09-30,387.8,16417037.0,397007.3623,20.5288,6.966,3.2
2016-10-31,418.9,13980617.0,428845.7557,22.1752,7.5247,3.2
2016-11-30,401.7,18358022.0,411237.3838,21.2647,7.2157,3.2
2016-12-31,356.65,11740389.0,365117.7818,18.8799,6.4065,3.2
2017-01-31,350.55,25735200.0,358872.9522,18.557,6.2969,3.2
2017-02-28,440.25,44449412.0,450702.6593,23.3054,7.9082,3.2
2017-03-31,442.0,25069539.0,452494.2087,30.3571,6.5014,3.2
2017-04-30,440.25,14614106.0,450702.6593,30.237,6.4756,3.2
2017-05-31,464.1,26202593.0,475118.9192,31.875,6.8264,3.2
2017-06-30,525.15,42940496.0,537618.4021,36.068,7.7244,3.2
2017-07-31,543.65,23174004.0,556557.6393,37.3386,7.9965,3.2
2017-08-31,500.0,31772792.0,511871.2769,34.3407,7.3545,3.2
2017-09-30,470.35,28637494.0,481517.3101,32.3043,6.9184,3.2
2017-10-31,503.45,15117710.0,515403.1887,34.5776,7.4052,3.2
2017-11-30,428.75,28571988.0,438929.6303,29.4471,6.3065,3.2
2017-12-31,433.5,22628246.0,443792.4076,29.7734,6.3763,3.2
2018-01-31,425.8,19334790.0,435909.5897,29.2445,6.2631,3.2
2018-02-28,405.1,24823852.0,414718.1273,27.8228,5.9586,3.2
2018-03-31,377.85,18199774.0,386821.1414,21.5545,4.4236,3.2
2018-04-30,412.35,23634171.0,422140.2611,23.5225,4.8275,3.2
2018-05-31,361.3,33173340.0,369878.2014,20.6104,4.2298,0.0
2018-06-30,377.4,40071237.0,386360.4572,21.5288,4.4183,0.0
2018-07-31,381.45,32898058.0,390506.6148,21.7598,4.4657,3.5
2018-08-31,402.75,83785970.0,412312.3322,22.9749,4.7151,3.5
2018-09-30,385.95,54271957.0,395113.4565,22.0165,4.5184,3.5
2018-10-31,360.05,33001678.0,368598.5231,20.5391,4.2152,3.5
2018-11-30,365.3,22429877.0,373973.1718,20.8386,4.2767,3.5
2018-12-31,348.45,20718397.0,356723.109,19.8774,4.0794,3.5
2019-01-31,318.95,21662459.0,326522.7023,18.1945,3.734,3.5
2019-02-28,318.7,30603568.0,326266.7666,18.1803,3.7311,3.5
2019-03-31,347.05,25747280.0,355289.8693,19.2165,3.4208,3.5
2019-04-30,325.45,16769976.0,333177.0292,18.0205,3.2079,3.5
2019-05-31,248.0,106818109.0,253888.1648,13.732,2.4445,3.5
2019-06-30,241.7,48176145.0,247438.5864,13.3832,2.3824,3.5
2019-07-31,227.8,30920188.0,233208.5643,12.6135,2.2453,3.5
2019-08-31,225.25,39153362.0,230598.0207,12.4723,2.2202,3.5
2019-09-30,233.3,27986880.0,238839.1486,12.9181,2.2996,3.5
2019-10-31,251.75,18102609.0,257727.1996,13.9396,2.4814,3.5
2019-11-30,254.15,39790656.0,260184.1818,14.0725,2.5051,3.5
2019-12-31,254.3,37363859.0,260337.7432,14.0808,2.5065,3.5
2020-01-31,265.55,35107340.0,271854.8474,14.7038,2.6174,3.5
2020-02-29,260.05,35584786.0,266224.2631,14.3992,2.5632,3.5
2020-03-31,267.25,62951689.0,273595.2099,23.2594,2.6369,3.5
2020-04-30,323.95,197654855.0,331641.5449,28.1941,3.1963,3.5
2020-05-31,344.6,102240731.0,352781.7,29.9913,3.4001,3.5
2020-06-30,353.1,103940660.0,361483.5121,30.7311,3.4839,3.5
2020-07-31,388.4,104452091.0,397621.6258,33.8033,3.8322,3.5
2020-08-31,371.25,122001290.0,380064.4403,32.3107,3.663,3.5
2020-09-30,395.05,113328910.0,404429.5141,34.3821,3.8979,3.5
2020-10-31,417.7,104215531.0,427617.2748,36.3534,4.1213,3.5
2020-11-30,450.1,130679984.0,460786.5344,39.1732,4.441,3.5
2020-12-31,476.75,92442502.0,488069.2741,41.4926,4.704,3.5
2021-01-31,451.5,65443123.0,462219.774,39.295,4.4548,3.5
2021-02-28,435.2,74286824.0,445532.7699,37.8764,4.294,3.5
2021-03-31,440.9,39652264.0,451368.1026,20.4974,3.4741,3.5
2021-04-30,571.15,282019058.0,584710.5734,26.5528,4.5004,3.5
2021-05-31,618.3,219700581.0,632980.036,28.7448,4.872,0.0
2021-06-30,645.2,113326456.0,660518.7113,29.9954,5.0839,0.0
2021-07-31,586.1,69478523.0,600015.5379,27.2478,4.6182,3.5
2021-08-31,554.15,90720559.0,567306.9618,25.7624,4.3665,3.5
2021-09-30,551.85,41751517.0,564952.3538,25.6555,4.3484,3.5
2021-10-31,502.8,35930800.0,514737.7793,23.3752,3.9619,3.5
2021-11-30,465.25,46486956.0,476296.2447,21.6295,3.666,3.5
2021-12-31,483.15,52535330.0,494621.2372,22.4616,3.807,3.5
2022-01-31,406.5,52372677.0,416151.3669,18.8982,3.2031,3.5
2022-02-28,360.4,40192167.0,368956.833,16.755,2.8398,3.5
2022-03-31,348.5,30082745.0,356774.2961,15.9132,2.0987,3.5
2022-04-30,352.1,19696657.0,360459.7695,16.0776,2.1204,3.5
2022-05-31,378.35,44440122.0,387333.0127,17.2763,2.2785,3.5
2022-06-30,357.0,18924971.0,365476.1082,16.3014,2.1499,3.5
2022-07-31,346.8,26156490.0,351032.3954,15.8356,2.0885,2.5
2022-08-31,378.2,35966801.0,382815.6054,17.2694,2.2776,2.5
2022-09-30,386.9,27438117.0,391621.7814,17.6667,2.33,2.5
2022-10-31,433.35,34954733.0,438638.6636,19.7877,2.6097,2.5
2022-11-30,409.9,27377937.0,414902.4766,18.7169,2.4685,2.5
2022-12-31,419.95,20515855.0,425075.1282,19.1758,2.529,2.5
2023-01-31,431.55,25156643.0,436816.6962,19.7055,2.5989,2.5
2023-02-28,465.8,26994173.0,471484.6879,21.2694,2.8051,2.5
2023-03-31,491.55,20655274.0,497548.9445,25.4031,2.8406,2.5
2023-04-30,519.9,16912055.0,526244.9319,26.8682,3.0044,2.5
2023-05-31,502.3,23054789.0,508430.139,25.9587,2.9027,2.5
2023-06-30,583.05,27584437.0,590165.6232,30.1318,3.3693,2.5
2023-07-31,632.25,18441588.0,639966.0669,32.6744,3.6537,6.0
2023-08-31,625.85,28713587.0,633487.9604,32.3437,3.6167,6.0
2023-09-30,615.0,26914389.0,622505.5455,31.7829,3.554,6.0
2023-10-31,573.55,21044886.0,580549.6839,29.6408,3.3144,6.0
2023-11-30,637.55,23046866.0,645330.7488,32.9483,3.6843,6.0
2023-12-31,689.2,37505573.0,697611.0926,35.6176,3.9828,6.0
2024-01-31,760.8,27159415.0,770084.909,39.3178,4.3965,6.0
2024-02-29,941.9,31937922.0,953395.0785,48.677,5.4431,6.0
2024-03-31,1007.35,24464438.0,1013629.81,26.5721,5.1117,6.0
2024-04-30,953.55,27806865.0,959494.4212,25.153,4.8387,6.0
2024-05-31,1000.15,42304210.0,1006384.925,26.3822,5.0752,6.0
2024-06-30,1073.95,29952229.0,1080644.994,28.3289,5.4497,6.0
2024-07-31,1247.2,40279366.0,1254975.032,32.899,6.3288,3.0
2024-08-31,1127.9,91272303.0,1134931.317,29.752,5.7234,3.0
2024-09-30,1068.55,35708579.0,1075211.33,28.1865,5.4223,3.0
2024-10-31,1001.25,26656933.0,1007491.783,26.4112,5.0808,3.0
2024-11-30,965.95,21582798.0,971971.7226,25.4801,4.9016,3.0
2024-12-31,971.7,23783764.0,977757.5681,25.6318,4.9308,3.0
2025-01-31,970.25,28422899.0,976298.5288,25.5935,4.9235,3.0
2025-02-28,876.6,29450752.0,882064.7156,23.1232,4.4482,3.0
2025-03-31,886.4,24030451.0,891925.8087,19.7109,3.7236,3.0
2025-04-30,888.25,44590340.0,893787.3416,19.7521,3.7314,3.0
2025-05-31,930.0,22887107.0,935797.6107,20.6805,3.9068,3.0
2025-06-30,989.95,22773242.0,996121.3384,22.0136,4.1586,3.0
2025-07-31,969.8,21235378.0,975845.7235,21.5655,4.074,11.0
2025-08-31,981.05,20532448.0,987165.8559,21.8157,4.1212,11.0
2025-09-30,981.9,23411055.0,988021.1548,21.8346,4.1248,11.0
2025-10-31,974.45,16711180.0,980524.7116,21.6689,4.0935,11.0
2025-11-30,942.5,21577429.0,948375.5356,20.9584,3.9593,11.0
2025-12-31,914.35,14641998.0,920050.0488,20.3324,3.841,11.0
2026-01-31,885.3,11727696.0,890818.9513,19.6865,3.719,11.0
2026-02-28,921.7,17059089.0,927445.8686,20.4959,3.8719,11.0
2026-03-31,914.2,2349162.0,919899.1259,20.3291,3.8404,11.0
