RITE IN Equity,price,volume,mc,pe,bm,div
2023-04-30,192.6,28599400.0,92564.2869,17.0745,3.555,9.0
2023-05-31,187.3,50487664.0,90017.0869,16.6046,3.4572,9.0
2023-06-30,185.98,33368774.0,89380.2869,16.4871,3.4327,9.0
2023-07-31,232.25,109176858.0,111620.2265,20.5895,4.2869,9.0
2023-08-31,250.4,87588862.0,120343.185,22.1986,4.6219,8.875
2023-09-30,246.25,106769328.0,118348.6793,21.8307,4.5453,10.125
2023-10-31,225.78,52814676.0,108508.3171,20.0155,4.1673,10.125
2023-11-30,235.0,33582172.0,112941.8869,20.8333,4.3376,10.125
2023-12-31,251.2,56417628.0,120727.668,22.2695,4.6366,10.125
2024-01-31,371.63,277335660.0,178604.4615,32.9455,6.8594,10.125
2024-02-29,390.65,238511492.0,187747.8643,34.6321,7.2106,9.5
2024-03-31,331.9,127514270.0,159512.3926,35.029,6.1139,9.5
2024-04-30,342.03,58639588.0,164378.5058,36.0976,6.3004,9.5
2024-05-31,348.98,72480870.0,167718.702,36.8311,6.4284,9.5
2024-06-30,345.75,74868358.0,166168.7549,36.4908,6.369,9.5
2024-07-31,357.55,228836284.0,171839.8794,37.7361,6.5864,9.5
2024-08-31,324.7,44189504.0,156052.0454,34.2691,5.9813,8.875
2024-09-30,345.35,80091762.0,165976.5134,36.4485,6.3617,8.375
2024-10-31,300.65,70714635.0,144493.5247,31.7309,5.5383,8.375
2024-11-30,284.8,34502930.0,136875.9548,30.058,5.2463,7.875
2024-12-31,291.65,96884646.0,140168.0907,30.781,5.3725,7.875
2025-01-31,260.85,51951525.0,125365.4944,27.5303,4.8051,7.4
2025-02-28,204.55,39095328.0,98307.502,21.5884,3.768,7.4
2025-03-31,223.37,45820871.0,107352.465,27.8864,4.0662,7.4
2025-04-30,225.12,18372500.0,108193.5216,28.1049,4.098,7.4
2025-05-31,277.44,77077720.0,133338.7111,34.6367,5.0504,7.4
2025-06-30,280.0,61423813.0,134569.0567,34.9563,5.097,7.4
2025-07-31,256.75,49492001.0,123395.019,32.0537,4.6738,7.4
2025-08-31,243.95,7938985.0,117243.2907,30.4557,4.4408,7.45
2025-09-30,246.04,62014560.0,118247.7526,30.7166,4.4788,7.6
2025-10-31,245.48,10357663.0,117978.6144,30.6467,4.4686,7.6
2025-11-30,237.03,20801974.0,113917.5126,29.5918,4.3148,7.85
2025-12-31,242.81,39998485.0,116695.4024,30.3134,4.42,7.85
2026-01-31,228.42,15184821.0,109779.5141,28.5169,4.1581,7.85
2026-02-28,213.91,12156022.0,102805.9533,26.7054,3.8939,7.85
2026-03-31,201.92,2481883.0,97043.5132,25.2085,3.6757,7.85
