BEML IN Equity,price,volume,mc,pe,bm,div
2019-06-30,367.93,89978582.0,37975.6196,48.5077,1.401,4.5
2019-07-31,339.69,45722904.0,35060.5046,44.7841,1.2934,4.5
2019-08-31,319.03,30331862.0,32928.3062,42.0606,1.2148,4.5
2019-09-30,385.2,38949008.0,39758.0042,50.7844,1.4667,3.5
2019-10-31,417.86,32371336.0,43129.1264,55.0905,1.5911,3.5
2019-11-30,402.59,29640784.0,41552.8821,53.0771,1.533,3.5
2019-12-31,397.02,26143466.0,40978.188,52.343,1.5117,3.5
2020-01-31,394.16,19261458.0,40682.5121,51.9653,1.5008,3.5
2020-02-29,300.93,14434348.0,31060.5503,39.6748,1.1459,3.5
2020-03-31,182.23,15441460.0,18808.7384,23.7728,0.6737,2.5
2020-04-30,236.56,37303026.0,24416.1704,30.8601,0.8746,2.5
2020-05-31,234.44,30496896.0,24197.5367,30.5838,0.8668,2.5
2020-06-30,257.68,48318464.0,26596.2599,33.6156,0.9527,2.5
2020-07-31,258.47,38329870.0,26677.4667,33.7182,0.9556,2.5
2020-08-31,269.52,35668226.0,27818.526,35.1605,0.9965,2.5
2020-09-30,246.3,15360424.0,25421.885,32.1313,0.9106,3.0
2020-10-31,248.4,13543882.0,25638.437,32.405,0.9184,3.0
2020-11-30,292.16,20029046.0,30154.7832,38.1133,1.0802,3.0
2020-12-31,390.95,60055226.0,40351.4392,51.0011,1.4454,3.0
2021-01-31,367.49,23899422.0,37929.8115,47.9403,1.3587,3.0
2021-02-28,435.33,33859178.0,44932.3344,56.791,1.6095,4.15
2021-03-31,506.67,68806424.0,52295.0821,61.2453,1.9057,4.15
2021-04-30,470.92,15868968.0,48605.3793,56.9241,1.7712,4.15
2021-05-31,525.35,25336804.0,54223.2225,63.5034,1.976,4.15
2021-06-30,539.25,29198442.0,55657.8756,65.1836,2.0282,4.15
2021-07-31,525.79,17269420.0,54269.0302,63.5571,1.9776,4.15
2021-08-31,533.58,7999608.0,55072.769,64.4984,2.0069,4.15
2021-09-30,578.38,17467822.0,59697.3908,69.9145,2.1754,3.0
2021-10-31,647.74,19913880.0,66856.0803,78.2984,2.4363,3.0
2021-11-30,745.51,19379102.0,76946.5427,90.1158,2.804,3.0
2021-12-31,662.95,32580134.0,68426.078,80.1371,2.4935,3.0
2022-01-31,733.48,18822542.0,75705.5366,88.6624,2.7588,3.0
2022-02-28,630.11,9254880.0,65036.2157,76.167,2.37,3.0
2022-03-31,733.87,9711128.0,75745.0988,47.4576,2.5936,3.1
2022-04-30,669.71,10186908.0,69123.6233,43.309,2.3669,3.1
2022-05-31,571.59,5805170.0,58995.6809,36.9634,2.0201,3.1
2022-06-30,506.38,7296268.0,52265.9297,32.7469,1.7896,3.1
2022-07-31,513.65,4301548.0,53015.5307,33.2166,1.8153,3.1
2022-08-31,745.32,21413714.0,76927.8026,48.1987,2.6341,3.1
2022-09-30,741.4,5089396.0,61750.4646,47.9449,2.6202,5.0
2022-10-31,788.05,2553262.0,65635.8965,50.9617,2.7851,5.0
2022-11-30,734.23,2141344.0,61152.866,47.4809,2.5949,5.0
2022-12-31,734.15,6031974.0,61146.6194,47.4761,2.5946,5.0
2023-01-31,769.88,3259462.0,64122.1189,49.7863,2.7209,5.0
2023-02-28,621.98,3915084.0,51803.6758,40.2219,2.1982,5.0
2023-03-31,628.7,6699478.0,52363.7943,33.1645,2.1625,5.0
2023-04-30,608.38,2918054.0,50670.9454,32.0924,2.0926,5.0
2023-05-31,718.28,15502186.0,59824.4065,37.8897,2.4706,5.0
2023-06-30,810.4,13349876.0,67497.4056,42.7494,2.7874,5.0
2023-07-31,1007.45,18446466.0,83909.5031,53.144,3.4652,5.0
2023-08-31,1233.38,38868174.0,102726.5704,65.0617,4.2423,5.0
2023-09-30,1159.1,18598386.0,96540.2799,61.1436,3.9868,5.0
2023-10-31,1010.38,9179764.0,84153.1234,53.2983,3.4753,5.0
2023-11-30,1234.0,14979318.0,102778.626,65.0947,4.2445,5.0
2023-12-31,1414.6,18667990.0,117820.6194,74.6215,4.8656,5.0
2024-01-31,1752.65,22380086.0,145976.4659,92.454,6.0284,5.0
2024-02-29,1560.08,32504310.0,129937.0867,82.2955,5.366,5.0
2024-03-31,1591.85,16492408.0,132583.5946,47.0544,4.9695,5.0
2024-04-30,1753.73,11870530.0,146066.0015,51.8393,5.4748,5.0
2024-05-31,2200.32,42404566.0,183262.8689,65.0406,6.869,5.0
2024-06-30,2219.03,41246022.0,184820.3732,65.5934,6.9274,5.0
2024-07-31,2282.6,44120756.0,190115.4714,67.4727,7.1258,5.0
2024-08-31,1899.15,19981634.0,158178.3044,56.138,5.9288,5.0
2024-09-30,1844.13,14565184.0,153595.3271,54.5115,5.757,10.25
2024-10-31,2035.78,18627474.0,169557.664,60.1766,6.3553,10.25
2024-11-30,2119.75,16359866.0,176551.8578,62.6589,6.6175,10.25
2024-12-31,2034.38,11932272.0,169441.0594,60.1352,6.3509,10.25
2025-01-31,1922.35,11467860.0,160110.6092,56.8238,6.0012,10.25
2025-02-28,1227.3,15898356.0,102220.5897,36.2785,3.8314,10.25
2025-03-31,1609.78,23441980.0,134076.55,45.8364,4.6435,10.25
2025-04-30,1582.0,14984644.0,131763.198,45.0456,4.5634,10.25
2025-05-31,2115.05,54232758.0,176160.3995,60.2235,6.101,10.0
2025-06-30,2228.7,51644186.0,185626.1943,63.4596,6.4289,10.0
2025-07-31,1980.35,23358550.0,164941.3712,56.3881,5.7125,10.0
2025-08-31,1919.7,10258002.0,159889.8933,54.6612,5.5375,10.0
2025-09-30,2086.9,21195562.0,173815.8141,59.422,6.0198,10.6
2025-10-31,2199.9,14373568.0,183227.4711,62.6395,6.3458,10.6
2025-11-30,1828.0,5686162.0,152252.292,52.0501,5.273,10.6
2025-12-31,1859.9,6589872.0,154909.2111,52.9584,5.365,10.6
2026-01-31,1794.9,5104598.0,149495.4261,51.1076,5.1775,10.6
2026-02-28,1681.0,7255161.0,140008.809,47.8645,4.849,10.6
2026-03-31,1629.4,912132.0,135711.0986,46.3952,4.7001,10.6
