IEX IN Equity,price,volume,mc,pe,bm,div
2021-08-31,168.28,274116429.0,151231.1046,73.0608,28.6443,1.3333
2021-09-30,215.32,737650404.0,193498.5283,93.4805,36.65,1.3333
2021-10-31,236.1,1138542390.0,212175.8767,102.5036,40.1876,1.3333
2021-11-30,248.17,417805275.0,223019.8224,107.7424,42.2415,1.3333
2021-12-31,252.8,532674490.0,227183.6579,109.754,43.0302,1.3333
2022-01-31,235.45,230623347.0,211591.7415,102.2214,40.077,0.5
2022-02-28,205.85,222879034.0,184991.1234,89.3705,35.0386,2.0
2022-03-31,224.7,181322387.0,201931.0441,65.1304,28.6229,2.0
2022-04-30,214.55,200802041.0,192809.5483,62.1884,27.33,2.0
2022-05-31,194.65,187973093.0,174926.0246,56.4203,24.7951,2.0
2022-06-30,158.75,196781374.0,142663.7884,46.0145,20.222,2.0
2022-07-31,159.6,162585715.0,143427.6575,46.2609,20.3303,2.0
2022-08-31,161.0,231163685.0,144685.7948,46.6667,20.5087,2.0
2022-09-30,142.05,164693645.0,127656.0072,41.1739,18.0947,2.0
2022-10-31,139.9,90626914.0,125723.8677,40.5507,17.8209,2.0
2022-11-30,147.85,147790900.0,132868.2905,42.8551,18.8336,2.0
2022-12-31,140.0,106219179.0,125813.7346,40.5797,17.8336,2.0
2023-01-31,138.6,63781332.0,124514.0173,40.1739,17.6553,2.0
2023-02-28,144.55,94426114.0,129450.3118,41.8986,18.4132,2.0
2023-03-31,127.95,153563150.0,114092.0854,37.4123,14.2382,2.0
2023-04-30,156.55,157849641.0,139594.4977,45.7749,17.4208,1.0
2023-05-31,153.0,139336316.0,136428.9885,44.7368,17.0257,1.0
2023-06-30,127.1,388399097.0,113334.1466,37.1637,14.1436,1.0
2023-07-31,122.65,151436466.0,109366.1139,35.8626,13.6484,2.0
2023-08-31,126.2,177364794.0,112531.6232,36.9006,14.0434,1.0
2023-09-30,132.2,253764582.0,117881.7796,38.655,14.7111,1.0
2023-10-31,125.85,118915627.0,112219.5307,36.7982,14.0045,1.0
2023-11-30,143.85,197390029.0,128269.9999,42.0614,16.0075,1.0
2023-12-31,168.0,407210683.0,149804.3795,49.1228,18.6949,1.0
2024-01-31,147.6,458409941.0,131613.8477,43.1579,16.4248,1.0
2024-02-29,142.15,227641179.0,126754.1223,41.5643,15.8183,2.0
2024-03-31,134.35,187031729.0,119798.9189,34.099,12.2888,2.0
2024-04-30,156.3,222766412.0,139371.5745,39.6701,14.2965,2.0
2024-05-31,153.15,279237449.0,136562.7424,38.8706,14.0084,3.5
2024-06-30,180.54,413899923.0,160986.2064,45.8223,16.5137,3.5
2024-07-31,192.11,340041091.0,171303.0913,48.7589,17.572,2.5
2024-08-31,203.63,373630320.0,181575.3916,51.6827,18.6257,2.5
2024-09-30,204.28,581380464.0,182154.9919,51.8477,18.6851,2.5
2024-10-31,177.76,242001364.0,158507.3006,45.1168,16.2594,2.5
2024-11-30,176.19,95737412.0,157107.343,44.7183,16.1158,2.5
2024-12-31,181.78,118559271.0,162091.9054,46.1371,16.6271,2.5
2025-01-31,174.6,122062044.0,155689.5515,44.3147,15.9703,3.0
2025-02-28,155.93,112307038.0,139041.6482,39.5761,14.2626,3.0
2025-03-31,175.77,103028433.0,156732.832,36.3913,13.7932,3.0
2025-04-30,190.35,153909866.0,169733.7121,39.4099,14.9374,3.0
2025-05-31,200.55,121992569.0,178828.978,41.5217,15.7378,3.0
2025-06-30,193.11,293516102.0,172194.7841,39.9814,15.1539,3.0
2025-07-31,135.3,788956097.0,120646.027,28.0124,10.6174,3.0
2025-08-31,139.8,222037566.0,124658.6444,28.9441,10.9705,3.0
2025-09-30,139.19,114125476.0,124114.7118,28.8178,10.9227,3.0
2025-10-31,139.06,153836485.0,123998.7917,28.7909,10.9125,3.0
2025-11-30,139.29,118229098.0,124203.8811,28.8385,10.9305,3.0
2025-12-31,134.22,165108094.0,119682.9989,27.7888,10.5327,3.0
2026-01-31,126.79,710137684.0,113057.7219,26.2505,9.9496,3.0
2026-02-28,125.64,161733937.0,112032.2752,26.0124,9.8594,3.0
2026-03-31,121.7,18786445.0,108519.0031,25.1967,9.5502,3.0
