JUBLPHAR IN Equity,price,volume,mc,pe,bm,div
2012-01-31,153.34,1203169.0,27587.4861,10.6338,1.1244,2.0
2012-02-29,168.26,3044004.0,30271.3726,11.6684,1.2337,2.0
2012-03-31,176.8,1305968.0,31808.4352,194.2873,1.2087,2.0
2012-04-30,160.29,704538.0,28837.8427,176.1427,1.0959,2.0
2012-05-31,156.22,1375695.0,28105.1496,171.6674,1.068,2.0
2012-06-30,156.93,1291088.0,28232.5745,172.4457,1.0729,2.0
2012-07-31,145.95,1421079.0,26257.4889,160.3818,0.9978,2.0
2012-08-31,166.22,2610025.0,29905.026,182.6611,1.1364,3.0
2012-09-30,187.25,8949798.0,33687.9521,205.7674,1.2802,3.0
2012-10-31,196.85,7045724.0,35416.152,216.3233,1.3458,3.0
2012-11-30,185.43,4040677.0,33361.4259,203.773,1.2678,3.0
2012-12-31,199.38,6690280.0,35870.1031,219.0961,1.3631,3.0
2013-01-31,191.19,2648247.0,34396.753,210.0968,1.3071,3.0
2013-02-28,149.84,2072401.0,26958.3257,164.6626,1.0244,3.0
2013-03-31,151.83,869638.0,27316.7082,15.8326,0.9767,3.0
2013-04-30,150.37,494849.0,27053.8944,15.6803,0.9673,3.0
2013-05-31,137.45,2407959.0,24728.3904,14.3325,0.8842,3.0
2013-06-30,115.98,1225993.0,20865.8298,12.0937,0.7461,3.0
2013-07-31,79.55,1742992.0,14311.4107,8.2948,0.5117,3.0
2013-08-31,63.79,4921297.0,11476.2064,6.6516,0.4103,3.0
2013-09-30,70.83,7085889.0,12742.4915,7.3855,0.4556,3.0
2013-10-31,88.62,25650749.0,15944.0424,9.2411,0.5701,3.0
2013-11-30,123.19,15898162.0,22163.9711,12.8461,0.7925,3.0
2013-12-31,120.14,13568740.0,21614.4511,12.5276,0.7728,3.0
2014-01-31,119.21,3798731.0,21447.2059,12.4307,0.7668,3.0
2014-02-28,109.83,7187134.0,19758.8258,11.4521,0.7065,3.0
2014-03-31,140.72,11613790.0,25317.7377,20.5436,0.8534,3.0
2014-04-30,147.59,4670206.0,26552.1666,21.5453,0.895,3.0
2014-05-31,154.14,8353819.0,27730.847,22.5017,0.9347,3.0
2014-06-30,184.28,8980770.0,33154.37,26.9026,1.1176,3.0
2014-07-31,166.44,3848225.0,29944.8549,24.2982,1.0094,3.0
2014-08-31,148.12,4911897.0,26647.7353,21.6229,0.8982,3.0
2014-09-30,137.45,4253852.0,24728.3975,20.0654,0.8335,3.0
2014-10-31,127.98,3434596.0,23024.0892,18.6825,0.7761,3.0
2014-11-30,118.68,4503220.0,21351.6372,17.3254,0.7197,3.0
2014-12-31,107.39,2443408.0,19320.8027,15.6775,0.6513,3.0
2015-01-31,152.9,24769031.0,27507.8534,22.3208,0.9272,3.0
2015-02-28,141.21,13195142.0,25405.3204,20.6147,0.8564,3.0
2015-03-31,135.37,8424067.0,24354.0868,19.8845,0.8788,3.0
2015-04-30,133.11,8100761.0,23947.9199,,0.8641,3.0
2015-05-31,154.27,24344262.0,27754.7392,,1.0015,3.0
2015-06-30,147.85,9582406.0,26599.9509,,0.9598,3.0
2015-07-31,233.68,35225999.0,42042.2577,,1.5171,3.0
2015-08-31,316.2,48340427.0,56887.2603,,2.0527,3.0
2015-09-30,336.12,31659511.0,60471.086,,2.1821,3.0
2015-10-31,362.59,33021400.0,65233.5922,,2.3539,3.0
2015-11-30,366.66,15268137.0,65966.2855,,2.3803,3.0
2015-12-31,364.18,16701153.0,65520.2983,,2.3643,3.0
2016-01-31,308.54,14370041.0,55509.4784,,2.003,3.0
2016-02-29,270.2,14214255.0,48612.6049,,1.7542,3.0
2016-03-31,369.05,23087078.0,66396.3445,14.7033,1.9821,3.0
2016-04-30,353.56,13698254.0,63608.9245,14.086,1.8989,3.0
2016-05-31,321.07,11455006.0,57763.3066,12.7915,1.7244,3.0
2016-06-30,278.0,7995846.0,50014.279,11.0755,1.4931,3.0
2016-07-31,297.16,13321863.0,53462.7157,11.8392,1.596,3.0
2016-08-31,476.09,61510726.0,85653.4347,18.9677,2.557,3.0
2016-09-30,543.86,33388005.0,97846.4063,21.6678,2.921,3.0
2016-10-31,608.4,25679999.0,109458.0016,24.2391,3.2676,3.0
2016-11-30,623.85,16614725.0,112237.4575,24.8546,3.3506,3.0
2016-12-31,559.71,11781087.0,100697.5387,22.2992,3.0061,3.0
2017-01-31,594.41,31077697.0,106941.3595,23.6818,3.1925,3.0
2017-02-28,637.26,14931066.0,114650.5669,25.389,3.4226,3.0
2017-03-31,708.09,18074336.0,127393.0583,19.1739,3.2831,3.0
2017-04-30,683.08,14220813.0,122893.366,18.4966,3.1671,3.0
2017-05-31,657.49,15729003.0,118290.141,17.8038,3.0485,3.0
2017-06-30,606.14,9325507.0,109051.8347,16.4133,2.8104,3.0
2017-07-31,632.97,10928919.0,113878.0533,17.1397,2.9348,3.0
2017-08-31,622.04,6443341.0,111910.9312,16.8437,2.8841,3.0
2017-09-30,583.66,5733995.0,105006.0936,15.8044,2.7061,3.0
2017-10-31,566.92,5277752.0,101995.68,15.3513,2.6286,3.0
2017-11-30,581.4,9004541.0,104599.9246,15.7433,2.6957,3.0
2017-12-31,697.91,13488032.0,125561.3227,18.8982,3.2359,3.0
2018-01-31,808.62,29116729.0,145479.4292,21.896,3.7492,3.0
2018-02-28,776.88,37624515.0,139769.1995,21.0366,3.602,3.0
2018-03-31,743.19,16097304.0,133708.5521,18.0168,2.8973,3.0
2018-04-30,778.74,10840177.0,140103.6899,18.8786,3.0359,3.0
2018-05-31,698.71,12613316.0,125704.6749,16.9383,2.7239,3.0
2018-06-30,618.98,8999398.0,111361.4083,15.0056,2.4131,3.0
2018-07-31,654.17,7349811.0,117692.8336,15.8588,2.5503,3.0
2018-08-31,639.39,7902640.0,115032.8386,15.5003,2.4927,3.0
2018-09-30,648.68,9960517.0,116705.2905,15.7257,2.5289,3.0
2018-10-31,587.46,7377228.0,105690.9998,14.2416,2.2902,3.0
2018-11-30,685.96,7560965.0,123411.0265,16.6293,2.6742,3.0
2018-12-31,629.12,7384808.0,113185.1774,15.2514,2.4526,3.0
2019-01-31,622.79,5261279.0,112046.3172,15.0979,2.4279,3.0
2019-02-28,693.66,6862156.0,124796.7724,16.816,2.7042,3.0
2019-03-31,588.57,27832400.0,105890.1012,15.9677,1.9495,3.0
2019-04-30,585.07,7895046.0,105260.9407,15.8729,1.9379,3.0
2019-05-31,438.46,10010123.0,78883.9841,11.8953,1.4523,3.0
2019-06-30,453.38,11069341.0,81567.8713,12.3001,1.5017,3.0
2019-07-31,388.97,12494473.0,69980.1074,10.5527,1.2884,3.0
2019-08-31,388.84,6819206.0,69956.2152,10.5491,1.2879,3.0
2019-09-30,447.23,12814720.0,80460.7972,12.1331,1.4813,4.5
2019-10-31,489.01,6982132.0,87978.8604,13.2668,1.6197,4.5
2019-11-30,451.7,5520121.0,81265.1662,12.2544,1.4961,4.5
2019-12-31,475.42,4366045.0,85533.897,12.8981,1.5747,4.5
2020-01-31,515.75,9012405.0,92789.1465,13.9922,1.7083,4.5
2020-02-29,448.25,4032205.0,80643.9703,12.1607,1.4847,4.5
2020-03-31,220.63,9706058.0,39692.8252,5.1851,0.6271,5.0
2020-04-30,354.36,7156083.0,63752.2203,8.328,1.0072,5.0
2020-05-31,391.45,7036748.0,70426.0942,9.1998,1.1126,5.0
2020-06-30,580.29,21596620.0,104400.7315,13.6379,1.6494,5.0
2020-07-31,703.84,14557422.0,126628.395,16.5415,2.0006,5.0
2020-08-31,693.44,17902028.0,124756.9521,16.297,1.971,5.0
2020-09-30,647.14,15141565.0,116426.5486,15.2088,1.8394,5.0
2020-10-31,644.92,5790997.0,116028.3464,15.1568,1.8331,5.0
2020-11-30,640.1,5320122.0,115160.2642,15.0434,1.8194,5.0
2020-12-31,748.02,13837684.0,134576.6352,17.5798,2.1261,5.0
2021-01-31,789.19,12772253.0,141983.2082,18.5473,2.2431,5.0
2021-02-28,769.6,4644752.0,122582.7653,18.087,2.1875,5.0
2021-03-31,681.1,3611514.0,108486.3845,18.8932,2.2885,5.0
2021-04-30,798.5,9549347.0,127185.9903,22.1498,2.6829,5.0
2021-05-31,873.55,7736510.0,139140.0398,24.2316,2.9351,0.0
2021-06-30,732.25,7771047.0,116633.6148,20.3121,2.4603,0.0
2021-07-31,686.6,10969677.0,109362.43,19.0458,2.307,0.0
2021-08-31,663.3,7159840.0,105651.1795,18.3994,2.2287,5.0
2021-09-30,623.65,5138961.0,99335.6823,17.2996,2.0955,5.0
2021-10-31,596.2,4743422.0,94963.4151,16.5381,2.0032,5.0
2021-11-30,583.85,2084804.0,92996.293,16.1956,1.9617,5.0
2021-12-31,586.6,2254137.0,93434.3161,16.2718,1.971,5.0
2022-01-31,519.15,2197860.0,82690.8033,14.4008,1.7443,5.0
2022-02-28,397.05,4643783.0,63242.5762,11.0139,1.3341,5.0
2022-03-31,388.15,6459600.0,61824.9741,14.9288,1.1624,5.0
2022-04-30,471.65,4071082.0,75124.9492,18.1404,1.4125,5.0
2022-05-31,384.25,2342812.0,61203.7777,14.7788,1.1508,5.0
2022-06-30,343.7,2030339.0,54744.9275,13.2192,1.0293,5.0
2022-07-31,361.4,1985800.0,57564.2036,13.9,1.0823,5.0
2022-08-31,350.55,3924767.0,55836.0033,13.4827,1.0498,5.0
2022-09-30,335.95,8871175.0,53510.4986,12.9212,1.0061,5.0
2022-10-31,367.05,4936855.0,58464.1421,14.1173,1.0992,5.0
2022-11-30,391.55,4450768.0,62366.53,15.0596,1.1726,5.0
2022-12-31,374.75,7186066.0,59690.6068,14.4135,1.1223,5.0
2023-01-31,352.0,1737009.0,56066.9609,13.5385,1.0542,5.0
2023-02-28,305.95,2126605.0,48732.0645,11.7673,0.9163,5.0
2023-03-31,278.85,8379369.0,44415.5456,10.7173,0.8226,5.0
2023-04-30,311.75,1716342.0,49655.8951,,0.9197,5.0
2023-05-31,330.1,6751213.0,52578.704,,0.9738,5.0
2023-06-30,398.55,5116796.0,63481.4979,,1.1757,5.0
2023-07-31,377.35,4123516.0,60104.7378,,1.1132,5.0
2023-08-31,468.55,12711846.0,74631.1777,,1.3822,5.0
2023-09-30,435.15,2843898.0,69311.1876,,1.2837,5.0
2023-10-31,374.55,10274227.0,59658.7506,,1.1049,5.0
2023-11-30,429.45,8221396.0,68403.2851,,1.2669,5.0
2023-12-31,545.45,14590593.0,86879.8973,,1.6091,5.0
2024-01-31,571.45,12605174.0,91021.2069,,1.6858,5.0
2024-02-29,568.2,13530275.0,90503.5432,,1.6762,5.0
2024-03-31,569.9,5647233.0,90774.3211,117.0226,1.6709,5.0
2024-04-30,674.2,14558269.0,107387.3439,138.4394,1.9766,5.0
2024-05-31,688.05,8878101.0,109593.3877,141.2834,2.0173,5.0
2024-06-30,739.75,5844018.0,117828.2226,151.8994,2.1688,5.0
2024-07-31,773.25,9878544.0,123164.1407,158.7782,2.267,5.0
2024-08-31,919.5,22681335.0,146459.0073,188.809,2.6958,5.0
2024-09-30,1150.8,28328675.0,183300.7348,236.3039,3.374,5.0
2024-10-31,1211.75,6131434.0,193008.9202,248.8193,3.5527,5.0
2024-11-30,1234.25,5866251.0,196592.7458,253.4394,3.6186,5.0
2024-12-31,1105.2,5281735.0,176037.5148,226.9405,3.2403,5.0
2025-01-31,973.95,6307742.0,155131.8653,199.9897,2.8555,5.0
2025-02-28,902.7,7946248.0,143783.0842,185.3593,2.6466,5.0
2025-03-31,895.9,4315456.0,142699.9724,16.907,2.2819,5.0
2025-04-30,897.95,7901374.0,143026.4988,16.9457,2.2871,5.0
2025-05-31,1173.8,11014210.0,186964.201,22.1513,2.9897,5.0
2025-06-30,1210.6,14531817.0,192825.7469,22.8458,3.0834,5.0
2025-07-31,1194.1,8834602.0,190197.6081,22.5344,3.0414,5.0
2025-08-31,1023.1,3976506.0,162960.5333,19.3074,2.6058,5.0
2025-09-30,1079.4,3983314.0,171928.0614,20.3699,2.7492,5.0
2025-10-31,1101.0,3572701.0,175368.534,20.7775,2.8043,5.0
2025-11-30,1089.7,3809260.0,173568.6572,20.5643,2.7755,5.0
2025-12-31,1073.3,2539264.0,170956.4465,20.2548,2.7337,5.0
2026-01-31,981.9,2743907.0,156398.1504,18.5299,2.5009,5.0
2026-02-28,866.3,3333513.0,137985.2507,16.3484,2.2065,5.0
2026-03-31,844.6,344643.0,134528.8461,15.9389,2.1512,5.0
