INDA IN Equity,price,volume,mc,pe,bm,div
2018-03-31,165.3,9739987.0,20749.9576,41.6373,2.4495,0.0
2018-04-30,199.1,7848038.0,24992.8406,50.1511,2.9504,0.0
2018-05-31,207.35,18288569.0,26081.7673,52.2292,3.0726,0.0
2018-06-30,193.5,15254297.0,24353.5199,48.7406,2.8674,0.0
2018-07-31,205.6,10270073.0,25884.7427,51.7884,3.0467,0.0
2018-08-31,270.15,26904434.0,34026.5012,68.0479,4.0032,0.0
2018-09-30,203.0,12622303.0,26625.9741,51.1335,3.0082,0.0
2018-10-31,251.1,22838510.0,32935.0198,63.2494,3.7209,0.0
2018-11-30,229.75,12749605.0,30193.966,57.8715,3.4046,0.0
2018-12-31,224.6,7539265.0,29534.2626,56.5743,3.3283,0.0
2019-01-31,180.7,6706230.0,23764.9407,45.5164,2.6777,0.0
2019-02-28,185.45,9702976.0,24389.6416,46.7128,2.7481,0.0
2019-03-31,203.35,8434743.0,26796.3883,19.9754,2.6278,0.0
2019-04-30,227.3,7153432.0,29952.3927,22.3281,2.9373,0.0
2019-05-31,257.0,8680046.0,33887.4148,25.2456,3.3211,0.0
2019-06-30,265.5,6045972.0,35026.6172,26.0806,3.4309,0.0
2019-07-31,225.4,11726889.0,29755.897,22.1415,2.9127,0.0
2019-08-31,213.35,4193260.0,28165.1314,20.9578,2.757,0.0
2019-09-30,182.4,4920153.0,24109.7852,17.9175,2.3571,0.0
2019-10-31,190.85,4300348.0,25235.3588,18.7475,2.4663,0.0
2019-11-30,149.85,12935539.0,19814.0871,14.72,1.9364,0.0
2019-12-31,138.35,2553997.0,18298.8088,13.5904,1.7878,0.0
2020-01-31,170.2,6962926.0,22511.4366,16.7191,2.1994,0.0
2020-02-29,115.65,4182508.0,15298.6307,11.3605,1.4945,0.0
2020-03-31,54.4,4332039.0,7199.2215,44.9587,0.6889,0.0
2020-04-30,72.45,2627464.0,9587.9337,59.876,0.9175,0.0
2020-05-31,66.7,1306863.0,8826.9866,55.124,0.8447,0.0
2020-06-30,111.65,5260981.0,14787.7444,92.2727,1.4139,0.0
2020-07-31,159.85,6776489.0,21171.7057,132.1074,2.0243,0.0
2020-08-31,191.7,8300884.0,25394.0063,158.4298,2.4277,0.0
2020-09-30,223.25,7867085.0,29580.721,184.5041,2.8272,0.0
2020-10-31,238.7,6735373.0,31635.693,197.2727,3.0229,0.0
2020-11-30,272.75,5875597.0,36167.1761,225.4132,3.4541,0.0
2020-12-31,315.05,7525701.0,41795.7976,260.3719,3.9897,0.0
2021-01-31,328.9,7575948.0,43633.1942,271.8182,4.1651,0.0
2021-02-28,434.05,13422387.0,57677.7212,358.719,5.4967,0.0
2021-03-31,740.0,33026425.0,98401.0294,37.2688,7.0648,0.0
2021-04-30,681.3,9502839.0,90595.4342,34.3125,6.5044,0.0
2021-05-31,773.75,15643919.0,103049.9269,38.9686,7.387,0.0
2021-06-30,723.95,8523791.0,96831.0874,36.4605,6.9116,0.0
2021-07-31,747.6,17558573.0,100073.5528,37.6516,7.1373,0.0
2021-08-31,651.4,10675717.0,87343.1768,32.8067,6.2189,0.0
2021-09-30,709.95,7374065.0,95193.8722,35.7554,6.7779,0.0
2021-10-31,654.65,6426431.0,87778.9541,32.9703,6.2499,0.0
2021-11-30,620.9,8469015.0,83278.2088,31.2706,5.9277,0.0
2021-12-31,742.25,9357997.0,99719.2211,37.3822,7.0863,0.0
2022-01-31,768.1,9484880.0,103219.0416,38.684,7.3331,0.0
2022-02-28,653.75,8167513.0,87941.8342,32.925,6.2414,0.0
2022-03-31,945.75,19050143.0,127254.0804,36.0286,7.0355,0.0
2022-04-30,790.8,10882100.0,106428.5725,30.1257,5.8828,0.0
2022-05-31,673.0,17760919.0,90618.0354,25.6381,5.0065,0.0
2022-06-30,633.35,10092067.0,85494.2635,24.1276,4.7115,0.0
2022-07-31,630.4,9419608.0,85096.0507,24.0152,4.6896,2.5
2022-08-31,591.9,10356112.0,79953.9941,22.5486,4.4032,2.5
2022-09-30,517.4,11844697.0,70068.3129,19.7105,3.849,2.5
2022-10-31,431.6,14905097.0,58448.9445,16.4419,3.2107,2.5
2022-11-30,459.45,21113359.0,62240.7726,17.5029,3.4179,2.5
2022-12-31,446.2,12890877.0,60480.648,16.9981,3.3193,2.5
2023-01-31,439.8,10552064.0,59613.1532,16.7543,3.2717,2.5
2023-02-28,449.9,10971661.0,61047.6733,17.139,3.3468,2.5
2023-03-31,410.6,10039822.0,55727.6893,20.6332,2.7082,2.5
2023-04-30,445.9,6067778.0,60542.5822,22.407,2.9411,2.5
2023-05-31,586.0,34334803.0,79597.6926,29.4472,3.8652,2.5
2023-06-30,628.6,13079955.0,85575.2392,31.5879,4.1461,2.5
2023-07-31,674.65,45478776.0,91949.6832,33.902,4.4499,2.5
2023-08-31,735.0,18317415.0,100304.704,36.9347,4.8479,2.5
2023-09-30,706.3,9372982.0,96423.1649,35.4925,4.6586,2.5
2023-10-31,679.3,10387347.0,92737.1597,34.1357,4.4805,2.5
2023-11-30,734.45,7217168.0,100285.2219,36.907,4.8443,2.5
2023-12-31,836.6,12668793.0,114360.0894,42.0402,5.5181,2.5
2024-01-31,900.75,13327240.0,123129.1544,45.2638,5.9412,2.5
2024-02-29,1106.05,20931562.0,151303.6726,55.5804,7.2953,2.5
2024-03-31,1096.8,19441663.0,150038.3058,46.2395,6.1532,2.5
2024-04-30,1079.75,10695254.0,147735.7928,45.5207,6.0576,2.5
2024-05-31,918.3,11107877.0,125695.0151,38.7142,5.1518,2.5
2024-06-30,1068.1,11496277.0,146576.2784,45.0295,5.9922,3.5
2024-07-31,969.55,8814858.0,133052.1774,40.8748,5.4394,3.5
2024-08-31,993.0,4531145.0,136911.7855,41.8634,5.5709,3.5
2024-09-30,962.1,6435625.0,132942.9703,40.5607,5.3976,3.5
