GRAN IN Equity,price,volume,mc,pe,bm,div
2005-10-31,8.92,8088260.0,1101.6354,15.4625,1.5087,0.125
2005-11-30,9.58,6726830.0,1183.8101,16.6159,1.6212,0.125
2005-12-31,11.08,56315940.0,1369.1666,19.2176,1.8751,0.125
2006-01-31,11.24,69164810.0,1388.938,19.4951,1.9022,0.125
2006-02-28,9.7,17457320.0,1198.399,16.8154,1.6407,0.125
2006-03-31,9.32,16726680.0,1152.6633,16.1736,1.5781,0.125
2006-04-30,9.21,16519230.0,1107.5456,15.9655,1.5578,0.125
2006-05-31,8.57,37478520.0,1058.7197,14.8555,1.4495,0.125
2006-06-30,8.22,19846030.0,1015.4562,15.2644,1.2766,0.125
2006-07-31,7.46,3252030.0,922.1306,13.8615,1.1593,0.125
2006-08-31,10.65,71773060.0,1315.8285,19.7796,1.6542,0.125
2006-09-30,10.53,33088430.0,1300.9953,19.5566,1.6356,0.125
2006-10-31,9.18,26180560.0,1134.7398,17.0575,1.4266,0.125
2006-11-30,8.97,12828350.0,1108.1637,16.658,1.3932,0.125
2006-12-31,8.89,9601910.0,1098.2749,16.5093,1.3807,0.125
2007-01-31,9.91,30984920.0,1226.9175,18.4139,1.54,0.125
2007-02-28,9.45,38114960.0,1169.3477,17.5499,1.4678,0.125
2007-03-31,9.44,9031130.0,1168.7286,17.5406,1.467,0.125
2007-04-30,11.88,58190630.0,1470.1962,22.0651,1.8454,0.125
2007-05-31,12.78,36274980.0,1582.2407,23.7467,1.986,0.125
2007-06-30,11.73,8767070.0,1451.6253,22.9295,1.4023,0.125
2007-07-31,11.38,23896760.0,1656.2683,22.245,1.3604,0.125
2007-08-31,10.07,6364870.0,1708.4662,19.693,1.2044,0.125
2007-09-30,10.01,6138500.0,1698.2966,19.5756,1.1972,0.125
2007-10-31,9.61,12515370.0,1630.4326,18.7934,1.1494,0.125
2007-11-30,9.72,9970010.0,1648.2469,18.9987,1.1619,0.125
2007-12-31,11.84,54479650.0,2007.9261,23.1446,1.4155,0.125
2008-01-31,8.0,24919020.0,1358.5519,15.6449,0.9568,0.125
2008-02-29,8.93,8889390.0,1515.6435,17.4538,1.0674,0.125
2008-03-31,7.22,7760570.0,1225.2513,14.1097,0.8629,0.125
2008-04-30,8.11,3066530.0,1624.2421,15.8502,0.9694,0.125
2008-05-31,6.81,3724340.0,1364.7241,13.3177,0.8145,0.125
2008-06-30,5.38,3284540.0,1077.15,12.9223,0.6209,0.125
2008-07-31,5.46,13158380.0,1094.1148,13.1146,0.6301,0.125
2008-08-31,5.55,2192470.0,1113.1691,13.343,0.6411,0.125
2008-09-30,4.8,2872150.0,962.7408,11.5399,0.5545,0.125
2008-10-31,3.18,2838110.0,637.8126,7.6452,0.3673,0.125
2008-11-30,3.6,2436040.0,722.052,8.6549,0.4159,0.125
2008-12-31,3.84,1315220.0,769.1859,9.2199,0.443,0.125
2009-01-31,3.61,1219540.0,724.0577,8.679,0.417,0.125
2009-02-28,3.59,1053990.0,720.0463,8.6309,0.4147,0.125
2009-03-31,3.74,1492250.0,749.1289,8.9795,0.4315,0.125
2009-04-30,4.38,2062740.0,878.4966,10.5302,0.506,0.125
2009-05-31,5.84,3500110.0,1170.3259,14.0282,0.674,0.125
2009-06-30,6.14,8131860.0,1231.4998,14.7615,0.7093,0.125
2009-07-31,6.94,4198080.0,1391.9557,16.6848,0.8017,0.125
2009-08-31,8.43,20812490.0,1689.8022,20.2549,0.9732,0.125
2009-09-30,9.08,29161160.0,1822.1784,21.8417,1.0495,0.125
2009-10-31,8.7,22223010.0,1743.9561,20.9041,1.0044,0.125
2009-11-30,9.0,20129080.0,1804.1271,21.6253,1.0391,0.125
2009-12-31,9.02,11721590.0,1809.1413,21.6854,1.042,0.125
2010-01-31,8.97,51720530.0,1798.11,21.5532,1.0356,0.125
2010-02-28,9.0,7136400.0,1805.1299,21.6373,1.0397,0.125
2010-03-31,9.36,18942150.0,1876.3323,6.179,0.9271,0.125
2010-04-30,10.76,44625410.0,2158.1331,7.107,1.0664,0.125
2010-05-31,9.4,22798570.0,1885.3579,6.2087,0.9316,0.125
2010-06-30,9.71,20203900.0,1946.5318,6.4102,0.9618,0.125
2010-07-31,9.1,31391790.0,1825.1869,6.0106,0.9019,0.125
2010-08-31,9.23,11741650.0,1850.2582,6.0931,0.9143,0.125
2010-09-30,9.85,30030600.0,1974.6116,6.5026,0.9757,0.125
2010-10-31,9.57,54274990.0,1920.4577,6.3243,0.9489,0.125
2010-11-30,9.34,12942290.0,1873.3237,6.1691,0.9257,0.125
2010-12-31,9.48,17386180.0,1900.4007,6.2583,0.939,0.125
2011-01-31,8.73,4092570.0,1750.976,5.7662,0.8652,0.125
2011-02-28,9.15,2203510.0,1836.2183,6.0469,0.9073,0.125
2011-03-31,9.25,7633610.0,1854.2696,8.8724,0.8437,0.125
2011-04-30,9.33,4363620.0,1871.318,8.9539,0.8515,0.125
2011-05-31,9.06,3740800.0,1817.1641,8.6948,0.8268,0.125
2011-06-30,8.25,1364050.0,1654.7024,7.9175,0.7529,0.125
2011-07-31,8.6,6523070.0,1724.9019,8.2534,0.7848,0.125
2011-08-31,7.14,1414140.0,1432.4054,6.8522,0.6516,0.125
2011-09-30,6.49,1095100.0,1302.0044,6.2284,0.5923,0.15
2011-10-31,6.64,2994040.0,1332.0969,6.3724,0.606,0.15
2011-11-30,6.1,1576360.0,1223.7638,5.8541,0.5567,0.15
2011-12-31,6.1,558620.0,1223.7638,5.8541,0.5567,0.15
2012-01-31,7.15,2369850.0,1434.4116,6.8618,0.6525,0.15
2012-02-29,8.13,8304840.0,1630.0132,7.7975,0.7415,0.15
2012-03-31,8.14,9343600.0,1632.0194,5.4488,0.6659,0.15
2012-04-30,9.58,15185940.0,1922.914,6.42,0.7846,0.15
2012-05-31,9.55,6237770.0,1915.8924,6.3965,0.7817,0.15
2012-06-30,12.24,20434320.0,2455.5522,8.1983,1.0019,0.2
2012-07-31,12.77,27264670.0,2562.0886,8.5499,1.0449,0.2
2012-08-31,17.68,29977000.0,3549.5916,11.8453,1.4476,0.2
2012-09-30,18.45,79998910.0,3703.1363,12.3577,1.5102,0.2
2012-10-31,17.37,28320640.0,3486.3673,11.6343,1.4218,0.2
2012-11-30,17.46,16457850.0,3512.1556,11.6912,1.4288,0.2
2012-12-31,15.74,10049230.0,3167.077,10.5425,1.2884,0.2
2013-01-31,12.49,18600360.0,2512.1319,8.3624,1.022,0.2
2013-02-28,10.43,10430050.0,2098.1563,6.9826,0.8533,0.2
2013-03-31,9.49,5404160.0,1908.97,5.8513,0.6945,0.2
2013-04-30,13.08,26277100.0,2632.5069,8.0691,0.9578,0.2
2013-05-31,13.18,15368630.0,2653.2923,8.1308,0.9651,0.2
2013-06-30,10.61,4956630.0,2137.613,6.5453,0.7769,0.2
2013-07-31,13.53,47831670.0,2725.9099,8.3467,0.9907,0.2
2013-08-31,12.86,8505590.0,2601.5978,7.9334,0.9417,0.2
2013-09-30,14.04,7091800.0,2844.4152,8.6644,1.0285,0.2
2013-10-31,17.16,14872230.0,3475.2699,10.5861,1.2566,0.2
2013-11-30,16.43,12936200.0,3327.2373,10.1326,1.2027,0.2
2013-12-31,19.43,48572550.0,3936.9776,11.9895,1.4231,0.2
2014-01-31,22.86,57712390.0,4636.2719,14.1024,1.6739,0.2
2014-02-28,26.83,97512820.0,5440.4197,16.5484,1.9643,0.2
2014-03-31,25.52,38039230.0,5174.7366,6.8589,1.4537,0.2
2014-04-30,35.29,94246740.0,7156.2054,9.4852,2.0104,0.2
2014-05-31,37.16,83423290.0,7547.3525,9.9879,2.1169,0.2
2014-06-30,47.99,41519390.0,9768.9181,12.9005,2.7343,0.2
2014-07-31,63.03,106968340.0,12831.7447,16.9435,3.5912,0.2
2014-08-31,73.28,49468770.0,14917.4376,19.6976,4.1749,0.35
2014-09-30,87.96,64789320.0,17950.8722,23.6438,5.0113,0.35
2014-10-31,80.69,33276710.0,16468.1471,21.6909,4.5974,0.35
2014-11-30,77.95,38605490.0,15907.9158,20.953,4.441,0.35
2014-12-31,82.67,34774140.0,16884.4533,22.2218,4.7099,0.35
2015-01-31,80.88,32794810.0,16519.8643,21.7419,4.6082,0.35
2015-02-28,76.52,13559650.0,15629.2094,20.5699,4.3598,0.35
2015-03-31,85.15,75142558.0,17392.0187,19.0919,4.0337,0.35
2015-04-30,82.15,57926183.0,16779.2641,18.4193,3.8916,0.35
2015-05-31,83.75,22881243.0,17132.0289,18.778,3.9674,0.35
2015-06-30,84.5,28458724.0,17302.3498,18.9462,4.0029,0.35
2015-07-31,114.2,140225824.0,23383.7674,25.6054,5.4099,0.35
2015-08-31,123.95,61677149.0,25380.1923,27.7915,5.8718,0.65
2015-09-30,140.8,55830929.0,28888.4686,31.5695,6.67,0.65
2015-10-31,147.75,45614825.0,30314.4263,33.1278,6.9992,0.65
2015-11-30,159.75,27007419.0,32776.5117,35.8184,7.5677,0.8
2015-12-31,148.8,21248394.0,31140.7162,33.3632,7.049,0.8
2016-01-31,116.4,34024300.0,24369.1275,26.0987,5.5141,0.8
2016-02-29,106.25,27712084.0,22250.5327,23.8229,5.0333,0.95
2016-03-31,119.95,33121323.0,25124.338,20.9337,3.9029,0.95
2016-04-30,134.65,24767186.0,29180.2387,23.4991,4.3812,0.95
2016-05-31,137.8,29727940.0,29862.8807,24.0489,4.4837,0.95
2016-06-30,138.15,27358547.0,29977.4138,24.1099,4.495,0.95
2016-07-31,142.45,22277250.0,30910.4784,24.8604,4.635,0.95
2016-08-31,129.0,29883244.0,27991.939,22.5131,4.1973,0.8
2016-09-30,116.3,33209986.0,25236.1435,20.2967,3.7841,0.8
2016-10-31,122.8,25262416.0,26646.59,21.4311,3.9956,0.8
2016-11-30,109.6,28968389.0,23782.2986,19.1274,3.5661,0.8
2016-12-31,108.05,22745641.0,23479.4549,18.8569,3.5157,0.8
2017-01-31,113.3,43203259.0,25064.1362,19.7731,3.6865,0.8
2017-02-28,134.5,55025526.0,29753.9834,23.4729,4.3763,0.85
2017-03-31,138.85,33536955.0,31755.3781,18.4641,3.5143,0.85
2017-04-30,152.05,34228383.0,34774.2545,20.2194,3.8484,0.85
2017-05-31,138.55,54163289.0,31686.7672,18.4242,3.5067,0.85
2017-06-30,133.4,32747094.0,30522.2888,17.7394,3.3764,0.85
2017-07-31,136.2,28438302.0,31169.7449,18.1117,3.4473,0.85
2017-08-31,127.7,43542983.0,29224.4965,16.9814,3.2321,0.9
2017-09-30,113.35,35681343.0,28764.5533,15.0731,2.8689,0.95
2017-10-31,139.5,77094653.0,35400.575,18.5505,3.5308,0.95
2017-11-30,128.15,47033409.0,32526.7195,17.0412,3.2435,1.0
2017-12-31,137.45,49855165.0,34887.2228,18.2779,3.4789,1.0
2018-01-31,132.25,55552094.0,33567.3715,17.5864,3.3473,1.0
2018-02-28,118.4,41347161.0,30054.3673,15.7447,2.9967,1.0
2018-03-31,103.25,29226953.0,26208.7283,18.8069,2.0096,1.0
2018-04-30,108.65,25337025.0,27579.4511,19.7905,2.1147,1.0
2018-05-31,78.4,95064280.0,19900.8649,14.2805,1.5259,1.0
2018-06-30,80.55,89009620.0,20467.1559,14.6721,1.5678,1.0
2018-07-31,102.85,139790560.0,26133.42,18.7341,2.0018,1.0
2018-08-31,115.65,81879305.0,29385.8048,21.0656,2.2509,1.0
2018-09-30,95.15,103235568.0,24184.5193,17.3315,1.8519,1.0
2018-10-31,98.5,113260325.0,25035.9974,17.9417,1.9171,1.0
2018-11-30,88.65,69450551.0,22539.0464,16.1475,1.7254,1.0
2018-12-31,89.75,18171477.0,22818.7187,16.3479,1.7468,1.0
2019-01-31,91.35,27232153.0,23225.5148,16.6393,1.778,1.0
2019-02-28,97.7,17361252.0,24839.9868,17.796,1.9016,1.0
2019-03-31,114.45,46665328.0,29098.6335,12.3065,1.9025,1.0
2019-04-30,112.15,14115364.0,28513.8641,12.0591,1.8643,1.0
2019-05-31,110.6,17767554.0,28119.7804,11.8925,1.8385,1.0
2019-06-30,96.8,9231079.0,24611.164,10.4086,1.6091,1.0
2019-07-31,90.9,14669581.0,23111.1034,9.7742,1.5111,1.0
2019-08-31,90.45,9996485.0,22996.692,9.7258,1.5036,1.0
2019-09-30,104.7,12244490.0,26619.7197,11.2581,1.7405,1.0
2019-10-31,125.25,35142492.0,31844.5071,13.4677,2.0821,1.0
2019-11-30,127.75,30578444.0,32480.126,13.7366,2.1236,1.0
2019-12-31,123.1,21516292.0,31297.8749,13.2366,2.0463,1.0
2020-01-31,146.05,62496079.0,37132.8564,15.7043,2.4278,1.0
2020-02-29,157.3,41182582.0,39993.1415,16.914,2.6148,1.0
2020-03-31,143.65,47625981.0,36522.6623,10.8908,1.9809,1.0
2020-04-30,162.5,47934036.0,41315.2288,12.3199,2.2409,1.0
2020-05-31,171.25,34875631.0,43539.895,12.9833,2.3615,1.0
2020-06-30,202.6,87070396.0,51510.5561,15.3601,2.7938,1.0
2020-07-31,273.3,132681744.0,67586.0482,20.7202,3.7688,1.0
2020-08-31,313.75,92886964.0,77589.179,23.787,4.3266,1.0
2020-09-30,383.8,144359236.0,94993.1083,29.0978,5.2926,1.0
2020-10-31,383.75,47804008.0,95032.1555,29.094,5.2919,1.0
2020-11-30,412.55,24505191.0,102164.2104,31.2775,5.689,1.0
2020-12-31,352.15,38144034.0,87218.6826,26.6983,4.8561,1.0
2021-01-31,337.2,30892205.0,83515.9442,25.5648,4.65,1.0
2021-02-28,323.65,36030546.0,80159.9506,24.5375,4.4631,1.0
2021-03-31,303.45,75145265.0,75156.9196,13.7619,3.4582,1.0
2021-04-30,333.7,68048280.0,82649.0824,15.1338,3.803,1.0
2021-05-31,318.45,106067766.0,78872.0417,14.4422,3.6292,1.0
2021-06-30,332.6,65466450.0,82376.6401,15.0839,3.7904,1.0
2021-07-31,379.4,148097138.0,93967.8176,17.2063,4.3238,1.5
2021-08-31,331.3,72413287.0,82054.6599,15.0249,3.7756,1.5
2021-09-30,320.35,43269879.0,79342.6209,14.5283,3.6508,1.5
2021-10-31,309.9,34882032.0,76856.99,14.0544,3.5317,1.5
2021-11-30,300.6,44112158.0,74550.5363,13.6327,3.4258,1.5
2021-12-31,336.2,46995562.0,83379.5419,15.2472,3.8315,1.5
2022-01-31,304.1,56133234.0,75418.5565,13.7914,3.4656,1.5
2022-02-28,290.7,21530420.0,72095.2791,13.1837,3.3129,1.5
2022-03-31,306.5,28372312.0,76013.7703,18.3974,2.9388,1.5
2022-04-30,281.8,17636722.0,69888.0277,16.9148,2.702,1.5
2022-05-31,269.95,29024854.0,66949.1592,16.2035,2.5884,1.5
2022-06-30,272.25,23332211.0,67519.5725,16.3415,2.6104,1.5
2022-07-31,299.65,34283444.0,74400.9243,17.9862,2.8731,1.5
2022-08-31,306.1,41211922.0,76002.4126,18.3733,2.935,1.5
2022-09-30,345.35,58159555.0,85747.9033,20.7293,3.3113,1.5
2022-10-31,372.65,42262247.0,92526.2955,22.3679,3.5731,1.25
2022-11-30,345.95,19376187.0,83734.6914,20.7653,3.3171,1.25
2022-12-31,318.8,23045403.0,77163.2306,19.1357,3.0568,1.25
2023-01-31,295.65,20592390.0,71559.9408,17.7461,2.8348,1.0
2023-02-28,280.1,12828551.0,67796.176,16.8127,2.6857,1.0
2023-03-31,290.7,16750262.0,70361.8292,13.81,2.482,1.0
2023-04-30,300.35,14753107.0,72697.5418,14.2684,2.5644,0.75
2023-05-31,281.95,32304033.0,68243.9551,13.3943,2.4073,0.75
2023-06-30,296.9,29230668.0,71862.4943,14.1045,2.5349,0.75
2023-07-31,323.3,53108100.0,78252.423,15.3587,2.7603,0.75
2023-08-31,297.6,38335496.0,72031.9242,14.1378,2.5409,1.5
2023-09-30,354.75,55136902.0,85864.6677,16.8527,3.0288,1.5
2023-10-31,325.9,22393800.0,78987.9645,15.4822,2.7825,1.5
2023-11-30,399.55,46761213.0,96838.4205,18.981,3.4113,1.5
2023-12-31,405.45,33427576.0,98268.3959,19.2613,3.4617,1.5
2024-01-31,415.7,35014564.0,100752.6752,19.7482,3.5492,1.5
2024-02-29,465.0,42028209.0,112701.4529,22.0903,3.9701,1.5
2024-03-31,430.15,16732942.0,104254.9032,25.7113,3.2278,1.5
2024-04-30,423.3,17872566.0,102594.6775,25.3019,3.1764,1.5
2024-05-31,418.5,30996714.0,101431.3076,25.0149,3.1404,1.5
2024-06-30,492.8,48672254.0,119439.3032,29.4561,3.6979,1.5
2024-07-31,630.1,53118695.0,152716.528,37.6629,4.7282,1.5
2024-08-31,718.1,48682550.0,174044.975,42.9229,5.3886,1.5
2024-09-30,558.6,138333155.0,135387.1648,33.3891,4.1917,1.5
2024-10-31,569.6,67334078.0,138053.2206,34.0466,4.2742,1.5
2024-11-30,584.3,49267317.0,141616.0408,34.9253,4.3845,1.5
2024-12-31,592.3,76037709.0,143629.028,35.4035,4.4446,1.5
2025-01-31,556.35,36835691.0,134911.3789,33.2546,4.1748,1.5
2025-02-28,461.8,23238581.0,111983.598,27.6031,3.4653,1.5
2025-03-31,486.35,25674879.0,117936.8188,23.5065,3.1748,1.5
2025-04-30,455.8,24201263.0,110551.4258,22.03,2.9753,1.5
2025-05-31,530.55,30569434.0,128681.5685,25.6428,3.4633,1.5
2025-06-30,495.3,18989534.0,120181.4325,23.9391,3.2332,1.5
2025-07-31,474.9,19455374.0,115231.5007,22.9531,3.1,1.5
2025-08-31,492.25,50295447.0,119441.3692,23.7917,3.2133,1.5
2025-09-30,517.0,29804317.0,125459.7262,24.9879,3.3748,1.5
2025-10-31,565.6,24643101.0,137253.4258,27.3369,3.6921,1.5
2025-11-30,556.1,17980605.0,134948.073,26.8777,3.6301,1.5
2025-12-31,598.5,29780889.0,145237.2265,28.927,3.9069,1.5
2026-01-31,570.6,20657474.0,138466.7693,27.5785,3.7247,1.5
2026-02-28,582.25,15065122.0,141293.8599,28.1416,3.8008,1.5
2026-03-31,574.95,2247941.0,139522.3812,27.7888,3.7531,1.5
