ALKEM IN Equity,price,volume,mc,pe,bm,div
2020-10-31,2634.3,2057486.0,314970.0821,27.9472,5.1126,25.0
2020-11-30,2841.65,2976180.0,339761.8851,30.1469,5.515,25.0
2020-12-31,2926.2,2171824.0,349871.1059,31.0439,5.6791,25.0
2021-01-31,3006.95,2592407.0,359525.9798,31.9006,5.8358,25.0
2021-02-28,2722.05,2343912.0,325461.911,28.8781,5.2829,28.0
2021-03-31,2769.8,3092816.0,331171.1398,20.8931,4.4894,28.0
2021-04-30,2759.05,4029095.0,329885.816,20.812,4.472,28.0
2021-05-31,2989.2,7144199.0,357403.701,22.5481,4.845,28.0
2021-06-30,3199.35,4822825.0,382530.2859,24.1333,5.1856,28.0
2021-07-31,3453.6,4737238.0,412929.684,26.0511,5.5977,28.0
2021-08-31,3878.6,5640690.0,463744.809,29.257,6.2866,30.0
2021-09-30,3980.75,3263760.0,475958.3738,30.0275,6.4522,30.0
2021-10-31,3610.65,3048930.0,431707.3673,27.2358,5.8523,30.0
2021-11-30,3593.45,3485037.0,429650.8493,27.1061,5.8244,30.0
2021-12-31,3624.05,2592571.0,433309.5383,27.3369,5.874,30.0
2022-01-31,3539.15,2653190.0,423158.4698,26.6965,5.7364,30.0
2022-02-28,3277.95,1376519.0,391928.0917,24.7262,5.313,35.0
2022-03-31,3620.7,1986054.0,432908.9955,26.3075,5.0117,35.0
2022-04-30,3250.4,1924326.0,388634.076,23.6169,4.4992,35.0
2022-05-31,3149.05,2563416.0,376516.1633,22.8805,4.3589,35.0
2022-06-30,2998.55,2251804.0,358521.6308,21.787,4.1506,35.0
2022-07-31,3225.15,1774826.0,385615.0598,23.4335,4.4642,35.0
2022-08-31,2974.65,4700104.0,355664.0273,21.6134,4.1175,34.0
2022-09-30,3277.2,2856745.0,391838.418,23.8117,4.5363,34.0
2022-10-31,3155.2,1223109.0,377251.488,22.9252,4.3674,34.0
2022-11-30,3124.2,1840825.0,373544.973,22.7,4.3245,34.0
2022-12-31,3004.7,1813877.0,359256.9555,21.8317,4.1591,34.0
2023-01-31,3011.3,1044925.0,360046.0845,21.8797,4.1682,34.0
2023-02-28,3175.0,2833789.0,379618.875,23.0691,4.3948,44.0
2023-03-31,3396.1,1751747.0,406054.6965,41.2599,4.4891,44.0
2023-04-30,3509.9,3776000.0,419661.1935,42.6424,4.6396,44.0
2023-05-31,3359.6,4674207.0,401690.574,40.8164,4.4409,44.0
2023-06-30,3512.85,3778959.0,420013.9102,42.6783,4.6435,44.0
2023-07-31,3978.75,4102083.0,475719.2438,48.3386,5.2593,44.0
2023-08-31,3642.85,5542314.0,435557.3603,44.2577,4.8153,50.0
2023-09-30,3605.9,3260946.0,431139.4335,43.8088,4.7665,50.0
2023-10-31,3721.85,2700557.0,445002.9953,45.2175,4.9197,50.0
2023-11-30,4723.55,6829288.0,564771.2558,57.3873,6.2438,50.0
2023-12-31,5202.6,6575059.0,622048.869,63.2074,6.877,50.0
2024-01-31,4996.05,4240318.0,597352.7183,60.698,6.604,50.0
2024-02-29,5127.35,9016665.0,613051.6028,62.2932,6.7776,45.0
2024-03-31,4942.0,3262386.0,590890.23,32.905,5.7301,45.0
2024-04-30,4833.05,3224453.0,577863.6233,32.1796,5.6038,45.0
2024-05-31,4810.45,6871201.0,575161.4542,32.0291,5.5776,45.0
2024-06-30,4991.35,7657774.0,596790.7628,33.2336,5.7873,45.0
2024-07-31,5309.5,4485062.0,634830.3675,35.3519,6.1562,45.0
2024-08-31,6170.35,7904105.0,737757.8978,41.0836,7.1543,40.0
2024-09-30,6052.8,3870958.0,723703.032,40.301,7.018,40.0
2024-10-31,5779.25,4065290.0,690996.0263,38.4796,6.7009,40.0
2024-11-30,5642.45,10822808.0,674639.5342,37.5687,6.5422,40.0
2024-12-31,5633.9,2737173.0,673617.2535,37.5118,6.5323,40.0
2025-01-31,5063.05,1897039.0,605363.5733,33.711,5.8704,40.0
2025-02-28,4646.2,4622761.0,555522.903,30.9355,5.3871,42.0
2025-03-31,4881.7,2245404.0,583680.4605,26.9543,4.8701,42.0
2025-04-30,5116.0,1702520.0,611694.54,28.248,5.1039,42.0
2025-05-31,5098.5,3007630.0,609602.1525,28.1514,5.0864,42.0
2025-06-30,4939.0,7676084.0,590531.535,27.2707,4.9273,42.0
2025-07-31,5031.1,2775326.0,601543.4715,27.7793,5.0192,42.0
2025-08-31,5303.5,4078029.0,634112.9775,29.2833,5.2909,45.0
2025-09-30,5425.0,3991231.0,648640.125,29.9542,5.4122,45.0
2025-10-31,5506.5,2544657.0,658384.6725,30.4042,5.4935,45.0
2025-11-30,5685.0,3935425.0,679727.025,31.3898,5.6715,45.0
2025-12-31,5506.5,1491396.0,658384.6725,30.4042,5.4935,45.0
2026-01-31,5677.5,2982791.0,678830.2875,31.3484,5.6641,45.0
2026-02-28,5639.5,3271432.0,674286.8175,31.1385,5.6262,51.0
2026-03-31,5555.0,321473.0,664183.575,30.672,5.5419,51.0
