APHS IN Equity,price,volume,mc,pe,bm,div
2002-01-31,51.33,827980.0,4056.6255,,,1.25
2002-02-28,56.08,3566900.0,4432.056,,,1.25
2002-03-31,64.63,4647542.0,5107.8309,,,1.25
2002-04-30,76.53,14377530.0,6048.3831,,,0.0
2002-05-31,73.05,7979408.0,5773.726,,,0.0
2002-06-30,64.55,4798882.0,5101.903,,,0.0
2002-07-31,51.03,2167094.0,4032.9141,,,0.0
2002-08-31,48.28,1979352.0,3815.5595,,,0.0
2002-09-30,49.58,3887528.0,3918.3089,,,1.25
2002-10-31,49.35,927604.0,3900.5254,,,1.25
2002-11-30,52.18,1571036.0,4123.8078,,,1.25
2002-12-31,52.78,2140744.0,4171.2306,,,1.25
2003-01-31,50.4,2034546.0,3983.5153,,,1.25
2003-02-28,56.25,2262456.0,4445.8876,,,1.25
2003-03-31,46.25,2983782.0,3655.5076,,,1.25
2003-04-30,48.13,868608.0,3803.7038,,,1.25
2003-05-31,59.38,2988928.0,4692.8814,,,1.25
2003-06-30,61.38,3578786.0,4850.9574,,,1.25
2003-07-31,72.05,6673890.0,5694.688,,,1.25
2003-08-31,74.6,1487548.0,5896.235,,,1.5
2003-09-30,78.8,3097680.0,6228.1946,,,1.5
2003-10-31,78.22,1322676.0,6182.7477,,,1.5
2003-11-30,82.28,3517448.0,6502.8516,,,1.5
2003-12-31,90.5,5997774.0,7152.9392,,,1.5
2004-01-31,84.38,4159000.0,6668.8314,,,1.5
2004-02-29,78.9,1280460.0,6236.0984,,,1.5
2004-03-31,84.33,1777944.0,6664.8795,,,1.5
2004-04-30,105.1,8119002.0,8306.894,,,1.5
2004-05-31,101.98,2391298.0,8059.9003,,,1.5
2004-06-30,115.5,976954.0,9128.8892,,,1.5
2004-07-31,110.23,1160576.0,8711.9638,,,1.5
2004-08-31,116.8,2210876.0,9231.6386,,,1.75
2004-09-30,107.2,3252276.0,8472.8738,,,1.75
2004-10-31,107.95,1123696.0,8532.1523,,,1.75
2004-11-30,132.8,2911614.0,11048.5878,,,1.75
2004-12-31,128.5,1788250.0,10690.8398,,,1.75
2005-01-31,129.25,3361204.0,10753.2377,,,1.75
2005-02-28,154.03,22731090.0,12814.4483,,,1.75
2005-03-31,176.0,13582758.0,14642.7067,,,1.75
2005-04-30,170.28,7729992.0,14166.4027,,,1.75
2005-05-31,163.15,4730284.0,13573.6227,,,1.75
2005-06-30,176.38,4385112.0,14673.9056,,,1.75
2005-07-31,189.53,4408060.0,15767.9488,,,2.0
2005-08-31,188.0,6035244.0,18780.6739,,,2.0
2005-09-30,229.2,16016412.0,23194.3975,,,2.0
2005-10-31,215.15,4359686.0,21772.5769,,,2.0
2005-11-30,221.03,3413992.0,22367.1105,,,2.0
2005-12-31,249.28,3972352.0,25225.9313,,,2.0
2006-01-31,270.68,6744624.0,27391.5513,,,2.0
2006-02-28,266.3,3595638.0,26948.8136,,,2.0
2006-03-31,253.4,3328238.0,25643.3697,,,2.0
2006-04-30,242.88,4654214.0,23786.4011,,,2.0
2006-05-31,206.98,3102758.0,20945.2898,,,2.0
2006-06-30,200.45,2511404.0,20284.9781,,,2.0
2006-07-31,200.08,1323812.0,20247.0292,,,2.25
2006-08-31,220.28,2736882.0,22291.2126,,,2.25
2006-09-30,238.0,3014064.0,24084.9329,,,2.25
2006-10-31,221.65,1858246.0,22430.3587,,,2.25
2006-11-30,224.83,4616748.0,22751.6598,,,2.25
2006-12-31,214.7,1774918.0,21727.0382,,,2.25
2007-01-31,228.98,3105564.0,23171.6282,,,2.25
2007-02-28,248.63,4194180.0,25677.2935,,,2.25
2007-03-31,249.43,7274576.0,25759.9153,,,3.0
2007-04-30,251.0,770516.0,25922.5769,,,3.0
2007-05-31,251.33,860424.0,25956.142,,,3.0
2007-06-30,259.9,1274406.0,26841.744,,,3.0
2007-07-31,242.13,1304176.0,25005.9918,,,3.0
2007-08-31,242.25,3642336.0,25018.9014,,,2.5
2007-09-30,242.68,2144368.0,25062.9886,,,2.5
2007-10-31,242.3,3374004.0,25024.2594,,,2.5
2007-11-30,241.78,1670786.0,24970.0384,,,2.5
2007-12-31,262.88,3485172.0,27149.2042,,,2.5
2008-01-31,248.25,4165470.0,29137.5994,,,2.5
2008-02-29,248.23,2119616.0,29134.6651,,,2.5
2008-03-31,254.43,1828126.0,29862.3715,,,2.5
2008-04-30,247.78,2910710.0,29081.8477,,,2.5
2008-05-31,244.98,1244262.0,28753.2061,,,1.0
2008-06-30,244.43,1102764.0,28688.6515,,,1.0
2008-07-31,240.9,10786938.0,28274.9152,,,1.0
2008-08-31,242.08,3208116.0,28412.8273,,,3.0
2008-09-30,224.28,1168566.0,26323.6057,,,3.0
2008-10-31,194.5,1168546.0,23431.804,,,3.0
2008-11-30,187.98,10505268.0,22645.7242,,,3.0
2008-12-31,226.1,4618404.0,27238.7192,,,3.0
2009-01-31,202.5,1764010.0,24395.58,,,3.0
2009-02-28,194.48,1347368.0,23428.7922,,,3.0
2009-03-31,203.1,1246228.0,24467.8632,,,3.0
2009-04-30,192.03,1185330.0,23133.6358,,,3.0
2009-05-31,255.95,3247008.0,30834.8084,,,3.0
2009-06-30,286.45,7059798.0,35396.5696,,,3.0
2009-07-31,277.3,2552764.0,34265.9059,,,3.0
2009-08-31,262.5,3849900.0,32437.0728,,,3.25
2009-09-30,273.63,3186558.0,33811.7869,,,3.25
2009-10-31,267.85,1241566.0,33098.1713,,,3.25
2009-11-30,265.05,2428384.0,32752.1758,,,3.25
2009-12-31,328.4,5581302.0,40580.3228,,,3.25
2010-01-31,340.98,4320636.0,42134.213,,,3.25
2010-02-28,341.5,2601664.0,42199.0872,,,3.25
2010-03-31,364.78,2902466.0,45075.1743,,,3.25
2010-04-30,392.2,3051928.0,48464.0761,,,3.25
2010-05-31,371.15,2255690.0,45862.9318,,,3.25
2010-06-30,375.5,2872880.0,46400.4604,,,3.25
2010-07-31,392.03,2949396.0,48442.4514,,,3.5
2010-08-31,403.88,2625032.0,49906.7535,,,3.5
2010-09-30,454.65,2192309.0,56180.9651,,,3.5
2010-10-31,521.9,6270136.0,64491.0276,,,3.5
2010-11-30,479.8,1882380.0,59288.7431,,,3.5
2010-12-31,455.25,1173412.0,56255.1069,,,3.5
2011-01-31,491.7,1818058.0,61320.2517,,,3.5
2011-02-28,464.95,7233339.0,57984.2404,,,3.5
2011-03-31,472.6,2006773.0,58938.2773,,,3.5
2011-04-30,474.7,1265418.0,59200.1698,,,3.5
2011-05-31,494.95,1717552.0,61725.5615,,,3.5
2011-06-30,478.0,1307655.0,59611.7151,,,3.5
2011-07-31,527.0,3310482.0,69235.8875,,,3.75
2011-08-31,534.25,1392716.0,70188.3736,,,3.75
2011-09-30,520.15,1508788.0,68335.9523,,,3.75
2011-10-31,519.8,6128345.0,68289.9702,,,3.75
2011-11-30,609.9,1906042.0,80127.0736,,,3.75
2011-12-31,565.2,19152932.0,74254.504,,,3.75
2012-01-31,600.15,6487369.0,80700.1291,,,3.75
2012-02-29,579.65,3913856.0,77943.5638,,,3.75
2012-03-31,638.8,4911882.0,85897.2631,,,3.75
2012-04-30,630.35,1829538.0,84761.0204,,,3.75
2012-05-31,669.8,3652500.0,90065.7277,,,3.75
2012-06-30,617.3,1977920.0,83859.0973,,,3.75
2012-07-31,630.15,3691112.0,85604.7467,,,4.0
2012-08-31,628.5,2936689.0,87440.1872,,,4.0
2012-09-30,731.25,4179733.0,101735.3013,,,4.0
2012-10-31,779.95,5292863.0,108510.6985,,,4.0
2012-11-30,819.0,22788825.0,113943.5375,,,4.0
2012-12-31,787.35,4041756.0,109540.2249,,,4.0
2013-01-31,808.5,4643015.0,112482.7229,,,4.0
2013-02-28,826.9,15197150.0,115042.6265,,,4.0
2013-03-31,838.9,2824733.0,116712.1289,,,4.0
2013-04-30,834.2,4220160.0,116058.2405,,,4.0
2013-05-31,1007.7,18956812.0,140196.4624,,,4.0
2013-06-30,1053.45,6978367.0,146561.3833,,,4.0
2013-07-31,938.15,5053907.0,130520.2619,,,5.5
2013-08-31,864.55,4853808.0,120280.6507,,,5.5
2013-09-30,929.65,4246091.0,129337.6981,,,5.5
2013-10-31,908.85,2813204.0,126443.8949,,,5.5
2013-11-30,834.1,2492996.0,116044.2898,,,5.5
2013-12-31,946.4,6061303.0,131668.0444,,,5.5
2014-01-31,930.2,3421973.0,129414.2169,,,5.5
2014-02-28,920.3,2526586.0,128036.8779,,,5.5
2014-03-31,916.45,2740532.0,127501.2461,,,5.5
2014-04-30,894.35,3173986.0,124426.5802,,,5.5
2014-05-31,907.7,4637206.0,126283.901,,,5.5
2014-06-30,995.05,3899775.0,138436.4831,,,5.5
2014-07-31,1013.2,4159879.0,140961.6046,,,5.5
2014-08-31,1173.2,5778350.0,163221.6203,,,5.75
2014-09-30,1120.7,3808910.0,155917.5498,,,5.75
2014-10-31,1115.45,2503129.0,155187.1428,,,5.75
2014-11-30,1166.05,3525975.0,162226.8929,,,5.75
2014-12-31,1129.7,3282767.0,157169.6762,,,5.75
2015-01-31,1313.55,5263233.0,182747.8529,,,5.75
2015-02-28,1314.2,3533001.0,182838.0663,,,5.75
2015-03-31,1369.2,4842592.0,190490.1502,,,5.75
2015-04-30,1137.15,5791820.0,158206.1673,,,5.75
2015-05-31,1212.55,4899234.0,168696.2125,,,5.75
2015-06-30,1315.95,4954095.0,183081.7359,,,5.75
2015-07-31,1359.85,5204627.0,189189.3387,,,5.75
2015-08-31,1340.2,5436433.0,186455.3163,,,5.75
2015-09-30,1441.6,3970222.0,200562.82,,,5.75
2015-10-31,1312.75,3974929.0,182636.5441,,,5.75
2015-11-30,1315.15,4235902.0,182970.4444,,,5.75
2015-12-31,1466.45,4354731.0,204020.0713,,,5.75
2016-01-31,1473.0,4503049.0,204931.3498,,,5.75
2016-02-29,1463.85,4093156.0,203658.3546,,,5.75
2016-03-31,1329.3,5910299.0,184939.074,,,6.0
2016-04-30,1312.15,4208024.0,182553.069,,,6.0
2016-05-31,1369.1,5308258.0,190476.2464,,,6.0
2016-06-30,1315.5,4613923.0,183019.1382,,,6.0
2016-07-31,1361.9,3572995.0,189474.5453,,,6.0
2016-08-31,1349.95,3870062.0,187811.991,,,6.0
2016-09-30,1313.4,5031388.0,182726.9754,,,6.0
2016-10-31,1341.15,2853359.0,186587.6984,,,6.0
2016-11-30,1195.3,5003518.0,166296.3036,,,6.0
2016-12-31,1179.9,3463471.0,164153.7675,,,6.0
2017-01-31,1230.05,3620410.0,171130.9026,,,6.0
2017-02-28,1301.65,4187061.0,181092.2549,,,6.0
2017-03-31,1165.15,19532084.0,162101.6715,,,6.0
2017-04-30,1233.25,7669487.0,171576.0944,,,6.0
2017-05-31,1211.1,15923062.0,168494.4723,,,0.0
2017-06-30,1274.55,7893089.0,177321.9632,,,0.0
2017-07-31,1259.0,4497087.0,175158.5671,,,0.0
2017-08-31,1082.6,10902558.0,150616.8902,,,0.0
2017-09-30,1005.0,7961274.0,139820.7784,,,6.0
2017-10-31,1038.55,5617581.0,144488.4272,,,6.0
2017-11-30,1106.3,19865821.0,153914.1634,,,6.0
2017-12-31,1204.8,10015420.0,167617.9916,,,6.0
2018-01-31,1162.8,5825784.0,161774.7349,,,6.0
2018-02-28,1203.05,11438730.0,167374.5225,,,6.0
2018-03-31,1064.65,6671036.0,148119.6005,,,6.0
2018-04-30,1091.0,7151725.0,151785.5485,,,6.0
2018-05-31,950.35,6866453.0,132217.5949,,,6.0
2018-06-30,1047.45,12751108.0,145726.6478,,,6.0
2018-07-31,951.9,13780433.0,132433.2389,,,6.0
2018-08-31,1182.7,34464909.0,164543.3255,,,6.0
2018-09-30,1042.25,17333474.0,145003.197,,,5.0
2018-10-31,1141.05,11608531.0,158748.7627,,,5.0
2018-11-30,1264.8,15908476.0,175965.5011,,,5.0
2018-12-31,1258.3,11736122.0,175061.1876,,,5.0
2019-01-31,1325.65,14302475.0,184431.267,,,5.0
2019-02-28,1140.9,27634726.0,158727.8939,,,5.0
2019-03-31,1227.6,17088241.0,170790.0452,,,5.0
2019-04-30,1216.5,8711954.0,169245.7559,,,5.0
2019-05-31,1238.8,10565639.0,172348.247,,,5.0
2019-06-30,1359.2,20162279.0,189098.9161,,,5.0
2019-07-31,1351.6,13523605.0,188041.5649,,,5.0
2019-08-31,1508.15,19901598.0,209821.6085,,,5.0
2019-09-30,1395.5,14516681.0,194149.1594,,6.3501,6.0
2019-10-31,1484.8,12275954.0,206573.0361,,6.7565,6.0
2019-11-30,1441.2,15176170.0,200507.1792,,6.5581,6.0
2019-12-31,1442.0,19125238.0,200618.4793,,6.4566,6.0
2020-01-31,1660.2,16767120.0,230975.589,,,6.0
2020-02-29,1735.8,18341648.0,241493.451,,,6.5
2020-03-31,1139.05,30010876.0,158470.5124,35.0766,47.4605,6.5
2020-04-30,1394.35,26714960.0,193989.1655,42.9384,58.098,6.5
2020-05-31,1356.95,20333552.0,188785.8845,41.7867,56.5396,6.5
2020-06-30,1349.85,21443013.0,187798.0959,100.7858,56.8771,6.5
2020-07-31,1674.6,24152273.0,232978.9913,125.033,,6.5
2020-08-31,1634.55,23859715.0,227407.0286,122.0427,,6.5
2020-09-30,2148.05,40866046.0,298847.7978,182.3746,9.5301,6.0
2020-10-31,2119.45,29175520.0,294868.8182,179.9463,9.4032,6.0
2020-11-30,2347.9,44217728.0,326651.9608,199.3423,10.4168,6.0
2020-12-31,2412.8,25996251.0,335681.1836,165.9624,10.6317,6.0
2021-01-31,2561.25,22292867.0,368268.4502,176.1734,,6.0
2021-02-28,3058.65,30541693.0,439786.9381,210.3866,,6.0
2021-03-31,2902.65,20454426.0,417356.5317,275.4399,9.068,6.0
2021-04-30,3197.5,21425195.0,459751.4376,303.419,9.9892,2.75
2021-05-31,3168.75,15535293.0,455617.6287,300.6908,9.8994,2.75
2021-06-30,3619.85,20655450.0,520478.887,60.7987,11.219,2.75
2021-07-31,4035.0,12807081.0,580171.091,67.7716,,2.75
2021-08-31,4969.55,31895958.0,714545.0422,83.4682,,5.75
2021-09-30,4481.6,18333817.0,644385.3188,61.8835,12.1471,3.0
2021-10-31,4262.05,10895572.0,612817.3974,58.8518,11.552,3.0
2021-11-30,5687.75,27415036.0,817811.1829,78.5384,15.4163,3.0
2021-12-31,5013.4,16819033.0,720849.9994,64.3665,13.4729,3.0
2022-01-31,4457.35,20451851.0,640898.5409,57.2274,,3.0
2022-02-28,4802.8,15657059.0,690568.9506,61.6626,,3.0
2022-03-31,4516.1,20294620.0,649345.8895,62.3871,11.5474,3.0
2022-04-30,4454.35,12777273.0,640467.1869,61.534,11.3895,3.0
2022-05-31,3979.3,18459373.0,572162.2856,54.9715,10.1748,3.0
2022-06-30,3683.5,15713882.0,529630.7841,60.9766,9.4939,3.0
2022-07-31,4212.3,10346794.0,605664.1107,69.7304,,3.0
2022-08-31,4322.9,12585703.0,621566.6937,71.5613,,11.75
2022-09-30,4383.4,14253233.0,630265.6655,76.4213,10.5166,11.75
2022-10-31,4517.5,7382315.0,649547.188,78.7592,10.8383,11.75
2022-11-30,4726.4,15709155.0,679583.8028,82.4012,11.3395,11.75
2022-12-31,4477.6,10262579.0,643810.1802,85.1783,10.855,11.75
2023-01-31,4255.9,8568396.0,611933.1217,80.9608,,11.75
2023-02-28,4401.65,10439340.0,632889.7355,83.7335,,6.0
2023-03-31,4310.9,7406774.0,619841.2779,76.5057,10.0016,6.0
2023-04-30,4513.7,8374695.0,649000.8063,80.1048,10.4721,6.0
2023-05-31,4621.95,9394372.0,664565.4954,82.026,10.7233,6.0
2023-06-30,5098.2,12604480.0,733042.9383,111.1024,11.8948,6.0
2023-07-31,5173.45,8970041.0,743862.7338,112.7423,,6.0
2023-08-31,4814.1,11759173.0,692193.7173,104.9111,,15.0
2023-09-30,5137.75,8601669.0,738729.6215,107.2657,11.3513,15.0
2023-10-31,4819.9,8127625.0,693027.6683,100.6297,10.649,15.0
2023-11-30,5528.95,9548598.0,794978.1793,115.4332,12.2156,15.0
2023-12-31,5704.1,9868824.0,820162.062,103.8998,12.7272,15.0
2024-01-31,6352.95,7632672.0,913456.7367,115.7186,,15.0
2024-02-29,6101.6,10929238.0,877316.4632,111.1403,,12.0
2024-03-31,6356.8,11615982.0,914010.3076,101.7088,13.1789,12.0
2024-04-30,5947.1,10494846.0,855101.7336,95.1536,12.3295,12.0
2024-05-31,5839.2,10914003.0,839587.3692,93.4272,12.1058,12.0
2024-06-30,6185.7,8502025.0,889408.7528,85.7458,12.8383,12.0
2024-07-31,6615.3,7302734.0,951178.6415,91.7009,,12.0
2024-08-31,6927.5,10207557.0,996068.2114,96.0286,,16.0
2024-09-30,7199.15,7749676.0,1035127.313,87.4957,13.8011,16.0
2024-10-31,7022.7,5554338.0,1009756.511,85.3512,13.4629,16.0
2024-11-30,6828.9,9204268.0,981891.0442,82.9959,13.0914,16.0
2024-12-31,7296.35,6614254.0,1049103.182,80.0829,14.0218,16.0
2025-01-31,6810.5,7653690.0,979245.4065,74.7503,,16.0
2025-02-28,6052.6,9135526.0,870271.015,66.4318,,19.0
2025-03-31,6616.2,7270145.0,951308.0476,65.7936,11.5839,19.0
2025-04-30,6977.0,9095746.0,1003185.552,69.3815,12.2156,19.0
2025-05-31,6880.5,7633290.0,989310.3325,68.4218,12.0467,19.0
2025-06-30,7242.0,9699536.0,1041288.486,66.1793,12.7961,19.0
2025-07-31,7498.0,11970386.0,1078097.358,68.5187,,19.0
2025-08-31,7610.0,10694775.0,1094201.24,69.5422,,19.0
2025-09-30,7409.0,6165120.0,1065300.524,63.7169,11.7152,19.0
2025-10-31,7681.0,6765557.0,1104409.95,66.0561,12.1453,19.0
2025-11-30,7335.5,6755934.0,1054732.351,63.0848,11.599,19.0
2025-12-31,7042.5,7024414.0,1012603.447,56.1917,11.0527,19.0
2026-01-31,6960.5,9598681.0,1000813.105,55.5374,,19.0
2026-02-28,7821.5,9674439.0,1124611.695,62.4072,,20.0
2026-03-31,7779.5,1643005.0,1118572.739,62.0721,,20.0
