SWANCORP IN Equity,price,volume,mc,pe,bm,div
2023-11-30,422.9,75401701.0,111610.4993,,4.8873,0.1
2023-12-31,511.0,188551349.0,134861.587,,5.9055,0.1
2024-01-31,639.05,148395684.0,168656.1588,,7.3853,0.1
2024-02-29,745.2,109425862.0,196670.9484,,8.612,0.1
2024-03-31,669.95,119375851.0,210000.4408,30.6695,3.3445,0.1
2024-04-30,620.4,27848559.0,194468.6521,28.4011,3.0972,0.1
2024-05-31,574.75,34796471.0,180159.3452,26.3113,2.8693,0.1
2024-06-30,586.9,43990226.0,183967.8464,26.8676,2.9299,0.1
2024-07-31,757.75,55399594.0,237521.9554,34.6889,3.7829,0.1
2024-08-31,677.4,41811484.0,212335.6946,31.0105,3.3817,0.1
2024-09-30,577.3,33449558.0,180958.6603,26.4281,2.882,0.1
2024-10-31,499.8,29196204.0,156665.7516,22.8802,2.4951,0.1
2024-11-30,610.95,111676490.0,191506.4845,27.9685,3.05,0.1
2024-12-31,719.2,184288974.0,225438.1924,32.9241,3.5904,0.1
2025-01-31,551.35,79657766.0,172824.4541,25.2401,2.7525,0.1
2025-02-28,408.0,66735819.0,127890.4095,18.6777,2.0368,0.1
2025-03-31,430.2,63523429.0,134849.1524,17.8537,1.8365,0.1
2025-04-30,401.8,41762102.0,125946.9768,16.675,1.7153,0.1
2025-05-31,433.85,38271316.0,135993.27,18.0051,1.8521,0.1
2025-06-30,446.55,78648179.0,139974.1724,18.5322,1.9063,0.1
2025-07-31,467.3,123817167.0,146478.4028,19.3933,1.9949,0.1
2025-08-31,444.7,43634134.0,139394.2772,18.4554,1.8984,0.1
2025-09-30,454.7,28348095.0,142528.8461,18.8704,1.9411,0.1
2025-10-31,469.6,20860048.0,147199.3537,19.4888,2.0047,0.1
2025-11-30,448.8,41251474.0,140679.4504,18.6256,1.9159,0.1
2025-12-31,468.85,22433012.0,146964.261,19.4577,2.0015,0.1
2026-01-31,421.65,26633146.0,132169.096,17.4988,1.8,0.1
2026-02-28,382.4,18472838.0,119865.9132,15.8699,1.6324,0.1
2026-03-31,360.9,3237732.0,113126.5882,14.9776,1.5407,0.1
