CSTRL IN Equity,price,volume,mc,pe,bm,div
1997-12-31,46.56,239871856.0,46005.2392,29.0868,12.5585,0.5938
1998-01-31,40.31,358011408.0,39830.0393,25.1825,10.8728,0.5938
1998-02-28,43.5,359334320.0,42979.3912,27.1737,11.7325,0.5938
1998-03-31,42.81,207925408.0,42300.1192,26.7442,11.5471,0.75
1998-04-30,41.88,334140384.0,41373.8393,26.1586,11.2942,0.75
1998-05-31,38.75,127222304.0,38286.2393,24.2065,10.4514,0.75
1998-06-30,37.28,167923312.0,36835.0673,23.289,10.0552,0.75
1998-07-31,33.75,153652128.0,33346.0794,21.083,9.1028,0.375
1998-08-31,34.31,82253008.0,33901.8474,21.4344,9.2545,0.375
1998-09-30,37.56,190780768.0,37112.9513,23.4646,10.1311,0.375
1998-10-31,38.75,109392816.0,38286.2393,24.2065,10.4514,1.3125
1998-11-30,39.25,116836864.0,38780.2553,24.5188,10.5862,1.3125
1998-12-31,47.41,153195040.0,46838.8912,26.2611,10.5775,1.3125
1999-01-31,51.09,155267552.0,50482.2591,28.3038,11.4003,1.3125
1999-02-28,51.19,97886176.0,50574.8871,28.3558,11.4212,0.125
1999-03-31,52.75,82003072.0,52118.6871,29.2213,11.7698,0.125
1999-04-30,50.95,40819040.0,50343.3171,28.2259,11.3689,0.125
1999-05-31,52.5,47665032.0,51871.6791,29.0829,11.714,0.125
1999-06-30,51.91,29261672.0,51285.0351,28.7539,11.5816,0.125
1999-07-31,53.9,45377072.0,53254.9239,29.8584,12.0264,0.125
1999-08-31,55.0,41549376.0,54341.759,30.4677,12.2719,0.625
1999-09-30,47.56,23679960.0,46993.2712,26.3477,10.6124,0.625
1999-10-31,42.63,28902176.0,42114.8633,23.6125,9.5107,0.625
1999-11-30,43.25,15940440.0,42732.3832,23.9587,9.6501,1.875
1999-12-31,38.14,22216736.0,37687.2449,18.4403,10.1033,1.875
2000-01-31,44.0,15533536.0,43473.4072,21.2715,11.6544,1.875
2000-02-29,38.13,20101344.0,37668.7193,18.4312,10.0983,2.8125
2000-03-31,38.38,11352384.0,37915.7273,18.5521,10.1645,2.8125
2000-04-30,37.75,7359336.0,37297.9055,18.2499,9.999,2.8125
2000-05-31,36.44,6941944.0,36001.124,17.6154,9.6513,2.8125
2000-06-30,37.92,5653128.0,37464.6346,18.3315,10.0437,2.8125
2000-07-31,33.22,17852072.0,32820.9218,16.0593,8.7988,2.8125
2000-08-31,33.74,4655872.0,33333.4593,16.3101,8.9362,0.3125
2000-09-30,29.52,5447224.0,29165.2331,14.2706,7.8187,0.3125
2000-10-31,23.34,8619840.0,23064.1849,11.2854,6.1831,0.3125
2000-11-30,30.65,11151216.0,30279.4051,14.8175,8.1184,0.3125
2000-12-31,34.16,13236728.0,33743.2604,25.1034,8.5677,0.3125
2001-01-31,34.4,6962352.0,33984.0632,25.2825,8.6288,0.3125
2001-02-28,34.13,16715560.0,33718.5627,25.085,8.5614,0.3125
2001-03-31,28.73,7241472.0,28383.8551,21.1162,7.2069,0.3125
2001-04-30,30.84,5439448.0,30464.638,22.6642,7.7352,0.3125
2001-05-31,29.18,12110152.0,28825.7173,21.4424,7.3182,0.625
2001-06-30,26.88,5718616.0,26559.4281,19.7565,6.7429,0.625
2001-07-31,26.52,1509280.0,26201.2679,19.4901,6.6519,0.625
2001-08-31,32.44,68184816.0,32049.1587,23.8401,8.1366,0.625
2001-09-30,31.98,24309488.0,31598.371,23.5048,8.0221,0.625
2001-10-31,32.46,8574512.0,32067.6843,23.8539,8.1413,0.625
2001-11-30,23.64,18798904.0,23354.5122,17.3725,5.9292,0.625
2001-12-31,23.45,39315208.0,23169.257,21.357,5.8409,0.625
2002-01-31,24.02,10793576.0,23731.1979,21.875,5.9826,0.9375
2002-02-28,23.66,15428480.0,23373.0377,21.5449,5.8923,0.9375
2002-03-31,23.28,4687472.0,22996.3521,21.1976,5.7973,0.9375
2002-04-30,22.21,2371464.0,21940.3971,20.2243,5.5311,0.9375
2002-05-31,23.33,3981664.0,23045.7535,21.2432,5.8098,0.9375
2002-06-30,23.72,2226040.0,23434.7895,21.6018,5.9078,0.9375
2002-07-31,23.69,4138768.0,23433.1939,21.579,5.9016,1.0
2002-08-31,24.83,9212192.0,24558.1851,22.615,6.1849,1.0
2002-09-30,23.76,1118456.0,23495.0066,21.6359,5.9172,1.0
2002-10-31,23.79,1334264.0,23525.913,21.6644,5.925,1.0
2002-11-30,24.64,1319040.0,24366.5657,22.4385,6.1367,1.0
2002-12-31,26.25,16840984.0,25961.3333,16.9766,7.9699,1.0
2003-01-31,24.08,2201872.0,23810.2514,15.5699,7.3095,1.0
2003-02-28,24.11,2002728.0,23841.1578,15.5901,7.319,1.0
2003-03-31,23.71,1971528.0,23451.7378,15.3355,7.1995,1.0
2003-04-30,23.76,2149992.0,23501.1879,15.3678,7.2146,1.0
2003-05-31,23.27,8022208.0,23012.8676,15.0485,7.0647,1.5625
2003-06-30,25.24,10393104.0,24959.9676,16.3217,7.6625,1.5625
2003-07-31,25.19,16287224.0,24916.6987,16.2935,7.6492,1.5625
2003-08-31,25.59,21474136.0,25312.3,16.5521,7.7706,1.5313
2003-09-30,23.94,16553096.0,23680.4447,15.485,7.2697,1.5313
2003-10-31,23.64,16717736.0,23377.5625,15.287,7.1767,1.5313
2003-11-30,24.26,10284256.0,23989.5082,15.6871,7.3645,1.5313
2003-12-31,29.74,63337792.0,29410.4819,21.4131,8.4504,1.5313
2004-01-31,25.83,27819624.0,25544.0853,18.5959,7.3386,1.5313
2004-02-29,27.71,11399528.0,27404.8718,19.9505,7.8732,1.5313
2004-03-31,24.51,6767712.0,24239.6802,17.6463,6.9638,1.5313
2004-04-30,22.63,5578800.0,22378.8937,16.2916,6.4292,1.0313
2004-05-31,21.29,9087016.0,21062.1246,15.333,6.0509,1.0313
2004-06-30,20.34,2745728.0,20116.2763,14.6445,5.7792,1.0313
2004-07-31,21.26,8581192.0,21025.0325,15.306,6.0403,1.0313
2004-08-31,21.27,6921872.0,21037.3965,15.315,6.0438,1.0313
2004-09-30,20.54,7472864.0,20314.1008,14.7885,5.836,1.0313
2004-10-31,20.43,7164416.0,20209.0065,14.712,5.8059,1.0313
2004-11-30,22.69,16810368.0,22446.8959,16.3411,6.4488,1.0313
2004-12-31,27.23,42398728.0,26928.8567,21.1251,7.4788,1.0313
2005-01-31,24.26,13888240.0,23992.3996,18.8215,6.6633,1.0313
2005-02-28,26.81,12716232.0,26520.8437,20.805,7.3655,1.0313
2005-03-31,23.61,10995568.0,23355.6521,18.322,6.4864,1.0313
2005-04-30,23.74,9219320.0,23485.4744,18.4239,6.5225,1.0313
2005-05-31,24.68,9416344.0,24406.5946,19.1465,6.7783,1.0313
2005-06-30,27.75,35294760.0,27448.1459,21.5325,7.623,1.0313
2005-07-31,26.29,11907672.0,26007.7365,20.4025,7.223,1.0313
2005-08-31,26.18,13112600.0,25890.2782,20.3104,7.1903,1.0313
2005-09-30,26.87,25612888.0,26576.4818,20.8487,7.3809,1.0313
2005-10-31,25.31,9771688.0,25030.9781,19.6363,6.9517,1.0313
2005-11-30,29.19,15302136.0,28870.0093,22.6479,8.0179,1.0313
2005-12-31,31.54,44208512.0,31194.4469,21.2482,7.9973,1.0313
2006-01-31,30.76,28433360.0,30427.8771,20.726,7.8008,1.0313
2006-02-28,30.93,19910608.0,30588.6095,20.8355,7.842,1.0313
2006-03-31,31.24,18529264.0,30897.7102,21.0461,7.9213,1.0313
2006-04-30,28.98,13453416.0,28202.3517,19.5259,7.3491,1.0313
2006-05-31,22.74,19489712.0,22490.17,15.3192,5.7658,1.0313
2006-06-30,21.13,13927896.0,20901.3922,14.237,5.3585,1.0313
2006-07-31,21.63,8531120.0,21389.7714,14.5697,5.4837,1.0313
2006-08-31,26.26,15004072.0,25976.8264,17.6942,6.6597,1.0313
2006-09-30,27.56,14249104.0,27262.6855,18.57,6.9894,1.0313
2006-10-31,27.83,8690944.0,27522.3301,18.7469,7.0559,1.0313
2006-11-30,28.23,14112160.0,27924.1611,19.0206,7.1589,1.0313
2006-12-31,28.49,7244056.0,28177.6237,18.2391,6.7465,1.0313
2007-01-31,28.82,9714488.0,28505.2705,18.4512,6.825,1.0313
2007-02-28,27.47,5479080.0,27169.9553,17.5869,6.5053,1.0313
2007-03-31,26.36,4189800.0,26075.7386,16.8786,6.2433,1.0313
2007-04-30,32.77,18038328.0,32412.3038,20.9802,7.7605,1.125
2007-05-31,37.6,27933256.0,37191.0013,24.0734,8.9046,1.125
2007-06-30,33.26,9688176.0,32900.683,21.2963,7.8774,1.125
2007-07-31,34.18,12308576.0,33809.4392,21.8845,8.095,1.125
2007-08-31,32.57,7351368.0,32214.4794,20.8521,7.7131,1.1875
2007-09-30,33.59,18171200.0,33222.0678,21.5044,7.9544,1.1875
2007-10-31,34.67,15259624.0,34291.5538,22.1967,8.2104,1.1875
2007-11-30,34.01,8148008.0,33636.2618,21.7725,8.0535,1.1875
2007-12-31,45.13,27718536.0,44634.0398,20.4301,10.3757,1.1875
2008-01-31,34.5,14424672.0,34124.6398,15.6197,7.9327,1.1875
2008-02-29,34.59,7451136.0,34217.3698,15.6621,7.9542,1.1875
2008-03-31,30.22,5199016.0,29889.9699,13.6814,6.9483,1.1875
2008-04-30,38.03,39522384.0,37611.2878,17.2156,8.7432,1.75
2008-05-31,37.51,17016088.0,37104.3638,16.9836,8.6253,1.75
2008-06-30,32.38,3610424.0,32028.9418,14.6604,7.4455,1.75
2008-07-31,35.78,12873392.0,35391.9498,16.1998,8.2273,1.75
2008-08-31,42.49,12681976.0,42031.4178,19.2388,9.7707,1.9375
2008-09-30,42.79,14353944.0,42328.1538,19.3746,9.8397,1.9375
2008-10-31,36.86,6401712.0,36461.4358,16.6893,8.4759,1.9375
2008-11-30,38.21,5578360.0,37790.5658,17.2977,8.7848,1.9375
2008-12-31,42.06,9400320.0,41598.6778,15.8553,8.7471,1.9375
2009-01-31,41.43,5210464.0,40974.2958,15.6173,8.6158,1.9375
2009-02-28,38.38,7604536.0,37963.6618,14.4698,7.9828,1.9375
2009-03-31,40.98,5662216.0,40535.3738,15.45,8.5236,1.9375
2009-04-30,42.82,9447744.0,42352.8818,16.1428,8.9057,1.875
2009-05-31,42.05,17032840.0,41592.4958,15.853,8.7458,1.875
2009-06-30,46.59,25601656.0,46080.6278,17.5636,9.6896,1.875
2009-07-31,56.19,24522376.0,55582.3617,21.1852,11.6876,2.375
2009-08-31,61.23,23698320.0,60565.0537,23.0844,12.7353,2.375
2009-09-30,62.6,15172024.0,61918.9117,23.6004,13.02,2.375
2009-10-31,66.32,37790528.0,65597.2017,25.0024,13.7934,2.375
2009-11-30,67.28,12345144.0,66549.2297,25.3652,13.9936,2.375
2009-12-31,75.61,16522608.0,74783.6536,19.6252,15.1078,2.375
2010-01-31,75.61,15121320.0,74783.6536,19.6252,15.1078,2.375
2010-02-28,81.11,54833448.0,80223.8136,21.0529,16.2069,3.125
2010-03-31,86.63,25740688.0,85682.5196,22.4854,17.3096,3.125
2010-04-30,91.7,21196268.0,90702.3036,23.8027,18.3237,3.125
2010-05-31,94.8,6626092.0,93768.5755,24.6074,18.9432,3.125
2010-06-30,110.46,13080812.0,109260.6675,28.6729,22.0729,3.125
2010-07-31,116.2,11367644.0,114935.7434,30.1622,23.2194,3.625
2010-08-31,119.24,22342780.0,117940.1954,30.9507,23.8264,3.625
2010-09-30,127.28,18317504.0,125890.2474,33.037,25.4324,3.625
2010-10-31,118.38,14740812.0,117087.0794,30.7268,23.654,3.625
2010-11-30,109.0,7506736.0,107814.0795,28.2933,21.7807,3.625
2010-12-31,114.56,8129880.0,113316.0594,23.1089,20.4727,3.625
2011-01-31,103.54,4587932.0,102411.0115,20.885,18.5025,3.625
2011-02-28,97.65,6860988.0,96587.5675,19.6974,17.4504,2.375
2011-03-31,110.36,5730724.0,109161.7555,22.2617,19.7221,2.375
2011-04-30,116.85,6695632.0,115578.6714,23.5703,20.8815,1.75
2011-05-31,124.06,25020676.0,122712.6994,25.0252,22.1704,1.75
2011-06-30,132.06,9364592.0,130625.6594,26.6389,23.6,3.75
2011-07-31,134.25,25750284.0,132789.3593,27.0802,23.9909,3.75
2011-08-31,128.75,8130220.0,127349.1994,25.9708,23.008,3.75
2011-09-30,119.34,6406228.0,118039.1074,24.0721,21.326,3.75
2011-10-31,123.16,4258408.0,121822.4914,24.8437,22.0095,3.75
2011-11-30,109.68,6522160.0,108481.7355,22.123,19.5993,3.75
2011-12-31,104.21,7139976.0,103078.6675,21.4319,17.0604,3.75
2012-01-31,122.91,8173772.0,121575.2114,25.2776,20.1217,3.75
2012-02-29,119.91,8632148.0,118607.8514,24.6607,19.6306,3.75
2012-03-31,134.11,8686844.0,132653.6746,27.581,21.9553,3.75
2012-04-30,124.94,6481088.0,123578.4768,25.6941,20.4532,3.75
2012-05-31,122.36,4824984.0,121031.4867,25.1645,20.0317,3.75
2012-06-30,136.85,6362224.0,135361.3971,28.144,22.4034,3.75
2012-07-31,138.15,21177040.0,136647.2562,28.4113,22.6162,3.75
2012-08-31,148.85,16440980.0,147230.8656,30.6118,24.3679,3.75
2012-09-30,155.63,13854256.0,153932.1697,32.0051,25.477,3.75
2012-10-31,151.8,10969702.0,150148.7766,31.2185,24.8508,3.75
2012-11-30,147.55,5228246.0,145945.0065,30.3445,24.1551,3.75
2012-12-31,149.75,8101684.0,148121.0757,33.0939,22.8149,3.75
2013-01-31,151.68,10954474.0,150025.1363,33.5193,23.1082,3.75
2013-02-28,160.0,7748146.0,158259.5801,35.3591,24.3765,3.75
2013-03-31,158.6,7007702.0,156874.8088,35.0497,24.1632,3.75
2013-04-30,164.53,5577326.0,162735.3588,36.3591,25.0659,3.5
2013-05-31,172.9,6812540.0,171019.2587,38.2099,26.3419,3.5
2013-06-30,165.15,5527476.0,163353.5603,36.4972,25.1611,3.5
2013-07-31,157.5,5617748.0,155786.7741,34.8066,23.9956,3.5
2013-08-31,161.75,4615926.0,159990.5442,35.7459,24.6431,3.5
2013-09-30,154.8,5523526.0,153116.1437,34.2099,23.5843,3.5
2013-10-31,153.13,7496196.0,151459.3637,33.8398,23.3291,3.5
2013-11-30,152.9,5752082.0,151236.8112,33.7901,23.2948,3.5
2013-12-31,156.9,7106224.0,155193.3007,30.5253,20.6533,3.5
2014-01-31,147.07,8993832.0,145475.1734,28.6138,19.36,3.5
2014-02-28,143.85,6403872.0,142285.2537,27.9864,18.9355,6.0
2014-03-31,155.48,2425586.0,153783.8013,30.2481,20.4658,6.0
2014-04-30,148.05,5438312.0,146439.5677,28.8035,19.4884,6.0
2014-05-31,147.13,14649210.0,145524.6295,28.6235,19.3666,6.0
2014-06-30,162.35,25048106.0,160584.0177,31.5856,21.3707,6.0
2014-07-31,168.03,31871998.0,166197.2871,32.6897,22.1178,6.0
2014-08-31,174.98,11561072.0,173071.6877,34.0418,23.0326,6.0
2014-09-30,214.65,22135766.0,212315.1179,41.7607,28.2552,6.0
2014-10-31,206.6,10191104.0,204352.6828,40.1946,27.1955,6.0
2014-11-30,250.93,25896252.0,248195.5321,48.8181,33.0302,6.0
2014-12-31,251.0,17200428.0,248269.7162,52.2917,49.9758,6.0
2015-01-31,237.13,21328830.0,234545.6433,49.401,47.2132,6.0
2015-02-28,233.48,9756246.0,230935.2611,48.6406,46.4864,3.5
2015-03-31,236.83,12701158.0,234248.9066,49.3385,47.1534,3.5
2015-04-30,221.53,8384294.0,219115.3342,46.151,44.1071,3.5
2015-05-31,240.98,8865772.0,238353.7644,50.2031,47.9797,3.75
2015-06-30,216.83,9542648.0,214466.4591,45.1719,43.1713,3.75
2015-07-31,245.58,20188172.0,242903.7274,51.1615,48.8956,3.75
2015-08-31,215.15,15393486.0,212809.6791,44.8229,42.8378,4.0
2015-09-30,221.28,9027564.0,218868.0536,46.099,44.0573,4.0
2015-10-31,231.5,9583390.0,228981.8299,48.2292,46.0932,4.0
2015-11-30,221.18,10093408.0,218769.1414,46.0781,44.0374,4.0
2015-12-31,220.68,10651868.0,218274.5802,35.4783,37.9206,4.0
2016-01-31,210.08,11099624.0,207789.883,33.7741,36.0991,4.0
2016-02-29,183.7,10315044.0,181701.7804,29.5338,31.5668,4.0
2016-03-31,187.08,17660068.0,185040.0684,30.0764,32.1468,4.0
2016-04-30,198.15,15194928.0,195994.5987,31.8569,34.0499,4.5
2016-05-31,187.48,202920822.0,185435.7173,30.1407,32.2155,4.5
2016-06-30,189.5,32744110.0,187438.6902,30.4662,32.5635,4.5
2016-07-31,221.2,39250406.0,218793.8695,35.5627,38.0108,4.5
2016-08-31,223.53,77891014.0,221093.579,35.9365,38.4103,4.75
2016-09-30,237.48,238023478.0,234891.8361,38.1793,40.8075,4.75
2016-10-31,228.8,43152898.0,226311.1995,36.7846,39.3168,4.75
2016-11-30,203.83,50292932.0,201607.8682,32.7693,35.0251,4.75
2016-12-31,190.33,30543556.0,188254.7161,28.0818,19.1795,4.75
2017-01-31,202.63,25376244.0,200420.9213,29.8966,20.419,4.75
2017-02-28,203.5,34948014.0,201286.4034,30.0257,20.5072,4.75
2017-03-31,216.2,32585944.0,213848.2576,31.8996,21.787,5.75
2017-04-30,219.0,35945174.0,216617.8002,32.3127,22.0692,5.75
2017-05-31,212.08,34506224.0,209768.1278,31.2909,21.3713,5.5
2017-06-30,202.35,38421412.0,200148.9127,29.856,20.3913,5.5
2017-07-31,200.33,35722230.0,198145.9399,29.5573,20.1873,5.5
2017-08-31,194.4,31755476.0,192285.3898,28.683,19.5902,5.5
2017-09-30,178.3,26143698.0,176360.5195,26.3075,17.9677,5.5
2017-10-31,199.95,48077066.0,197775.019,29.5019,20.1495,5.5
2017-11-30,199.85,75528844.0,197676.1044,29.4872,20.1394,5.5
2017-12-31,193.2,82598881.0,191098.4405,27.6395,18.7324,5.5
2018-01-31,185.4,43478412.0,183383.2861,26.5236,17.9761,5.5
2018-02-28,201.95,44127450.0,199540.5984,28.8913,19.5808,5.5
2018-03-31,204.9,37394570.0,202455.4028,29.3133,19.8668,4.5
2018-04-30,194.85,24454742.0,192525.3062,27.8755,18.8924,4.75
2018-05-31,170.9,38441099.0,168861.0461,24.4492,16.5702,4.75
2018-06-30,163.7,36611996.0,161746.947,23.4192,15.8721,4.75
2018-07-31,174.35,37946467.0,172269.8852,24.9428,16.9047,4.75
2018-08-31,158.8,38327195.0,156905.4074,22.7182,15.397,4.75
2018-09-30,142.85,27086973.0,141145.7018,20.4363,13.8505,4.75
2018-10-31,148.7,33130663.0,146925.9073,21.2732,14.4177,4.75
2018-11-30,151.0,27575088.0,149293.7796,21.6023,14.6407,4.75
2018-12-31,151.25,18574351.0,149540.9547,21.1243,12.8353,4.75
2019-01-31,158.65,39259198.0,156857.3386,22.1578,13.4633,4.75
2019-02-28,154.65,25059316.0,152902.5365,21.5992,13.1239,4.75
2019-03-31,166.4,50603681.0,164519.7677,23.2402,14.121,4.75
2019-04-30,152.6,26529740.0,150875.7004,21.3128,12.9499,4.75
2019-05-31,147.2,22688263.0,145536.7176,20.5587,12.4917,5.0
2019-06-30,132.55,18482851.0,131052.2549,18.5126,11.2484,5.0
2019-07-31,121.3,35651232.0,119929.3739,16.9413,10.2937,5.0
2019-08-31,122.85,24273880.0,121461.8597,17.1578,10.4253,5.25
2019-09-30,136.05,29213063.0,134512.7067,19.0014,11.5454,5.25
2019-10-31,152.15,55255717.0,150430.7852,21.25,12.9117,5.25
2019-11-30,140.75,47940331.0,139159.5992,19.6578,11.9443,5.25
2019-12-31,129.3,31208587.0,127841.2223,15.4665,9.3569,5.25
2020-01-31,135.05,61536789.0,133526.3501,16.1543,9.773,5.25
2020-02-29,146.7,44141841.0,145044.9134,17.5478,10.616,5.25
2020-03-31,99.45,39347905.0,98328.3877,11.8959,7.1967,5.25
2020-04-30,129.7,29361628.0,128237.2236,15.5144,9.3858,2.5
2020-05-31,115.55,25691862.0,114246.8094,13.8218,8.3618,2.5
2020-06-30,125.7,32145767.0,124282.3362,15.0359,9.0963,3.0
2020-07-31,113.45,32765191.0,112170.4935,13.5706,8.2099,3.0
2020-08-31,119.9,24032636.0,118547.7495,14.3421,8.6766,3.0
2020-09-30,109.35,23592912.0,108116.734,13.0801,7.9132,3.0
2020-10-31,114.0,32639225.0,112759.9494,13.6364,8.2497,3.0
2020-11-30,125.4,38001855.0,124035.9443,15.0,9.0746,5.5
2020-12-31,123.05,37155781.0,121711.5068,20.8913,8.6069,5.5
2021-01-31,128.2,39896797.0,126805.4869,21.7657,8.9671,5.5
2021-02-28,129.7,37168579.0,128289.1705,22.0204,9.072,5.5
2021-03-31,125.3,38030670.0,123937.0321,21.2733,8.7643,5.5
2021-04-30,125.75,33455688.0,124382.1371,21.3497,8.7957,5.5
2021-05-31,134.3,37881130.0,132839.1334,22.8014,9.3938,5.5
2021-06-30,143.1,62904065.0,141543.4101,24.2954,10.0093,5.5
2021-07-31,138.4,16775171.0,136839.7502,23.4975,9.6806,5.5
2021-08-31,134.0,18229366.0,132489.3535,22.7504,9.3728,5.5
2021-09-30,140.2,17321741.0,138619.458,23.8031,9.8065,5.5
2021-10-31,138.15,27284351.0,136592.5686,23.455,9.6631,5.5
2021-11-30,129.25,15362116.0,127792.9026,21.944,9.0405,5.5
2021-12-31,122.8,15268094.0,121415.6165,16.0313,7.3821,5.5
2022-01-31,124.7,21419203.0,123294.1969,16.2794,7.4964,5.5
2022-02-28,108.0,19540846.0,106782.4641,14.0992,6.4924,5.5
2022-03-31,100.95,35146293.0,99851.9047,13.1789,6.0686,5.5
2022-04-30,108.1,31149381.0,106924.1297,14.1123,6.4984,5.5
2022-05-31,108.7,20797216.0,107517.6031,14.1906,6.5345,5.5
2022-06-30,103.3,14221434.0,102176.3423,13.4856,6.2099,5.5
2022-07-31,113.8,15787015.0,112562.1273,14.8564,6.8411,5.5
2022-08-31,114.0,20570776.0,112759.9518,14.8825,6.8531,6.0
2022-09-30,112.7,34067248.0,111474.0927,14.7128,6.775,6.0
2022-10-31,124.3,37191339.0,122947.9123,16.2272,7.4723,6.0
2022-11-30,131.5,28201299.0,130069.5935,17.1671,7.9051,6.0
2022-12-31,123.15,16692554.0,121810.4216,14.9454,6.4585,6.0
2023-01-31,117.85,11858498.0,116568.073,14.3022,6.1806,6.0
2023-02-28,114.75,9762184.0,113501.7936,13.926,6.018,6.0
2023-03-31,110.95,13901005.0,109743.1285,13.4648,5.8187,6.0
2023-04-30,119.85,9414546.0,118546.3177,14.5449,6.2855,6.0
2023-05-31,112.3,13766127.0,111078.4437,13.6286,5.8895,6.5
2023-06-30,120.8,27702581.0,119485.984,14.6602,6.3353,6.5
2023-07-31,144.75,49893466.0,143175.4651,17.5667,7.5913,6.5
2023-08-31,144.75,50596534.0,143175.4651,17.5667,7.5913,6.5
2023-09-30,138.55,59570159.0,137042.9063,16.8143,7.2662,6.5
2023-10-31,136.15,34488502.0,134669.0126,16.5231,7.1403,6.5
2023-11-30,138.2,33749938.0,136696.7135,16.7718,7.2478,6.5
2023-12-31,179.75,224961260.0,177794.7485,20.5664,8.3799,6.5
2024-01-31,196.7,177612226.0,194560.3729,22.5057,9.1701,6.5
2024-02-29,208.4,167934153.0,206133.1048,23.8444,9.7155,6.5
2024-03-31,185.95,89078584.0,183927.3073,21.2757,8.6689,7.5
2024-04-30,210.9,127538863.0,208605.9108,24.1304,9.8321,7.5
2024-05-31,195.05,71468962.0,192928.321,22.3169,9.0931,7.5
2024-06-30,200.61,85034136.0,198427.8415,22.9531,9.3523,7.5
2024-07-31,262.14,459657110.0,259288.5417,29.9931,12.2208,7.5
2024-08-31,264.75,187083598.0,261870.1512,30.2918,12.3425,8.0
2024-09-30,245.8,95401237.0,243126.282,28.1236,11.4591,8.0
2024-10-31,210.32,68676830.0,208032.2198,24.0641,9.805,8.0
2024-11-30,200.73,59788762.0,198546.5361,22.9668,9.3579,8.0
2024-12-31,197.42,102555277.0,195272.541,21.0694,8.5707,8.0
2025-01-31,177.38,60742662.0,175450.5285,18.9306,7.7007,8.0
2025-02-28,212.63,220314301.0,210317.0925,22.6926,9.231,8.0
2025-03-31,202.96,208827623.0,200752.2791,21.6606,8.8112,13.0
2025-04-30,197.73,101786542.0,195579.169,21.1025,8.5842,13.0
2025-05-31,216.22,70941209.0,213868.0419,23.0758,9.3869,13.0
2025-06-30,221.73,51780566.0,219318.1062,23.6638,9.6261,13.0
2025-07-31,218.11,79285807.0,215737.4832,23.2775,9.4689,13.0
2025-08-31,197.23,26806860.0,195084.6078,21.0491,8.5625,13.0
2025-09-30,199.64,33209941.0,197468.3927,21.3063,8.6671,13.0
2025-10-31,195.01,25069648.0,192888.7561,20.8122,8.4661,13.0
2025-11-30,192.25,24845949.0,190158.7783,20.5176,8.3463,13.0
2025-12-31,192.55,99701433.0,190455.515,20.0573,10.0224,13.0
2026-01-31,184.15,41543954.0,182146.887,19.1823,9.5851,13.0
2026-02-28,186.91,39713808.0,184876.8648,19.4698,9.7288,13.0
2026-03-31,186.7,5580421.0,184669.1461,19.4479,9.7179,8.75
