KMB IN Equity,price,volume,mc,pe,bm,div
2000-01-31,2.14,71056999.0,9822.979,,,0.0107
2000-02-29,1.37,68971900.0,6290.0123,,,0.0107
2000-03-31,1.15,51872100.0,5279.9373,,,0.0107
2000-04-30,0.72,12175200.0,3305.6999,,,0.018
2000-05-31,0.91,8910300.0,3764.6082,,,0.018
2000-06-30,0.73,7166700.0,2992.6984,,,0.018
2000-07-31,0.7,3782200.0,3223.0925,,,0.018
2000-08-31,0.76,8484200.0,3500.8661,,,0.018
2000-09-30,0.71,10791900.0,3246.049,,,0.018
2000-10-31,0.75,10433100.0,3427.4053,,,0.018
2000-11-30,0.78,9624000.0,3585.8052,,,0.018
2000-12-31,0.74,11914300.0,3409.0401,,,0.018
2001-01-31,0.81,15745500.0,3739.6137,,,0.018
2001-02-28,0.79,9598400.0,3622.5356,,,0.018
2001-03-31,0.58,17122200.0,2667.5452,,,0.018
2001-04-30,0.51,7327300.0,2341.5629,,,0.018
2001-05-31,0.53,4510900.0,2428.7976,,,0.018
2001-06-30,0.48,39164100.0,2203.8239,,,0.018
2001-07-31,0.42,4479000.0,1921.459,,,0.018
2001-08-31,0.43,3102800.0,2546.1461,,,0.018
2001-09-30,0.4,8217900.0,2368.508,,,0.018
2001-10-31,0.39,3492100.0,2282.6496,,,0.018
2001-11-30,0.48,12522200.0,2842.2096,,,0.018
2001-12-31,0.51,14769000.0,2990.2413,,,0.018
2002-01-31,0.77,37804500.0,4547.5354,,,0.02
2002-02-28,1.08,175431700.0,6394.9716,,,0.02
2002-03-31,1.43,485976600.0,8446.6916,,,0.02
2002-04-30,1.81,372966600.0,10693.8136,,,0.0
2002-05-31,1.37,122087700.0,8088.4548,,,0.0
2002-06-30,1.62,147396800.0,9613.1818,,,0.0
2002-07-31,1.6,123396100.0,9479.9533,,,0.0
2002-08-31,1.6,26720200.0,9476.9926,,,0.0
2002-09-30,1.54,12318700.0,9133.559,,,0.021
