MAXF IN Equity,price,volume,mc,pe,bm,div
1998-07-31,11.89,497300.0,1476.819,,,10.55
1998-08-31,10.43,290380.0,1294.935,,,10.2
1998-09-30,12.02,2159710.0,1492.635,,,10.2
1998-10-31,9.74,743480.0,1208.9355,,,10.2
1998-11-30,10.72,603220.0,1330.521,,,10.2
1998-12-31,11.89,2483930.0,1476.819,,,10.2
1999-01-31,11.01,2768710.0,1367.0955,,,10.2
1999-02-28,10.09,520930.0,1252.4295,,,10.2
1999-03-31,16.22,2120090.0,2013.5745,,,10.2
1999-04-30,11.18,3241090.0,1387.854,,,10.2
1999-05-31,12.26,1502020.0,1522.29,,,10.2
1999-06-30,12.12,1567860.0,1504.497,,,0.2
1999-07-31,11.81,1957650.0,1466.4398,,,0.2
1999-08-31,15.35,6483560.0,1906.3223,,,0.0
1999-09-30,16.97,9168830.0,2106.9878,,,0.45
1999-10-31,18.67,6515770.0,2704.8305,,,0.45
1999-11-30,18.23,2989590.0,2640.8279,,,0.45
1999-12-31,26.08,6772570.0,3777.3065,,,0.45
2000-01-31,34.33,11414560.0,4972.0216,,,0.45
2000-02-29,51.03,6012200.0,7391.4351,,,0.45
2000-03-31,47.61,3711640.0,6896.1358,,,2.5
2000-04-30,46.97,3439270.0,6803.8798,,,2.5
2000-05-31,36.93,1993075.0,5349.6946,,,1.5
2000-06-30,33.57,1130565.0,4861.891,,,1.5
2000-07-31,26.39,832910.0,3821.7047,,,1.5
2000-08-31,31.65,1675340.0,4583.9698,,,1.5
2000-09-30,24.96,920655.0,3615.2819,,,1.5
2000-10-31,20.68,418875.0,2996.0135,,,1.5
2000-11-30,26.92,854855.0,3898.9691,,,1.5
2000-12-31,21.95,2549275.0,3179.3723,,,1.5
2001-01-31,20.03,1469580.0,2901.4511,,,1.5
2001-02-28,18.64,1080825.0,2699.6411,,,1.5
2001-03-31,15.47,1110775.0,2240.6675,,,1.5
2001-04-30,14.45,711575.0,2093.0579,,,1.5
2001-05-31,15.56,2331330.0,2253.3527,,,1.5
2001-06-30,10.16,1183300.0,1471.4831,,,1.5
2001-07-31,9.71,446960.0,1406.9039,,,0.0
2001-08-31,10.02,190745.0,1451.8787,,,0.7
2001-09-30,8.8,331965.0,1274.286,,,0.7
2001-10-31,8.64,181415.0,1251.222,,,0.7
2001-11-30,8.96,847595.0,1297.35,,,0.7
2001-12-31,8.69,389725.0,1258.1412,,,0.7
2002-01-31,8.11,573805.0,1175.1108,,,0.7
2002-02-28,9.54,1419525.0,1381.5336,,,0.7
2002-03-31,19.51,45132735.0,2825.3644,,0.6129,0.7
2002-04-30,21.45,44598220.0,3106.7477,,0.674,0.7
2002-05-31,17.24,16930595.0,2496.6996,,0.5416,0.7
2002-06-30,17.69,4062440.0,2562.4326,,0.5559,0.7
2002-07-31,14.43,2020640.0,2090.7697,,0.4536,0.7
2002-08-31,14.24,2055510.0,2061.9394,,0.4473,0.7
2002-09-30,12.28,1125835.0,1778.2498,,0.3858,0.7
2002-10-31,11.0,415865.0,1593.7362,,0.3457,0.0
2002-11-30,13.21,2421120.0,1913.1753,,0.415,0.0
2002-12-31,13.5,1813005.0,1954.6909,,0.424,0.0
2003-01-31,11.58,1604335.0,1676.7673,,0.3637,0.0
2003-02-28,12.75,744445.0,1847.4424,,0.4008,0.0
2003-03-31,10.39,825665.0,1504.939,,0.3309,0.0
2003-04-30,10.43,316450.0,1510.7051,,0.3321,0.0
2003-05-31,13.58,1559280.0,1967.3762,,0.4326,0.0
2003-06-30,12.5,2784585.0,1810.5397,,0.3981,0.0
2003-07-31,12.2,1839105.0,1766.7177,,0.3884,0.0
2003-08-31,16.77,6093635.0,2428.6602,,0.534,0.0
2003-09-30,15.53,3909545.0,2248.7594,,0.4944,0.0
2003-10-31,14.79,2138895.0,2141.5109,,0.4708,0.0
2003-11-30,15.45,3099920.0,2238.3806,,0.4921,0.0
2003-12-31,29.25,40959610.0,4236.8934,,0.9315,0.0
2004-01-31,24.12,18906010.0,3494.2262,,0.7683,0.0
2004-02-29,22.48,8006720.0,3265.5336,,0.7158,0.0
2004-03-31,20.92,3120315.0,3038.8086,,1.2599,0.0
2004-04-30,21.93,4263305.0,3185.7171,,1.3208,0.0
2004-05-31,29.0,12172730.0,4212.92,,1.7467,0.0
2004-06-30,28.47,1063695.0,4136.5738,,1.715,0.0
2004-07-31,29.24,902595.0,4248.7796,,1.7616,0.0
2004-08-31,28.84,1106300.0,4189.7848,,1.7371,0.0
2004-09-30,26.83,883635.0,3898.2813,,1.6162,0.0
2004-10-31,27.88,771735.0,4050.9736,,1.6795,0.0
2004-11-30,37.38,8952675.0,5430.9883,,2.2517,0.0
2004-12-31,51.01,6571165.0,7411.3615,,3.0728,0.0
2005-01-31,64.8,22616995.0,9414.8698,,3.9034,0.0
2005-02-28,61.11,18265350.0,8902.1944,,3.6809,0.0
2005-03-31,81.07,33964890.0,13872.2623,,6.0906,0.0
2005-04-30,83.6,4401335.0,14305.515,,6.2808,0.0
2005-05-31,91.39,1566040.0,15637.9715,,6.8658,0.0
2005-06-30,84.93,8050775.0,14533.0408,,6.3807,0.0
2005-07-31,87.42,1308425.0,14959.4814,,6.5679,0.0
2005-08-31,92.39,1303730.0,15809.6377,,6.9412,0.0
2005-09-30,90.12,1089455.0,19722.1692,,6.7707,0.0
2005-10-31,93.94,1634940.0,20558.5188,,7.0578,0.0
2005-11-30,92.27,1595985.0,20192.6159,,6.9322,0.0
2005-12-31,95.62,1103080.0,20926.1642,,7.1841,0.0
2006-01-31,115.94,2555550.0,25372.7563,,8.7106,0.0
2006-02-28,123.98,2621120.0,27132.5752,,9.3147,0.0
2006-03-31,141.23,2462810.0,30961.9461,7.5502,3.8206,0.0
2006-04-30,133.76,681090.0,29750.5587,7.151,3.6186,0.0
2006-05-31,118.39,540370.0,25955.8089,6.3295,3.2028,0.0
2006-06-30,124.95,1878320.0,27394.1134,6.6802,3.3803,0.0
2006-07-31,105.97,1039830.0,23232.8055,5.6654,2.8668,0.0
2006-08-31,108.26,189995.0,24460.2558,5.7876,2.9287,0.0
2006-09-30,127.64,655485.0,28838.888,6.8237,3.4529,0.0
2006-10-31,149.09,507670.0,33685.246,7.9704,4.0332,0.0
2006-11-30,139.05,1549710.0,31418.5752,7.434,3.7618,0.0
2006-12-31,136.15,337900.0,30761.9603,7.2787,3.6832,0.0
2007-01-31,165.63,2273705.0,37425.0131,8.8549,4.4808,0.0
2007-02-28,158.81,6922180.0,35883.253,8.4901,4.2962,0.0
2007-03-31,165.29,1525954.0,37347.6759,8.5982,4.9344,0.0
2007-04-30,181.61,1559377.0,41035.6689,,5.4217,0.0
2007-05-31,198.33,1278456.0,44813.613,,5.9208,0.0
2007-06-30,193.51,6494121.0,53852.2713,,5.777,0.0
2007-07-31,170.22,3253696.0,47371.387,,5.0818,0.0
2007-08-31,160.67,8388645.0,44712.5627,,4.7966,0.0
2007-09-30,193.67,1446393.0,53896.6593,,5.7818,0.0
2007-10-31,207.37,2992141.0,57750.8809,,6.1906,0.0
2007-11-30,184.28,1639421.0,51320.5659,,5.5013,0.0
2007-12-31,208.84,9335268.0,58161.0907,,6.2346,0.0
2008-01-31,170.42,3959153.0,47462.3769,,5.0877,0.0
2008-02-29,159.16,3335093.0,44326.3243,,4.7514,0.0
2008-03-31,118.03,7664849.0,32873.3245,,1.6954,0.0
2008-04-30,126.31,4539633.0,35179.5263,,1.8144,0.0
2008-05-31,141.04,6544504.0,39331.3736,,2.0259,0.0
2008-06-30,123.73,3496819.0,34502.3734,,1.7772,0.0
2008-07-31,153.38,3812668.0,42772.73,,2.2032,0.0
2008-08-31,160.11,2176797.0,44648.8243,,2.2998,0.0
2008-09-30,131.37,3149411.0,36633.7942,,1.887,0.0
2008-10-31,77.23,4352953.0,21536.2305,,1.1093,0.0
2008-11-30,77.15,1697986.0,21514.0282,,1.1082,0.0
2008-12-31,92.04,4258654.0,25665.8582,,1.322,0.0
2009-01-31,91.56,2415078.0,25533.485,,1.3152,0.0
2009-02-28,82.92,3512668.0,23124.4562,,1.1911,0.0
2009-03-31,78.19,7557849.0,21803.3758,,1.3188,0.0
2009-04-30,112.38,27972390.0,31339.5774,,1.8956,0.0
2009-05-31,152.19,5897453.0,42441.0926,,2.5671,0.0
2009-06-30,168.79,15021604.0,47070.4244,,2.8471,0.0
2009-07-31,165.81,36545986.0,48388.2615,,2.7968,0.0
