AL IN Equity,price,volume,mc,pe,bm,div
2000-04-30,1.88,85582440.0,8919.6751,,,0.025
2000-05-31,1.72,52415880.0,8170.4224,,,0.0875
2000-06-30,1.5,84481480.0,7111.9543,,,0.0875
2000-07-31,1.18,164090120.0,5613.4488,,,0.0875
2000-08-31,1.15,54893480.0,5458.8411,,,0.0875
2000-09-30,0.94,53036680.0,4471.7304,,,0.0875
2000-10-31,1.14,88589320.0,5399.3766,,,0.0875
2000-11-30,1.21,203250680.0,5738.3243,,,0.0875
2000-12-31,1.09,275180280.0,5203.1438,,,0.0875
2001-01-31,1.16,301156080.0,5518.3056,,,0.0875
2001-02-28,1.7,733730440.0,8105.0114,,,0.0875
2001-03-31,1.18,267863400.0,5601.5559,,,0.0875
2001-04-30,1.41,175284680.0,6725.435,,,0.0875
2001-05-31,1.7,172944720.0,8069.3327,,,0.0875
2001-06-30,1.43,47282400.0,6820.5782,,,0.1
2001-07-31,1.48,3724320.0,7028.704,,,0.1
2001-08-31,1.62,11270560.0,7688.7856,,,0.1
2001-09-30,1.47,11705400.0,6975.2092,,,0.1
2001-10-31,1.56,31338520.0,7403.355,,,0.1
2001-11-30,2.17,87550080.0,10311.1788,,,0.1
2001-12-31,1.74,41969440.0,8283.4325,,,0.1
2002-01-31,1.73,101348120.0,8218.0214,,,0.1
2002-02-28,2.24,231406400.0,10638.2346,,,0.1
2002-03-31,2.0,50449640.0,9526.2447,,,0.1
2002-04-30,2.44,126185240.0,11625.3486,,,0.1
2002-05-31,2.45,161892520.0,11637.2416,,,0.1
2002-06-30,2.99,122686520.0,14218.0095,,,0.1
2002-07-31,2.24,76278040.0,10673.9134,,,0.1125
2002-08-31,2.5,46801880.0,11904.8327,,,0.1125
2002-09-30,2.23,12225760.0,10602.5558,,,0.1125
2002-10-31,2.34,16730600.0,11119.8987,,,0.1125
2002-11-30,2.27,49166760.0,10786.8964,,,0.1125
2002-12-31,2.48,47404560.0,11791.8498,,,0.1125
2003-01-31,2.37,45656600.0,11292.3463,,,0.1125
2003-02-28,2.43,25321280.0,11559.9374,,,0.1125
2003-03-31,2.44,16670120.0,11595.6163,,,0.1125
2003-04-30,2.49,41932880.0,11821.5821,,,0.1125
2003-05-31,2.87,104699160.0,13647.1484,,,0.1125
2003-06-30,3.21,86999480.0,15264.5882,,,0.125
2003-07-31,3.35,166855680.0,15948.4322,,,0.125
2003-08-31,4.07,153832040.0,19343.8665,,,0.125
2003-09-30,4.75,105578520.0,22596.5855,,,0.125
2003-10-31,5.71,213485480.0,27163.4744,,,0.125
2003-11-30,6.03,173715680.0,28691.7172,,,0.125
2003-12-31,7.34,118387360.0,34929.5641,,,0.125
2004-01-31,5.76,185798800.0,27377.5473,,,0.125
2004-02-29,6.57,185471920.0,31248.6992,,,0.125
2004-03-31,6.34,93760320.0,30160.4952,,,0.125
2004-04-30,6.65,72966360.0,31659.0056,,,0.125
2004-05-31,5.34,71471760.0,25379.5334,,,0.125
2004-06-30,5.7,70610616.0,27115.902,,,0.1875
2004-07-31,5.21,39660020.0,24796.7788,,,0.1875
2004-08-31,4.69,203998640.0,22299.2615,,,0.1875
2004-09-30,4.68,113886392.0,22239.7968,,,0.1875
2004-10-31,4.66,127789156.0,22180.3321,,,0.1875
2004-11-30,5.06,129341640.0,24083.2024,,,0.1875
2004-12-31,6.1,180329320.0,29018.7723,,,0.1875
2005-01-31,6.04,361585552.0,28721.4488,,,0.1875
2005-02-28,5.94,495976796.0,28245.7312,,,0.1875
2005-03-31,5.26,304784876.0,25034.6375,,,0.1875
2005-04-30,5.78,217721516.0,27472.6901,,,0.1875
2005-05-31,6.03,319524600.0,28661.9841,,,0.1875
2005-06-30,5.89,372611260.0,28007.8782,,,0.1875
2005-07-31,7.36,764025492.0,35024.7139,,,0.25
2005-08-31,7.19,700956116.0,34192.2079,,,0.25
2005-09-30,7.1,479698400.0,33775.955,,,0.25
2005-10-31,6.88,367289500.0,32705.5902,,,0.25
2005-11-30,7.81,771753616.0,37165.4434,,,0.25
2005-12-31,7.96,679856492.0,37879.0199,,,0.25
2006-01-31,7.66,409022988.0,36451.8669,,,0.25
2006-02-28,9.61,1127263500.0,45728.3616,,,0.25
2006-03-31,10.07,703551828.0,48383.1853,,,0.25
2006-04-30,13.04,903330056.0,61577.1755,,,0.25
2006-05-31,9.76,1045487816.0,48150.1563,,,0.25
2006-06-30,9.35,504586248.0,46280.5734,,,0.25
2006-07-31,8.75,506583312.0,45846.5222,,,0.3
2006-08-31,9.9,474287832.0,51872.0651,,,0.3
2006-09-30,11.26,506905216.0,59011.0236,,,0.3
2006-10-31,11.0,601537868.0,57635.6279,,,0.3
2006-11-30,10.61,570794300.0,56159.0441,,,0.3
2006-12-31,11.39,488290916.0,60276.3728,,,0.3
2007-01-31,12.1,398777200.0,64047.7814,,,0.3
2007-02-28,9.95,427490472.0,52681.5479,,,0.3
2007-03-31,9.6,453696812.0,50836.6219,,,0.375
2007-04-30,9.74,335420164.0,51564.7506,,,0.375
2007-05-31,9.3,357567504.0,49247.9774,,,0.375
2007-06-30,9.46,398960156.0,50108.4932,,,0.375
2007-07-31,9.3,276481808.0,49433.9002,,,0.375
2007-08-31,9.5,216245148.0,50496.9949,,,0.375
2007-09-30,11.39,622860192.0,60596.8965,,,0.375
2007-10-31,10.04,625976940.0,53413.0712,,,0.375
2007-11-30,11.18,1201240040.0,59466.1092,,,0.375
2007-12-31,13.01,1734838708.0,69244.0936,,,0.375
2008-01-31,8.49,1729756988.0,45164.9755,,,0.375
2008-02-29,9.36,606704336.0,49821.1586,,,0.375
2008-03-31,8.85,420463204.0,47093.9656,,,0.375
2008-04-30,10.29,411556424.0,54743.4092,,,0.375
2008-05-31,8.95,461288252.0,47626.1009,,,0.0
2008-06-30,7.14,211855580.0,37981.1503,,,0.0
2008-07-31,6.96,220098460.0,37049.9137,,,0.375
2008-08-31,8.39,301771668.0,44632.8403,,,0.375
2008-09-30,6.64,245267248.0,35320.4742,,,0.375
2008-10-31,4.71,216121268.0,25076.8715,,,0.375
2008-11-30,3.46,207678956.0,18425.1815,,,0.375
2008-12-31,3.75,716930052.0,19955.0702,,,0.375
2009-01-31,3.53,363065952.0,18757.766,,,0.375
2009-02-28,4.19,265343936.0,22283.1617,,,0.375
2009-03-31,4.54,400818972.0,24145.6349,12.6923,0.6951,0.375
2009-04-30,5.34,310689600.0,28402.7166,14.9301,0.8176,0.375
2009-05-31,8.11,446886308.0,43169.4685,22.6923,1.2427,0.375
2009-06-30,7.48,541948964.0,39777.1066,20.9091,1.145,0.375
2009-07-31,9.13,655936232.0,48557.3375,25.5245,1.3978,0.25
2009-08-31,9.79,565101748.0,52082.7332,27.3776,1.4993,0.25
2009-09-30,10.59,338183628.0,56339.8148,29.6154,1.6218,0.25
2009-10-31,11.43,342318208.0,60796.4472,31.958,1.7501,0.25
2009-11-30,13.05,634668212.0,69443.6443,36.5035,1.999,0.25
2009-12-31,12.4,395693448.0,65984.7654,34.6853,1.8994,0.25
2010-01-31,12.56,421923968.0,66849.4851,35.1399,1.9243,0.25
2010-02-28,12.41,216550656.0,66051.2823,34.7203,1.9014,0.25
2010-03-31,13.95,406356196.0,74232.8611,17.5472,2.0234,0.25
2010-04-30,15.01,390734636.0,79886.7977,18.8836,2.1775,0.25
2010-05-31,15.09,1034047184.0,80285.8991,18.978,2.1884,0.25
2010-06-30,15.91,461591012.0,84676.0145,20.0157,2.308,0.25
2010-07-31,17.74,492920172.0,94387.482,22.3113,2.5727,0.375
2010-08-31,18.4,390986320.0,97912.8777,23.1447,2.6688,0.375
2010-09-30,18.02,460044460.0,95917.3707,22.673,2.6144,0.375
2010-10-31,18.95,407443172.0,100839.6214,23.8365,2.7486,0.375
2010-11-30,17.91,345708048.0,95318.7186,22.5314,2.5981,0.375
2010-12-31,16.0,438971632.0,85141.6328,20.1258,2.3207,0.375
2011-01-31,14.74,578474632.0,78423.4258,18.5377,2.1376,0.375
2011-02-28,11.69,467738140.0,62193.3021,14.7013,1.6952,0.375
2011-03-31,14.21,485902796.0,75629.716,23.9873,1.9084,0.375
2011-04-30,13.25,416531508.0,70507.9147,22.3629,1.7792,0.375
2011-05-31,12.79,574660452.0,68046.7893,21.5823,1.7171,0.375
2011-06-30,12.15,400174236.0,64654.4274,20.5063,1.6315,0.5
2011-07-31,12.78,394945784.0,67980.2724,21.5612,1.7154,0.5
2011-08-31,12.43,284622554.0,66117.8114,20.9705,1.6684,0.5
2011-09-30,13.05,308868270.0,69443.657,22.0253,1.7523,0.5
2011-10-31,13.68,199499622.0,72769.5026,23.0802,1.8362,0.5
2011-11-30,12.33,194270840.0,65585.6761,20.8017,1.655,0.5
2011-12-31,11.4,235645998.0,60663.4245,19.2405,1.5308,0.5
2012-01-31,13.63,212123700.0,72503.435,22.9958,1.8295,0.5
2012-02-29,14.15,428771306.0,75297.1453,23.8819,1.9,0.5
2012-03-31,15.18,335464588.0,80751.5322,14.2488,1.9189,0.5
2012-04-30,16.1,264016804.0,85673.7837,15.1174,2.0359,0.5
2012-05-31,12.5,345668926.0,66516.9128,11.7371,1.5807,0.5
2012-06-30,12.45,240278170.0,66250.8452,11.6901,1.5743,0.5
2012-07-31,11.15,481962604.0,59333.0863,10.4695,1.4099,0.5
2012-08-31,10.3,247834086.0,54809.9362,9.6714,1.3025,0.5
2012-09-30,12.05,270700866.0,64122.304,11.3146,1.5238,0.5
2012-10-31,11.73,143120810.0,62392.8642,11.0094,1.4827,0.5
2012-11-30,14.2,565714376.0,75563.213,13.3333,1.7956,0.5
2012-12-31,13.48,286799326.0,71705.232,12.6526,1.704,0.5
2013-01-31,12.23,380177278.0,65053.5408,11.4789,1.5459,0.5
2013-02-28,11.13,250398342.0,59200.0524,10.446,1.4068,0.5
2013-03-31,10.93,255817288.0,58135.7818,13.4049,1.3049,0.5
2013-04-30,11.4,113551406.0,60663.4245,13.9877,1.3617,0.5
2013-05-31,11.88,189126874.0,63191.0672,14.5706,1.4184,0.5
2013-06-30,10.05,151958718.0,53479.5979,12.3313,1.2004,0.5
2013-07-31,6.78,374873602.0,36052.1668,8.3129,0.8092,0.3
2013-08-31,6.0,336621988.0,31928.1182,7.362,0.7167,0.3
2013-09-30,7.58,553947638.0,40309.2492,9.2945,0.9048,0.3
2013-10-31,8.6,494908304.0,45763.636,10.5521,1.0272,0.3
2013-11-30,8.4,472996958.0,44699.3654,10.3067,1.0033,0.3
2013-12-31,8.63,378493592.0,45896.6699,10.5828,1.0302,0.3
2014-01-31,8.23,529477706.0,43768.1286,10.092,0.9824,0.3
2014-02-28,7.83,266481956.0,41639.5874,9.6012,0.9346,0.3
2014-03-31,11.83,945260646.0,62924.9995,14.0184,1.5774,0.3
2014-04-30,11.13,500170230.0,59200.0524,,1.484,0.3
