GILL IN Equity,price,volume,mc,pe,bm,div
2002-11-30,317.0,8450.0,10329.5088,31.4422,3.7416,2.25
2002-12-31,313.75,13856.0,10223.6069,158.2997,3.6743,2.25
2003-01-31,293.85,24428.0,9575.1614,148.2593,,2.25
2003-02-28,315.1,19459.0,10267.5969,158.9808,,2.25
2003-03-31,266.6,308964.0,8687.2147,134.5106,,2.25
2003-04-30,320.05,29093.0,10428.8937,161.4783,,2.25
2003-05-31,345.0,38026.0,11241.8944,174.0666,,2.75
2003-06-30,357.6,33787.0,11652.468,180.4238,,2.75
2003-07-31,479.45,67146.0,15622.9747,241.9021,,2.75
2003-08-31,506.85,72790.0,16515.8093,255.7265,,2.75
2003-09-30,476.2,49469.0,15517.0728,240.2624,,2.75
2003-10-31,526.0,73510.0,17139.8159,265.3885,,2.75
2003-11-30,629.65,113410.0,20517.272,317.6842,,2.75
2003-12-31,703.35,74477.0,22918.8013,51.1391,7.9929,2.75
2004-01-31,705.15,69199.0,22977.4547,51.27,8.0133,2.75
2004-02-29,633.15,43615.0,20631.3202,46.035,7.1951,2.75
2004-03-31,524.15,63551.0,17079.5332,38.1099,5.9564,2.75
2004-04-30,582.1,32678.0,18967.8457,42.3233,6.615,5.0
2004-05-31,549.05,68543.0,17890.9048,39.9203,6.2394,5.0
2004-06-30,559.75,17289.0,18239.5664,40.6983,6.361,5.0
2004-07-31,576.15,17887.0,18773.9637,41.8907,6.5474,5.0
2004-08-31,584.15,40140.0,19034.6453,42.4723,6.6383,5.0
2004-09-30,580.7,42461.0,18922.2264,42.2215,6.5991,5.0
2004-10-31,563.05,63343.0,18347.0976,40.9382,6.3985,5.0
2004-11-30,632.95,105170.0,20624.8031,46.0205,7.1929,5.0
2004-12-31,676.65,46589.0,22048.7764,36.0131,7.6224,5.0
2005-01-31,679.15,149895.0,22130.2394,36.1462,,5.0
2005-02-28,633.75,113709.0,20650.8713,33.7298,,5.0
2005-03-31,678.15,248512.0,22097.6542,36.0929,,5.0
2005-04-30,673.95,65494.0,21960.7964,35.8694,,8.5
2005-05-31,672.0,57078.0,21897.2552,35.7656,,8.5
2005-06-30,680.3,303734.0,22167.7124,36.2074,,8.5
2005-07-31,666.35,114787.0,21713.1489,35.4649,,8.5
2005-08-31,717.0,128117.0,23363.5893,38.1606,,8.5
2005-09-30,704.85,88357.0,22967.6791,37.514,,8.5
2005-10-31,669.6,63799.0,21819.0508,35.6379,,8.5
2005-11-30,684.85,69665.0,22315.9751,36.4495,,8.5
2005-12-31,729.65,112181.0,23775.7921,34.5987,6.828,8.5
2006-01-31,917.3,315595.0,29890.4051,43.4967,8.584,8.5
2006-02-28,949.6,241946.0,30942.9071,45.0283,8.8863,8.5
2006-03-31,905.6,196296.0,29509.1583,42.9419,8.4745,10.0
2006-04-30,915.8,353165.0,29548.2605,43.4256,8.57,10.0
2006-05-31,773.2,175348.0,25194.8776,36.6638,7.2355,10.0
2006-06-30,731.9,94110.0,23849.1088,34.7054,6.8491,10.0
2006-07-31,749.9,45987.0,24435.6424,35.5589,7.0175,10.0
2006-08-31,820.6,90964.0,26739.4162,38.9114,7.6791,10.0
2006-09-30,869.75,94255.0,28340.9788,41.242,8.139,10.0
2006-10-31,864.1,73818.0,28156.8724,40.9741,8.0862,10.0
2006-11-30,875.2,405470.0,28518.5681,41.5004,8.19,10.0
2006-12-31,856.35,75681.0,27904.3371,39.6458,8.0642,10.0
2007-01-31,925.1,115113.0,30144.5697,42.8287,,10.0
2007-02-28,860.4,113912.0,28036.3072,39.8333,,20.0
2007-03-31,817.65,50244.0,26643.2898,37.8542,,20.0
2007-04-30,873.55,36620.0,28464.8026,40.4421,,20.0
2007-05-31,923.15,108101.0,30081.0285,42.7384,,20.0
2007-06-30,920.5,94666.0,29994.6778,42.4745,,20.0
2007-07-31,911.6,94969.0,29704.6695,,,20.0
2007-08-31,868.0,58950.0,28283.9547,,,20.0
2007-09-30,869.45,79217.0,28331.0275,,,20.0
2007-10-31,845.15,187435.0,27539.212,,,17.5
2007-11-30,848.85,87756.0,27659.7765,,,17.5
2007-12-31,1355.75,597759.0,44177.1125,,,17.5
2008-01-31,911.45,154248.0,29699.5974,,,17.5
2008-02-29,873.85,49132.0,28474.4014,,,17.5
2008-03-31,867.25,78181.0,28259.3405,,,17.5
2008-04-30,1025.4,85813.0,33412.6581,,,7.5
2008-05-31,934.1,79390.0,30437.6476,,,7.5
2008-06-30,828.35,24453.0,26991.784,22.9972,6.3449,7.5
2008-07-31,809.2,47371.0,26367.7813,22.4655,6.1982,7.5
2008-08-31,900.05,69257.0,29328.1284,24.9878,6.8941,7.5
2008-09-30,734.9,69600.0,23946.7158,20.4028,5.6291,7.5
2008-10-31,730.05,60709.0,23788.6786,20.2681,5.592,12.5
2008-11-30,707.55,43667.0,23055.5161,19.6435,5.4196,12.5
2008-12-31,715.2,47268.0,23304.7913,19.8559,5.4782,12.5
2009-01-31,703.4,37823.0,22920.2884,19.5283,5.3878,12.5
2009-02-28,626.5,87824.0,20414.5019,17.3933,4.7988,12.5
2009-03-31,663.15,161818.0,21608.7421,18.4108,5.0795,12.5
2009-04-30,728.8,134737.0,23747.9473,20.2334,5.5824,12.5
2009-05-31,804.05,76596.0,26199.9685,22.3226,6.1588,12.5
2009-06-30,786.45,74913.0,25626.4725,22.6512,5.2205,12.5
2009-07-31,929.8,115501.0,30297.5321,26.78,6.172,12.5
2009-08-31,913.75,114970.0,29774.5429,26.3177,6.0655,12.5
2009-09-30,1063.8,385165.0,34663.9241,30.6394,7.0615,12.5
2009-10-31,1211.7,337944.0,39483.2414,34.8992,8.0433,12.5
2009-11-30,1318.0,145212.0,42947.0288,37.9608,8.7489,12.5
2009-12-31,1292.95,99158.0,42130.7725,37.2393,8.5826,12.5
2010-01-31,1310.85,296052.0,42714.046,37.7549,8.7015,12.5
2010-02-28,1316.3,108210.0,42891.6363,37.9119,8.7376,12.5
2010-03-31,1412.75,129695.0,46034.4575,40.6898,9.3779,12.5
2010-04-30,1577.2,197990.0,51393.0585,45.4263,10.4695,12.5
2010-05-31,1525.25,76256.0,49700.2699,43.93,10.1247,12.5
2010-06-30,1740.15,143573.0,56702.7862,41.3632,9.9308,12.5
2010-07-31,1818.4,127236.0,59252.5623,43.2232,10.3773,12.5
2010-08-31,1884.15,191753.0,61395.026,44.7861,10.7525,12.5
2010-09-30,1878.55,65057.0,61212.5521,44.653,10.7206,12.5
2010-10-31,1902.1,94025.0,61979.9268,45.2127,10.855,12.5
2010-11-30,1811.55,93140.0,59029.3571,43.0604,10.3382,15.0
2010-12-31,1861.6,36295.0,60660.2343,44.2501,10.6239,15.0
2011-01-31,1686.85,157151.0,54966.0057,40.0963,9.6266,15.0
2011-02-28,1579.4,20516.0,51464.7476,37.5422,9.0134,15.0
2011-03-31,1787.65,203075.0,58250.5736,42.4923,10.2018,15.0
2011-04-30,1834.65,110383.0,59782.0686,43.6095,10.4701,15.0
2011-05-31,1875.0,47493.0,61096.8733,44.5686,10.7003,15.0
2011-06-30,2121.5,111105.0,69129.0756,80.2383,11.5152,15.0
2011-07-31,2289.85,96563.0,74614.7642,86.6055,12.429,15.0
2011-08-31,1948.1,61846.0,63478.8367,73.68,10.574,15.0
2011-09-30,2059.05,37083.0,67094.1444,77.8763,11.1763,15.0
2011-10-31,2220.95,31254.0,72369.6517,83.9996,12.055,15.0
2011-11-30,1904.1,52823.0,62045.0968,72.0159,10.3352,15.0
2011-12-31,1972.9,175722.0,64286.9447,74.618,10.7086,15.0
2012-01-31,1906.95,167634.0,62137.962,72.1237,10.3507,15.0
2012-02-29,2312.65,139139.0,75357.6941,87.4678,12.5528,15.0
2012-03-31,2519.6,199548.0,82101.6772,95.295,13.6761,15.0
2012-04-30,2571.4,131507.0,83789.5825,97.2542,13.9572,15.0
2012-05-31,2500.45,103989.0,81477.6645,94.5707,13.5721,15.0
2012-06-30,2348.5,26711.0,76526.3452,101.0516,12.3577,15.0
2012-07-31,2349.6,60647.0,76562.193,101.0989,12.3635,15.0
2012-08-31,2225.05,84586.0,72503.7041,95.7398,11.7081,15.0
2012-09-30,2129.25,53488.0,69382.0398,91.6177,11.204,15.0
2012-10-31,2226.05,58774.0,72536.2893,95.7828,11.7134,15.0
2012-11-30,2355.0,94263.0,76738.149,101.3313,12.3919,15.0
2012-12-31,2478.05,113878.0,80747.76,106.6259,13.0394,15.0
2013-01-31,2328.15,60737.0,75863.2322,100.176,12.2506,15.0
2013-02-28,2105.1,97135.0,68595.1113,90.5786,11.077,15.0
2013-03-31,2004.75,125159.0,65325.1822,86.2607,10.5489,15.0
2013-04-30,2069.6,29400.0,67438.3366,89.0511,10.8902,15.0
2013-05-31,2203.25,60155.0,71793.3447,94.8018,11.5934,15.0
2013-06-30,2101.9,97545.0,68490.8625,78.5806,10.5496,15.0
2013-07-31,2165.25,80987.0,70555.1401,80.949,10.8675,15.0
2013-08-31,2040.0,44288.0,66473.8417,76.2665,10.2389,15.0
2013-09-30,2137.05,201675.0,69636.239,79.8947,10.726,15.0
2013-10-31,2094.1,55640.0,68236.706,78.289,10.5104,15.0
2013-11-30,1894.45,796426.0,61731.0614,70.825,9.5084,15.0
2013-12-31,2063.75,276108.0,67247.7406,77.1544,10.3581,15.0
2014-01-31,2051.5,376829.0,66848.5717,76.6964,10.2966,15.0
2014-02-28,1942.85,122558.0,63308.1879,72.6345,9.7513,15.0
2014-03-31,1973.55,162362.0,64308.5561,73.7822,9.9054,15.0
2014-04-30,1902.5,333889.0,61993.3744,71.1259,9.5488,15.0
2014-05-31,1982.1,213249.0,64587.1577,74.1018,9.9483,15.0
2014-06-30,2128.55,461525.0,69359.2647,153.1331,10.7791,15.0
2014-07-31,2299.8,220163.0,74939.483,165.4532,11.6463,15.0
2014-08-31,2578.15,213808.0,84009.5719,185.4784,13.0559,15.0
2014-09-30,2794.0,174934.0,91043.095,201.0072,14.149,15.0
2014-10-31,2801.65,78900.0,91292.3678,201.5575,14.1877,15.0
2014-11-30,3182.15,298715.0,103691.0427,228.9316,16.1146,15.0
2014-12-31,3291.9,267443.0,107267.2702,236.8273,16.6704,15.0
2015-01-31,3417.25,117744.0,111351.8312,245.8453,17.3052,15.0
2015-02-28,4133.45,709942.0,134688.4706,297.3705,20.9321,15.0
2015-03-31,4783.0,553811.0,155855.0906,344.1007,24.2214,15.0
2015-04-30,4333.15,159865.0,141196.6269,311.7374,21.9433,15.0
2015-05-31,4529.6,232033.0,147598.0008,325.8705,22.9382,15.0
2015-06-30,4595.0,160745.0,149729.0699,150.4092,20.1699,15.0
2015-07-31,5142.5,207783.0,167569.476,168.3306,22.5731,15.0
2015-08-31,4988.5,222626.0,162551.3526,163.2897,21.8972,15.0
2015-09-30,4865.1,104336.0,158530.341,159.2504,21.3555,15.0
2015-10-31,4853.95,206619.0,158167.0178,158.8854,21.3065,34.52
2015-11-30,4694.45,139624.0,152969.6758,153.6645,20.6064,34.52
2015-12-31,4666.35,111773.0,152054.0292,152.7447,20.4831,34.52
2016-01-31,4482.4,149037.0,146059.9705,146.7234,19.6756,34.52
2016-02-29,4409.7,154950.0,143691.0354,144.3437,19.3565,34.52
2016-03-31,4412.0,116563.0,143765.9753,144.419,19.3666,34.52
2016-04-30,4180.9,302504.0,136235.5277,136.8543,18.3522,34.52
2016-05-31,4612.15,402179.0,150287.9023,150.9705,20.2452,34.52
2016-06-30,4582.8,152767.0,149331.5242,74.9436,15.9437,34.52
2016-07-31,4747.05,79340.0,154683.646,77.6296,16.5151,34.52
2016-08-31,4469.4,145758.0,145636.3627,73.0891,15.5491,34.52
2016-09-30,4339.95,77270.0,141418.2166,70.9722,15.0988,34.52
2016-10-31,4307.9,100620.0,140373.8502,70.4481,14.9873,15.0
2016-11-30,4397.4,91684.0,143290.2271,71.9117,15.2987,20.0
2016-12-31,4304.15,123846.0,140251.6556,70.3868,14.9742,20.0
2017-01-31,4217.7,126240.0,137434.6738,68.973,14.6735,20.0
2017-02-28,4036.7,472145.0,131536.7415,66.0131,14.0438,20.0
2017-03-31,4219.15,499011.0,137481.9122,68.9967,14.6785,20.0
2017-04-30,4324.85,442314.0,140926.1777,70.7253,15.0462,20.0
2017-05-31,4791.55,426108.0,156133.6942,78.3573,16.6699,174.0
2017-06-30,5110.8,215419.0,166536.5246,65.8015,33.2667,174.0
2017-07-31,5243.4,105719.0,170857.3243,67.5087,34.1298,174.0
2017-08-31,5397.4,123053.0,175875.4477,69.4914,35.1322,174.0
2017-09-30,5607.35,68811.0,182716.7139,72.1945,36.4988,174.0
2017-10-31,5975.05,67761.0,194698.298,76.9287,38.8922,174.0
2017-11-30,6388.5,145993.0,208170.6588,82.2518,41.5834,164.0
2017-12-31,6766.9,177910.0,220500.9049,87.1237,44.0464,164.0
2018-01-31,6554.75,220747.0,213587.9511,84.3923,42.6655,164.0
2018-02-28,6651.6,88692.0,216743.8294,85.6392,43.2959,164.0
2018-03-31,6557.55,98377.0,213679.1897,84.4284,42.6838,164.0
2018-04-30,6549.25,86020.0,213408.7324,84.3215,42.6297,164.0
2018-05-31,6572.4,147602.0,214163.0802,84.6195,42.7804,10.0
2018-06-30,6420.05,159477.0,209198.7224,91.3366,30.1361,10.0
2018-07-31,6691.95,186306.0,218058.6429,95.2049,31.4124,10.0
2018-08-31,6622.6,125858.0,215798.8581,94.2182,31.0869,10.0
2018-09-30,6690.1,120225.0,217998.3603,95.1785,31.4037,10.0
2018-10-31,6537.0,126681.0,213009.5635,93.0004,30.6851,10.0
2018-11-30,6543.35,111274.0,213216.4797,93.0908,30.7149,23.0
2018-12-31,6498.95,122684.0,211769.696,92.4591,30.5065,23.0
2019-01-31,6500.05,126319.0,211805.5398,92.4747,30.5116,23.0
2019-02-28,6509.6,126626.0,212116.7286,92.6106,30.5564,38.0
2019-03-31,6594.95,407009.0,214897.8769,93.8249,30.9571,38.0
2019-04-30,7539.45,297718.0,245674.6143,107.2621,35.3906,38.0
2019-05-31,7439.35,180136.0,242412.8341,105.838,34.9207,38.0
2019-06-30,7476.5,64870.0,243623.3749,96.3218,31.2996,38.0
2019-07-31,7155.9,83452.0,233176.5543,92.1914,29.9574,38.0
2019-08-31,7299.15,84415.0,237844.3867,94.037,30.5571,38.0
2019-09-30,7099.3,153265.0,231332.231,91.4623,29.7205,38.0
2019-10-31,8093.75,115727.0,263736.6001,104.274,33.8836,38.0
2019-11-30,6863.45,115624.0,223647.0076,88.4237,28.7331,44.0
2019-12-31,6576.55,144623.0,214298.3089,84.7275,27.532,44.0
2020-01-31,6246.85,132168.0,203554.9628,80.4799,26.1518,44.0
2020-02-29,5796.2,236403.0,188870.4348,74.6741,24.2652,44.0
2020-03-31,5470.1,184333.0,178244.3955,70.4728,22.9,44.0
2020-04-30,5332.85,109433.0,173772.0745,68.7046,22.3254,25.0
2020-05-31,4822.2,117825.0,157132.4334,62.1257,20.1876,25.0
2020-06-30,4982.6,329496.0,162359.1022,70.5351,17.8166,25.0
2020-07-31,5017.55,737950.0,163497.9556,71.0299,17.9416,25.0
2020-08-31,5429.0,690381.0,176905.1431,76.8545,19.4128,25.0
2020-09-30,5340.2,181620.0,174011.5758,75.5974,19.0953,25.0
2020-10-31,5286.45,69161.0,172260.1204,74.8365,18.9031,25.0
2020-11-30,5812.8,231495.0,189411.3494,82.2877,20.7852,74.0
2020-12-31,5788.7,302115.0,188626.0456,81.9465,20.699,74.0
2021-01-31,5621.0,208560.0,183161.5048,79.5725,20.0994,49.0
2021-02-28,5531.1,183352.0,180232.0937,78.2998,19.7779,82.0
2021-03-31,5900.05,195952.0,192254.4096,83.5228,21.0972,82.0
2021-04-30,5492.8,104623.0,178984.0799,77.7576,19.641,82.0
2021-05-31,5592.2,227014.0,182223.0505,79.1648,19.9964,132.0
2021-06-30,5673.15,186824.0,184860.8238,59.5606,23.4295,132.0
2021-07-31,5994.3,261845.0,195325.5663,62.9323,24.7558,132.0
2021-08-31,5819.75,213586.0,189637.8166,61.0997,24.0349,132.0
2021-09-30,5898.95,309871.0,192218.5658,61.9312,24.362,132.0
2021-10-31,5641.35,111853.0,183824.6139,59.2268,23.2981,132.0
2021-11-30,5429.15,94563.0,176910.0309,56.999,22.4218,119.0
2021-12-31,5261.25,113572.0,171438.9729,55.2362,21.7284,119.0
2022-01-31,5280.55,122571.0,172067.8676,55.4388,21.8081,119.0
2022-02-28,5193.7,180518.0,169237.8415,54.527,21.4494,119.0
2022-03-31,4849.65,165322.0,158026.8976,50.915,20.0285,119.0
2022-04-30,5265.2,138151.0,171567.6845,55.2777,21.7447,119.0
2022-05-31,4892.35,119258.0,159418.2864,51.3633,20.2048,69.0
2022-06-30,4997.95,151271.0,162859.2853,56.2896,18.9107,69.0
2022-07-31,5201.3,76952.0,169485.4892,58.5798,19.6802,69.0
2022-08-31,5491.0,185265.0,178925.4265,61.8425,20.7763,69.0
2022-09-30,5174.0,112329.0,168595.9128,58.2723,19.5769,69.0
2022-10-31,5142.55,83093.0,167571.1077,57.9181,19.4579,69.0
2022-11-30,5127.6,150079.0,167083.9587,57.7497,19.4013,69.0
2022-12-31,5033.2,69934.0,164007.9142,56.6866,19.0441,69.0
2023-01-31,4890.35,32497.0,159353.116,55.0777,18.5036,69.0
2023-02-28,4664.65,72782.0,151998.6325,52.5358,17.6496,71.0
2023-03-31,4316.1,719885.0,140641.0551,48.6102,16.3308,71.0
2023-04-30,4412.8,186657.0,143792.0456,49.6993,16.6967,71.0
2023-05-31,4383.4,480772.0,142834.0402,49.3682,16.5855,71.0
2023-06-30,5074.95,604402.0,165368.347,46.4952,16.7231,71.0
2023-07-31,5651.65,465834.0,184160.2417,51.7787,18.6235,71.0
2023-08-31,5575.05,446014.0,181664.214,51.077,18.3711,71.0
2023-09-30,6126.65,781988.0,199638.2197,56.1306,20.1887,71.0
2023-10-31,6124.3,328478.0,199561.6445,56.109,20.181,71.0
2023-11-30,6365.1,250909.0,207408.1647,58.3152,20.9745,85.0
2023-12-31,6482.75,315176.0,211241.8155,59.393,21.3622,85.0
2024-01-31,6585.9,1536024.0,214602.9806,60.3381,21.7021,85.0
2024-02-29,6507.9,348832.0,212061.3337,59.6235,21.445,135.0
2024-03-31,6519.6,224620.0,212442.5808,59.7306,21.4836,135.0
2024-04-30,6667.9,633348.0,217274.9684,61.0893,21.9723,135.0
2024-05-31,7138.7,1025587.0,232616.0886,65.4027,23.5237,135.0
2024-06-30,7244.85,615091.0,236075.0094,57.3395,24.3058,135.0
2024-07-31,7824.7,510641.0,254969.5475,61.9288,26.2512,135.0
2024-08-31,8885.5,865440.0,289535.9457,70.3245,29.81,135.0
2024-09-30,8478.45,1215020.0,276272.1331,67.1029,28.4444,135.0
2024-10-31,9955.35,1786348.0,324397.2401,78.7918,33.3993,135.0
2024-11-30,9812.7,1381832.0,319748.9589,77.6628,32.9207,130.0
2024-12-31,9553.15,624902.0,311291.4658,75.6086,32.0499,130.0
2025-01-31,8607.25,420333.0,280469.109,68.1223,28.8765,130.0
2025-02-28,7885.3,4175653.0,256944.2116,62.4084,26.4545,110.0
2025-03-31,8023.25,752105.0,261439.3423,62.5985,25.5534,110.0
2025-04-30,8036.5,608439.0,261871.0964,62.7019,25.5956,110.0
2025-05-31,9423.0,971861.0,307050.4998,73.5195,30.0115,110.0
2025-06-30,10909.5,970206.0,355488.4249,85.1174,34.7459,110.0
2025-07-31,10833.0,870589.0,352995.6558,84.5206,34.5022,110.0
2025-08-31,10095.0,470946.0,328947.7656,78.7626,32.1517,112.0
2025-09-30,9480.0,558798.0,308907.8572,73.9643,30.193,112.0
2025-10-31,9016.5,639206.0,293804.6091,70.348,28.7168,112.0
2025-11-30,8684.5,946102.0,282986.317,67.7577,27.6594,112.0
2025-12-31,8362.5,635977.0,272493.8772,65.2454,26.6339,112.0
2026-01-31,8799.5,901229.0,286733.617,68.6549,28.0257,112.0
2026-02-28,8342.5,400827.0,271842.1728,65.0893,26.5702,227.0
2026-03-31,8198.0,62255.0,267133.609,63.9619,26.11,227.0
