PEPL IN Equity,price,volume,mc,pe,bm,div
2014-10-31,224.95,5074712.0,84356.25,25.0501,2.6427,1.5
2014-11-30,256.7,5345003.0,96262.5,28.5857,3.0158,1.5
2014-12-31,239.45,3449702.0,89793.75,26.6648,2.8131,1.5
2015-01-31,275.1,17746586.0,103162.5,30.6347,3.2319,1.5
2015-02-28,284.35,7291967.0,106631.25,31.6648,3.3406,1.5
2015-03-31,268.25,9757953.0,100593.75,29.5105,2.6329,1.5
2015-04-30,239.65,5433461.0,89868.75,26.3641,2.3522,1.5
2015-05-31,243.7,7971382.0,91387.5,26.8097,2.392,1.5
2015-06-30,247.2,9005639.0,92700.0,27.1947,2.4263,1.5
2015-07-31,220.0,8074301.0,82500.0,24.2024,2.1593,1.5
2015-08-31,203.2,10240266.0,76200.0,22.3542,1.9945,1.5
2015-09-30,215.5,7189919.0,80812.5,23.7074,2.1152,1.5
2015-10-31,203.45,1248544.0,76293.75,22.3817,1.9969,1.5
2015-11-30,203.1,1821416.0,76162.5,22.3432,1.9935,1.5
2015-12-31,193.5,2607385.0,72562.5,21.2871,1.8992,1.5
2016-01-31,185.4,1904185.0,69525.0,20.396,1.8197,1.5
2016-02-29,149.15,7321228.0,55931.25,16.4081,1.4639,1.5
2016-03-31,172.75,16111341.0,64781.25,10.6234,1.5424,2.7
2016-04-30,168.45,3596516.0,63168.75,10.3589,1.5041,2.7
2016-05-31,185.55,7775080.0,69581.25,11.4105,1.6567,2.7
2016-06-30,185.4,3533358.0,69525.0,11.4013,1.6554,2.7
2016-07-31,185.45,4485761.0,69543.75,11.4044,1.6558,2.7
2016-08-31,186.05,4681992.0,69768.75,11.4413,1.6612,2.7
2016-09-30,192.2,6793969.0,72075.0,11.8194,1.7161,1.2
2016-10-31,194.05,20473579.0,72768.75,11.9332,1.7326,1.2
2016-11-30,152.75,7988993.0,57281.25,9.3934,1.3639,1.2
2016-12-31,170.0,5824510.0,63750.0,10.4542,1.5179,1.2
2017-01-31,165.55,3500434.0,62081.25,10.1806,1.4782,1.2
2017-02-28,170.3,4607741.0,63862.5,10.4727,1.5206,1.2
2017-03-31,217.45,11728445.0,81543.75,30.8003,1.8471,1.2
2017-04-30,235.85,15089183.0,88443.75,33.4065,2.0033,1.2
2017-05-31,241.45,12239633.0,90543.75,34.1997,2.0509,0.0
2017-06-30,253.05,7882934.0,94893.75,35.8428,2.1494,0.0
2017-07-31,268.7,7877479.0,100762.5,38.0595,2.2824,0.0
2017-08-31,273.9,4367889.0,102712.5,38.796,2.3265,0.0
2017-09-30,273.25,5542533.0,102468.75,38.704,2.321,1.2
2017-10-31,304.05,7001699.0,114018.75,43.0666,2.5826,1.2
2017-11-30,330.6,12796818.0,123975.0,46.8272,2.8082,1.2
2017-12-31,318.15,11893727.0,119306.25,45.0637,2.7024,1.2
2018-01-31,322.8,13753285.0,121050.0,45.7224,2.7419,1.2
2018-02-28,335.3,9376348.0,125737.5,47.4929,2.8481,1.2
2018-03-31,291.8,5795655.0,109425.0,29.4747,2.3121,1.2
2018-04-30,305.8,3961506.0,114675.0,30.8889,2.423,1.2
2018-05-31,248.0,2987381.0,93000.0,25.0505,1.9651,1.2
2018-06-30,270.05,8704753.0,101268.75,27.2778,2.1398,1.2
2018-07-31,253.15,6048893.0,94931.25,25.5707,2.0059,1.2
2018-08-31,237.05,2657432.0,88893.75,23.9444,1.8783,1.2
2018-09-30,209.85,3551639.0,78693.75,21.197,1.6628,1.2
2018-10-31,194.9,5728035.0,73087.5,19.6869,1.5443,1.2
2018-11-30,216.55,7106517.0,81206.25,21.8737,1.7159,1.2
2018-12-31,219.9,2696844.0,82462.5,22.2121,1.7424,1.2
2019-01-31,199.9,8016218.0,74962.5,20.1919,1.5839,1.2
2019-02-28,205.9,8145032.0,77212.5,20.798,1.6315,1.2
2019-03-31,252.8,28935413.0,94800.0,22.8159,2.2429,1.2
2019-04-30,261.25,18850777.0,97968.75,23.5785,2.3179,1.2
2019-05-31,287.8,7376413.0,107925.0,25.9747,2.5535,1.2
2019-06-30,272.35,6487964.0,102131.25,24.5803,2.4164,1.2
2019-07-31,255.05,5545250.0,95643.75,23.019,2.2629,1.2
2019-08-31,295.55,6441287.0,110831.25,26.6742,2.6222,1.2
2019-09-30,288.8,4896299.0,108300.0,26.065,2.5623,1.5
2019-10-31,302.2,4957203.0,113325.0,27.2744,2.6812,1.5
2019-11-30,303.8,5851545.0,113925.0,27.4188,2.6954,1.5
2019-12-31,338.35,12908118.0,126881.25,30.537,3.002,1.5
2020-01-31,383.3,17384322.0,143737.5,34.5939,3.4008,1.5
2020-02-29,290.35,5659304.0,116390.1812,26.2049,2.5761,1.5
2020-03-31,168.2,12077102.0,67424.9302,15.8231,1.2579,1.5
2020-04-30,173.95,13568213.0,69729.8847,16.3641,1.3009,1.5
2020-05-31,156.45,14996945.0,62714.8058,14.7178,1.17,1.5
2020-06-30,209.6,23629977.0,84020.6027,19.7178,1.5675,1.5
2020-07-31,196.9,22285030.0,78929.6597,18.523,1.4725,1.5
2020-08-31,247.9,24284012.0,99373.604,23.3208,1.8539,1.5
2020-09-30,251.85,12537192.0,100957.0076,23.6924,1.8835,1.5
2020-10-31,250.6,11683923.0,100455.9285,23.5748,1.8741,1.5
2020-11-30,267.3,12786883.0,107150.318,25.1458,1.999,1.5
2020-12-31,266.1,12557648.0,106669.284,25.0329,1.99,1.5
2021-01-31,267.5,13727814.0,107230.4903,25.1646,2.0005,1.5
2021-02-28,298.1,15480087.0,119496.8567,28.0433,2.2293,1.5
2021-03-31,305.6,16622017.0,122503.319,4.4035,1.8352,1.5
2021-04-30,271.85,9076141.0,108974.2385,3.9171,1.6325,1.5
2021-05-31,273.2,10937044.0,109515.4017,3.9366,1.6406,0.0
2021-06-30,289.55,20484785.0,116069.4896,4.1722,1.7388,0.0
2021-07-31,340.65,31793506.0,136553.5224,4.9085,2.0457,0.0
2021-08-31,352.65,27172148.0,141363.8623,5.0814,2.1177,0.0
2021-09-30,490.85,76897753.0,196762.9429,7.0728,2.9476,1.5
2021-10-31,426.1,24447412.0,170807.1508,6.1398,2.5588,1.5
2021-11-30,421.75,29357524.0,169063.4026,6.0771,2.5327,1.5
2021-12-31,474.75,18255008.0,190309.0702,6.8408,2.8509,1.5
2022-01-31,488.3,34651402.0,195740.7456,7.036,2.9323,1.5
2022-02-28,453.7,14363707.0,181870.9324,6.5375,2.7245,1.5
2022-03-31,493.8,14352482.0,197945.4847,17.2116,2.1765,1.5
2022-04-30,474.65,17346390.0,190268.9841,16.5441,2.0921,1.5
2022-05-31,429.15,11925567.0,172029.7788,14.9582,1.8916,1.5
2022-06-30,387.15,10837191.0,155193.5893,13.4942,1.7064,1.5
2022-07-31,413.65,8719424.0,165816.4232,14.4179,1.8232,1.5
2022-08-31,457.4,9826253.0,183354.1205,15.9428,2.0161,1.5
2022-09-30,449.8,13151901.0,180307.572,15.6779,1.9826,1.5
2022-10-31,442.0,8537436.0,177180.8511,15.4061,1.9482,1.5
2022-11-30,474.7,5975361.0,190289.0272,16.5458,2.0923,1.5
2022-12-31,463.55,9803922.0,185819.4197,16.1572,2.0432,1.5
2023-01-31,419.1,5618150.0,168001.1192,14.6079,1.8473,1.5
2023-02-28,405.95,14718917.0,162729.7884,14.1495,1.7893,1.5
2023-03-31,403.2,8718740.0,161627.4189,17.1648,1.6203,1.5
2023-04-30,490.7,12676054.0,196702.8136,20.8897,1.9719,1.5
2023-05-31,483.25,11081215.0,193716.3943,20.5726,1.942,1.5
2023-06-30,574.85,17269888.0,230435.3218,24.4721,2.3101,1.5
2023-07-31,588.6,35877334.0,235947.1695,25.0575,2.3653,1.5
2023-08-31,644.15,12049763.0,258215.0344,27.4223,2.5885,1.5
2023-09-30,602.6,7840487.0,241559.2327,25.6535,2.4216,1.5
2023-10-31,765.7,38206615.0,306939.7685,32.5968,3.077,1.5
2023-11-30,1002.9,28843596.0,402024.1528,42.6948,4.0302,1.5
2023-12-31,1178.9,30760809.0,472575.8039,50.1873,4.7375,1.5
2024-01-31,1265.4,25722490.0,507250.337,53.8697,5.0851,1.5
2024-02-29,1166.75,19677845.0,467705.3348,49.6701,4.6886,1.5
2024-03-31,1170.0,19436249.0,469008.1352,34.1307,4.1546,1.5
2024-04-30,1380.25,16468656.0,553289.2979,40.264,4.9012,1.5
2024-05-31,1597.55,26359618.0,640396.5353,46.603,5.6728,1.5
2024-06-30,1892.6,31832481.0,758670.7664,55.21,6.7206,1.5
2024-07-31,1815.9,25896530.0,727924.6775,52.9726,6.4482,1.5
2024-08-31,1813.15,47811538.0,726822.308,52.8924,6.4384,1.5
2024-09-30,1845.25,32416176.0,794804.9606,53.8288,6.5524,1.8
2024-10-31,1636.45,14042634.0,704868.4882,47.7377,5.811,1.8
2024-11-30,1650.55,13393922.0,710941.7844,48.1491,5.861,1.8
2024-12-31,1694.0,18562872.0,729657.013,49.4166,6.0153,1.8
2025-01-31,1359.5,20819226.0,585577.7504,39.6587,4.8275,1.8
2025-02-28,1126.6,28165382.0,485260.6794,32.8646,4.0005,1.8
2025-03-31,1184.4,17164626.0,510156.8868,105.8445,3.3078,1.8
2025-04-30,1375.1,18213145.0,592297.142,122.8865,3.8403,1.8
2025-05-31,1466.6,14493004.0,631708.9583,131.0634,4.0959,1.8
2025-06-30,1657.4,24685113.0,713892.2865,148.1144,4.6288,1.8
2025-07-31,1626.5,21673231.0,700582.7223,145.353,4.5425,1.8
2025-08-31,1561.8,12129439.0,672714.4763,139.571,4.3618,1.8
2025-09-30,1510.1,15037823.0,650445.7233,134.9508,4.2174,1.8
2025-10-31,1744.7,17446975.0,751495.0358,155.916,4.8726,1.8
2025-11-30,1677.3,12173056.0,722463.8181,149.8928,4.6843,1.8
2025-12-31,1594.8,11168991.0,686928.574,142.5201,4.4539,1.8
2026-01-31,1461.5,20040296.0,629512.2341,130.6077,4.0816,1.8
2026-02-28,1393.0,13737553.0,600007.2132,124.4861,3.8903,1.8
2026-03-31,1373.7,2130732.0,591694.0987,122.7614,3.8364,1.8
