IRB IN Equity,price,volume,mc,pe,bm,div
2013-08-31,6.25,850778850.0,20772.7566,3.7313,0.6381,0.5
2013-09-30,7.5,508764570.0,24910.6897,4.4746,0.7652,0.5
2013-10-31,7.98,539894100.0,26522.6556,4.7642,0.8147,0.5
2013-11-30,9.69,777491800.0,32206.0818,5.7851,0.9892,0.5
2013-12-31,9.27,737483020.0,30793.5343,5.5313,0.9459,0.5
2014-01-31,7.72,811584710.0,25641.8907,4.606,0.7876,0.4
2014-02-28,7.9,451309880.0,26240.1461,4.7134,0.806,0.6
2014-03-31,10.33,772322970.0,34333.2121,7.4801,0.9642,0.6
2014-04-30,11.48,718411160.0,38138.7811,8.3092,1.0711,0.5
2014-05-31,19.71,2191820740.0,65508.9651,14.2723,1.8398,0.5
2014-06-30,22.95,1168917370.0,76277.5621,16.6184,2.1422,0.5
2014-07-31,25.76,2203452500.0,85600.3753,18.6495,2.404,0.4
2014-08-31,25.15,1116585470.0,83572.9543,18.2078,2.3471,0.6
2014-09-30,23.11,1016002830.0,76809.3447,16.7343,2.1571,0.6
2014-10-31,25.22,551150990.0,83805.6091,18.2585,2.3536,0.4
2014-11-30,27.24,634954740.0,90552.6005,19.7285,2.5431,0.4
2014-12-31,26.4,414769370.0,87727.5056,19.113,2.4638,0.4
2015-01-31,26.94,689706710.0,89522.2717,19.504,2.5142,0.4
2015-02-28,25.68,568284560.0,85334.4605,18.5916,2.3966,0.4
2015-03-31,24.42,608462720.0,85824.093,14.9632,1.9681,0.4
2015-04-30,23.35,361013520.0,82046.0053,14.3045,1.8814,0.2
2015-05-31,24.69,297192030.0,86755.4355,15.1256,1.9894,0.2
2015-06-30,23.35,268936440.0,82046.0053,14.3045,1.8814,0.4
2015-07-31,24.58,352328610.0,86368.8405,15.0582,1.9805,0.4
2015-08-31,23.36,529674960.0,82098.7229,14.3137,1.8826,0.4
2015-09-30,23.74,439248510.0,83416.6604,14.5435,1.9128,0.4
2015-10-31,24.61,382108420.0,86474.2755,15.0766,1.983,0.4
2015-11-30,25.47,244933400.0,89514.3181,15.6066,2.0527,0.4
2015-12-31,24.37,270430460.0,85630.7955,14.9295,1.9636,0.4
2016-01-31,24.31,502938140.0,85419.9255,14.8928,1.9588,0.4
2016-02-29,21.58,338348090.0,75842.9126,13.223,1.7392,0.4
2016-03-31,23.27,271297190.0,81782.4178,12.8635,1.6942,0.6
2016-04-30,21.37,252189300.0,75087.2951,11.8104,1.5555,0.6
2016-05-31,22.05,281393710.0,77494.7277,12.1891,1.6054,0.6
2016-06-30,21.34,205737110.0,74999.4326,11.7966,1.5537,0.6
2016-07-31,21.64,203179460.0,76036.2101,11.9596,1.5752,0.6
2016-08-31,22.67,471866250.0,79656.1453,12.529,1.6501,0.4
2016-09-30,24.52,816666230.0,86157.9705,13.5517,1.7848,0.4
