LTM IN Equity,price,volume,mc,pe,bm,div
2018-10-31,1766.45,5478272.0,306156.6837,22.8017,7.6237,26.0
2018-11-30,1569.75,3949882.0,272065.1331,20.2627,6.7748,26.0
2018-12-31,1731.2,5610264.0,300219.8203,20.9372,6.8285,26.0
2019-01-31,1760.85,3762769.0,305418.5662,21.2958,6.9454,26.0
2019-02-28,1719.55,2545866.0,298255.1015,20.7963,6.7825,26.0
2019-03-31,1702.6,4655737.0,295315.1323,19.4128,6.0366,26.0
2019-04-30,1716.85,2997070.0,297890.7877,19.5752,6.0871,26.0
2019-05-31,1785.05,4615111.0,309734.3859,20.3528,6.3289,26.0
2019-06-30,1829.45,3515017.0,317462.8596,20.9911,6.1339,26.0
2019-07-31,1513.6,4499970.0,262653.6851,17.3671,5.0749,28.0
2019-08-31,1626.45,1740852.0,282574.0492,18.6619,5.4533,28.0
2019-09-30,1511.25,2772243.0,262559.5818,17.8332,5.1298,28.0
2019-10-31,1721.85,3024621.0,299516.7958,20.3184,5.8447,28.0
2019-11-30,1689.65,1836349.0,293915.5874,19.9384,5.7354,28.0
2019-12-31,1750.5,4078667.0,304631.5047,20.6577,5.7772,28.0
2020-01-31,1940.25,4755766.0,337652.8289,22.897,6.4035,28.0
2020-02-29,1910.15,2526032.0,332509.5981,22.5418,6.3041,28.0
2020-03-31,1428.85,3218274.0,248727.2409,16.3487,4.604,28.0
2020-04-30,1592.95,2975117.0,277370.4578,18.2263,5.1328,28.0
2020-05-31,1798.85,3061237.0,313222.5419,20.5822,5.7962,28.0
2020-06-30,1957.9,2483625.0,341032.3651,21.5462,5.7227,28.0
2020-07-31,2416.8,5497278.0,421445.231,26.5962,7.0641,28.0
2020-08-31,2458.35,3859223.0,428690.7827,27.0535,7.1855,28.0
2020-09-30,2543.55,7075560.0,443959.5624,26.421,7.0373,28.0
2020-10-31,2918.5,11948725.0,509563.545,30.3158,8.0746,30.5
2020-11-30,3200.45,13910312.0,558791.3818,33.2445,8.8547,30.5
2020-12-31,3659.5,9109519.0,639108.2213,35.093,9.5489,30.5
2021-01-31,3963.9,7453321.0,692479.492,38.0121,10.3432,30.5
2021-02-28,3599.85,2804587.0,628881.2279,34.521,9.3933,30.5
2021-03-31,4054.3,6437367.0,708491.3981,36.5549,9.7008,30.5
2021-04-30,3890.25,5370761.0,679823.5606,35.0757,9.3083,30.5
2021-05-31,3942.4,8577458.0,688983.0019,35.5459,9.4331,30.5
2021-06-30,4071.3,7241355.0,711633.9674,35.2952,9.1484,30.5
2021-07-31,4684.35,10653221.0,820170.9105,40.6099,10.526,50.0
2021-08-31,5312.45,7264775.0,930143.3397,46.055,11.9373,50.0
2021-09-30,5765.15,7791584.0,1009903.498,47.7564,12.9403,50.0
2021-10-31,6682.3,13286319.0,1170564.191,55.3537,14.9989,50.0
2021-11-30,6809.7,5634824.0,1193012.426,56.409,15.2848,50.0
2021-12-31,7332.0,8012846.0,1284733.54,58.209,26.4203,50.0
2022-01-31,6270.35,9375111.0,1098708.259,49.7805,22.5948,50.0
2022-02-28,5849.8,5488174.0,1025211.589,46.4417,21.0793,50.0
2022-03-31,6155.4,7379918.0,1078857.918,46.5392,12.7354,50.0
2022-04-30,4839.05,12627945.0,848295.9222,36.5867,10.0119,50.0
2022-05-31,4253.7,13519690.0,745700.7486,32.161,8.8008,50.0
2022-06-30,3975.45,8528357.0,696980.6645,28.3753,7.8926,55.0
2022-07-31,4730.75,12950243.0,829400.7669,33.7663,9.3922,45.0
2022-08-31,4641.7,7315260.0,813808.0763,33.1307,9.2154,45.0
2022-09-30,4457.85,8341768.0,781574.4949,25.2545,8.4862,45.0
2022-10-31,4739.85,5685306.0,831256.2701,26.8521,9.0231,45.0
2022-11-30,4838.55,8658054.0,848576.8767,27.4112,9.211,45.0
2022-12-31,4365.4,13169908.0,1291278.462,24.8887,8.1659,30.0
2023-01-31,4368.55,9028723.0,1292210.227,24.9066,8.1718,50.0
2023-02-28,4722.05,10192574.0,1396867.538,26.9221,8.833,50.0
2023-03-31,4759.65,8054817.0,1407990.296,27.106,8.4856,50.0
2023-04-30,4419.45,10409070.0,1307373.981,25.1685,7.8791,50.0
2023-05-31,4998.4,8238028.0,1478743.276,28.4656,8.9112,50.0
2023-06-30,5197.2,9323650.0,1537775.377,29.1463,8.4606,50.0
2023-07-31,4891.65,19273130.0,1447421.586,27.4327,7.9632,60.0
2023-08-31,5193.4,7526840.0,1536755.572,29.125,8.4544,60.0
2023-09-30,5209.85,6947164.0,1541666.318,34.8089,8.5367,60.0
2023-10-31,5060.4,7464923.0,1497452.127,33.8104,8.2918,80.0
2023-11-30,5536.7,6267444.0,1638396.805,36.9927,9.0722,80.0
2023-12-31,6294.95,10531223.0,1862927.579,40.5237,9.943,80.0
2024-01-31,5448.55,14708254.0,1613660.924,35.075,8.6061,60.0
2024-02-29,5300.85,8528416.0,1569917.595,34.1242,8.3728,60.0
2024-03-31,4938.4,9668476.0,1462573.182,31.8915,7.3028,60.0
2024-04-30,4706.4,11168365.0,1393863.28,30.3933,6.9597,60.0
2024-05-31,4701.9,8298363.0,1392530.545,30.3642,6.953,60.0
2024-06-30,5385.05,11551314.0,1594854.55,34.9157,7.9863,105.0
2024-07-31,5658.15,11614354.0,1675791.882,36.6864,8.3913,65.0
2024-08-31,6156.05,12465529.0,1823256.474,39.9147,9.1298,65.0
2024-09-30,6244.35,16115959.0,1849408.559,39.7198,8.7703,65.0
2024-10-31,5710.85,7835096.0,1691461.905,36.3263,8.021,65.0
2024-11-30,6172.4,4528817.0,1828165.591,39.2621,8.6693,65.0
2024-12-31,5585.9,8380764.0,1655021.409,36.183,7.7689,65.0
2025-01-31,5914.15,8014202.0,1752277.138,38.3093,8.2254,65.0
2025-02-28,4665.95,6447960.0,1382453.525,30.224,6.4894,65.0
2025-03-31,4491.35,10049300.0,1330722.069,28.917,5.8624,65.0
2025-04-30,4586.5,10062998.0,1358913.638,29.5296,5.9866,65.0
2025-05-31,5068.9,7465296.0,1502166.052,32.6354,6.6163,90.0
2025-06-30,5317.0,5351096.0,1575690.366,33.359,6.9385,90.0
2025-07-31,5106.0,6462329.0,1513160.619,32.0352,6.6632,90.0
2025-08-31,5133.5,4410680.0,1521655.468,32.2077,6.699,90.0
2025-09-30,5157.5,5819656.0,1528769.471,31.358,6.5232,90.0
2025-10-31,5684.5,6168176.0,1685393.113,34.5622,7.1897,67.0
2025-11-30,6096.5,5647950.0,1807546.682,37.0672,7.7108,67.0
2025-12-31,6063.5,5906759.0,1797762.537,37.7664,7.5784,67.0
2026-01-31,5974.5,7442717.0,1771374.994,37.2121,7.4672,67.0
2026-02-28,4462.0,8024104.0,1322953.198,27.7915,5.5768,67.0
2026-03-31,4308.0,577538.0,1277293.227,26.8323,5.3843,67.0
