ASTR IN Equity,price,volume,mc,pe,bm,div
2004-09-30,265.71,59375.0,6642.7503,27.1043,6.7744,0.78
2004-10-31,244.2,16960.0,6105.0,24.9102,6.226,0.78
2004-11-30,290.01,38075.0,7250.2503,29.5831,7.3939,0.78
2004-12-31,342.23,347170.0,8555.75,33.2258,8.9552,0.78
2005-01-31,320.97,363495.0,8024.25,31.1618,8.3989,0.78
2005-02-28,316.82,219310.0,7920.5,30.7589,8.2903,0.78
2005-03-31,295.01,164050.0,7375.25,28.6414,7.7196,10.0
2005-04-30,348.14,148740.0,8703.5,33.7996,9.1098,10.0
2005-05-31,379.0,111880.0,9475.0,36.7957,9.9173,10.0
2005-06-30,357.02,80110.0,8925.5,34.6618,9.3422,10.0
2005-07-31,366.73,108055.0,9168.25,35.6045,9.5963,10.0
2005-08-31,391.2,170855.0,9780.0,37.9802,10.2366,10.0
2005-09-30,354.0,126390.0,8850.0,34.3686,9.2632,10.0
2005-10-31,349.32,41065.0,8733.0,33.9142,9.1407,10.0
2005-11-30,399.31,91610.0,9982.75,38.7675,10.4488,10.0
2005-12-31,508.44,131270.0,12711.0,29.5206,9.9933,10.0
2006-01-31,572.78,144600.0,14319.5,33.2562,11.2579,10.0
2006-02-28,630.47,110815.0,15761.75,36.6057,12.3918,10.0
2006-03-31,618.09,190220.0,15452.25,35.8869,12.1484,0.84
2006-04-30,835.47,97295.0,19892.0,48.5083,16.421,4.0
2006-05-31,791.06,212290.0,19776.5,45.9298,15.5481,4.0
2006-06-30,604.95,63481.0,15123.75,35.124,11.8902,4.0
2006-07-31,630.0,23695.0,15750.0,36.5785,12.3825,4.0
2006-08-31,796.05,116243.0,19901.25,46.2195,15.6462,4.0
2006-09-30,761.9,52125.0,19047.5,44.2367,14.975,4.0
2006-10-31,738.9,29586.0,18472.5,42.9013,14.5229,4.0
2006-11-30,634.35,65081.0,15858.75,36.831,12.468,4.0
2006-12-31,597.7,49545.0,14942.5,30.66,10.5434,4.0
2007-01-31,655.9,90355.0,16397.5,33.6454,11.57,4.0
2007-02-28,607.85,34791.0,15196.25,31.1806,10.7224,4.0
2007-03-31,596.2,48173.0,14905.0,30.583,10.5169,12.0
2007-04-30,676.05,28289.0,16901.25,34.6791,11.9255,12.0
2007-05-31,620.0,24148.0,15500.0,31.8039,10.9367,12.0
2007-06-30,661.6,42339.0,16540.0,33.9378,11.6706,12.0
2007-07-31,620.0,47849.0,15500.0,31.8039,10.9367,12.0
2007-08-31,559.95,34570.0,13998.75,28.7235,9.8775,12.0
2007-09-30,587.5,40237.0,14687.5,30.1368,10.3634,12.0
2007-10-31,580.1,46877.0,14502.5,29.7572,10.2329,12.0
2007-11-30,540.0,39411.0,13500.0,27.7002,9.5256,12.0
2007-12-31,655.85,65873.0,16396.25,26.6785,10.2921,12.0
2008-01-31,505.45,131378.0,12636.25,20.5606,7.9319,12.0
2008-02-29,608.75,46835.0,15218.75,24.7626,9.5529,12.0
2008-03-31,519.7,83304.0,12992.5,21.1402,8.1555,12.0
2008-04-30,534.7,37764.0,13367.5,21.7504,8.3909,15.0
2008-05-31,529.0,17965.0,13225.0,21.5185,8.3014,15.0
2008-06-30,486.0,19711.0,12150.0,19.7694,7.6267,15.0
2008-07-31,577.9,19105.0,14447.5,23.5077,9.0688,15.0
2008-08-31,605.6,33923.0,15140.0,24.6345,9.5035,15.0
2008-09-30,531.2,20083.0,13280.0,21.608,8.336,15.0
2008-10-31,460.0,16734.0,11500.0,18.7118,7.2187,15.0
2008-11-30,465.2,14683.0,11630.0,18.9233,7.3003,15.0
2008-12-31,492.2,8761.0,12305.0,16.6678,10.7608,15.0
2009-01-31,466.9,11531.0,11672.5,15.811,10.2076,15.0
2009-02-28,490.05,76846.0,12251.25,16.595,10.7138,15.0
2009-03-31,558.3,51029.0,13957.5,18.9062,12.2059,15.0
2009-04-30,538.15,39557.0,13453.75,18.2238,11.7653,15.0
2009-05-31,646.25,27119.0,16156.25,21.8845,14.1287,15.0
2009-06-30,638.1,34173.0,15952.5,21.6085,13.9505,15.0
2009-07-31,699.5,30221.0,17487.5,23.6878,15.2929,15.0
2009-08-31,831.7,92825.0,20792.5,28.1646,18.1831,15.0
2009-09-30,893.05,55700.0,22326.25,30.2421,19.5244,15.0
2009-10-31,996.3,193882.0,24907.5,33.7386,21.7817,15.0
2009-11-30,923.25,75072.0,23081.25,31.2648,20.1846,15.0
2009-12-31,941.7,47887.0,23542.5,40.8547,16.2903,15.0
2010-01-31,876.25,37553.0,21906.25,38.0152,15.1581,15.0
2010-02-28,859.8,61373.0,21495.0,37.3015,14.8736,15.0
2010-03-31,863.8,66134.0,21595.0,37.4751,14.9428,15.0
2010-04-30,884.85,57767.0,22121.25,38.3883,15.3069,15.0
2010-05-31,817.0,35853.0,20425.0,35.4447,14.1332,10.0
2010-06-30,1355.5,821903.0,33887.5,58.8069,23.4486,10.0
2010-07-31,1242.35,677575.0,31058.75,53.898,21.4912,10.0
2010-08-31,1226.55,37372.0,30663.7516,53.2126,21.2179,10.0
2010-09-30,1044.7,157861.0,26117.4984,45.3232,18.0721,10.0
2010-10-31,1156.05,55485.0,28901.2516,50.154,19.9983,10.0
2010-11-30,1195.0,25140.0,29875.0,51.8438,20.6721,10.0
2010-12-31,1316.05,30774.0,32901.2516,57.0954,22.7662,10.0
2011-01-31,1233.0,12399.0,30825.0,53.4924,21.3295,10.0
2011-02-28,1133.15,9783.0,28328.75,49.1605,19.6022,10.0
2011-03-31,1239.9,16375.0,30997.5,86.5655,17.2506,10.0
2011-04-30,1303.0,17486.0,32575.0,90.9709,18.1285,10.0
2011-05-31,1264.95,5330.0,31623.7484,88.3144,17.5991,10.0
2011-06-30,1279.85,15483.0,31996.25,89.3547,17.8064,10.0
2011-07-31,1411.35,28878.0,35283.75,98.5355,19.6359,10.0
2011-08-31,1283.6,22239.0,32090.0,89.6165,17.8586,10.0
2011-09-30,1234.25,19422.0,30856.25,86.171,17.172,10.0
2011-10-31,1239.4,9063.0,30985.0,86.5306,17.2436,10.0
2011-11-30,1234.5,25728.0,30862.5,86.1885,17.1755,10.0
2011-12-31,1222.0,12915.0,30550.0,85.3158,17.0015,10.0
2012-01-31,1648.8,116732.0,41220.0016,115.1135,22.9396,10.0
2012-02-29,1893.05,294923.0,47326.2516,132.1661,26.3378,10.0
2012-03-31,2077.9,906950.0,51947.4969,262.6928,27.444,10.0
2012-04-30,2082.3,748354.0,52057.5016,263.2491,27.5021,10.0
2012-05-31,1841.6,1455071.0,46040.0,232.8192,24.3231,10.0
2012-06-30,1837.1,517825.0,45927.5,232.2503,24.2636,10.0
2012-07-31,1594.8,525681.0,39870.0016,201.6182,21.0635,3.5
2012-08-31,1864.65,1078678.0,46616.25,235.7332,24.6275,3.5
2012-09-30,1663.5,510644.0,41587.5,210.3034,21.9708,3.5
2012-10-31,1519.95,399951.0,37998.7484,192.1555,20.0749,3.5
2012-11-30,1522.6,688129.0,38065.0,192.4905,20.1099,3.5
2012-12-31,1314.05,239550.0,32851.2516,166.1252,17.3554,3.5
2013-01-31,1345.7,306342.0,33642.4984,170.1264,17.7734,3.5
2013-02-28,941.8,675128.0,23545.0,119.0645,12.4389,3.5
2013-03-31,650.1,3531591.0,16252.5,79.5386,16.2928,3.5
2013-04-30,732.25,1014105.0,18306.25,,18.3516,3.5
2013-05-31,835.8,13196017.0,20895.0,,20.9468,3.5
2013-06-30,655.45,2017640.0,16386.25,,16.4268,3.5
2013-07-31,685.2,734111.0,17130.0,,17.1724,3.5
2013-08-31,811.6,1823389.0,20290.0,,20.3403,3.5
2013-09-30,879.45,523560.0,21986.25,,22.0407,0.0
2013-10-31,857.1,657654.0,21427.5,,21.4806,0.0
2013-11-30,834.2,474778.0,20855.0,,20.9067,0.0
2013-12-31,836.1,527689.0,20902.5,,20.9543,0.0
2014-01-31,747.25,239533.0,18681.25,,18.7275,0.0
2014-02-28,927.45,2512237.0,23186.25,,23.2437,0.0
2014-03-31,1104.85,3191778.0,27621.25,,16.0968,0.0
2014-04-30,1098.25,727590.0,27456.25,,16.0006,0.0
2014-05-31,1130.9,428577.0,28272.5,,16.4763,0.0
2014-06-30,1135.5,688557.0,28387.5,,16.5433,0.0
2014-07-31,1106.3,300001.0,27657.5016,,16.1179,0.0
2014-08-31,983.1,157152.0,24577.5,,14.323,0.0
2014-09-30,902.25,397465.0,22556.25,,13.145,0.0
2014-10-31,872.2,190277.0,21805.0,,12.7072,0.0
2014-11-30,838.8,352905.0,20970.0,,12.2206,0.0
2014-12-31,860.4,316055.0,21510.0,,12.5353,0.0
2015-01-31,872.8,502448.0,21820.0,,12.716,0.0
2015-02-28,821.05,211052.0,20526.25,,11.962,0.0
2015-03-31,920.9,856131.0,23022.5,,15.2714,0.0
2015-04-30,881.5,510302.0,22037.5,,14.6181,0.0
2015-05-31,962.05,667498.0,24051.25,,15.9538,0.0
2015-06-30,1192.0,3689571.0,29800.0,,19.7671,0.0
2015-07-31,1180.3,791042.0,29507.5016,,19.5731,0.0
2015-08-31,1165.5,2115830.0,29137.5,,19.3277,0.0
2015-09-30,1168.4,1262746.0,29210.0,,19.3758,0.0
2015-10-31,1178.15,870977.0,29453.75,,19.5375,0.0
2015-11-30,1100.4,244532.0,27510.0,,18.2481,0.0
2015-12-31,1247.95,642275.0,31198.7484,,20.695,0.0
2016-01-31,1235.9,996580.0,30897.5,,20.4951,0.0
2016-02-29,1186.5,306571.0,29662.5,,19.6759,0.0
2016-03-31,1154.75,673835.0,28868.75,549.881,18.5039,0.0
2016-04-30,1150.25,183552.0,28756.25,547.7381,18.4318,0.0
2016-05-31,1045.7,175865.0,26142.4984,497.9524,16.7565,0.0
2016-06-30,1072.6,95632.0,26815.0,510.7619,17.1875,0.0
2016-07-31,1036.15,112327.0,25903.75,493.4048,16.6034,0.0
2016-08-31,1029.05,753924.0,25726.2516,490.0238,16.4897,0.0
2016-09-30,928.8,270384.0,23220.0,442.2857,14.8832,0.0
2016-10-31,1005.8,312384.0,25145.0,478.9524,16.1171,0.0
2016-11-30,949.45,212908.0,23736.25,452.119,15.2141,0.0
2016-12-31,926.3,87225.0,23157.5,441.0952,14.8432,0.0
2017-01-31,941.2,137166.0,23530.0,448.1905,15.0819,0.0
2017-02-28,910.95,191111.0,22773.75,433.7857,14.5972,0.0
2017-03-31,935.25,583230.0,23381.25,116.9063,10.491,0.0
2017-04-30,972.8,795677.0,24320.0,121.6,10.9122,0.0
2017-05-31,929.55,570147.0,23238.75,116.1938,10.427,0.0
2017-06-30,914.65,221835.0,22866.25,114.3313,10.2599,0.0
2017-07-31,922.25,505921.0,23056.25,115.2813,10.3452,0.0
2017-08-31,904.1,470578.0,22602.5,113.0125,10.1416,0.0
2017-09-30,912.3,257696.0,22807.5,114.0375,10.2335,0.0
2017-10-31,1051.25,798649.0,26281.25,131.4063,11.7922,0.0
2017-11-30,1134.05,771161.0,28351.25,141.7563,12.721,0.0
2017-12-31,1167.15,171336.0,29178.75,145.8938,13.0923,0.0
2018-01-31,1136.45,324139.0,28411.25,142.0563,12.7479,0.0
2018-02-28,1024.25,142943.0,25606.25,128.0313,11.4893,0.0
2018-03-31,927.55,101552.0,23188.75,89.4973,9.3908,0.0
2018-04-30,1044.35,123178.0,26108.75,100.7671,10.5733,0.0
2018-05-31,1190.7,664543.0,29767.5,114.8881,12.055,0.0
2018-06-30,1419.45,3333583.0,35486.25,136.9597,14.371,0.0
2018-07-31,1530.65,697266.0,38266.25,147.6891,15.4968,0.0
2018-08-31,1891.25,1510649.0,47281.25,182.4826,19.1476,0.0
2018-09-30,1563.85,639006.0,39096.25,150.8925,15.8329,0.0
2018-10-31,1714.9,390650.0,42872.5,165.467,17.3622,0.0
2018-11-30,1392.7,372860.0,34817.5,134.3786,14.1001,0.0
2018-12-31,1451.6,210428.0,36290.0,140.0618,14.6965,0.0
2019-01-31,1601.7,643193.0,40042.5,154.5446,16.2161,0.0
2019-02-28,2028.4,620867.0,50710.0,195.7159,20.5362,0.0
2019-03-31,1988.65,323629.0,49716.25,91.2225,16.528,0.0
2019-04-30,2358.0,463415.0,58950.0,108.1651,19.5977,0.0
2019-05-31,1969.2,445048.0,49230.0,90.3303,16.3664,0.0
2019-06-30,2128.95,252853.0,53223.75,97.6583,17.6941,0.0
2019-07-31,1930.15,279171.0,48253.75,88.539,16.0418,0.0
2019-08-31,1880.65,565290.0,47016.25,86.2683,15.6304,1.0
2019-09-30,2314.25,570933.0,57856.25,106.1583,19.2341,1.0
2019-10-31,2725.1,430813.0,68127.5,125.0046,22.6488,1.0
2019-11-30,2649.15,634247.0,66228.75,121.5206,22.0175,1.0
2019-12-31,2616.6,687765.0,65415.0,120.0275,21.747,1.0
2020-01-31,2672.5,569877.0,66812.5,122.5917,22.2116,1.0
2020-02-29,2578.2,692828.0,64455.0,118.2661,21.4279,1.0
2020-03-31,2403.85,833693.0,60096.25,83.1782,16.49,1.0
2020-04-30,3036.45,751000.0,75911.25,105.0675,20.8296,1.0
2020-05-31,3053.0,1563870.0,76325.0,105.6401,20.9431,1.0
2020-06-30,3547.7,1859124.0,88692.5,122.7578,24.3367,1.0
2020-07-31,3336.95,1400011.0,83423.75,115.4654,22.8909,1.0
2020-08-31,3549.75,1333414.0,88743.75,122.8287,24.3507,2.0
2020-09-30,4303.75,4417053.0,107593.75,148.9187,29.523,2.0
2020-10-31,4300.2,852238.0,107505.0,148.7958,29.4987,2.0
2020-11-30,4538.9,1632338.0,113472.5,157.0554,31.1361,2.0
2020-12-31,4619.2,2176584.0,115480.0,159.8339,31.687,2.0
2021-01-31,3625.45,2290680.0,90636.25,125.4481,24.87,2.0
2021-02-28,3436.25,1158122.0,85906.25,118.9014,23.5721,2.0
2021-03-31,3009.3,1027856.0,75232.5,80.6783,16.4922,2.0
2021-04-30,3907.95,6231054.0,97698.75,104.7708,21.4172,2.0
2021-05-31,3777.95,776700.0,94448.75,101.2855,20.7047,2.0
2021-06-30,3611.2,610455.0,90280.0,96.815,19.7909,2.0
2021-07-31,3369.5,354994.0,84237.5,90.3351,18.4663,2.0
2021-08-31,3106.45,664389.0,77661.25,83.2828,17.0246,2.0
2021-09-30,3089.6,398487.0,77240.0,82.8311,16.9323,2.0
2021-10-31,3007.1,324718.0,75177.5,80.6193,16.4801,2.0
2021-11-30,3137.15,659860.0,78428.75,84.1059,17.1929,2.0
2021-12-31,3098.25,369721.0,77456.25,83.063,16.9797,2.0
2022-01-31,2796.35,329882.0,69908.75,74.9692,15.3252,2.0
2022-02-28,2609.55,289841.0,65238.75,69.9611,14.3014,2.0
2022-03-31,2551.85,365355.0,63796.25,103.5653,12.4751,2.0
2022-04-30,2749.75,243344.0,68743.75,111.597,13.4425,2.0
2022-05-31,3007.55,523196.0,75188.75,122.0597,14.7028,2.0
2022-06-30,2705.2,140019.0,67630.0,109.789,13.2247,2.0
2022-07-31,3064.75,368960.0,76618.75,124.3811,14.9824,8.0
2022-08-31,3075.9,257506.0,76897.5,124.8336,15.037,8.0
2022-09-30,3111.55,517693.0,77788.75,126.2804,15.2112,8.0
2022-10-31,3299.55,250767.0,82488.75,133.9103,16.1303,8.0
2022-11-30,3373.8,462317.0,84345.0,136.9237,16.4933,8.0
2022-12-31,3297.15,194278.0,82428.75,133.8129,16.1186,8.0
2023-01-31,3361.05,110141.0,84026.25,136.4063,16.431,8.0
2023-02-28,3344.65,102124.0,83616.25,135.7407,16.3508,8.0
2023-03-31,3252.8,128404.0,81320.0,81.9345,13.8137,8.0
2023-04-30,3188.35,73739.0,79708.75,80.3111,13.54,8.0
2023-05-31,3562.45,242693.0,89061.25,89.7343,15.1287,8.0
2023-06-30,3707.5,382725.0,92687.5,93.3879,15.7447,8.0
2023-07-31,3866.0,240216.0,96650.0,97.3804,16.4178,16.0
2023-08-31,4259.3,737619.0,106482.5,107.2872,18.088,16.0
2023-09-30,4503.25,306333.0,112581.25,113.432,19.124,16.0
2023-10-31,4674.5,268344.0,116862.5,117.7456,19.8513,16.0
2023-11-30,4765.8,216520.0,119145.0,120.0453,20.239,16.0
2023-12-31,5526.6,1263416.0,138165.0,139.2091,23.4699,16.0
2024-01-31,6616.6,804665.0,165415.0,166.665,28.0988,16.0
2024-02-29,5516.55,561850.0,137913.75,138.9559,23.4272,16.0
2024-03-31,5328.45,295515.0,133211.25,82.4837,18.7115,16.0
2024-04-30,5335.3,481083.0,133382.5,82.5898,18.7356,16.0
2024-05-31,6179.25,690140.0,154481.25,95.654,21.6992,16.0
2024-06-30,6250.75,221199.0,156268.75,96.7608,21.9503,16.0
2024-07-31,7036.45,1352397.0,175911.25,108.9234,24.7094,24.0
2024-08-31,6586.65,333594.0,164666.25,101.9605,23.1299,24.0
2024-09-30,7970.05,3617373.0,199251.25,123.3754,27.9879,24.0
2024-10-31,7624.9,2179790.0,190622.5,118.0325,26.7758,24.0
2024-11-30,6564.2,504951.0,164105.0,101.613,23.051,24.0
2024-12-31,7305.15,1121939.0,182628.75,113.0828,25.653,24.0
2025-01-31,7235.1,794604.0,180877.5,111.9985,25.407,24.0
2025-02-28,6698.65,358496.0,167466.25,103.6943,23.5232,24.0
2025-03-31,8607.65,1303010.0,215191.25,185.9104,27.9342,24.0
2025-04-30,8681.0,633862.0,217025.0,187.4946,28.1723,24.0
2025-05-31,7972.0,332555.0,199300.0,172.1814,25.8714,24.0
2025-06-30,8908.5,3906009.0,222712.5,192.4082,28.9106,24.0
2025-07-31,9186.0,870043.0,229650.0,198.4017,29.8111,32.0
2025-08-31,8460.5,668706.0,211512.5,182.7322,27.4567,32.0
2025-09-30,9105.5,355164.0,227637.5,196.6631,29.5499,32.0
2025-10-31,9555.0,244656.0,238875.0,206.3715,31.0086,32.0
2025-11-30,9024.0,270791.0,225600.0,194.9028,29.2854,32.0
2025-12-31,9029.0,182953.0,225725.0,195.0108,29.3016,32.0
2026-01-31,8550.0,287409.0,213750.0,184.6652,27.7471,32.0
2026-02-28,8849.0,153691.0,221225.0,191.1231,28.7175,32.0
2026-03-31,8610.0,25625.0,215250.0,185.9611,27.9418,32.0
