ASTRA IN Equity,price,volume,mc,pe,bm,div
2012-04-30,18.0,6380930.0,4495.2202,11.383,2.4422,0.1013
2012-05-31,19.03,5697953.0,4752.5715,12.0347,2.582,0.1013
2012-06-30,20.13,2474299.0,5026.78,12.7291,2.731,0.1013
2012-07-31,20.72,2329966.0,5175.1222,13.1047,2.8116,0.1013
2012-08-31,23.97,4236453.0,5986.5095,15.1594,3.2524,0.1013
2012-09-30,26.92,2890687.0,6723.7256,17.0262,3.6529,0.1013
2012-10-31,31.3,4952875.0,7816.0641,19.7923,4.2464,0.1013
2012-11-30,31.47,4505909.0,7858.7687,19.9004,4.2696,0.1013
2012-12-31,31.95,1692577.0,7979.0158,20.2049,4.3349,0.1013
2013-01-31,31.81,3225798.0,7944.1779,20.1167,4.316,0.1013
2013-02-28,35.98,10068728.0,8984.8213,22.7518,4.8814,0.1013
2013-03-31,32.8,3907665.0,8191.415,13.5132,3.3936,0.1013
2013-04-30,34.21,2255477.0,8544.2898,14.0953,3.5398,0.1013
2013-05-31,47.25,15906703.0,11799.953,19.4661,4.8886,0.1013
2013-06-30,50.04,4839498.0,12497.8423,20.6174,5.1777,0.1013
2013-07-31,48.96,3440543.0,12225.8813,20.1687,5.0651,0.1125
2013-08-31,46.3,2495921.0,11561.7122,19.073,4.7899,0.1125
2013-09-30,48.36,5366508.0,12078.1001,19.9249,5.0039,0.1125
2013-10-31,56.87,2321994.0,14202.0925,23.4288,5.8838,0.1125
2013-11-30,56.7,1743532.0,14159.9498,23.3593,5.8663,0.1238
2013-12-31,74.26,3114127.0,18545.601,30.5942,7.6833,0.1238
2014-01-31,76.38,975795.0,19073.7896,31.4655,7.9021,0.1238
2014-02-28,84.62,2499128.0,21133.1632,34.8628,8.7553,0.1238
2014-03-31,104.86,4169247.0,26187.4786,33.1944,8.3051,0.1238
2014-04-30,121.96,4035545.0,30457.9397,38.6075,9.6595,0.1238
2014-05-31,133.32,4973180.0,33295.5487,42.2044,10.5594,0.1238
2014-06-30,157.85,1567181.0,39420.2889,49.9679,12.5018,0.1238
2014-07-31,155.27,2493203.0,38776.9102,49.1524,12.2977,0.1238
2014-08-31,182.0,2010559.0,45452.3151,57.614,14.4148,0.1463
2014-09-30,180.97,1825921.0,45193.8399,57.2863,14.3328,0.1463
2014-10-31,153.2,8355547.0,38259.9597,48.4972,12.1338,0.1463
2014-11-30,196.18,14791419.0,48992.3026,62.1011,15.5375,0.1575
2014-12-31,177.12,7631123.0,46588.4932,56.0684,14.0281,0.1575
2015-01-31,171.77,4545371.0,45179.9488,54.3732,13.604,0.1575
2015-02-28,202.43,3973502.0,53246.4943,64.0812,16.0329,0.1575
2015-03-31,201.53,1909321.0,53009.7985,67.4473,8.6671,0.1575
2015-04-30,198.54,3694760.0,52222.6707,66.4458,8.5384,0.1575
2015-05-31,173.3,7927340.0,45582.3901,57.997,7.4527,0.1575
2015-06-30,174.85,6483779.0,45990.7496,58.5166,7.5195,0.1575
2015-07-31,167.27,1864857.0,43996.2981,55.9789,7.1934,0.1575
2015-08-31,194.4,16610061.0,51133.712,65.0602,8.3603,0.1688
2015-09-30,190.87,1582468.0,50204.5462,63.878,8.2084,0.1688
2015-10-31,186.48,1596257.0,49050.4867,62.4096,8.0197,0.1688
2015-11-30,186.46,1646310.0,49618.5295,62.4021,8.0187,0.1688
2015-12-31,196.81,1913228.0,52372.786,65.866,8.4639,0.1688
2016-01-31,190.19,1261682.0,50612.4568,63.6521,8.1794,0.1688
2016-02-29,153.86,1637150.0,40942.6215,51.491,6.6167,0.1688
2016-03-31,185.36,2664361.0,49325.1413,48.5159,6.9634,0.18
2016-04-30,199.22,1931079.0,53013.45,52.1437,7.4841,0.18
2016-05-31,199.96,1319606.0,53211.0379,52.338,7.5119,0.18
2016-06-30,211.52,3561087.0,56288.6202,55.3651,7.9464,0.18
2016-07-31,230.4,3558203.0,61312.1445,60.3062,8.6556,0.18
2016-08-31,213.84,1683077.0,56905.3341,55.9717,8.0335,0.18
2016-09-30,197.8,4285687.0,52636.2366,51.7727,7.4308,0.18
2016-10-31,202.01,3063152.0,53755.9017,52.874,7.5889,0.18
2016-11-30,180.81,2214868.0,48115.6634,47.3263,6.7926,0.2025
2016-12-31,177.71,822324.0,47295.8159,46.5135,6.676,0.2025
2017-01-31,173.41,3111565.0,46152.0452,45.3887,6.5145,0.2025
2017-02-28,202.5,5820475.0,53894.9535,53.0035,7.6075,0.2025
2017-03-31,246.44,42836454.0,65590.1585,45.3353,7.7452,0.09
2017-04-30,248.67,2811045.0,66183.0029,45.745,7.8152,0.09
2017-05-31,272.97,4017956.0,72650.3974,50.2152,8.5789,0.09
2017-06-30,309.13,7907069.0,82273.6407,56.8667,9.7153,0.09
2017-07-31,281.12,2423723.0,74818.1722,51.7136,8.8349,0.225
2017-08-31,308.9,5916986.0,82213.7575,56.8253,9.7082,0.225
2017-09-30,332.44,2713063.0,88477.5487,61.1548,10.4479,0.225
2017-10-31,342.77,2396690.0,91226.1914,63.0546,10.7725,0.225
2017-11-30,380.3,4917302.0,101214.7241,69.9586,11.952,0.2475
2017-12-31,380.09,1893348.0,101160.8291,69.9214,11.9456,0.2475
2018-01-31,359.44,1996763.0,95663.5438,66.1217,11.2964,0.2475
2018-02-28,407.95,4960800.0,108574.3795,75.0455,12.821,0.2475
2018-03-31,401.92,2364263.0,106969.5075,61.091,10.5054,0.2475
2018-04-30,427.59,5653602.0,113821.5741,64.9932,11.1764,0.2475
2018-05-31,465.8,2630045.0,123991.4875,70.8003,12.175,0.2475
2018-06-30,453.49,4431871.0,120715.314,68.9295,11.8533,0.2475
2018-07-31,502.25,3358476.0,133694.2316,76.3406,13.1277,0.1125
2018-08-31,497.88,3467340.0,132532.2981,75.6772,13.0136,0.315
2018-09-30,443.07,2177779.0,117942.2457,67.3461,11.581,0.315
2018-10-31,441.61,5903255.0,117552.9381,67.1238,11.5428,0.315
2018-11-30,467.26,3005158.0,124380.7951,71.0226,12.2132,0.2925
2018-12-31,507.38,2147943.0,135081.902,77.1204,13.2618,0.2925
2019-01-31,509.04,4384324.0,135525.1863,77.3735,13.3053,0.2925
2019-02-28,486.27,3685443.0,129462.9741,73.9124,12.7102,0.2925
2019-03-31,522.86,5672437.0,139203.2479,71.4136,10.8951,0.2925
2019-04-30,554.65,1257773.0,147667.5817,75.756,11.5575,0.2925
2019-05-31,596.36,4365300.0,158773.6503,81.4536,12.4268,0.2925
2019-06-30,596.66,1987666.0,158851.5245,81.4935,12.4329,0.2925
2019-07-31,560.25,1981608.0,150059.5574,76.5212,11.6743,0.315
2019-08-31,592.58,2271683.0,158719.621,80.9373,12.348,0.315
2019-09-30,645.67,21484309.0,172937.6132,88.1876,13.4541,0.315
2019-10-31,628.28,5062598.0,168282.151,85.8136,13.0919,0.405
2019-11-30,637.85,6872235.0,170843.4085,87.1197,13.2912,0.405
2019-12-31,662.01,4941795.0,177314.3502,90.4195,13.7946,0.405
2020-01-31,688.13,10050207.0,184312.6097,93.9882,14.3391,0.405
2020-02-29,643.73,2903879.0,172417.8285,87.9226,13.4137,0.5625
2020-03-31,526.98,3616841.0,141147.8877,56.9514,9.4128,0.5625
2020-04-30,528.81,3833744.0,141637.5399,57.1489,9.4454,0.5625
2020-05-31,493.65,4421080.0,132221.152,53.3495,8.8175,0.5625
2020-06-30,536.93,8108229.0,143814.6087,58.0274,9.5906,0.5625
2020-07-31,542.53,6710375.0,145313.6977,58.6322,9.6906,0.5625
2020-08-31,631.15,9210262.0,169060.9745,68.2097,11.2735,0.5625
2020-09-30,688.95,6565677.0,184542.4728,74.4559,12.3059,0.5625
2020-10-31,632.17,3764114.0,169332.1889,68.3191,11.2916,0.5625
2020-11-30,826.57,12009217.0,221404.2665,89.3283,14.7639,0.9
2020-12-31,1002.85,11622967.0,268641.3053,108.3799,17.9127,0.9
2021-01-31,965.7,9873583.0,258688.8369,104.3647,17.2491,0.9
2021-02-28,1196.83,9495905.0,320603.5871,129.3435,21.3775,0.9
2021-03-31,1212.64,12724557.0,324837.7166,80.3204,17.1425,0.9
2021-04-30,1184.36,11200343.0,317263.4939,78.4476,16.7428,0.5625
2021-05-31,1406.4,9731903.0,376742.2372,93.1545,19.8816,0.5625
2021-06-30,1492.16,8936280.0,399716.0399,98.8351,21.094,0.5625
2021-07-31,1561.31,6580218.0,418239.746,103.4153,22.0715,0.5625
2021-08-31,1530.83,11474181.0,410072.8453,101.3959,21.6405,1.3125
2021-09-30,1620.3,12834147.0,434067.959,107.3224,22.9054,1.3125
2021-10-31,1638.49,14275467.0,438940.2734,108.5271,23.1625,1.3125
2021-11-30,1648.28,12166774.0,441562.2818,109.1754,23.3009,1.6875
2021-12-31,1711.35,8759502.0,458459.669,113.3532,24.1925,1.6875
2022-01-31,1619.59,12764211.0,433877.0849,107.2752,22.8953,1.6875
2022-02-28,1456.31,13692466.0,390136.7615,96.4605,20.5872,1.6875
2022-03-31,1517.21,11252264.0,406451.4802,84.0096,17.4019,1.6875
2022-04-30,1615.05,9777103.0,432661.5178,89.4269,18.5241,1.6875
2022-05-31,1297.46,11307963.0,347581.8671,71.8418,14.8814,1.6875
2022-06-30,1241.63,8640407.0,332623.3596,68.75,14.241,1.6875
2022-07-31,1361.63,7089558.0,364770.5886,75.3945,15.6174,1.6875
2022-08-31,1569.3,8907692.0,420417.9369,86.8937,17.9993,2.25
2022-09-30,1674.34,25671587.0,448557.6483,92.7097,19.2041,2.25
2022-10-31,1523.36,11716174.0,409192.7959,84.3501,17.4724,2.25
2022-11-30,1413.49,11012165.0,379679.0994,78.2662,16.2122,2.25
2022-12-31,1472.93,15589447.0,395644.6997,81.5573,16.8939,2.25
2023-01-31,1539.53,11458069.0,413534.2304,85.245,17.6578,2.25
2023-02-28,1416.38,12423416.0,380454.7153,78.4261,16.2453,2.25
2023-03-31,1337.0,8467632.0,359133.6718,80.9583,13.2463,2.25
2023-04-30,1447.5,5531943.0,388815.2505,87.6494,14.3411,2.25
2023-05-31,1821.35,18215905.0,489235.6867,110.2868,18.045,2.25
2023-06-30,1982.55,12799784.0,532535.8721,120.0478,19.6421,2.25
2023-07-31,1969.35,13223677.0,529005.4007,119.2485,19.5113,2.25
2023-08-31,1954.05,38384050.0,524895.5256,118.3221,19.3597,3.1875
2023-09-30,1912.45,10160067.0,513720.9631,115.8031,18.9476,3.1875
2023-10-31,1850.75,13205953.0,497147.1528,112.067,18.3363,3.75
2023-11-30,1949.7,7441108.0,523742.0794,118.0587,19.3166,3.75
2023-12-31,1907.55,10347013.0,512419.451,115.5064,18.899,3.75
2024-01-31,1830.4,13921340.0,491694.8773,110.8348,18.1346,3.75
2024-02-29,2069.1,18842737.0,555816.1443,125.2886,20.4996,3.75
2024-03-31,1991.25,13816135.0,534903.5317,97.9464,16.7781,3.75
2024-04-30,2118.1,9337094.0,568978.8678,104.1859,17.847,3.75
2024-05-31,2096.85,17713575.0,563270.5438,103.1407,17.6679,3.75
2024-06-30,2380.8,13579025.0,639547.183,117.1077,20.0604,3.75
2024-07-31,2188.75,9692208.0,587957.3659,107.6611,18.4422,3.75
2024-08-31,1919.35,14403934.0,515589.2497,94.4097,16.1723,3.75
2024-09-30,1989.55,10435763.0,534446.8658,97.8628,16.7638,3.75
2024-10-31,1770.35,11728462.0,475563.8254,87.0807,14.9168,3.75
2024-11-30,1790.5,11738058.0,480990.4787,88.0718,15.0866,3.75
2024-12-31,1652.25,8077785.0,443851.7277,81.2715,13.9217,3.75
2025-01-31,1507.3,12711644.0,404913.124,74.1417,12.7004,3.75
2025-02-28,1337.25,10841501.0,359231.7887,65.7772,11.2676,3.75
2025-03-31,1294.25,11165414.0,347680.4954,66.3718,9.6124,3.75
2025-04-30,1345.1,11922009.0,361340.5713,68.9795,9.9901,3.75
2025-05-31,1498.1,24811910.0,402441.6845,76.8256,11.1264,3.75
2025-06-30,1506.8,16605514.0,404778.8066,77.2718,11.191,3.75
2025-07-31,1401.2,14220347.0,376410.9795,71.8564,10.4067,3.75
2025-08-31,1359.8,26972709.0,365289.5018,69.7333,10.0992,3.75
2025-09-30,1366.4,13582626.0,367062.491,70.0718,10.1483,3.75
2025-10-31,1450.1,10967893.0,389547.2176,74.3641,10.7699,3.75
2025-11-30,1440.8,21711913.0,387071.1549,73.8872,10.7008,3.75
2025-12-31,1388.5,11197814.0,373020.7513,71.2051,10.3124,3.75
2026-01-31,1476.6,9034356.0,396688.8307,75.7231,10.9667,3.75
2026-02-28,1667.9,14652524.0,448081.6069,85.5333,12.3875,3.75
2026-03-31,1663.4,1826422.0,446872.6877,85.3026,12.3541,3.75
