NTCPH IN Equity,price,volume,mc,pe,bm,div
2005-11-30,24.04,5079910.0,3233.1516,,,0.25
2005-12-31,28.47,30536260.0,3839.279,,,0.25
2006-01-31,31.48,28587700.0,4245.1881,,,0.25
2006-02-28,27.41,10824790.0,3696.3343,,,0.25
2006-03-31,26.74,9693405.0,3633.2173,15.2699,2.4574,0.25
2006-04-30,24.23,7733400.0,3262.2868,13.8365,2.2267,0.25
2006-05-31,21.15,7206615.0,2873.6928,12.0777,1.9437,0.25
2006-06-30,22.91,6991805.0,3112.8276,13.0827,2.1054,0.25
2006-07-31,19.61,4399725.0,2664.45,11.1983,1.8021,0.25
2006-08-31,21.63,4680935.0,2938.9114,12.3518,1.9878,0.25
2006-09-30,21.86,7720495.0,2970.162,12.4831,2.0089,0.25
2006-10-31,22.05,6717950.0,2996.2973,12.5916,2.0264,0.25
2006-11-30,24.83,8127810.0,3374.0617,14.1792,2.2819,0.25
2006-12-31,28.16,7894330.0,3826.5638,16.0807,2.5879,0.25
2007-01-31,31.19,8889360.0,4238.2999,17.811,2.8663,0.25
2007-02-28,29.55,4736565.0,4015.446,16.8745,2.7156,0.25
2007-03-31,28.98,3020915.0,3973.3609,13.1497,2.2217,0.25
2007-04-30,27.91,3165820.0,3862.6323,12.6642,2.1396,0.25
2007-05-31,28.65,3141475.0,4005.6426,12.9999,2.1964,0.25
2007-06-30,29.62,6819750.0,4141.2612,13.4401,2.2707,0.25
2007-07-31,24.11,8664375.0,3370.8915,10.9399,1.8483,0.25
2007-08-31,22.04,2341300.0,3027.1721,10.0006,1.6896,0.25
2007-09-30,23.23,2857215.0,3190.6404,10.5406,1.7809,0.25
2007-10-31,26.53,7741020.0,3643.8954,12.038,2.0338,0.25
2007-11-30,26.79,5327450.0,3679.6064,12.156,2.0538,0.25
2007-12-31,33.5,10436340.0,4679.2801,15.2006,2.5682,0.25
2008-01-31,23.37,8372705.0,3264.3217,10.6041,1.7916,0.25
2008-02-29,21.93,2243095.0,3074.6737,9.9507,1.6812,0.25
2008-03-31,17.07,5879470.0,2393.2823,5.9073,1.0964,0.25
2008-04-30,19.1,7444440.0,2677.9155,6.6099,1.2268,0.25
2008-05-31,17.05,5088565.0,2390.4953,5.9004,1.0951,0.25
2008-06-30,14.87,38517300.0,2084.8484,5.146,0.9551,0.25
2008-07-31,14.57,12815350.0,2042.7869,5.0422,0.9358,0.25
2008-08-31,15.46,13257500.0,2167.5693,5.3502,0.993,0.25
2008-09-30,12.71,5336645.0,1782.0056,4.3985,0.8164,0.25
2008-10-31,8.71,4704795.0,1221.1856,3.0142,0.5594,0.25
2008-11-30,10.25,2745195.0,1437.1013,3.5472,0.6584,0.25
2008-12-31,10.98,1765440.0,1539.4509,3.7998,0.7053,0.0
2009-01-31,9.55,1569035.0,1338.9578,3.3049,0.6134,0.0
2009-02-28,10.25,1134505.0,1437.1013,3.5472,0.6584,0.0
2009-03-31,9.47,4224990.0,1327.7414,3.0198,0.5124,0.0
2009-04-30,12.6,5580165.0,1766.583,4.0179,0.6818,0.0
2009-05-31,17.14,6214810.0,2403.1137,5.4656,0.9274,0.0
2009-06-30,16.41,6479895.0,2300.7641,5.2328,0.8879,0.5
2009-07-31,15.63,7455545.0,2199.7584,4.9841,0.8457,0.5
2009-08-31,21.09,105132495.0,2968.196,6.7251,1.1411,0.5
2009-09-30,27.11,156639735.0,3815.4478,8.6448,1.4669,0.5
2009-10-31,22.27,89421445.0,3134.2686,7.1014,1.205,0.5
2009-11-30,21.84,29025995.0,3073.7506,6.9643,1.1817,0.5
2009-12-31,24.39,23783150.0,3432.6364,7.7774,1.3197,0.5
2010-01-31,22.44,37436790.0,3158.1943,7.1556,1.2142,0.5
2010-02-28,24.68,18477440.0,3473.4508,7.8699,1.3354,1.2
2010-03-31,26.66,64337185.0,3752.115,7.6963,1.2272,1.2
2010-04-30,33.89,80442990.0,4769.6616,9.7835,1.5601,1.2
2010-05-31,33.9,11005230.0,4771.069,9.7864,1.5605,1.2
2010-06-30,40.14,25531975.0,5649.2835,11.5878,1.8478,1.2
2010-07-31,39.07,13449245.0,5498.6922,11.2789,1.7985,1.2
2010-08-31,50.26,105279610.0,7073.5672,14.5092,2.3136,1.2
2010-09-30,58.25,70430350.0,8198.0758,16.8158,2.6814,1.2
2010-10-31,53.97,25631950.0,7595.7107,15.5803,2.4844,1.2
2010-11-30,63.32,53786385.0,8911.625,18.2794,2.9148,1.2
2010-12-31,62.04,18366670.0,8731.4785,17.9099,2.8559,1.2
2011-01-31,55.92,12723890.0,7870.1527,16.1432,2.5742,1.2
2011-02-28,46.59,6281210.0,6557.0532,13.4498,2.1447,1.2
2011-03-31,55.04,7243570.0,7746.302,14.4766,2.198,1.2
2011-04-30,55.04,7646385.0,7746.302,14.4766,2.198,0.4
2011-05-31,55.94,3561950.0,7872.9675,14.7133,2.2339,0.4
2011-06-30,53.12,3196055.0,7476.0821,13.9716,2.1213,0.4
2011-07-31,56.01,2211820.0,7882.8476,14.7317,2.2367,0.4
2011-08-31,51.11,2131975.0,7193.2216,13.4429,2.041,0.4
2011-09-30,46.45,1503790.0,6537.3732,12.2173,1.8549,0.4
2011-10-31,47.18,9053590.0,6640.1134,12.4093,1.8841,0.4
2011-11-30,42.99,6202990.0,6050.4128,11.3072,1.7168,0.4
2011-12-31,46.44,24303490.0,7232.5658,12.2146,1.8545,0.4
2012-01-31,55.89,3781360.0,8704.3088,14.7002,2.2319,0.4
2012-02-29,56.06,4590215.0,8730.7846,14.7449,2.2387,1.0
2012-03-31,70.78,30960070.0,11023.2775,17.2382,2.3274,1.0
2012-04-30,85.62,15917240.0,13334.4591,20.8524,2.8154,0.6
2012-05-31,77.97,16893135.0,12143.0481,18.9893,2.5638,0.6
2012-06-30,67.46,10956465.0,10506.2206,16.4296,2.2182,0.6
2012-07-31,69.49,7725625.0,10822.3728,16.924,2.285,0.6
2012-08-31,70.32,4385960.0,10951.6371,17.1262,2.3123,0.6
2012-09-30,73.34,6646730.0,11421.9719,17.8617,2.4116,0.6
2012-10-31,75.1,3721295.0,11696.0743,18.2903,2.4694,0.6
2012-11-30,88.25,8009355.0,13744.0553,21.4929,2.9018,0.6
2012-12-31,91.91,10458300.0,14314.0637,22.3843,3.0222,0.6
2013-01-31,92.39,9391685.0,14492.8037,22.5012,3.038,0.6
2013-02-28,82.95,3737155.0,13011.9933,20.2021,2.7276,1.4
2013-03-31,85.8,7397815.0,13459.06,18.6441,2.5226,1.4
2013-04-30,88.51,7237485.0,13884.1655,19.2329,2.6023,0.8
2013-05-31,88.38,5994505.0,13863.773,19.2047,2.5984,0.8
2013-06-30,89.01,6758300.0,13962.5864,19.3416,2.617,0.8
2013-07-31,121.42,15344710.0,19046.593,26.3842,3.5698,0.8
2013-08-31,116.7,9080820.0,18306.1884,25.3585,3.4311,0.8
2013-09-30,122.67,6599410.0,19242.6747,26.6558,3.6066,0.8
2013-10-31,134.89,12419755.0,21159.5695,29.3112,3.9659,0.8
2013-11-30,155.48,11524725.0,24389.4274,33.7853,4.5712,0.8
2013-12-31,161.72,8590445.0,26742.8879,35.1412,4.7547,0.8
2014-01-31,148.61,7346055.0,24574.9479,32.2925,4.3692,0.8
2014-02-28,168.58,9523015.0,27877.2944,36.6319,4.9564,1.0
2014-03-31,159.71,4249300.0,26410.5035,24.8305,3.6384,1.0
2014-04-30,160.4,30929695.0,26524.6056,24.9378,3.6542,1.0
2014-05-31,151.1,6812035.0,24986.7077,23.4919,3.4423,1.0
2014-06-30,200.95,23633160.0,33230.1714,31.2422,4.5779,1.0
2014-07-31,215.82,4472435.0,35689.1545,33.5541,4.9167,1.0
2014-08-31,240.85,2698410.0,39828.2498,37.4456,5.4869,1.0
2014-09-30,290.75,6511810.0,48079.9818,45.2037,6.6237,1.0
2014-10-31,288.37,4556775.0,47686.4122,44.8336,6.5695,1.0
2014-11-30,272.62,3546665.0,45081.9076,42.385,6.2107,1.0
2014-12-31,306.05,5915575.0,50610.072,47.5824,6.9723,1.0
2015-01-31,276.22,8358280.0,45900.6486,42.9447,6.2927,1.0
2015-02-28,274.78,4752065.0,45661.5673,42.7208,6.2599,1.0
2015-03-31,421.79,34053375.0,70090.6307,51.8935,8.2844,1.0
2015-04-30,427.59,28012285.0,71054.4413,52.607,8.3984,1.0
2015-05-31,442.66,13518550.0,73558.6912,54.4611,8.6944,1.0
2015-06-30,456.69,10888890.0,75890.1116,56.1873,8.9699,1.0
2015-07-31,462.59,7397615.0,76870.5397,56.9131,9.0858,1.0
2015-08-31,450.26,12637940.0,74821.6154,55.3962,8.8436,1.0
2015-09-30,494.3,5610670.0,86094.3231,60.8145,9.7086,1.0
2015-10-31,512.1,5775640.0,89194.6245,63.0044,10.0582,1.0
2015-11-30,528.85,4466784.0,92112.0469,65.0652,10.3872,1.0
2015-12-31,579.3,8706716.0,100899.1373,71.2721,11.3781,1.0
2016-01-31,529.05,6398742.0,92146.8817,65.0898,10.3912,1.0
2016-02-29,415.95,4853418.0,72447.7752,51.175,8.1697,1.25
2016-03-31,412.7,17701566.0,71881.7089,45.4125,5.5477,1.25
2016-04-30,489.7,6187947.0,85293.1254,53.8854,6.5828,1.25
2016-05-31,482.4,4230289.0,84021.6534,53.0821,6.4847,1.25
2016-06-30,579.95,14198484.0,101012.3506,63.8163,7.796,1.25
2016-07-31,632.15,7583489.0,110104.2459,69.5603,8.4977,1.25
2016-08-31,688.9,8056223.0,119988.634,75.8049,9.2605,2.0
2016-09-30,596.85,4039370.0,103955.8952,65.6759,8.0231,2.0
2016-10-31,595.8,4547981.0,103773.0123,65.5604,8.009,2.0
2016-11-30,603.8,8422244.0,105166.4062,66.4407,8.1166,2.0
2016-12-31,579.65,4305379.0,101037.5164,63.7833,7.7919,2.0
2017-01-31,690.9,8681601.0,120429.2592,76.025,9.2874,2.0
2017-02-28,804.1,10819363.0,140160.9022,88.4812,10.8091,6.75
2017-03-31,849.2,6872907.0,148022.184,30.4429,8.9748,6.75
2017-04-30,923.95,8247623.0,161051.6921,33.1226,9.7649,6.75
2017-05-31,933.7,6511111.0,162751.1931,33.4722,9.8679,6.75
2017-06-30,1001.7,10866547.0,174604.1236,35.9099,10.5866,6.75
2017-07-31,972.85,4582159.0,169575.3435,34.8756,10.2817,6.75
2017-08-31,719.0,18364763.0,125327.3084,25.7754,7.5988,7.25
2017-09-30,787.05,7807538.0,137188.9542,28.2149,8.318,7.25
2017-10-31,968.15,8482864.0,168756.0969,34.7071,10.232,7.25
2017-11-30,940.6,6384457.0,164120.876,33.7195,9.9408,7.25
