NAVA IN Equity,price,volume,mc,pe,bm,div
2010-09-30,101.99,12699191.0,28900.2208,5.8152,1.8029,2.4255
2010-10-31,102.64,6697898.0,29083.4961,5.852,1.8144,2.4255
2010-11-30,86.72,4339244.0,24574.1606,4.9447,1.533,2.4255
2010-12-31,87.88,5324478.0,24902.5288,5.0108,1.5535,2.4255
2011-01-31,78.57,4328925.0,22264.1284,4.4799,1.3889,2.4255
2011-02-28,61.46,8393825.0,17414.9699,3.5041,1.0864,2.4255
2011-03-31,67.55,2619639.0,19140.8121,5.5737,1.0126,2.4255
2011-04-30,66.05,1948512.0,18716.988,5.4503,0.9902,2.4255
2011-05-31,62.31,1364845.0,17655.5187,5.1412,0.934,2.4255
2011-06-30,56.63,2386320.0,16048.0418,4.6731,0.849,2.4255
2011-07-31,62.12,3059466.0,17602.0634,5.1256,0.9312,1.617
2011-08-31,44.4,3311063.0,12581.0844,3.6636,0.6656,1.617
2011-09-30,50.22,1708893.0,16638.7623,4.1439,0.7528,1.617
2011-10-31,46.77,896048.0,15495.8798,3.8592,0.7011,1.617
2011-11-30,49.49,1123682.0,16397.6855,4.0838,0.7419,1.617
2011-12-31,49.87,1447971.0,16522.6883,4.115,0.7476,1.617
2012-01-31,49.34,931696.0,16348.5773,4.0716,0.7397,1.617
2012-02-29,53.94,6349634.0,17870.9325,4.4507,0.8086,1.617
2012-03-31,58.55,38194654.0,19397.7521,6.4428,0.8388,1.617
2012-04-30,55.92,1284008.0,18527.1971,6.1536,0.8012,1.617
2012-05-31,47.69,6648628.0,15799.458,5.2476,0.6832,1.617
2012-06-30,49.65,633405.0,16451.2581,5.4641,0.7114,1.617
2012-07-31,52.59,914089.0,17424.494,5.7874,0.7535,1.078
2012-08-31,41.58,1960760.0,13777.0916,4.5759,0.5958,1.078
2012-09-30,44.75,3043187.0,14826.2221,4.9244,0.6411,1.078
2012-10-31,48.21,2988849.0,15973.569,5.3055,0.6907,1.078
2012-11-30,49.86,20260015.0,16518.2239,5.4864,0.7143,1.078
2012-12-31,48.51,775463.0,16071.7854,5.3381,0.695,1.078
2013-01-31,52.93,1884380.0,17536.1037,5.8244,0.7583,1.078
2013-02-28,46.58,1001947.0,15433.3784,5.126,0.6674,1.078
2013-03-31,45.11,387262.0,14946.7605,7.8518,0.6074,1.078
2013-04-30,44.25,214735.0,14661.0398,7.7017,0.5958,1.078
2013-05-31,46.39,2066462.0,15370.877,8.0746,0.6247,1.078
2013-06-30,46.14,778576.0,15286.0602,8.03,0.6212,1.078
2013-07-31,48.54,450551.0,16080.7211,8.4475,0.6535,1.078
2013-08-31,44.9,747663.0,14875.3366,7.8143,0.6045,1.3475
2013-09-30,44.48,303420.0,14736.9407,7.7416,0.5989,1.3475
2013-10-31,42.14,343877.0,13960.1374,7.3335,0.5673,1.3475
2013-11-30,43.15,1493430.0,14294.9664,7.5094,0.5809,1.3475
2013-12-31,45.81,656656.0,15178.9149,7.9737,0.6169,1.3475
2014-01-31,41.91,328626.0,13884.2428,7.2936,0.5643,1.3475
2014-02-28,41.6,185874.0,13781.5619,7.2397,0.5601,1.3475
2014-03-31,42.5,777088.0,14080.6758,5.0303,0.4651,1.3475
2014-04-30,43.98,794213.0,14571.7583,5.2057,0.4813,1.3475
2014-05-31,60.76,3154800.0,20129.9199,7.1914,0.6649,1.3475
2014-06-30,65.29,2560747.0,21629.9538,7.7273,0.7145,1.3475
2014-07-31,60.92,4554324.0,20183.4925,7.2105,0.6667,1.3475
2014-08-31,54.68,1513582.0,18116.4814,6.4721,0.5984,1.3475
2014-09-30,57.66,2011199.0,19103.1109,6.8246,0.631,1.3475
2014-10-31,58.48,917737.0,19375.4385,6.9219,0.64,1.3475
2014-11-30,56.16,1739376.0,18607.564,6.6475,0.6147,1.3475
2014-12-31,52.7,1081232.0,17460.2166,6.2376,0.5768,1.3475
2015-01-31,52.15,718256.0,17277.1767,6.1722,0.5707,1.3475
2015-02-28,51.99,1176314.0,17223.6556,6.1531,0.5689,1.3475
2015-03-31,47.94,8061095.0,15884.2881,7.708,0.5455,1.3475
2015-04-30,44.37,2272945.0,14701.2256,7.1339,0.5049,1.3475
2015-05-31,41.06,991445.0,13602.9864,6.601,0.4671,1.3475
2015-06-30,38.66,2743619.0,12808.3256,6.2153,0.4399,1.3475
2015-07-31,45.52,3162303.0,15080.6984,7.318,0.5179,1.3475
2015-08-31,40.56,2229189.0,13437.8041,6.5208,0.4615,1.3475
2015-09-30,40.26,2329488.0,13339.5876,6.4731,0.4581,1.3475
2015-10-31,40.6,1380578.0,13451.1973,6.5273,0.4619,1.3475
2015-11-30,44.14,4776258.0,14625.331,7.0971,0.5023,1.3475
2015-12-31,44.24,5595971.0,14656.5817,7.1122,0.5033,1.3475
2016-01-31,42.19,2206001.0,13977.9949,6.7829,0.48,1.3475
2016-02-29,36.56,1537023.0,12111.8813,5.8774,0.4159,1.3475
2016-03-31,43.47,2582547.0,14402.1117,10.1574,0.4469,1.3475
2016-04-30,42.88,1828220.0,14205.6786,10.0189,0.4408,1.3475
2016-05-31,48.74,7901793.0,16147.6869,11.3885,0.5011,1.3475
2016-06-30,64.57,51825441.0,21393.3413,15.0882,0.6639,1.3475
2016-07-31,63.21,39972969.0,20942.4382,14.7702,0.6499,0.8085
2016-08-31,64.33,36354560.0,21312.9823,15.0315,0.6614,0.8085
2016-09-30,71.31,46814441.0,23625.5347,16.6625,0.7332,0.8085
2016-10-31,75.97,30702842.0,25170.2125,17.7519,0.7811,0.8085
2016-11-30,67.48,31152265.0,22357.6488,15.7683,0.6938,0.8085
2016-12-31,59.59,6305858.0,19741.5182,13.9232,0.6126,0.8085
2017-01-31,61.12,12001534.0,20250.4583,14.2821,0.6284,0.8085
2017-02-28,60.69,7602534.0,20107.5979,14.1814,0.624,0.8085
2017-03-31,67.51,13807713.0,22366.5776,23.8571,0.7073,0.8085
2017-04-30,80.98,25109468.0,26830.9644,28.619,0.8485,0.8085
2017-05-31,78.53,9977873.0,26018.446,27.7524,0.8228,0.8085
2017-06-30,72.09,5369067.0,23884.4691,25.4762,0.7553,0.8085
2017-07-31,74.11,22901471.0,24554.1271,26.1905,0.7765,0.8085
2017-08-31,65.51,8661959.0,21705.8484,23.1524,0.6864,0.539
2017-09-30,66.86,16074800.0,22152.287,23.6286,0.7005,0.539
2017-10-31,76.05,25192462.0,25196.9988,26.8762,0.7968,0.539
2017-11-30,74.92,20197413.0,24821.9912,26.4762,0.785,0.539
2017-12-31,78.99,26665955.0,26170.236,27.9143,0.8276,0.539
2018-01-31,84.86,54715868.0,28116.7087,29.9905,0.8891,0.539
2018-02-28,84.24,12316634.0,27911.3478,29.7714,0.8826,0.539
2018-03-31,72.6,8322599.0,24054.1174,9.3868,0.7107,0.539
2018-04-30,80.71,10093849.0,26741.6784,10.4355,0.7901,0.539
2018-05-31,77.34,36216234.0,25625.5817,10.0,0.7571,0.539
2018-06-30,69.99,23436743.0,23188.0263,9.0488,0.6851,0.539
2018-07-31,71.66,9732454.0,23741.6103,9.2648,0.7014,0.8085
2018-08-31,69.8,23996469.0,23125.5249,9.0244,0.6832,0.8085
2018-09-30,64.36,14200858.0,21321.9126,8.3206,0.63,0.8085
2018-10-31,62.36,6358369.0,20661.1833,8.0627,0.6104,0.8085
2018-11-30,64.17,6999978.0,21259.4111,8.2962,0.6281,0.8085
2018-12-31,65.06,4901552.0,21554.0607,8.4111,0.6368,0.8085
2019-01-31,57.35,9224278.0,19000.4313,7.4146,0.5614,0.8085
2019-02-28,54.63,6322916.0,18098.6251,7.0627,0.5347,0.8085
2019-03-31,55.65,6997232.0,18437.9185,6.2462,0.4998,0.8085
2019-04-30,54.92,5067279.0,18196.8416,6.1645,0.4932,0.8085
2019-05-31,51.1,10584893.0,16928.9557,5.735,0.4589,0.8085
2019-06-30,50.72,4944178.0,16803.9529,5.6927,0.4555,0.8085
2019-07-31,48.24,5711436.0,15982.5056,5.4144,0.4332,0.8085
2019-08-31,44.25,4341227.0,14467.4173,4.9667,0.3974,0.8085
2019-09-30,44.25,4023434.0,14467.4173,4.9667,0.3974,0.8085
2019-10-31,39.72,2884895.0,12987.1944,4.4586,0.3567,0.8085
2019-11-30,37.97,3768742.0,12414.4891,4.2619,0.341,0.8085
2019-12-31,40.15,7330380.0,13128.168,4.507,0.3606,0.8085
2020-01-31,38.43,12578561.0,12564.2735,4.3134,0.3451,0.8085
2020-02-29,34.95,3169361.0,11427.6737,3.9232,0.3139,0.8085
2020-03-31,18.43,16153049.0,6026.6221,1.4103,0.144,0.8085
2020-04-30,20.37,3478096.0,6661.0034,1.5588,0.1592,0.8085
2020-05-31,20.27,2896156.0,6625.76,1.5505,0.1583,0.8085
2020-06-30,27.54,35889745.0,9004.6897,2.1072,0.2152,0.8085
2020-07-31,24.9,16635769.0,8141.2263,1.9052,0.1945,0.8085
2020-08-31,33.12,65770700.0,10828.5359,2.534,0.2587,0.8085
2020-09-30,30.61,14930573.0,10009.1267,2.3423,0.2392,0.8085
2020-10-31,28.46,8101283.0,9304.2585,2.1773,0.2223,0.8085
2020-11-30,29.05,45822192.0,9498.0972,2.2227,0.2269,0.8085
2020-12-31,34.14,100006029.0,11163.348,2.6124,0.2667,0.8085
2021-01-31,31.1,40960171.0,10167.7219,2.3794,0.2429,0.8085
2021-02-28,39.13,84933537.0,12793.3554,2.9938,0.3057,0.8085
2021-03-31,37.46,84187388.0,11755.287,2.6496,0.233,0.8085
2021-04-30,39.15,56732810.0,12245.6345,2.7692,0.2436,0.8085
2021-05-31,43.18,62202982.0,13504.6045,3.0539,0.2686,0.0
2021-06-30,53.63,79555890.0,16773.2349,3.7931,0.3336,0.0
2021-07-31,62.13,62520154.0,19431.9295,4.3943,0.3865,0.0
2021-08-31,54.43,53266208.0,17023.465,3.8496,0.3386,1.25
2021-09-30,61.05,25692262.0,19095.6829,4.3182,0.3798,1.25
2021-10-31,57.43,20376614.0,17961.8278,4.0618,0.3572,1.25
2021-11-30,54.43,13349208.0,15794.2044,3.8496,0.3386,1.25
2021-12-31,55.08,9966344.0,15982.8353,3.8956,0.3426,1.25
2022-01-31,66.03,39719348.0,19160.5392,4.6701,0.4108,1.25
2022-02-28,62.95,39891296.0,18268.1703,4.4526,0.3916,1.25
2022-03-31,70.45,47456438.0,20444.6799,4.0097,0.4128,1.25
2022-04-30,82.53,42141390.0,23948.8603,4.6969,0.4835,1.25
2022-05-31,92.7,95098818.0,26901.6583,5.276,0.5431,1.25
2022-06-30,88.73,55644750.0,25748.1082,5.0498,0.5198,1.25
2022-07-31,100.13,48467858.0,29056.4028,5.6986,0.5866,1.25
2022-08-31,114.03,80274274.0,33090.2005,6.4898,0.6681,3.0
2022-09-30,93.6,34637734.0,27162.8394,5.3273,0.5484,3.0
2022-10-31,98.65,25047898.0,28628.3559,5.6147,0.578,3.0
2022-11-30,91.38,16249512.0,26517.1416,5.2006,0.5353,3.0
2022-12-31,122.8,63498860.0,35636.7167,6.9892,0.7195,3.0
2023-01-31,116.28,33234468.0,33743.1534,6.6178,0.6812,3.0
2023-02-28,115.55,54221494.0,33532.7574,6.5766,0.677,3.0
2023-03-31,109.03,26522612.0,31639.1941,3.4161,0.5251,3.0
2023-04-30,117.2,12554326.0,34011.5895,3.6723,0.5645,3.0
2023-05-31,120.35,24009724.0,34925.7236,3.771,0.5796,3.0
2023-06-30,153.05,67982938.0,44415.3053,4.7956,0.7371,3.0
2023-07-31,186.18,29363988.0,54028.2226,5.8335,0.8967,3.0
2023-08-31,212.5,46346576.0,61667.7712,6.6583,1.0235,3.0
2023-09-30,226.08,35320958.0,65607.2535,7.0837,1.0888,3.0
2023-10-31,206.45,16968418.0,59912.0534,6.4687,0.9943,3.0
2023-11-30,191.15,19002004.0,55471.9739,5.9893,0.9206,3.0
2023-12-31,219.13,27950790.0,63590.3546,6.8659,1.0554,3.0
2024-01-31,237.13,22308926.0,68813.9776,7.4299,1.1421,3.0
2024-02-29,250.55,28004442.0,72709.9297,7.8505,1.2067,3.0
2024-03-31,242.83,16761250.0,70468.1248,7.4727,1.0217,3.0
2024-04-30,251.45,9648444.0,72971.1109,7.7381,1.058,3.0
2024-05-31,243.33,19093176.0,70613.2255,7.4881,1.0239,3.0
2024-06-30,373.1,26860258.0,108274.0961,11.4818,1.5699,3.0
2024-07-31,457.45,18028438.0,132752.5737,14.0776,1.9248,3.0
2024-08-31,476.23,20515364.0,138201.1027,14.6553,2.0038,4.0
2024-09-30,574.7,33829046.0,166778.6733,17.6858,2.4182,4.0
2024-10-31,481.1,9283246.0,139615.8339,14.8054,2.0243,4.0
2024-11-30,529.7,9120590.0,153719.6159,16.301,2.2288,4.0
2024-12-31,494.23,5750564.0,143424.7256,15.2093,2.0796,4.0
2025-01-31,441.45,7827691.0,128109.3533,13.5852,1.8575,4.0
2025-02-28,397.9,11669749.0,115471.0877,12.245,1.6743,4.0
2025-03-31,518.75,11964952.0,146806.9119,13.7636,1.9322,4.0
2025-04-30,454.95,14604389.0,128751.4305,12.0708,1.6946,4.0
2025-05-31,492.4,9973443.0,139349.8283,13.0645,1.8341,4.0
2025-06-30,606.75,56708207.0,171711.0242,16.0984,2.26,4.0
2025-07-31,629.55,15070608.0,178163.4533,16.7034,2.345,4.0
2025-08-31,687.6,37374761.0,194591.6774,18.2436,2.5612,12.0
2025-09-30,650.95,14117128.0,184219.6806,17.2712,2.4247,12.0
2025-10-31,618.8,5899086.0,175121.1896,16.4181,2.3049,6.0
2025-11-30,522.0,7874934.0,147726.6661,13.8498,1.9443,9.0
2025-12-31,567.4,9423779.0,160574.924,15.0544,2.1135,9.0
2026-01-31,563.9,9403139.0,159584.4195,14.9615,2.1004,9.0
2026-02-28,595.6,6315079.0,168555.56,15.8026,2.2185,9.0
2026-03-31,576.65,982813.0,163192.6927,15.2998,2.1479,9.0
