NMDC IN Equity,price,volume,mc,pe,bm,div
2006-07-31,25.28,720000.0,419599.0974,507.0845,7.5123,0.3328
2006-08-31,20.3,423000.0,337000.8499,407.2647,6.0335,0.3328
2006-09-30,19.79,288000.0,328410.6322,396.8835,5.8797,0.3328
2006-10-31,19.71,297000.0,327089.0602,395.2864,5.8561,0.3074
2006-11-30,18.94,297000.0,314269.8122,379.7943,5.6266,0.3074
2006-12-31,17.92,162000.0,297353.6911,359.3512,5.3237,0.3074
2007-01-31,19.83,315000.0,329071.4182,397.682,5.8916,0.3903
2007-02-28,19.51,414000.0,323785.1303,391.2936,5.7969,0.3903
2007-03-31,15.77,414000.0,261671.2482,243.4823,3.2446,0.3903
2007-04-30,15.89,531000.0,263653.6061,245.3269,3.2692,0.3903
2007-05-31,16.16,288000.0,268279.108,249.6309,3.3266,0.3903
2007-06-30,18.19,594000.0,301979.193,280.9884,3.7445,0.3903
2007-07-31,28.16,3915000.0,467440.0024,434.948,5.7961,0.3903
2007-08-31,39.4,1620000.0,653847.7274,608.3984,8.1075,0.3911
2007-09-30,41.8,3195000.0,693824.2378,645.5971,8.6032,0.3911
2007-10-31,122.28,6993000.0,2029535.013,1888.4636,25.1657,0.3911
2007-11-30,77.59,3888000.0,1287783.991,1198.2711,15.9682,0.4167
2007-12-31,110.08,2313000.0,1827024.288,1700.0293,22.6546,0.4167
2008-01-31,85.1,3771000.0,1412493.991,1314.3127,17.5145,0.4167
2008-02-29,83.98,1755000.0,1393820.232,1296.9369,17.283,0.4622
2008-03-31,82.53,6822000.0,1369787.457,896.2067,11.8225,0.4622
2008-04-30,112.58,9135315.0,1868435.673,1222.4558,16.1263,0.4622
2008-05-31,98.73,13429965.0,1638614.627,1072.0915,14.1428,0.4622
2008-06-30,65.13,2623629.0,1080978.171,707.2483,9.3298,0.4622
2008-07-31,78.76,8529507.0,1307164.874,855.2348,11.2821,0.4622
2008-08-31,72.62,12503655.0,1205271.828,788.5696,10.4026,0.5478
2008-09-30,51.48,9175872.0,854394.9966,559.0024,7.3742,0.5478
2008-10-31,34.33,3258567.0,569728.8214,372.7548,4.9173,0.5478
2008-11-30,30.3,6575469.0,502923.4585,329.0462,4.3407,0.5478
2008-12-31,39.59,11079462.0,657150.676,429.952,5.6718,0.4367
2009-01-31,39.73,12309366.0,659331.2665,431.3787,5.6906,0.4367
2009-02-28,36.24,3900048.0,601446.5011,393.5066,5.191,0.78
2009-03-31,37.22,7229331.0,617701.8119,10.1779,3.807,0.78
2009-04-30,47.29,23558709.0,784814.3368,12.9314,4.8369,0.5233
2009-05-31,107.18,42224115.0,1778965.36,29.3121,10.9641,0.5233
2009-06-30,85.67,20596956.0,1421943.228,23.4295,8.7637,0.5233
2009-07-31,85.7,31676676.0,1422339.699,23.436,8.7661,0.5233
2009-08-31,89.83,14641044.0,1490929.181,24.5661,9.1888,0.7867
2009-09-30,85.77,7681206.0,1423529.112,23.4556,8.7735,0.7867
2009-10-31,71.78,5508699.0,1191395.343,19.6307,7.3428,0.7867
2009-11-30,97.94,83342100.0,1625531.084,26.784,10.0184,0.7867
2009-12-31,101.2,30488886.0,1679649.375,27.6757,10.352,0.7867
2010-01-31,118.82,192815544.0,1972046.735,32.4936,12.1541,0.7867
2010-02-28,103.55,124762785.0,1718701.768,28.3192,10.5927,0.6433
2010-03-31,70.33,310020993.0,1167210.613,19.2322,7.1937,0.6433
2010-04-30,71.51,127556727.0,1186835.927,19.5556,7.3147,0.6433
2010-05-31,67.14,47482755.0,1114281.735,18.3601,6.8675,0.6433
2010-06-30,63.43,40671345.0,1052828.73,17.3475,6.4888,0.6433
2010-07-31,62.31,42747468.0,1034194.593,17.0405,6.3739,0.5833
2010-08-31,57.45,33506049.0,953512.7456,15.7111,5.8767,0.5833
2010-09-30,62.49,43835112.0,1037168.126,17.0895,6.3922,0.5833
2010-10-31,66.24,58174056.0,1099414.072,18.1151,6.7759,0.5833
2010-11-30,58.27,37408098.0,967190.995,15.9365,5.961,0.5833
2010-12-31,66.55,24173232.0,1104568.195,18.2,6.8076,0.5833
2011-01-31,62.83,18215733.0,1042718.72,17.1809,6.4265,0.5833
2011-02-28,62.84,21737925.0,1042916.955,17.1842,6.4277,0.7167
2011-03-31,67.96,25354773.0,1127959.984,18.5855,6.9518,0.7167
2011-04-30,65.21,22049217.0,1082365.819,17.8342,6.6708,0.7167
2011-05-31,64.11,15521031.0,1064128.154,17.5337,6.5584,0.7167
2011-06-30,60.85,12174630.0,1010009.863,16.642,6.2249,0.7167
2011-07-31,57.32,12123489.0,951332.1551,15.6752,5.8632,0.7167
2011-08-31,52.66,22404852.0,874020.3109,14.4013,5.3867,0.7167
2011-09-30,54.26,21997509.0,900583.8676,14.839,5.5505,1.1
2011-10-31,56.6,13794726.0,939438.0252,15.4792,5.7899,1.1
2011-11-30,44.18,19866288.0,733273.1073,12.0822,4.5193,1.05
2011-12-31,38.44,26105859.0,637921.8327,10.5111,3.9316,1.05
2012-01-31,42.66,50583162.0,708097.199,11.6674,4.3641,1.05
2012-02-29,42.97,41324331.0,713251.322,11.7523,4.3959,1.0
2012-03-31,38.46,66714258.0,638319.2864,10.5176,3.9341,1.0
2012-04-30,41.71,22497483.0,692239.4249,11.4061,4.2664,1.0
2012-05-31,39.73,28279629.0,659332.2815,10.8638,4.0636,1.0
2012-06-30,44.57,20215944.0,739816.0176,12.19,4.5596,1.0
2012-07-31,44.74,32976891.0,742591.3189,12.2357,4.5767,1.0
2012-08-31,45.41,29139471.0,753692.5239,12.4186,4.6451,1.0
2012-09-30,46.32,36219780.0,768758.4449,12.6669,4.738,1.75
2012-10-31,42.16,23245710.0,699772.3854,11.5302,4.3128,1.75
2012-11-30,38.88,23994906.0,645257.5395,10.6319,3.9768,1.8333
2012-12-31,39.44,597992205.0,654574.6222,10.7855,4.0342,1.8333
2013-01-31,36.89,311903157.0,612350.3962,10.0897,3.774,1.8333
2013-02-28,32.74,195868068.0,543364.3366,8.953,3.3488,1.8333
2013-03-31,32.75,311311653.0,543562.5724,6.1436,1.4159,1.8333
2013-04-30,30.04,187509708.0,498563.0451,5.635,1.2987,1.8333
2013-05-31,28.09,161024535.0,466250.6092,5.2698,1.2145,1.8333
2013-06-30,25.19,168875610.0,418079.309,4.7253,1.0891,1.8333
2013-07-31,23.39,116050590.0,388145.7027,4.387,1.0111,1.8333
2013-08-31,28.43,293974029.0,471801.2117,5.3325,1.229,1.8333
2013-09-30,28.69,201344142.0,476162.3993,5.3818,1.2404,2.3333
2013-10-31,33.16,244943700.0,550302.5897,6.2198,1.4335,2.3333
2013-11-30,31.65,154024833.0,525324.8785,5.9375,1.3684,2.6667
2013-12-31,33.9,161622102.0,562593.2095,6.3587,1.4655,2.6667
2014-01-31,34.64,211354113.0,574883.8293,6.4976,1.4975,2.6667
2014-02-28,30.46,171035964.0,505501.2982,5.7134,1.3168,4.1667
2014-03-31,33.26,152850540.0,552086.712,6.209,1.3212,4.1667
2014-04-30,35.88,146703120.0,595500.3529,6.6972,1.425,4.1667
2014-05-31,40.61,302595351.0,674001.731,7.5801,1.6129,4.1667
2014-06-30,43.6,249590556.0,723560.6818,8.1374,1.7315,4.1667
2014-07-31,40.62,194318256.0,674199.9668,7.5823,1.6134,4.1667
2014-08-31,40.5,102686175.0,672217.6087,7.56,1.6086,4.1667
2014-09-30,39.51,204445170.0,655764.0371,7.375,1.5693,2.8333
2014-10-31,40.82,143650137.0,677569.9754,7.6202,1.6214,2.8333
2014-11-30,33.43,201420027.0,554862.0132,6.2402,1.3278,2.8333
2014-12-31,34.64,202609533.0,574883.8293,6.4654,1.3757,2.8333
2015-01-31,33.8,167528367.0,561007.3231,6.3093,1.3425,2.8333
2015-02-28,33.23,133417686.0,551492.0046,6.2023,1.3197,2.4167
2015-03-31,30.76,180464121.0,510457.1933,5.7646,1.1337,2.4167
2015-04-30,30.64,111489291.0,508474.8353,5.7422,1.1293,2.4167
2015-05-31,30.83,129441636.0,511646.6081,5.778,1.1364,2.4167
2015-06-30,28.35,118458873.0,470611.7969,5.3146,1.0452,2.4167
2015-07-31,24.34,120123375.0,404004.567,4.5624,0.8973,2.4167
2015-08-31,24.13,188864856.0,400436.3225,4.5221,0.8894,2.4167
2015-09-30,22.24,144916644.0,369115.0656,4.1684,0.8198,2.85
2015-10-31,23.95,112048806.0,397462.7855,4.4885,0.8828,2.85
2015-11-30,22.68,127388169.0,376449.7903,4.2512,0.8361,1.85
2015-12-31,21.46,80487072.0,356229.7384,4.0229,0.7912,1.85
2016-01-31,19.29,92924844.0,320150.8222,3.6155,0.711,1.85
2016-02-29,19.44,305113032.0,322727.8876,3.6446,0.7168,9.5
2016-03-31,23.41,200129994.0,388542.1743,10.934,0.9542,5.5
2016-04-30,22.73,135099513.0,377242.7335,10.616,0.9265,5.5
2016-05-31,21.08,130754853.0,349886.1927,9.8461,0.8593,5.5
2016-06-30,22.42,145888716.0,372088.6026,10.4709,0.9138,5.5
2016-07-31,23.89,196307520.0,396471.6064,11.1571,0.9737,5.5
2016-08-31,25.8,175120962.0,428189.335,12.0497,1.0516,5.5
2016-09-30,25.27,204875421.0,419466.9596,11.8042,1.0302,3.6667
2016-10-31,31.76,262817106.0,527109.0008,14.8334,1.2945,3.6667
2016-11-30,29.17,431092113.0,386311.0155,13.6228,1.1889,3.6667
2016-12-31,29.48,255776490.0,390424.073,13.7679,1.2015,3.6667
2017-01-31,34.36,268124097.0,455125.6313,16.0495,1.4007,3.6667
2017-02-28,35.89,239879820.0,475374.5297,16.7635,1.463,0.5
2017-03-31,31.79,286450728.0,421113.8097,11.8609,1.3364,4.15
2017-04-30,30.46,131554482.0,403396.0236,11.3619,1.2802,4.15
2017-05-31,26.43,219277602.0,350084.4706,9.8604,1.111,4.15
2017-06-30,25.86,145583697.0,342491.1337,9.6465,1.0869,4.15
2017-07-31,30.28,172288902.0,401023.1058,11.2951,1.2726,4.15
2017-08-31,30.25,243564243.0,400706.7167,11.2862,1.2716,4.15
2017-09-30,28.13,245600448.0,372548.0923,10.4931,1.1823,2.575
2017-10-31,30.61,179274951.0,405452.5523,11.4198,1.2867,2.575
2017-11-30,30.48,194122812.0,403712.4189,11.3708,1.2812,1.7167
2017-12-31,32.92,206151051.0,435984.1013,12.2798,1.3836,1.7167
2018-01-31,33.51,532720599.0,443893.8273,12.5025,1.4087,1.7167
2018-02-28,30.9,259720686.0,409249.2328,11.5268,1.2987,1.7167
2018-03-31,28.32,308990370.0,375079.2157,7.0562,1.1008,1.7667
2018-04-30,29.86,179553501.0,395486.3093,7.4401,1.1607,1.7667
2018-05-31,28.06,144733188.0,371598.9362,6.9908,1.0906,1.7667
2018-06-30,25.82,138252186.0,342016.5602,6.4342,1.0038,1.7667
2018-07-31,25.13,152166573.0,332841.2779,6.2616,0.9769,1.7667
2018-08-31,26.63,339220515.0,352773.7879,6.6366,1.0354,1.7667
2018-09-30,27.04,275969121.0,358152.4017,6.7378,1.0512,1.4333
2018-10-31,26.07,194276523.0,345338.6452,6.4967,1.0135,1.4333
2018-11-30,22.9,233346180.0,303258.9019,5.7051,0.89,1.4333
2018-12-31,23.14,182817990.0,306422.7924,5.7646,0.8993,1.4333
2019-01-31,23.15,362774583.0,306580.9869,5.7676,0.8998,1.4333
2019-02-28,24.06,247710564.0,318603.7707,5.9938,0.9351,1.4333
2019-03-31,24.95,361174926.0,319810.1969,4.9616,0.9093,1.84
2019-04-30,24.0,199419105.0,307562.7982,4.7715,0.8745,1.84
2019-05-31,24.2,337575831.0,310165.3705,4.8119,0.8819,1.84
2019-06-30,26.98,265721643.0,345835.919,5.3653,0.9833,1.84
2019-07-31,25.97,324599253.0,332823.0579,5.1634,0.9463,1.84
2019-08-31,19.86,486514914.0,254592.7991,3.9498,0.7239,1.84
2019-09-30,21.19,373074468.0,271586.0648,4.2134,0.7722,1.84
2019-10-31,26.9,504139659.0,344764.2716,5.3487,0.9803,1.84
2019-11-30,24.5,294917568.0,313992.6825,4.8713,0.8928,1.84
2019-12-31,30.79,448356771.0,394672.421,6.123,1.1222,1.84
2020-01-31,27.94,750354654.0,358083.3176,5.5553,1.0182,1.84
2020-02-29,21.79,495426024.0,279240.6889,4.3322,0.794,1.7633
2020-03-31,19.11,696286554.0,244947.9727,4.9114,0.6343,1.7633
2020-04-30,19.24,355376007.0,246631.99,4.9452,0.6387,1.7633
2020-05-31,19.38,289767702.0,248469.0998,4.982,0.6434,1.7633
2020-06-30,19.38,532413039.0,248469.0998,4.982,0.6434,1.7633
2020-07-31,20.02,527989737.0,256583.0014,5.1447,0.6645,1.7633
2020-08-31,23.21,715091145.0,297458.6944,5.9643,0.7703,1.7633
2020-09-30,19.65,636030105.0,251837.1345,5.0496,0.6522,1.7633
2020-10-31,19.7,359997180.0,252449.5002,5.0618,0.6538,1.7633
2020-11-30,23.03,663035481.0,295162.3022,5.9183,0.7644,1.7633
2020-12-31,27.34,904873953.0,350428.6876,7.0264,0.9075,1.7633
2021-01-31,25.13,641748357.0,322106.5788,6.4585,0.8341,1.7633
2021-02-28,30.34,874463085.0,372186.944,7.7969,1.007,1.7633
2021-03-31,32.33,901038780.0,396657.5029,4.5289,0.9938,2.5867
2021-04-30,37.21,631799715.0,456441.8624,5.2114,1.1436,2.5867
2021-05-31,43.51,1647514731.0,533809.857,6.0948,1.3374,2.5867
2021-06-30,43.98,1288742385.0,539524.5385,6.16,1.3517,2.5867
2021-07-31,43.28,1770171570.0,531025.78,6.063,1.3305,2.5867
2021-08-31,36.8,1034752257.0,451459.8312,5.1546,1.1311,2.5867
2021-09-30,34.16,768944697.0,419076.6366,4.7848,1.05,2.5867
2021-10-31,34.2,983868003.0,419516.2274,4.7898,1.0511,2.5867
2021-11-30,31.73,589570437.0,389330.9872,4.4452,0.9754,2.5867
2021-12-31,31.84,803136042.0,390649.7598,4.4603,0.9788,3.0033
2022-01-31,33.19,409178619.0,407207.6829,4.6493,1.0202,3.0033
2022-02-28,34.2,837995601.0,419516.2274,4.7898,1.0511,7.5
2022-03-31,38.83,781891602.0,476369.9809,3.621,1.8947,4.9133
2022-04-30,38.38,522093972.0,470801.8298,3.5787,1.8725,4.9133
2022-05-31,30.12,561734172.0,369549.3977,2.8091,1.4698,4.9133
2022-06-30,25.85,564732882.0,317091.553,2.4103,1.2612,4.9133
2022-07-31,25.75,685286661.0,315919.3106,2.4014,1.2565,4.9133
2022-08-31,29.2,1444108185.0,358266.5652,2.7233,1.4249,4.9133
2022-09-30,30.52,584795802.0,374384.8973,2.8458,1.489,4.9133
2022-10-31,33.25,700044867.0,292327.9335,3.1007,1.6224,4.9133
2022-11-30,39.23,713698137.0,344932.3085,3.6587,1.9143,4.9133
2022-12-31,41.02,487467669.0,360611.0498,3.825,2.0014,1.91
2023-01-31,41.05,514892814.0,360904.1104,3.8281,2.003,1.91
2023-02-28,37.03,542558736.0,325590.3099,3.4535,1.807,1.25
2023-03-31,37.18,561667281.0,326909.0826,5.8373,1.4452,1.25
2023-04-30,36.17,312544308.0,317970.7347,5.6777,1.4057,1.25
2023-05-31,35.6,566532789.0,312988.7048,5.5887,1.3836,1.25
2023-06-30,34.88,511814745.0,306687.9022,5.4762,1.3558,1.25
2023-07-31,39.08,601709373.0,343613.5359,6.1355,1.519,1.25
2023-08-31,41.02,861968523.0,360611.0498,6.439,1.5942,2.2
2023-09-30,49.32,1204520043.0,433583.1355,7.742,1.9167,2.2
2023-10-31,51.4,1088407833.0,451899.4221,8.0691,1.9977,2.2
2023-11-30,60.5,926470743.0,531904.9618,9.4976,2.3514,2.2
2023-12-31,69.88,909476268.0,614401.5165,10.9707,2.7161,2.2
2024-01-31,73.28,1121995500.0,644293.6961,11.5044,2.8482,2.2
2024-02-29,75.3,1826267901.0,662023.8615,11.821,2.9266,3.8333
2024-03-31,67.25,991493370.0,591249.7302,10.6073,2.3045,3.8333
2024-04-30,84.8,1081259700.0,745546.1282,13.3754,2.9059,3.8333
2024-05-31,86.72,992238549.0,762397.1119,13.6777,2.9716,3.8333
2024-06-30,82.02,734086476.0,721075.5694,12.9364,2.8106,3.8333
2024-07-31,80.54,718169988.0,708063.6794,12.7029,2.7598,3.8333
2024-08-31,74.22,590966166.0,652528.6986,11.7066,2.5434,3.8333
2024-09-30,81.64,849830853.0,717734.6787,12.8764,2.7975,2.4167
2024-10-31,73.96,857239719.0,650213.5199,11.6651,2.5344,2.4167
2024-11-30,76.69,777775188.0,674244.4879,12.0962,2.628,2.4167
2024-12-31,65.92,792622040.0,579556.6129,10.3975,2.259,2.4167
2025-01-31,66.1,588012537.0,581139.1401,10.4259,2.2651,2.4167
2025-02-28,62.48,407383111.0,549312.7605,9.8549,2.1411,2.4167
2025-03-31,68.89,509811640.0,605668.311,9.2594,2.0396,2.8
2025-04-30,64.79,492577329.0,569621.8591,8.7083,1.9182,2.8
2025-05-31,71.17,490457592.0,625713.655,9.5659,2.1071,2.8
2025-06-30,70.0,440428818.0,615427.2285,9.4086,2.0724,2.8
2025-07-31,70.79,602168979.0,622372.7644,9.5148,2.0958,2.8
2025-08-31,68.8,335432608.0,604877.0474,9.2473,2.0369,3.3
2025-09-30,76.35,539095287.0,671255.2699,10.2621,2.2604,3.3
2025-10-31,75.79,376676668.0,666331.8521,10.1868,2.2439,3.3
2025-11-30,73.92,406253138.0,649891.1533,9.9355,2.1885,3.3
2025-12-31,83.17,533612108.0,731215.4656,11.1788,2.4624,3.3
2026-01-31,81.21,642141619.0,713983.5032,10.9153,2.4043,3.3
2026-02-28,81.74,649317059.0,718643.1665,10.9866,2.42,3.5
2026-03-31,78.39,82390368.0,689190.5724,10.5363,2.3208,3.5
