TELX IN Equity,price,volume,mc,pe,bm,div
2002-07-31,47.28,40909292.0,2944.1169,19.3519,7.0352,1.75
2002-08-31,53.2,30730616.0,3313.1046,21.7773,7.917,1.75
2002-09-30,46.13,8890552.0,2872.499,18.8811,6.8641,1.75
2002-10-31,43.7,5683524.0,2721.4787,17.8885,6.5032,1.75
2002-11-30,47.43,4937636.0,2953.4583,19.4133,7.0576,1.75
2002-12-31,47.78,9408504.0,2975.2551,19.5566,7.1096,1.75
2003-01-31,38.2,5055234.0,2378.9585,15.6371,5.6847,1.75
2003-02-28,37.75,1917674.0,2350.9342,15.4529,5.6178,1.75
2003-03-31,32.78,2600836.0,2041.1091,17.4657,4.5609,1.75
2003-04-30,33.42,1581356.0,2081.5887,17.8121,4.6513,1.75
2003-05-31,33.17,1535452.0,2066.0196,17.6788,4.6165,1.75
2003-06-30,42.88,5786394.0,2670.1007,22.8479,5.9663,1.75
2003-07-31,38.88,5539864.0,2420.9951,20.7164,5.4097,1.25
2003-08-31,44.83,6541962.0,2791.5397,23.8871,6.2377,1.25
2003-09-30,45.23,8595020.0,2816.4503,24.1003,6.2934,1.25
2003-10-31,44.5,5625944.0,2771.2999,23.7139,6.1925,1.25
2003-11-30,45.85,6516324.0,2855.373,24.4333,6.3803,1.25
2003-12-31,60.5,25826880.0,3767.7223,32.2402,8.419,1.25
2004-01-31,49.03,11600038.0,3053.1006,26.1253,6.8221,1.25
2004-02-29,45.18,5533502.0,2813.3364,24.0736,6.2864,1.25
2004-03-31,39.8,3188194.0,2478.6008,14.1265,5.1372,1.25
2004-04-30,43.68,3525948.0,2719.9218,15.5019,5.6374,1.25
2004-05-31,46.48,12495244.0,2894.2958,16.4957,5.9988,1.25
2004-06-30,55.2,21497130.0,3437.6574,19.5925,7.125,1.25
2004-07-31,62.23,18180534.0,3875.1491,22.0859,8.0318,2.0
2004-08-31,71.15,29656366.0,4430.966,25.2537,9.1838,2.0
2004-09-30,77.3,17828700.0,4813.9658,27.4366,9.9776,2.0
2004-10-31,77.88,9678926.0,4849.7748,27.6407,10.0518,2.0
2004-11-30,78.25,5278554.0,4873.1284,27.7738,10.1002,2.0
2004-12-31,77.63,5085286.0,4834.2057,27.5519,10.0195,2.0
2005-01-31,81.63,18896512.0,5083.3113,28.9717,10.5358,2.0
2005-02-28,84.38,16041694.0,5254.5714,29.9478,10.8908,2.0
2005-03-31,91.9,17007020.0,5723.2013,21.7684,10.4639,2.0
2005-04-30,86.5,12440742.0,5386.9087,20.4893,9.849,2.0
2005-05-31,92.18,7169748.0,5740.3273,21.8335,10.4952,2.0
2005-06-30,93.45,6787388.0,5819.7297,22.1355,10.6404,2.0
2005-07-31,101.03,17248188.0,6291.4735,23.9298,11.5029,2.75
2005-08-31,113.45,10023728.0,7065.2578,26.8729,12.9176,2.75
2005-09-30,100.6,6237490.0,6265.006,23.8291,11.4545,2.75
2005-10-31,92.45,2868070.0,5757.4533,21.8986,10.5265,2.75
2005-11-30,101.38,5381330.0,6313.2702,24.0127,11.5427,2.75
2005-12-31,102.4,10009008.0,6377.1035,24.2555,11.6594,2.75
2006-01-31,94.9,5035850.0,5910.0305,22.479,10.8055,2.75
2006-02-28,96.8,3667278.0,6028.3557,22.929,11.0218,2.75
2006-03-31,96.6,5170682.0,6015.9004,17.5246,9.1232,2.75
2006-04-30,122.83,14573752.0,7339.2739,22.2821,11.6,2.75
2006-05-31,97.43,6940886.0,6067.2784,17.6742,9.2011,2.75
2006-06-30,90.33,5911642.0,5625.116,16.3862,8.5306,2.75
2006-07-31,87.0,7073752.0,5418.0469,15.783,8.2166,3.25
2006-08-31,108.85,8320734.0,6778.7863,19.7469,10.2802,3.25
2006-09-30,110.28,3666412.0,6867.5302,20.0054,10.4147,3.25
2006-10-31,114.4,3784012.0,7124.4203,20.7537,10.8043,3.25
2006-11-30,125.68,10759666.0,7826.5868,22.7992,11.8692,3.25
2006-12-31,131.18,4585040.0,8169.107,23.797,12.3886,3.25
2007-01-31,154.5,6947738.0,9621.704,28.0284,14.5915,3.25
2007-02-28,137.1,4994928.0,8538.0946,24.8718,12.9482,3.25
2007-03-31,145.07,5404276.0,9034.749,17.3356,9.7614,3.25
2007-04-30,158.35,7246096.0,9861.4682,18.9218,10.6546,3.25
2007-05-31,172.88,7433952.0,10766.0329,20.6575,11.6319,3.25
2007-06-30,168.3,2307562.0,10481.1184,20.1108,11.3241,3.25
2007-07-31,148.07,3024470.0,9221.5782,17.694,9.9632,3.5
2007-08-31,156.7,3533640.0,9758.7121,18.7247,10.5436,3.5
2007-09-30,150.63,1452810.0,9380.3226,17.9987,10.1348,3.5
2007-10-31,128.53,2441836.0,8004.023,15.3579,8.6478,3.5
2007-11-30,129.55,2631600.0,8067.8559,15.4804,8.7168,3.5
2007-12-31,138.82,3624950.0,8645.4658,16.5887,9.3408,3.5
2008-01-31,99.8,3389940.0,6215.1449,11.9255,6.715,3.5
2008-02-29,102.1,1023146.0,6358.3797,12.2003,6.8698,3.5
2008-03-31,79.03,2614522.0,4921.361,9.3444,4.1371,3.5
2008-04-30,96.7,1783068.0,6022.0893,11.4344,5.0624,3.5
2008-05-31,106.15,2256378.0,6610.5975,12.5518,5.5571,3.5
2008-06-30,101.6,1738144.0,6327.2417,12.0138,5.3189,3.5
2008-07-31,85.05,1702638.0,5296.5739,10.0568,4.4525,3.5
2008-08-31,81.7,795388.0,5087.9493,9.6607,4.2771,3.5
2008-09-30,63.58,615986.0,3959.1968,7.5175,3.3282,3.5
2008-10-31,50.23,748524.0,3127.8121,5.9389,2.6293,3.5
2008-11-30,44.4,771824.0,2765.0544,5.2501,2.3244,3.5
2008-12-31,45.45,760390.0,2830.4442,5.3743,2.3794,3.5
2009-01-31,43.7,2994324.0,2721.4612,5.1673,2.2877,3.5
2009-02-28,41.13,847122.0,2561.1005,4.8629,2.1529,3.5
2009-03-31,41.1,2424180.0,2559.5436,4.4051,1.6903,3.5
2009-04-30,54.85,51367246.0,3415.8387,5.8789,2.2557,3.5
2009-05-31,75.88,25119750.0,4725.1916,8.1324,3.1204,3.5
2009-06-30,70.2,14149198.0,4371.7753,7.5241,2.887,3.5
2009-07-31,74.47,8477876.0,4638.0052,7.9823,3.0628,3.5
2009-08-31,81.78,16348272.0,5092.62,8.7647,3.3631,3.5
2009-09-30,88.0,11559734.0,5480.2881,9.4319,3.6191,3.5
2009-10-31,77.75,9882542.0,4841.9591,8.3333,3.1975,3.5
2009-11-30,83.95,7175804.0,5228.0703,8.9979,3.4525,3.5
2009-12-31,129.48,104761640.0,8063.1852,13.8773,5.3247,3.5
2010-01-31,136.23,45663000.0,8483.5482,14.6008,5.6023,3.5
2010-02-28,134.82,18834682.0,8396.3618,14.4507,5.5448,3.5
2010-03-31,159.98,35601394.0,9962.6033,20.7895,5.7316,3.5
2010-04-30,159.23,10779342.0,9915.8963,20.692,5.7047,3.5
2010-05-31,132.78,6872014.0,8268.696,17.2547,4.7571,3.5
2010-06-30,139.7,9646978.0,8699.9573,18.1546,5.0052,3.5
2010-07-31,128.88,7403506.0,8025.8196,16.7479,4.6173,3.5
2010-08-31,113.73,7422716.0,7082.3382,14.7791,4.0745,3.5
2010-09-30,120.4,11274522.0,7498.0305,15.6465,4.3137,3.5
2010-10-31,138.63,23773882.0,8633.0106,18.0149,4.9667,3.5
2010-11-30,134.0,33123930.0,8344.9841,17.4139,4.8009,3.5
2010-12-31,156.8,21439086.0,9764.877,20.3769,5.6178,3.5
2011-01-31,126.6,12078294.0,7884.1417,16.4522,4.5358,3.5
2011-02-28,114.7,6987882.0,7143.0573,14.9058,4.1095,3.5
2011-03-31,126.95,9490840.0,7905.9383,24.9166,4.381,3.5
2011-04-30,130.1,11237974.0,8102.1077,25.5348,4.4897,3.5
2011-05-31,123.03,3133344.0,7661.505,24.1462,4.2456,3.5
2011-06-30,122.2,3255952.0,7610.1273,23.9843,4.2171,3.5
2011-07-31,118.38,4258110.0,7371.9216,23.2336,4.0851,3.5
2011-08-31,98.18,2449152.0,6113.9464,19.2689,3.388,3.5
2011-09-30,100.23,3168448.0,6241.6122,19.6712,3.4588,3.5
2011-10-31,113.58,4158828.0,7072.9968,22.2915,3.9195,3.5
2011-11-30,96.18,2759204.0,5989.3944,18.8763,3.319,3.5
2011-12-31,87.68,1803598.0,5460.0484,17.208,3.0257,3.5
2012-01-31,101.1,3899062.0,6296.1037,19.843,3.489,3.5
2012-02-29,105.68,5935564.0,6581.0164,20.7409,3.6468,3.5
2012-03-31,98.03,2936684.0,6104.6443,17.9862,3.2287,3.5
2012-04-30,102.7,2214222.0,6395.7864,18.844,3.3827,3.5
2012-05-31,103.45,3069238.0,6442.4937,18.9817,3.4074,3.5
2012-06-30,110.15,1529656.0,6859.7456,20.211,3.6281,3.5
2012-07-31,108.43,4309704.0,6752.3188,19.8945,3.5713,3.5
2012-08-31,107.28,2046952.0,6680.701,19.6835,3.5334,3.5
2012-09-30,112.35,2691686.0,6996.7537,20.6147,3.7006,3.5
2012-10-31,108.85,2073550.0,6778.7863,19.9725,3.5853,3.5
2012-11-30,121.33,2845146.0,7555.6844,22.2615,3.9962,3.5
2012-12-31,114.65,2824388.0,7139.9894,21.0367,3.7763,3.5
2013-01-31,110.88,2850656.0,6904.896,20.344,3.652,3.5
2013-02-28,97.78,1404660.0,6089.0752,17.9404,3.2205,3.5
2013-03-31,95.5,3071124.0,5947.3963,28.3383,3.1001,3.5
2013-04-30,101.38,1334962.0,6313.2702,30.0816,3.2908,3.5
2013-05-31,93.55,1781440.0,5825.9574,27.7596,3.0368,3.5
2013-06-30,90.63,1180210.0,5643.8023,26.8917,2.9418,3.5
2013-07-31,92.83,3660248.0,5780.8105,27.5445,3.0132,2.5
2013-08-31,85.5,1857988.0,5324.6356,25.3709,2.7755,2.5
2013-09-30,92.18,5490020.0,5740.3308,27.3516,2.9921,2.5
2013-10-31,108.78,15092756.0,6774.1197,32.2774,3.531,2.5
2013-11-30,149.82,30454548.0,9330.5676,44.4585,4.8635,2.5
2013-12-31,208.53,101811488.0,12986.1946,61.8769,6.769,2.5
2014-01-31,207.53,77008454.0,12923.9181,61.5801,6.7366,2.5
2014-02-28,293.1,100395640.0,18253.2245,86.9733,9.5145,2.5
2014-03-31,272.48,104390364.0,16968.7729,22.5933,7.2264,2.5
2014-04-30,275.0,41757814.0,17126.0209,22.8027,7.2934,2.5
2014-05-31,254.7,26054326.0,15861.8092,21.1194,6.755,2.5
2014-06-30,308.95,41056518.0,19240.306,25.6177,8.1938,2.5
2014-07-31,295.83,42996380.0,18422.9278,24.5294,7.8457,4.5
2014-08-31,305.58,18979376.0,19030.1231,25.3379,8.1043,4.5
2014-09-30,322.23,41460830.0,20067.0258,26.7185,8.5459,4.5
2014-10-31,310.48,20361678.0,19335.2776,25.7442,8.2342,4.5
2014-11-30,306.48,11321312.0,19086.1718,25.4125,8.1282,4.5
2014-12-31,298.27,12346238.0,18575.505,24.7326,7.9107,4.5
2015-01-31,381.93,53304016.0,23784.9292,31.6687,10.1292,4.5
2015-02-28,556.5,51957034.0,34656.5945,46.1443,14.7592,4.5
2015-03-31,578.63,52507242.0,36034.7049,35.0151,12.7173,4.5
2015-04-30,554.03,38112944.0,34502.7064,33.5265,12.1767,4.5
2015-05-31,632.5,23812646.0,39389.8481,38.2753,13.9014,4.5
2015-06-30,601.38,22555848.0,37451.4939,36.3918,13.2174,4.5
2015-07-31,852.6,53474664.0,53096.8905,51.5946,18.7389,5.5
2015-08-31,919.22,64971138.0,57246.0583,55.6263,20.2032,5.5
2015-09-30,939.97,43722014.0,58538.2944,56.882,20.6593,5.5
2015-10-31,913.25,31606290.0,56873.9585,55.2648,20.0719,5.5
2015-11-30,1015.85,24084996.0,63263.5193,61.4735,22.3269,5.5
2015-12-31,1122.03,42720346.0,69875.7242,67.8986,24.6605,5.5
2016-01-31,1041.3,28776700.0,64848.4605,63.0136,22.8863,5.5
2016-02-29,847.13,45543166.0,52755.929,51.2632,18.6186,5.5
2016-03-31,941.93,28086144.0,58659.7354,37.8892,15.2089,5.5
2016-04-30,954.7,22525772.0,59455.3169,38.4031,15.4152,5.5
2016-05-31,900.3,16279230.0,56067.4786,36.2148,14.5368,5.5
2016-06-30,848.5,11085068.0,52841.5591,34.1311,13.7004,5.5
2016-07-31,825.47,16071980.0,51407.6421,33.2049,13.3286,7.0
2016-08-31,789.78,14027950.0,49184.3771,31.7689,12.7522,7.0
2016-09-30,696.13,10139682.0,43352.1866,28.0018,11.2401,7.0
2016-10-31,648.7,16703894.0,40398.7264,26.0941,10.4743,7.0
2016-11-30,634.5,23519642.0,39514.401,25.5229,10.245,7.0
2016-12-31,702.6,28365730.0,43755.4246,28.2623,11.3446,7.0
2017-01-31,711.68,25167094.0,44320.5852,28.6273,11.4912,7.0
2017-02-28,751.9,14709550.0,46825.6569,30.2454,12.1407,7.0
2017-03-31,732.45,12391098.0,45614.3782,26.0975,8.1795,7.0
2017-04-30,756.03,15426738.0,47082.5472,26.9375,8.4427,7.0
2017-05-31,667.13,12828762.0,41546.1698,23.7699,7.45,7.0
2017-06-30,792.35,38863308.0,49344.737,28.2317,8.8484,7.0
2017-07-31,876.58,27498962.0,54589.9701,31.2327,9.789,8.0
2017-08-31,819.93,11215390.0,51062.0098,29.2143,9.1563,8.0
2017-09-30,813.3,16613815.0,50649.4284,28.9782,9.0823,8.0
2017-10-31,839.65,10074097.0,52290.4126,29.9171,9.3766,8.0
2017-11-30,942.8,19011063.0,58714.2276,33.5923,10.5285,8.0
2017-12-31,977.15,10626361.0,60853.4233,34.8162,10.9121,8.0
2018-01-31,1059.8,17379511.0,66000.5711,37.7611,11.8351,8.0
2018-02-28,1053.25,10558499.0,65538.6919,37.5277,11.7619,8.0
2018-03-31,985.35,8488037.0,61313.7979,25.5669,8.311,8.0
2018-04-30,1237.8,22999040.0,77022.8477,32.1173,10.4403,8.0
2018-05-31,1237.1,17756576.0,76979.2898,32.0991,10.4344,8.0
2018-06-30,1334.7,17971105.0,83052.7753,34.6316,11.2576,8.0
2018-07-31,1428.2,21610900.0,88872.887,37.0576,12.0462,11.0
2018-08-31,1435.85,13514946.0,89349.9302,37.2561,12.1107,11.0
2018-09-30,1156.0,12393844.0,71935.4524,29.9948,9.7503,11.0
2018-10-31,1034.95,23684127.0,64402.7651,26.8539,8.7293,11.0
2018-11-30,1024.05,16395283.0,63724.6858,26.5711,8.6374,11.0
2018-12-31,1020.4,12336121.0,63497.6553,26.4764,8.6066,11.0
2019-01-31,874.0,21013977.0,54387.6216,22.6777,7.3718,11.0
2019-02-28,884.85,12353075.0,55062.7997,22.9593,7.4633,11.0
2019-03-31,963.1,18939473.0,59932.172,20.6851,6.3621,11.0
2019-04-30,930.4,11878814.0,57897.3034,19.9828,6.146,11.0
2019-05-31,871.6,12428728.0,54238.5349,18.7199,5.7576,11.0
2019-06-30,884.9,7264776.0,55066.1766,19.0056,5.8455,11.0
2019-07-31,636.85,31309932.0,39630.6023,13.678,4.2069,13.5
2019-08-31,632.25,19419584.0,39344.3485,13.5793,4.1765,13.5
2019-09-30,677.25,19139888.0,42144.658,14.5457,4.4738,13.5
2019-10-31,818.95,26403375.0,50963.0947,17.5891,5.4098,13.5
2019-11-30,806.95,13497895.0,50216.4178,17.3314,5.3306,13.5
2019-12-31,825.95,32536690.0,51398.7859,17.7395,5.4561,13.5
2020-01-31,949.2,16872791.0,59068.6211,20.3866,6.2702,13.5
2020-02-29,882.75,13940706.0,54933.7973,18.9594,5.8313,13.5
2020-03-31,629.1,13921316.0,39149.0817,15.2991,3.5942,13.5
2020-04-30,802.85,12455136.0,49961.5964,19.5246,4.5869,13.5
2020-05-31,764.9,7444772.0,47599.9565,18.6017,4.3701,13.5
2020-06-30,897.3,19982570.0,55839.2482,21.8215,5.1265,13.5
2020-07-31,940.0,13957300.0,58496.482,22.8599,5.3705,16.5
2020-08-31,1074.8,14410323.0,66885.1264,26.1381,6.1406,16.5
2020-09-30,1287.0,13636834.0,80090.3961,31.2986,7.353,16.5
2020-10-31,1534.1,18656029.0,95538.2866,37.3079,8.7647,16.5
2020-11-30,1588.25,8592490.0,98910.5558,38.6248,9.0741,16.5
2020-12-31,1835.3,11612562.0,114295.9503,44.6328,10.4855,16.5
2021-01-31,2690.6,38895464.0,167560.9895,65.4329,15.3721,16.5
2021-02-28,2657.85,12164937.0,165521.4361,64.6364,15.185,16.5
2021-03-31,2692.9,10455788.0,167704.2253,45.5574,12.4026,16.5
2021-04-30,3480.1,9854817.0,216728.2388,58.875,16.0282,16.5
2021-05-31,3643.55,5123084.0,226907.323,61.6402,16.781,16.5
2021-06-30,4304.3,5075049.0,268056.4807,72.8185,19.8241,48.0
2021-07-31,4225.9,4836649.0,262981.9829,71.4921,19.4631,48.0
2021-08-31,4770.95,4427933.0,296900.9895,80.7131,21.9734,48.0
2021-09-30,5594.05,6168865.0,348123.3256,94.638,25.7643,48.0
2021-10-31,5872.3,5659714.0,365439.1013,99.3453,27.0458,48.0
2021-11-30,5781.65,3840494.0,359798.4393,97.8117,26.6283,48.0
2021-12-31,5868.0,3901825.0,365172.0948,99.2725,27.026,48.0
2022-01-31,7607.35,13821205.0,473413.7586,128.6982,35.0369,48.0
2022-02-28,6431.85,7310204.0,400261.1005,108.8115,29.6229,48.0
2022-03-31,8840.15,16429347.0,550132.2587,100.1603,34.3889,48.0
2022-04-30,7746.0,15236553.0,482042.1006,87.7634,30.1326,48.0
2022-05-31,8381.1,22490094.0,521945.0713,94.9592,32.6032,48.0
2022-06-30,8170.55,10483868.0,508832.7668,92.5736,31.7841,42.5
2022-07-31,8690.05,6279681.0,541185.3774,98.4597,33.805,42.5
2022-08-31,9019.25,12481555.0,561686.7815,102.1896,35.0856,42.5
2022-09-30,8556.45,5971467.0,532865.245,96.946,33.2853,42.5
2022-10-31,6995.85,8406562.0,435676.6328,79.2641,27.2144,42.5
2022-11-30,7010.25,4552766.0,436573.4135,79.4273,27.2704,42.5
2022-12-31,6285.9,5469321.0,391463.4742,71.2203,24.4527,42.5
2023-01-31,6632.7,3698639.0,413060.9436,75.1496,25.8017,42.5
2023-02-28,6129.25,2373745.0,381707.8699,69.4454,23.8433,42.5
2023-03-31,5959.1,2456757.0,371111.5336,49.1432,17.7926,42.5
2023-04-30,6643.6,2432148.0,413739.7568,54.7881,19.8363,42.5
2023-05-31,7421.55,5880607.0,462187.7133,61.2036,22.1591,42.5
2023-06-30,7588.5,3841504.0,472584.7649,62.5804,22.6576,60.6
2023-07-31,7159.4,3304188.0,445861.9445,59.0417,21.3764,60.6
2023-08-31,7247.1,2404619.0,451323.5883,59.765,21.6383,60.6
2023-09-30,7227.15,1783521.0,450081.1733,59.6004,21.5787,60.6
2023-10-31,7625.2,2958253.0,474870.3103,62.8831,22.7672,60.6
2023-11-30,8252.8,3665386.0,513955.004,68.0587,24.6411,60.6
2023-12-31,8753.45,3662820.0,545133.7037,72.1874,26.1359,60.6
2024-01-31,7605.15,2570380.0,473621.6677,62.7177,22.7073,60.6
2024-02-29,7811.05,2506375.0,486444.3867,64.4157,23.3221,60.6
2024-03-31,7785.15,2788649.0,484831.4269,61.1992,19.3495,60.6
2024-04-30,7051.9,3858358.0,439167.2272,55.4351,17.527,60.6
2024-05-31,6944.35,2690945.0,432469.3961,54.5897,17.2597,60.6
2024-06-30,7001.4,2895007.0,436022.267,55.0381,17.4015,70.0
2024-07-31,6984.5,2700254.0,434969.7952,54.9053,17.3595,70.0
2024-08-31,8000.7,14344001.0,498255.1135,62.8936,19.8852,70.0
2024-09-30,7724.45,5135203.0,481075.7721,60.722,19.1986,70.0
2024-10-31,7021.85,4033108.0,437334.6932,55.1989,17.4523,70.0
2024-11-30,6670.75,3456079.0,415467.4914,52.4389,16.5797,70.0
2024-12-31,6796.55,4700617.0,423311.8413,53.4278,16.8924,70.0
2025-01-31,6336.0,5974477.0,394628.8769,49.8074,15.7477,70.0
2025-02-28,5411.1,2492704.0,337022.7771,42.5368,13.4489,70.0
2025-03-31,5214.6,4082537.0,324786.793,41.3759,11.3563,70.0
2025-04-30,5766.0,11661886.0,359130.259,45.751,12.5571,70.0
2025-05-31,6439.5,4707749.0,401081.3855,51.095,14.0239,70.0
2025-06-30,6310.0,3062181.0,393016.4318,50.0674,13.7419,75.0
2025-07-31,6093.5,6026336.0,379534.4457,48.3496,13.2704,75.0
2025-08-31,5234.0,2494279.0,326029.2045,41.5298,11.3986,75.0
2025-09-30,5227.0,4171201.0,325603.2268,41.4743,11.3833,75.0
2025-10-31,5454.5,4673012.0,339781.303,43.2794,11.8788,75.0
2025-11-30,5158.5,7800110.0,321342.3506,40.9307,11.2341,75.0
2025-12-31,5240.5,5484632.0,326458.1476,41.5814,11.4127,75.0
2026-01-31,5323.5,9846060.0,331628.6516,42.2399,11.5935,75.0
2026-02-28,4513.0,7001393.0,281140.819,35.8089,9.8284,75.0
2026-03-31,4402.4,821345.0,274250.9006,34.9314,9.5875,75.0
