TRE IN Equity,price,volume,mc,pe,bm,div
2017-04-30,94.0,23313537.0,24246.8422,9.5821,2.9026,0.0
2017-05-31,78.2,16355055.0,20171.3091,7.9715,2.4147,0.0
2017-06-30,73.05,10033368.0,18842.8917,7.4465,2.2557,0.0
2017-07-31,81.0,34495327.0,20893.5555,8.2569,2.5012,0.0
2017-08-31,95.25,73161389.0,24569.2736,9.7095,2.9412,0.25
2017-09-30,85.3,18825644.0,22002.7195,8.6952,2.6339,0.25
2017-10-31,94.5,25187227.0,24375.8147,9.633,2.918,0.25
2017-11-30,85.0,15159377.0,21925.3349,8.6646,2.6247,0.25
2017-12-31,77.55,20139800.0,20003.6438,7.9052,2.3946,0.25
2018-01-31,64.25,18001343.0,16572.9738,6.5494,1.9839,0.25
2018-02-28,64.0,13167047.0,16508.487,6.524,1.9762,0.25
2018-03-31,40.65,19984658.0,10485.4687,8.7987,1.108,0.25
2018-04-30,40.3,13804300.0,10395.1879,8.7229,1.0985,0.25
2018-05-31,43.8,16920084.0,11297.9958,9.4805,1.1939,0.25
2018-06-30,37.75,14366395.0,9737.4279,8.171,1.029,0.25
2018-07-31,39.45,10122140.0,10175.9346,8.539,1.0753,0.25
2018-08-31,37.8,7484941.0,9750.3252,8.1818,1.0303,0.25
2018-09-30,38.8,58436118.0,10008.2703,8.3983,1.0576,0.0
2018-10-31,47.55,26724008.0,12265.29,10.2922,1.2961,0.0
2018-11-30,49.65,21441071.0,12806.9747,10.7468,1.3533,0.0
2018-12-31,47.8,8579266.0,12329.7763,10.3463,1.3029,0.0
2019-01-31,41.85,12049373.0,10795.0029,9.0584,1.1407,0.0
2019-02-28,55.0,21116696.0,14186.9811,11.9048,1.4992,0.7
2019-03-31,61.15,23703678.0,15773.3435,7.2884,1.383,0.7
2019-04-30,66.0,16300073.0,17024.3773,7.8665,1.4927,0.7
2019-05-31,71.85,17782762.0,18533.3562,8.5638,1.625,0.7
2019-06-30,68.3,17552253.0,17617.651,8.1406,1.5447,0.7
2019-07-31,54.55,9971767.0,14070.9058,6.5018,1.2338,0.7
2019-08-31,53.45,8096211.0,13787.1661,6.3707,1.2089,0.7
2019-09-30,59.75,12711951.0,15412.2203,7.1216,1.3514,0.7
2019-10-31,64.45,8385898.0,15980.0623,7.6818,1.4577,0.7
2019-11-30,61.8,11308279.0,15323.0078,7.3659,1.3977,0.7
2019-12-31,71.15,15150274.0,17641.2946,8.4803,1.6092,0.7
2020-01-31,79.25,25986397.0,19649.65,9.4458,1.7924,0.7
2020-02-29,62.85,14337190.0,15583.3502,7.4911,1.4215,1.1
