VTEX IN Equity,price,volume,mc,pe,bm,div
2008-10-31,10.18,1772975.0,2938.9661,2.1356,0.2282,0.8
2008-11-30,11.6,6113185.0,3348.9201,2.4335,0.2601,0.8
2008-12-31,11.83,3084230.0,3415.3211,2.4817,0.2652,0.8
2009-01-31,11.72,5219735.0,3383.5641,2.4586,0.2628,0.8
2009-02-28,10.11,6169590.0,2918.7571,2.1209,0.2267,0.8
2009-03-31,9.58,4269930.0,2765.7461,9.0853,0.1961,0.8
2009-04-30,13.15,2294100.0,3796.4051,12.4709,0.2692,0.8
2009-05-31,26.01,4150700.0,7509.0872,24.6668,0.5325,0.8
2009-06-30,24.34,4150455.0,7026.9582,23.083,0.4983,0.8
2009-07-31,29.21,6207720.0,8432.9272,27.7015,0.598,0.4
2009-08-31,27.68,2092970.0,7991.2162,26.2506,0.5667,0.4
2009-09-30,33.84,5870900.0,9769.6083,32.0924,0.6928,0.4
2009-10-31,30.63,4595350.0,8842.8813,29.0482,0.6271,0.4
2009-11-30,36.52,6300655.0,10543.3243,34.634,0.7476,0.4
2009-12-31,41.74,13488520.0,12050.3384,39.5845,0.8545,0.4
2010-01-31,47.7,14815965.0,13770.9904,45.2367,0.9765,0.4
2010-02-28,43.86,8345925.0,12662.3824,41.595,0.8979,0.4
2010-03-31,53.01,7430245.0,15303.9874,5.741,0.9358,0.4
2010-04-30,53.6,3769175.0,15474.3204,5.8049,0.9462,0.4
2010-05-31,51.56,5283810.0,14885.3724,5.5839,0.9102,0.4
2010-06-30,54.0,3935990.0,15589.8005,5.8482,0.9532,0.4
2010-07-31,59.32,5825740.0,17125.6845,6.4244,1.0471,0.6
2010-08-31,62.23,10580460.0,17965.8015,6.7395,1.0985,0.6
2010-09-30,62.59,6716700.0,18069.7335,6.7785,1.1049,0.6
2010-10-31,67.4,19446865.0,19458.3806,7.2994,1.1898,0.6
2010-11-30,63.08,7296035.0,20066.5044,6.8316,1.1135,0.6
2010-12-31,60.38,2764020.0,19207.6021,6.5392,1.0659,0.6
2011-01-31,56.32,3028525.0,17916.0674,6.0995,0.9942,0.6
2011-02-28,50.01,4177630.0,15908.7807,5.4161,0.8828,0.6
2011-03-31,51.73,3997820.0,16455.9333,3.0414,0.7142,0.6
2011-04-30,56.21,4614165.0,17881.0751,3.3048,0.776,0.6
2011-05-31,48.68,2766435.0,15485.6918,2.8621,0.6721,0.6
2011-06-30,43.45,8332660.0,13821.966,2.5546,0.5999,0.6
