PIDI IN Equity,price,volume,mc,pe,bm,div
1998-04-30,2.73,7118400.0,2671.5554,,,0.05
1998-05-31,2.6,2217600.0,2545.504,,,0.05
1998-06-30,2.17,2576000.0,2129.5861,,,0.05
1998-07-31,2.12,1673600.0,2074.5106,,,0.05
1998-08-31,2.11,2968000.0,2068.3911,,,0.0625
1998-09-30,3.06,10542400.0,2992.4356,,,0.0625
1998-10-31,2.84,9800000.0,2781.9248,,,0.0625
1998-11-30,3.01,2680000.0,2948.3752,,,0.0625
1998-12-31,3.18,4089600.0,3108.7061,,,0.0625
1999-01-31,3.67,8875200.0,3595.2063,,,0.0625
1999-02-28,4.18,11294400.0,4090.8859,,,0.0625
1999-03-31,5.55,11022400.0,5431.0564,,,0.0625
1999-04-30,5.44,7738400.0,5330.0846,,,0.0625
1999-05-31,5.56,4154400.0,5442.793,,,0.0625
1999-06-30,5.63,3020000.0,5508.8998,,,0.0625
1999-07-31,7.61,11727200.0,7456.602,,,0.0875
1999-08-31,9.49,7252800.0,9295.3503,,,0.0875
1999-09-30,9.07,6740800.0,8878.5102,,,0.0875
1999-10-31,8.01,4510400.0,7841.0008,,,0.0875
1999-11-30,8.2,2128800.0,8030.1397,,,0.0875
1999-12-31,8.5,5345600.0,8324.5597,,,0.0875
2000-01-31,9.87,11083200.0,9668.1192,,,0.0875
2000-02-29,9.64,11868800.0,9439.8059,,,0.0875
2000-03-31,8.25,18851200.0,8084.0045,,,0.0875
2000-04-30,7.81,8936000.0,7651.2498,,,0.0875
2000-05-31,8.63,4121600.0,8707.7999,,,0.0875
2000-06-30,9.77,1901160.0,9858.7439,,,0.075
2000-07-31,8.82,3122640.0,8904.6719,,,0.075
2000-08-31,7.0,1298560.0,7067.1999,,,0.075
2000-09-30,6.3,1208360.0,6355.4319,,,0.075
2000-10-31,6.01,797840.0,6067.6959,,,0.075
2000-11-30,6.01,720360.0,6062.6479,,,0.075
2000-12-31,6.13,1363200.0,6183.7999,,,0.075
2001-01-31,6.0,2403240.0,6057.5999,,,0.075
2001-02-28,6.12,8799080.0,6182.5379,,,0.075
2001-03-31,4.95,6230720.0,4992.472,,,0.075
2001-04-30,4.06,3308400.0,4093.928,,,0.075
2001-05-31,4.31,2308400.0,4352.638,,,0.075
2001-06-30,3.95,5697920.0,3987.92,,,0.075
2001-07-31,3.95,789040.0,3989.182,,,0.1125
2001-08-31,4.12,249200.0,4159.552,,,0.1125
2001-09-30,4.09,848120.0,4130.526,,,0.1125
2001-10-31,3.97,924400.0,4006.85,,,0.1125
2001-11-30,4.4,1309120.0,4442.24,,,0.1125
2001-12-31,4.25,713440.0,4289.4362,,,0.1125
2002-01-31,4.25,1572560.0,4290.6981,,,0.1125
2002-02-28,4.39,8756320.0,4429.5149,,,0.1125
2002-03-31,4.43,4410640.0,4467.374,8.5704,1.7111,0.1125
