AIAE IN Equity,price,volume,mc,pe,bm,div
2008-06-30,251.31,906710.0,23619.3726,17.7231,3.8719,0.7
2008-07-31,254.88,939170.0,23954.8979,17.9748,3.9269,0.7
2008-08-31,313.3,619355.0,29445.5019,22.0948,4.8269,0.8
2008-09-30,273.1,374345.0,25667.3047,19.2598,4.2076,0.8
2008-10-31,156.05,1143676.0,14666.2034,11.0051,2.4042,0.8
2008-11-30,123.9,773471.0,11644.6177,8.7378,1.9089,1.2
2008-12-31,135.7,706145.0,12753.629,9.5699,2.0907,1.2
2009-01-31,114.7,955281.0,10779.9649,8.089,1.7671,1.2
2009-02-28,117.6,732823.0,11052.5185,8.2935,1.8118,1.2
2009-03-31,124.95,1774365.0,11743.3009,6.7871,1.52,1.2
2009-04-30,169.6,2174962.0,15939.6866,9.2124,2.0632,1.2
2009-05-31,241.5,5395079.0,22697.1363,13.1179,2.9379,1.2
2009-06-30,228.05,6916247.0,21433.0515,12.3873,2.7743,1.2
2009-07-31,225.15,3044039.0,21236.2373,12.2298,2.739,1.2
2009-08-31,267.8,5869934.0,25259.0022,14.5464,3.2578,1.2
2009-09-30,311.55,8636593.0,29385.5195,16.9229,3.7901,2.5
2009-10-31,317.45,3555510.0,29942.0098,17.2433,3.8618,2.5
2009-11-30,379.15,2539971.0,35761.5783,20.5948,4.6124,2.5
2009-12-31,371.75,2423477.0,35063.6074,20.1928,4.5224,2.5
2010-01-31,345.05,2173190.0,32545.2528,18.7425,4.1976,1.9
2010-02-28,332.6,6834255.0,31370.9639,18.0663,4.0461,2.7
2010-03-31,400.95,2502649.0,37817.7629,22.1519,4.1923,2.7
2010-04-30,394.85,1868376.0,37242.4085,21.8149,4.1285,2.7
2010-05-31,403.6,1485924.0,38067.712,22.2983,4.22,2.7
2010-06-30,382.8,1142843.0,36105.8478,21.1492,4.0025,2.7
2010-07-31,358.25,1015537.0,33790.282,19.7928,3.7458,3.5
2010-08-31,362.9,1586979.0,34228.8719,20.0497,3.7944,3.5
2010-09-30,400.0,1672762.0,37728.1586,22.0994,4.1823,2.5
2010-10-31,415.95,868431.0,39232.5689,22.9807,4.3491,2.5
2010-11-30,416.8,1192313.0,39312.7412,23.0276,4.358,2.5
2010-12-31,406.05,1053420.0,38298.797,22.4337,4.2456,2.5
2011-01-31,391.3,228279.0,36907.5711,21.6188,4.0914,2.5
2011-02-28,321.0,786650.0,30276.8473,17.7348,3.3563,2.5
2011-03-31,348.35,746444.0,32856.5101,17.9192,3.1229,2.5
2011-04-30,364.45,549068.0,34375.0685,18.7474,3.2672,1.7
2011-05-31,360.05,575803.0,33960.0587,18.5211,3.2278,1.7
2011-06-30,372.6,1354996.0,35143.7797,19.1667,3.3403,1.7
2011-07-31,383.7,125450.0,36190.7361,19.7377,3.4398,3.0
2011-08-31,324.9,3241271.0,30644.6968,16.713,2.9127,3.0
2011-09-30,312.35,2072344.0,29460.9758,16.0674,2.8001,3.0
2011-10-31,310.2,1792613.0,29258.187,15.9568,2.7809,3.0
2011-11-30,274.95,2236137.0,25933.393,14.1435,2.4649,3.0
2011-12-31,271.05,2303036.0,25565.5435,13.9429,2.4299,3.0
2012-01-31,291.4,1711275.0,27484.9635,14.9897,2.6123,3.0
2012-02-29,349.85,957939.0,32997.9907,17.9964,3.1363,3.0
2012-03-31,367.85,874937.0,34695.7578,19.2264,2.8082,3.0
2012-04-30,355.05,79726.0,33488.4568,18.5574,2.7105,3.0
2012-05-31,363.45,50919.0,34280.7481,18.9965,2.7746,3.0
2012-06-30,343.65,348396.0,32413.2042,17.9616,2.6235,3.0
2012-07-31,315.75,509153.0,29781.6652,16.5033,2.4105,3.0
2012-08-31,335.15,1236133.0,31611.4809,17.5173,2.5586,3.0
2012-09-30,356.9,168844.0,33662.9495,18.6541,2.7246,3.0
2012-10-31,389.45,949311.0,36733.0784,20.3554,2.9731,3.0
2012-11-30,334.85,420102.0,31583.1847,17.5016,2.5563,3.0
2012-12-31,328.05,501052.0,30941.806,17.1462,2.5044,3.0
2013-01-31,324.0,357524.0,30559.8084,16.9345,2.4735,3.0
2013-02-28,317.8,211601.0,29975.022,16.6105,2.4261,3.0
2013-03-31,317.9,706471.0,29984.454,14.2237,2.1149,3.0
2013-04-30,308.35,1114282.0,29083.6942,13.7964,2.0513,3.0
2013-05-31,317.4,2873593.0,29937.2938,14.2013,2.1115,3.0
2013-06-30,330.15,439162.0,31139.8688,14.7718,2.1963,3.0
2013-07-31,307.05,227188.0,28961.0684,13.7383,2.0427,3.0
2013-08-31,322.8,83666.0,30446.6141,14.443,2.1475,4.0
2013-09-30,314.3,782229.0,29644.891,14.0626,2.0909,4.0
2013-10-31,386.6,961765.0,36464.2535,17.2975,2.5719,4.0
2013-11-30,419.4,1672162.0,39557.9615,18.7651,2.7901,4.0
2013-12-31,478.4,2967015.0,45122.863,21.4049,3.1826,4.0
2014-01-31,511.5,2424969.0,48244.8672,22.8859,3.4028,4.0
2014-02-28,568.55,1139101.0,53625.844,25.4385,3.7823,4.0
2014-03-31,558.85,5124212.0,52710.9365,16.2221,3.0314,4.0
2014-04-30,603.55,2807479.0,56927.0568,17.5196,3.2739,4.0
2014-05-31,755.35,4462868.0,71244.8884,21.926,4.0973,4.0
2014-06-30,776.4,1655185.0,73230.3321,22.537,4.2114,4.0
2014-07-31,779.7,4720481.0,73541.5893,22.6328,4.2293,4.0
2014-08-31,878.55,4024105.0,82865.1575,25.5022,4.7655,6.0
2014-09-30,940.3,2687337.0,88689.4401,27.2946,5.1005,6.0
2014-10-31,939.65,921307.0,88628.1318,27.2758,5.097,6.0
2014-11-30,1208.75,2270226.0,114009.7423,35.0871,6.5567,6.0
2014-12-31,1082.45,2563150.0,102097.0742,31.4209,5.8716,6.0
2015-01-31,1137.5,2801988.0,107289.4162,33.0189,6.1702,6.0
2015-02-28,1134.8,2218067.0,107034.3415,32.9405,6.1555,6.0
2015-03-31,1252.55,2422432.0,118140.9802,27.4141,5.67,6.0
2015-04-30,1150.6,1694413.0,108525.013,25.1828,5.2085,6.0
2015-05-31,1017.4,2423806.0,95961.5403,22.2675,4.6056,6.0
2015-06-30,1007.3,3260249.0,95008.9046,22.0464,4.5598,6.0
2015-07-31,994.55,1460394.0,93806.3199,21.7673,4.5021,6.0
2015-08-31,917.15,2208624.0,86505.9236,20.0733,4.1517,6.0
2015-09-30,991.7,770329.0,93537.5069,21.705,4.4892,8.0
2015-10-31,959.15,1153680.0,90467.379,20.9926,4.3419,8.0
2015-11-30,883.85,1632312.0,83365.0554,19.3445,4.001,8.0
2015-12-31,892.65,1011514.0,84195.0746,19.5371,4.0408,8.0
2016-01-31,821.9,1474691.0,77521.9087,17.9886,3.7206,8.0
2016-02-29,807.05,1621724.0,76121.2513,17.6636,3.6533,8.0
2016-03-31,939.8,1271362.0,88642.2799,19.4013,3.8164,18.0
2016-04-30,990.9,756409.0,93462.0506,20.4562,4.0239,18.0
2016-05-31,941.2,594863.0,88774.3284,19.4302,3.8221,18.0
2016-06-30,1028.75,1231146.0,97032.0764,21.2376,4.1776,18.0
2016-07-31,1029.0,827019.0,97055.6565,21.2428,4.1786,18.0
2016-08-31,1281.55,1193100.0,120876.2708,26.4564,5.2042,18.0
2016-09-30,1289.45,711617.0,121621.3899,26.6195,5.2363,18.0
2016-10-31,1297.5,1305607.0,122380.6748,26.7857,5.269,18.0
2016-11-30,1334.75,2056573.0,125894.1084,27.5547,5.4203,18.0
2016-12-31,1296.1,1227880.0,122248.6263,26.7568,5.2633,18.0
2017-01-31,1354.35,1631300.0,127742.7876,27.9593,5.4999,18.0
2017-02-28,1480.95,1445865.0,139683.74,30.5729,6.014,22.0
2017-03-31,1587.85,1537527.0,149766.593,32.7865,5.5117,4.0
2017-04-30,1507.0,569531.0,142140.7914,31.1171,5.231,4.0
2017-05-31,1472.05,1262097.0,138844.2946,30.3954,5.1097,4.0
2017-06-30,1395.3,2048531.0,131605.2065,28.8107,4.8433,4.0
2017-07-31,1450.3,1227069.0,136792.8267,29.9463,5.0342,4.0
2017-08-31,1311.1,1171060.0,123663.4317,27.0721,4.551,8.0
2017-09-30,1328.7,751510.0,125323.4702,27.4355,4.6121,8.0
2017-10-31,1376.6,362557.0,129841.4157,28.4245,4.7784,8.0
2017-11-30,1473.55,2021788.0,138985.7768,30.4264,5.1149,8.0
2017-12-31,1550.35,1627866.0,146229.581,32.0122,5.3815,8.0
2018-01-31,1535.85,927859.0,144861.9357,31.7128,5.3312,8.0
2018-02-28,1439.6,1138699.0,135783.6047,29.7254,4.9971,8.0
2018-03-31,1441.4,508556.0,135953.3813,30.6681,4.5178,8.0
2018-04-30,1443.85,4083174.0,136184.4662,30.7202,4.5254,12.0
2018-05-31,1542.25,1115212.0,145465.5906,32.8138,4.8339,12.0
2018-06-30,1500.1,1157579.0,141489.987,31.917,4.7017,12.0
2018-07-31,1650.0,771553.0,155628.6105,35.1064,5.1716,12.0
2018-08-31,1758.75,970396.0,165885.9507,37.4202,5.5124,12.0
2018-09-30,1778.1,851369.0,167711.0499,37.8319,5.5731,12.0
2018-10-31,1712.9,1080654.0,161561.3618,36.4447,5.3687,8.0
2018-11-30,1699.85,982920.0,160330.4809,36.167,5.3278,8.0
2018-12-31,1677.15,671817.0,158189.4085,35.684,5.2567,8.0
2019-01-31,1607.2,874519.0,151591.6987,34.1957,5.0374,8.0
2019-02-28,1715.4,345598.0,161797.1627,36.4979,5.3766,8.0
2019-03-31,1796.1,752759.0,169408.8166,33.1629,4.8214,8.0
2019-04-30,1814.7,354858.0,171163.1754,33.5063,4.8713,8.0
2019-05-31,1788.4,647842.0,168682.5497,33.0207,4.8007,8.0
2019-06-30,1793.55,440712.0,169168.2996,33.1158,4.8145,0.0
2019-07-31,1705.05,525475.0,160820.9469,31.4817,4.577,0.0
2019-08-31,1534.65,652812.0,144748.7558,28.3355,4.1195,9.0
2019-09-30,1784.05,857433.0,168272.2561,32.9404,4.789,9.0
2019-10-31,1733.25,470710.0,163480.7813,32.0024,4.6527,9.0
2019-11-30,1644.25,588264.0,155086.2684,30.3591,4.4137,9.0
2019-12-31,1649.5,372315.0,155581.4503,30.4561,4.4278,9.0
2020-01-31,1776.2,859982.0,167531.8412,32.7954,4.7679,9.0
2020-02-29,1788.65,939598.0,168706.1298,33.0253,4.8014,9.0
2020-03-31,1393.25,1751593.0,131411.8555,22.2599,3.5504,27.0
2020-04-30,1608.15,1245732.0,151681.303,25.6934,4.0981,27.0
2020-05-31,1663.85,1437821.0,156934.9476,26.5833,4.24,27.0
2020-06-30,1606.95,1096919.0,151568.1186,25.6742,4.095,27.0
2020-07-31,1654.15,821527.0,156020.04,26.4283,4.2153,27.0
2020-08-31,1801.65,1313939.0,169932.2946,28.7849,4.5912,27.0
2020-09-30,1848.55,1237121.0,174355.92,29.5343,4.7107,27.0
2020-10-31,1699.2,577769.0,160269.1659,27.1481,4.3301,27.0
2020-11-30,1856.35,1075461.0,175091.6114,29.6589,4.7306,27.0
2020-12-31,1974.35,1720292.0,186221.4146,31.5442,5.0313,27.0
2021-01-31,1954.15,1851308.0,184316.1432,31.2214,4.9798,27.0
2021-02-28,1819.25,922990.0,171592.3258,29.0661,4.636,27.0
2021-03-31,2052.7,3302350.0,193611.4153,34.2003,4.5617,27.0
2021-04-30,1862.75,571978.0,175695.2618,31.0355,4.1395,27.0
2021-05-31,1926.65,917760.0,181722.3332,32.1001,4.2815,0.0
2021-06-30,2140.15,916211.0,201859.7313,35.6573,4.756,0.0
2021-07-31,2000.7,833529.0,188706.7643,33.3339,4.4461,0.0
2021-08-31,2021.5,1254542.0,190668.628,33.6804,4.4923,9.0
2021-09-30,1955.3,1146526.0,184424.6195,32.5775,4.3452,9.0
2021-10-31,1917.65,2728147.0,180873.4575,31.9502,4.2615,9.0
2021-11-30,1897.65,1013420.0,178987.0501,31.617,4.2171,9.0
2021-12-31,1872.45,633683.0,176610.1768,31.1971,4.1611,9.0
2022-01-31,1889.0,671028.0,178171.1789,31.4728,4.1979,9.0
2022-02-28,1624.2,1336245.0,153195.145,27.061,3.6094,9.0
2022-03-31,1622.7,1364440.0,153053.6644,24.6986,3.2188,9.0
2022-04-30,1937.4,2452212.0,182736.2848,29.4886,3.8431,9.0
2022-05-31,2277.75,2541187.0,214838.2228,34.6689,4.5182,9.0
2022-06-30,2223.8,1373655.0,209749.6388,33.8478,4.4112,9.0
2022-07-31,2398.6,2166490.0,226236.8395,36.5084,4.7579,9.0
2022-08-31,2607.55,1954022.0,245945.0808,39.6887,5.1724,9.0
2022-09-30,2509.2,1368182.0,236668.6724,38.1918,4.9773,9.0
2022-10-31,2681.75,1354911.0,252943.6522,40.8181,5.3196,9.0
2022-11-30,2700.1,1381416.0,254674.431,41.0974,5.356,9.0
2022-12-31,2564.95,1154070.0,241927.033,39.0403,5.0879,9.0
2023-01-31,2747.45,2196015.0,259140.5006,41.8181,5.4499,9.0
2023-02-28,2650.65,1394501.0,250010.2887,40.3447,5.2579,9.0
2023-03-31,2903.1,1665531.0,273821.4661,25.9321,4.8112,9.0
2023-04-30,2718.75,1064047.0,256433.5059,24.2854,4.5057,9.0
2023-05-31,3064.7,2421596.0,289063.6379,27.3756,5.079,9.0
2023-06-30,3200.45,2181240.0,301867.6282,28.5882,5.304,9.0
2023-07-31,3458.35,1789403.0,326192.8516,30.8919,5.7314,9.0
2023-08-31,3695.15,2360245.0,348527.9152,33.0071,6.1238,9.0
2023-09-30,3512.7,1672118.0,331319.1637,31.3774,5.8215,16.0
2023-10-31,3515.55,1143852.0,331587.9768,31.4029,5.8262,16.0
2023-11-30,3591.65,1914860.0,338765.7569,32.0826,5.9523,16.0
2023-12-31,3689.5,1054274.0,347995.0051,32.9567,6.1145,16.0
2024-01-31,4107.35,1902451.0,387406.7717,36.6891,6.807,16.0
2024-02-29,3645.5,2514241.0,343844.9088,32.5636,6.0416,16.0
2024-03-31,3915.25,1109826.0,369287.8286,32.5199,5.5467,16.0
2024-04-30,3797.2,1638415.0,358153.309,31.5394,5.3795,16.0
2024-05-31,3676.3,2596290.0,346749.9762,30.5352,5.2082,16.0
2024-06-30,4178.55,2212814.0,394122.3821,34.7069,5.9198,16.0
2024-07-31,4621.35,2115950.0,435887.4419,38.3848,6.5471,16.0
2024-08-31,4295.25,2068532.0,405129.5692,35.6762,6.0851,16.0
2024-09-30,4336.4,1221829.0,404674.4525,36.018,6.1434,16.0
2024-10-31,3819.75,1944114.0,356460.4833,31.7267,5.4114,16.0
2024-11-30,3499.25,1246497.0,326551.3047,29.0647,4.9574,16.0
2024-12-31,3402.65,1418593.0,317536.557,28.2623,4.8205,16.0
2025-01-31,3680.6,1254241.0,343474.9538,30.571,5.2143,16.0
2025-02-28,3141.25,1077299.0,293142.6123,26.0911,4.4502,16.0
2025-03-31,3351.7,665270.0,312781.8841,29.624,4.5154,16.0
2025-04-30,3193.9,1252539.0,298055.9297,28.2293,4.3028,16.0
2025-05-31,3497.9,1412396.0,326425.3222,30.9162,4.7124,16.0
2025-06-30,3309.8,1618941.0,308871.7606,29.2537,4.459,16.0
2025-07-31,3132.6,1125536.0,292335.3911,27.6875,4.2202,16.0
2025-08-31,3056.3,1309566.0,285215.0468,27.0131,4.1174,16.0
2025-09-30,3053.3,2331062.0,284935.0857,26.9866,4.1134,16.0
2025-10-31,3249.9,1763423.0,303281.8705,28.7243,4.3783,16.0
2025-11-30,3862.6,2455593.0,360459.2612,34.1396,5.2037,16.0
2025-12-31,4017.5,1574822.0,374914.5865,35.5087,5.4124,16.0
2026-01-31,3989.0,1629805.0,372254.9559,35.2568,5.374,16.0
2026-02-28,3851.6,1038402.0,359432.7371,34.0424,5.1889,16.0
2026-03-31,3615.3,121772.0,337381.1382,31.9539,4.8705,16.0
