MUTH IN Equity,price,volume,mc,pe,bm,div
2014-11-30,195.75,5627058.0,77725.2412,,1.7062,7.0
2014-12-31,192.35,2668581.0,76375.2243,,1.6766,7.0
2015-01-31,211.15,24268794.0,83976.9738,,1.8404,7.0
2015-02-28,238.05,10334909.0,94675.3429,,2.0749,5.0
2015-03-31,207.05,5595584.0,82398.9495,,1.8047,5.0
2015-04-30,183.5,2229361.0,73026.84,,1.5994,5.0
2015-05-31,195.05,7612593.0,77623.3523,,1.7001,5.0
2015-06-30,202.05,6789350.0,80415.8877,,1.7611,5.0
2015-07-31,198.25,5190064.0,78903.4879,,1.728,5.0
2015-08-31,172.5,3015416.0,68654.9895,,1.5036,5.0
2015-09-30,164.2,4280305.0,65358.8258,,1.4312,6.0
2015-10-31,180.35,6123532.0,71787.2365,,1.572,2.0
2015-11-30,181.1,8764711.0,72085.7695,,1.5785,6.0
2015-12-31,179.65,7879531.0,71508.6057,,1.5659,6.0
2016-01-31,192.3,4005711.0,76543.8624,,1.6761,6.0
2016-02-29,173.85,1596367.0,69199.9505,,1.5153,6.0
2016-03-31,178.75,1507529.0,71321.67,,1.558,8.0
2016-04-30,203.1,4767367.0,81037.3773,,1.7703,8.0
2016-05-31,232.4,11538717.0,92728.1461,,2.0257,8.0
2016-06-30,293.05,24157137.0,116927.6386,,2.5543,8.0
2016-07-31,331.75,20808076.0,132369.0296,,2.8916,8.0
2016-08-31,375.75,49878859.0,149925.133,,3.2751,8.0
2016-09-30,348.8,16809312.0,139172.0196,,3.0402,6.0
2016-10-31,363.55,10845720.0,145057.3043,,3.1688,6.0
2016-11-30,302.95,15435838.0,120877.7619,,2.6406,2.0
2016-12-31,282.7,8967113.0,112811.699,,2.4641,2.0
2017-01-31,305.65,8476913.0,121969.9179,,2.6641,2.0
2017-02-28,356.3,10968156.0,142326.0836,,3.1056,2.0
2017-03-31,368.95,8205601.0,147386.4949,,3.2159,6.0
2017-04-30,394.3,23705164.0,157513.1995,,3.4368,6.0
2017-05-31,412.65,18730842.0,164868.6608,,3.5968,6.0
2017-06-30,455.15,18694113.0,181848.9542,,3.9672,6.0
2017-07-31,474.15,14461187.0,189440.1442,,4.1328,6.0
2017-08-31,476.25,15673736.0,190279.1705,,4.1511,6.0
2017-09-30,474.9,23452985.0,189754.2313,,4.1394,6.0
2017-10-31,493.3,11983249.0,197106.2587,,4.2997,6.0
2017-11-30,442.4,16355862.0,176768.3076,,3.8561,6.0
2017-12-31,474.65,13283817.0,189819.1402,,4.1372,6.0
2018-01-31,415.25,14936097.0,166064.2536,,3.6194,6.0
2018-02-28,391.8,19850851.0,156686.2715,,3.415,10.0
2018-03-31,407.45,13531518.0,162944.9243,,3.5515,10.0
2018-04-30,450.85,13677947.0,180358.5926,,3.9297,10.0
2018-05-31,389.65,20475575.0,155895.6312,,3.3963,10.0
2018-06-30,379.5,14632021.0,151834.703,,3.3078,10.0
2018-07-31,404.55,18648632.0,161856.9937,,3.5262,10.0
2018-08-31,409.4,10592851.0,163797.4372,,3.5684,10.0
2018-09-30,403.4,48344445.0,161445.4284,,3.5162,10.0
2018-10-31,409.35,23772402.0,163826.6885,,3.568,10.0
2018-11-30,452.6,13946770.0,181135.8476,,3.945,10.0
2018-12-31,516.0,55039055.0,206700.973,,4.4976,10.0
2019-01-31,499.45,23932099.0,200071.3197,,4.3534,10.0
2019-02-28,528.0,24429259.0,211507.9724,,4.6022,10.0
2019-03-31,615.6,25489019.0,246626.819,,5.3657,10.0
2019-04-30,597.0,15471954.0,239194.8057,,5.2036,12.0
2019-05-31,650.7,25330760.0,260710.3183,,5.6717,12.0
2019-06-30,644.8,16901268.0,258346.4166,,2.6076,12.0
2019-07-31,607.95,17936579.0,243607.0216,,2.4586,12.0
2019-08-31,607.3,20150955.0,243346.5651,,2.4559,12.0
2019-09-30,675.9,23473609.0,270855.3678,,2.5079,12.0
2019-10-31,707.65,17332823.0,283578.6374,,2.6257,12.0
2019-11-30,678.05,28115925.0,271806.1613,,2.5159,12.0
2019-12-31,761.45,26408726.0,305238.2591,,2.6225,12.0
2020-01-31,762.65,18815823.0,305798.7798,,2.6266,12.0
2020-02-29,880.25,81583533.0,352952.6991,,3.0316,12.0
2020-03-31,613.15,56660595.0,245896.0364,7.8408,2.0787,15.0
2020-04-30,862.7,53367298.0,345974.9011,11.0319,2.9248,15.0
2020-05-31,862.65,35401797.0,345954.8493,11.0313,2.9246,15.0
