UNBK IN Equity,price,volume,mc,pe,bm,div
2025-01-31,115.49,365773264.0,881605.1116,5.3741,0.7861,3.6
2025-02-28,112.1,241169611.0,855727.1885,5.2164,0.763,3.6
2025-03-31,126.18,227014606.0,963208.3555,5.3443,0.8469,3.6
2025-04-30,125.78,277480524.0,960154.9132,5.3274,0.8442,3.6
2025-05-31,146.79,372471906.0,1120536.967,6.2173,0.9853,3.6
2025-06-30,153.6,303208480.0,1172521.821,6.2338,0.9642,3.6
2025-07-31,130.96,313764767.0,999696.9903,5.3149,0.8221,4.75
2025-08-31,124.82,188358103.0,952826.6519,5.0657,0.7835,4.75
2025-09-30,138.51,213225942.0,1057330.713,5.7188,0.8405,4.75
2025-10-31,148.67,283918515.0,1134888.146,6.1383,0.9022,4.75
2025-11-30,153.27,223371272.0,1170002.731,6.3282,0.9301,4.75
2025-12-31,153.76,274933604.0,1173743.198,6.1975,0.8957,4.75
2026-01-31,180.76,485487098.0,1379850.55,7.2858,1.053,4.75
2026-02-28,202.27,355200436.0,1544049.406,8.1528,1.1783,4.75
2026-03-31,191.14,66375568.0,1459087.371,7.7042,1.1135,4.75
