SUNTV IN Equity,price,volume,mc,pe,bm,div
2023-06-30,439.25,12852190.0,173101.6693,10.142,1.867,15.0
2023-07-31,541.6,33888291.0,213436.2302,12.5052,2.302,15.0
2023-08-31,617.0,45956612.0,243150.2105,14.2461,2.6225,16.25
2023-09-30,612.15,19765357.0,241238.9001,14.1341,2.6019,16.25
2023-10-31,633.95,31489312.0,249829.9448,14.6375,2.6946,16.25
2023-11-30,674.4,17105442.0,265770.6677,15.5715,2.8665,20.0
2023-12-31,712.2,20316010.0,280667.0664,16.4442,3.0272,20.0
2024-01-31,658.6,15356025.0,259544.1307,15.2066,2.7993,20.0
2024-02-29,615.8,11897556.0,242677.309,14.2184,2.6174,15.0
2024-03-31,600.25,9749207.0,236549.2932,12.2851,2.2452,15.0
2024-04-30,655.4,17899297.0,258283.0599,13.4138,2.4514,14.0
2024-05-31,656.45,25151320.0,258696.8488,13.4353,2.4554,14.0
2024-06-30,752.2,44003863.0,296430.4512,15.395,2.8135,14.0
2024-07-31,901.2,32296432.0,355149.0595,18.4445,3.3708,14.0
2024-08-31,821.9,28473086.0,323898.1492,16.8215,3.0742,15.5
2024-09-30,833.1,12423308.0,328311.8969,17.0508,3.1161,15.5
2024-10-31,752.2,9019033.0,296430.4512,15.395,2.8135,15.5
2024-11-30,758.4,7993994.0,298873.7758,15.5219,2.8367,15.5
2024-12-31,683.35,6908811.0,269297.7251,13.9859,2.556,15.5
2025-01-31,618.85,6459783.0,243879.2671,12.6658,2.3147,15.5
2025-02-28,561.5,12099920.0,221278.5141,11.492,2.1002,15.5
2025-03-31,649.95,6447122.0,256135.2988,15.0347,2.1991,15.0
2025-04-30,620.9,4074885.0,244687.1406,14.3627,2.1008,15.0
2025-05-31,629.65,3711880.0,248135.381,14.5651,2.1304,15.0
2025-06-30,598.4,6305300.0,235820.2366,13.8422,2.0247,15.0
2025-07-31,562.85,6693480.0,221810.5284,13.0199,1.9044,15.0
2025-08-31,543.5,5261020.0,214184.991,12.5723,1.8389,15.0
2025-09-30,523.45,6729318.0,206283.5943,12.1085,1.7711,15.0
2025-10-31,561.8,20918642.0,221396.7395,12.9956,1.9008,15.0
2025-11-30,555.65,4934846.0,218973.1191,12.8533,1.88,13.75
2025-12-31,587.55,8764432.0,231544.4185,13.5913,1.988,13.75
2026-01-31,555.75,4914518.0,219012.5276,12.8557,1.8804,13.75
2026-02-28,647.65,8520741.0,255228.9041,14.9815,2.1913,13.75
2026-03-31,597.6,857027.0,235504.9593,13.8237,2.022,11.25
