MMTC IN Equity,price,volume,mc,pe,bm,div
2018-04-30,43.37,99533789.0,65050.0,171.1842,5.4087,0.2
2018-05-31,35.15,30552384.0,52725.0,138.75,4.3839,0.2
2018-06-30,33.55,53518645.0,50325.0,132.4342,4.1843,0.2
2018-07-31,33.85,32018605.0,50775.0,133.6184,4.2218,0.2
2018-08-31,32.25,26382968.0,48375.0,127.3026,4.0222,0.2
2018-09-30,27.3,28247948.0,40950.0,107.7632,3.4048,0.2
2018-10-31,28.6,44075235.0,42900.0,112.8947,3.567,0.2
2018-11-30,28.65,25289964.0,42975.0,113.0921,3.5732,0.2
2018-12-31,30.9,34817004.0,46350.0,121.9737,3.8538,0.2
2019-01-31,26.75,17358539.0,40125.0,105.5921,3.3362,0.2
2019-02-28,25.25,16966598.0,37875.0,99.6711,3.1492,0.2
2019-03-31,28.0,29959314.0,42000.0,38.8889,3.3104,0.2
2019-04-30,26.3,18663990.0,39450.0,36.5278,3.1094,0.2
2019-05-31,26.25,15003399.0,39375.0,36.4583,3.1035,0.2
2019-06-30,24.85,10282309.0,37275.0,34.5139,2.938,0.2
2019-07-31,19.95,9382404.0,29925.0,27.7083,2.3587,0.2
2019-08-31,20.1,17377347.0,30150.0,27.9167,2.3764,0.2
2019-09-30,16.6,63581031.0,24900.0,23.0556,1.9626,0.3
2019-10-31,19.15,32788450.0,28725.0,26.5972,2.2641,0.3
2019-11-30,18.0,23999505.0,27000.0,25.0,2.1281,0.3
2019-12-31,18.75,37825767.0,28125.0,26.0417,2.2168,0.3
2020-01-31,20.3,61930334.0,30450.0,28.1944,2.4,0.3
2020-02-29,17.05,29143157.0,25575.0,23.6806,2.0158,0.3
2020-03-31,12.3,17541801.0,18450.0,16.875,2.0884,0.3
2020-04-30,14.7,17778326.0,22050.0,,2.4958,0.3
2020-05-31,15.1,18167586.0,22650.0,,2.5638,0.3
2020-06-30,16.8,38261792.0,25200.0,,2.8524,0.3
2020-07-31,18.2,84434613.0,27300.0,,3.0901,0.3
2020-08-31,18.65,42369754.0,27975.0,,3.1665,0.3
2020-09-30,16.2,13850983.0,24300.0,,2.7505,0.3
2020-10-31,15.8,8366528.0,23700.0,,2.6826,0.3
2020-11-30,18.7,26820813.0,28050.0,,3.175,0.0
2020-12-31,26.45,163008140.0,39675.0,,4.4908,0.0
2021-01-31,28.45,121450436.0,42675.0,,4.8304,0.0
2021-02-28,39.85,162791158.0,59775.0,,6.7659,0.0
2021-03-31,42.35,201849856.0,63525.0,,63.6906,0.0
2021-04-30,40.85,83145556.0,61275.0,,61.4347,0.0
2021-05-31,60.1,304237495.0,90150.0,,90.385,0.0
2021-06-30,56.6,211806221.0,84900.0,,85.1213,0.0
2021-07-31,50.45,102576377.0,75675.0,,75.8723,0.0
2021-08-31,44.0,81390894.0,66000.0,,66.172,0.0
2021-09-30,44.9,60487682.0,67350.0,,67.5256,0.0
2021-10-31,41.95,84696103.0,62925.0,,63.089,0.0
2021-11-30,39.15,26592547.0,58725.0,,58.8781,0.0
2021-12-31,44.25,116534813.0,66375.0,,66.548,0.0
2022-01-31,61.1,239990374.0,91650.0,,91.8889,0.0
2022-02-28,46.25,147552960.0,69375.0,,69.5558,0.0
2022-03-31,44.1,69513058.0,66150.0,,66.924,0.0
2022-04-30,45.1,118447111.0,67650.0,,,0.0
2022-05-31,41.05,44281835.0,61575.0,,,0.0
