NACL IN Equity,price,volume,mc,pe,bm,div
2002-03-31,20.6,12500664.0,53091.1438,,,1.0
2002-04-30,22.53,9903476.0,58052.3308,,,1.0
2002-05-31,25.55,18771688.0,65848.4818,,,1.0
2002-06-30,24.33,14069412.0,62691.3628,,,1.0
2002-07-31,27.54,78147684.0,70970.7462,,,1.0
2002-08-31,28.74,19644408.0,74063.4342,,,1.0
2002-09-30,22.46,23909684.0,57891.2533,,,1.0
2002-10-31,21.69,18082296.0,55893.8923,,,1.0
2002-11-30,20.5,19504952.0,52833.4198,,,1.0
2002-12-31,23.15,27285052.0,59663.1058,,,1.0
2003-01-31,21.9,10364124.0,56441.5558,,,1.0
2003-02-28,21.85,6718800.0,56312.6938,,,1.0
2003-03-31,17.73,4366792.0,45681.5788,,,1.0
2003-04-30,20.88,7692460.0,53799.8848,,,1.0
2003-05-31,24.79,10185112.0,63883.3363,,,1.0
2003-06-30,27.96,21263768.0,72066.0732,,,1.0
2003-07-31,27.48,39849840.0,70809.6687,,,1.0
2003-08-31,33.25,48314808.0,85693.2297,,,1.5
2003-09-30,29.51,32134948.0,76060.7952,,,1.5
2003-10-31,34.35,72465380.0,88528.1937,,,1.5
2003-11-30,38.46,45013604.0,99127.0931,,,1.5
2003-12-31,48.93,53737068.0,126091.4665,,,1.5
2004-01-31,37.26,41135316.0,96034.4051,,,1.5
2004-02-29,44.6,41532708.0,114944.9036,,,1.5
2004-03-31,46.29,28126872.0,119293.996,,,1.5
2004-04-30,42.4,21018336.0,109274.9756,,,1.5
2004-05-31,31.99,33402808.0,82439.4642,,,1.5
2004-06-30,33.59,19824176.0,86563.0482,,,1.5
2004-07-31,36.66,23493904.0,94488.0611,,,1.5
2004-08-31,37.04,17048688.0,95454.5261,,,1.5
2004-09-30,43.29,27066320.0,111562.2761,,,1.0
2004-10-31,41.86,26142040.0,107889.7091,,,1.0
2004-11-30,45.0,20771060.0,115975.7996,,,1.0
2004-12-31,50.24,17625564.0,129474.094,,,1.0
2005-01-31,44.41,101289392.0,114461.6711,,,1.0
2005-02-28,44.29,72531288.0,114139.5161,,,1.0
2005-03-31,43.68,87857036.0,112560.9566,,,1.0
2005-04-30,36.67,58399316.0,94520.2766,,,1.0
2005-05-31,36.58,64154888.0,94262.5526,,,1.0
2005-06-30,34.94,61690296.0,90042.3222,,,1.0
2005-07-31,39.19,75135960.0,100995.5921,,,1.0
2005-08-31,42.31,79301672.0,109049.4671,,,1.0
2005-09-30,43.49,37334360.0,112077.7241,,,1.0
2005-10-31,39.48,40633696.0,101736.5486,,,1.0
2005-11-30,49.73,63605156.0,128153.2585,,,1.0
2005-12-31,54.99,105369156.0,141715.984,,,1.0
2006-01-31,69.05,57216928.0,177958.4213,,,1.0
2006-02-28,69.83,103697420.0,179955.7823,,,1.0
2006-03-31,73.41,67774612.0,189201.6308,,,1.0
2006-04-30,79.75,100213072.0,198930.7117,,,1.0
2006-05-31,55.68,111195512.0,143487.8365,,,1.0
2006-06-30,56.69,120892236.0,146097.2919,,,1.0
2006-07-31,50.45,79422496.0,130021.7575,,,1.0
2006-08-31,50.6,116612004.0,130408.3435,,,1.0
2006-09-30,53.11,63405188.0,136883.659,,,1.25
2006-10-31,57.78,29138756.0,148900.0404,,,1.25
2006-11-30,54.26,35363624.0,139847.485,,,1.25
2006-12-31,53.44,17268420.0,137721.262,,,1.25
2007-01-31,57.58,22454136.0,148384.5924,,,1.25
2007-02-28,52.5,28846808.0,135305.0995,,,1.625
2007-03-31,58.41,21817044.0,150543.0309,,,1.125
2007-04-30,61.46,22856512.0,158403.6129,,,1.125
2007-05-31,62.11,32942348.0,160078.8189,,,1.125
2007-06-30,65.46,22201320.0,168712.5729,,,1.125
2007-07-31,65.3,17663588.0,168293.7714,,,1.125
2007-08-31,64.86,17801348.0,167166.2289,,,1.125
2007-09-30,75.45,13213028.0,194452.7573,,,1.25
2007-10-31,81.26,21402136.0,209432.9647,,,1.25
2007-11-30,92.16,27669532.0,237524.8806,,,1.25
2007-12-31,121.24,33213356.0,312458.1333,,,1.25
2008-01-31,109.61,30523132.0,282497.7184,,,1.25
2008-02-29,116.04,36159196.0,299056.4854,,,1.75
2008-03-31,112.95,48706784.0,291099.2569,,,1.75
2008-04-30,112.28,36056048.0,289359.6199,,,1.75
2008-05-31,134.69,44587052.0,347122.0112,,,1.75
2008-06-30,87.8,37863988.0,226281.6711,,,1.75
2008-07-31,106.16,82394408.0,273606.2405,,,1.75
2008-08-31,96.75,40873252.0,249347.9691,,,1.75
2008-09-30,92.71,46833964.0,238942.3626,,,1.5
2008-10-31,39.83,69814252.0,102638.5826,,,1.5
2008-11-30,43.39,86032840.0,111820.0001,,,1.5
2008-12-31,47.36,73916172.0,122064.529,,,1.5
2009-01-31,49.76,45240168.0,128249.905,,,1.5
2009-02-28,52.06,24179640.0,134177.557,,,1.25
2009-03-31,53.66,33691624.0,138301.141,,,1.25
2009-04-30,52.7,37533560.0,135820.5475,,,1.25
2009-05-31,88.53,50335584.0,228150.1701,,,1.25
2009-06-30,76.51,68265896.0,197191.0748,,,1.25
2009-07-31,77.15,35356820.0,198834.0652,,,1.25
2009-08-31,86.34,36956488.0,222512.4577,,,1.25
2009-09-30,87.01,25620620.0,224252.0947,,,1.25
2009-10-31,89.51,21354700.0,230695.1946,,,1.25
2009-11-30,94.36,15118764.0,243194.8086,,,1.25
2009-12-31,104.48,17701368.0,269257.148,,,1.25
2010-01-31,95.06,142688216.0,244998.8766,,,1.25
2010-02-28,96.26,25532280.0,248091.5646,,,1.25
2010-03-31,101.86,26711776.0,262524.1085,,,0.75
2010-04-30,102.04,21319368.0,262975.1255,,,0.75
2010-05-31,103.93,10034152.0,267839.666,,,0.75
2010-06-30,106.43,9470768.0,274282.766,,,0.75
2010-07-31,105.53,7892676.0,271963.25,,,0.75
2010-08-31,99.45,28391384.0,256306.517,,,0.625
2010-09-30,99.74,9178500.0,257047.4735,,,0.625
2010-10-31,100.33,10717308.0,258561.602,,,0.625
2010-11-30,88.18,5299288.0,227248.1361,,,0.625
2010-12-31,98.29,4818720.0,253310.4755,,,0.625
2011-01-31,98.26,5064864.0,253246.0445,,,0.625
2011-02-28,106.11,13893660.0,273477.3785,,,0.75
2011-03-31,95.6,25130206.0,246384.003,,,0.75
2011-04-30,92.75,11041408.0,239038.8732,,,0.75
2011-05-31,91.35,6337271.0,235430.7393,,,0.75
2011-06-30,82.75,4876328.0,213266.5284,,,0.75
2011-07-31,75.3,6991024.0,194066.0977,,,0.75
2011-08-31,63.8,9382439.0,164427.8491,,,0.75
2011-09-30,61.8,7915578.0,159273.371,,,1.0
2011-10-31,64.0,2850148.0,164943.2969,,,1.0
2011-11-30,52.8,4024374.0,136078.2199,,,1.0
2011-12-31,50.9,3998373.0,131181.4658,,,1.0
2012-01-31,57.2,14374743.0,147418.0716,,,1.0
2012-02-29,60.75,26624940.0,156567.2701,,,1.0
2012-03-31,54.45,11413562.0,140330.6377,,,1.4
2012-04-30,59.4,14691721.0,153087.9684,,,1.4
2012-05-31,57.65,4976987.0,148577.801,,,1.4
2012-06-30,59.35,2534506.0,152959.1065,,,1.4
2012-07-31,53.55,6358189.0,138011.123,,,1.4
2012-08-31,49.8,2808626.0,128346.4786,,,1.0
2012-09-30,50.85,5672112.0,131052.579,,,1.0
2012-10-31,46.85,6486034.0,120743.6249,,,1.0
2012-11-30,46.45,4660925.0,119712.7295,,,1.0
2012-12-31,49.0,5343904.0,126284.6877,,,1.0
2013-01-31,49.25,7391984.0,126928.9974,,,1.0
2013-02-28,44.1,2411244.0,113656.219,,,1.0
2013-03-31,33.15,28358989.0,85435.4571,,,0.85
2013-04-30,34.8,8922561.0,89687.9007,,,0.85
2013-05-31,33.8,8102614.0,87110.6622,,,0.85
2013-06-30,28.8,6870487.0,74224.4695,,,0.85
2013-07-31,27.05,9804922.0,69714.3021,,,0.85
2013-08-31,33.75,13666449.0,86981.8002,,,0.85
2013-09-30,32.55,9904647.0,83889.114,,,1.25
2013-10-31,36.5,9213401.0,94069.2062,,,1.25
2013-11-30,37.4,13013593.0,96388.7208,,,1.25
2013-12-31,37.9,6742760.0,97677.3401,,,1.25
2014-01-31,33.55,10507333.0,86466.3525,,,1.25
2014-02-28,32.8,4101831.0,84533.4236,,,1.25
2014-03-31,39.75,11178430.0,102445.2314,15.9639,0.8451,1.6
2014-04-30,38.2,28284574.0,98450.5117,15.3414,0.8121,1.6
2014-05-31,49.15,164113989.0,126671.2735,19.739,1.0449,1.6
2014-06-30,59.0,169666915.0,152057.073,23.6948,1.2543,1.6
2014-07-31,57.95,90884743.0,149350.9725,23.2731,1.232,1.6
2014-08-31,56.5,42478167.0,145613.9767,22.6908,1.2012,1.6
2014-09-30,57.65,78061081.0,148577.801,23.1526,1.2256,1.5
2014-10-31,57.3,24003029.0,147675.7675,23.012,1.2182,1.5
2014-11-30,60.6,36279219.0,156180.6546,24.3373,1.2884,1.5
2014-12-31,53.65,37360763.0,138268.8469,21.5462,1.1406,1.5
2015-01-31,45.3,28633051.0,116748.9052,18.1928,0.9631,1.5
2015-02-28,47.2,28731964.0,121645.6814,18.9558,1.0035,1.5
2015-03-31,46.65,16622349.0,120228.1772,9.0936,0.9395,1.65
2015-04-30,47.5,18098674.0,122418.83,9.2593,0.9566,1.65
2015-05-31,48.45,23964972.0,124867.2066,9.4444,0.9757,1.65
2015-06-30,40.0,28208805.0,103089.541,7.7973,0.8056,1.65
2015-07-31,35.45,27283866.0,91363.1057,6.9103,0.7139,1.65
2015-08-31,32.3,43067176.0,83244.8044,6.2963,0.6505,1.65
2015-09-30,35.15,47554316.0,90589.9342,6.8519,0.7079,1.75
2015-10-31,38.5,43935966.0,99223.6832,7.5049,0.7753,1.75
2015-11-30,40.5,14340489.0,104378.1603,7.8947,0.8156,1.75
2015-12-31,39.95,19084225.0,102960.6791,7.7875,0.8046,1.75
2016-01-31,34.5,22552874.0,88914.7291,6.7251,0.6948,1.75
2016-02-29,32.9,19762573.0,84791.1475,6.4133,0.6626,1.75
2016-03-31,39.5,33052071.0,101800.9218,12.9508,0.7715,1.75
2016-04-30,46.15,30153183.0,118939.5579,15.1311,0.9014,1.75
2016-05-31,42.9,21205715.0,110563.5327,14.0656,0.8379,1.75
2016-06-30,43.0,22231412.0,110821.2566,14.0984,0.8399,1.75
2016-07-31,46.6,37288798.0,120099.3153,15.2787,0.9102,1.75
2016-08-31,47.1,16759921.0,121387.9345,15.4426,0.92,1.75
2016-09-30,45.75,20077704.0,117908.6625,15.0,0.8936,2.0
2016-10-31,54.65,31764582.0,105634.5607,17.918,1.0674,2.0
2016-11-30,57.1,44280008.0,110370.2364,18.7213,1.1153,2.0
2016-12-31,65.3,105175224.0,126220.2608,21.4098,1.2754,2.0
2017-01-31,75.05,57850891.0,145066.3181,24.6066,1.4659,2.0
2017-02-28,68.95,45379121.0,133275.4515,22.6066,1.3467,2.0
2017-03-31,76.5,57756533.0,147869.0651,25.7576,1.449,3.55
2017-04-30,68.8,85193327.0,132985.5121,23.165,1.3031,3.55
2017-05-31,67.55,59997912.0,130569.3509,22.7441,1.2794,3.55
2017-06-30,64.75,32461045.0,125157.1498,21.8013,1.2264,3.55
