VOLT IN Equity,price,volume,mc,pe,bm,div
1998-02-28,2.47,2226150.0,817.2736,,,0.0
1998-03-31,4.44,13988330.0,1469.1073,,,0.0
1998-04-30,4.26,14800220.0,1409.5489,,,0.0
1998-05-31,4.38,9215110.0,1447.6001,,,0.0
1998-06-30,4.31,6565650.0,1426.0929,,,0.0
1998-07-31,5.35,7083950.0,1768.5537,,,0.0
1998-08-31,4.26,4021670.0,1407.8945,,,0.0
1998-09-30,4.98,11153860.0,1647.7825,,,0.0
1998-10-31,7.31,30476330.0,2418.7329,,,0.0
1998-11-30,6.4,45989320.0,2117.6321,,,0.0
1998-12-31,12.61,99871790.0,4172.397,,,0.0
1999-01-31,12.1,107055080.0,4003.6482,,,0.0
1999-02-28,10.55,37662030.0,3490.7841,,,0.0
1999-03-31,10.15,32451700.0,3358.4321,,,0.0
1999-04-30,8.46,20202210.0,2797.5905,,,0.0
1999-05-31,9.22,18260500.0,3049.0593,,,0.0
1999-06-30,9.59,41005330.0,3173.1393,,,0.12
1999-07-31,10.56,74160690.0,3492.4385,,,0.12
1999-08-31,10.68,101122150.0,3533.7985,,,0.12
1999-09-30,8.8,48535410.0,2911.7441,,,0.12
1999-10-31,6.68,36034250.0,2210.2785,,,0.12
1999-11-30,6.19,24244440.0,2048.1473,,,0.12
1999-12-31,5.97,36480260.0,1975.3537,,,0.12
2000-01-31,5.46,36500550.0,1806.6049,,,0.12
2000-02-29,4.0,24978720.0,1323.5201,,,0.12
2000-03-31,4.15,17577510.0,1374.8065,,,0.12
2000-04-30,3.55,12257930.0,1174.624,,,0.12
2000-05-31,3.32,9205120.0,1096.8672,,,0.12
2000-06-30,3.75,21525630.0,1240.8,,,0.12
2000-07-31,3.55,29352160.0,1174.624,,,0.12
2000-08-31,3.15,11095250.0,1040.6176,,,0.12
2000-09-30,2.83,14208040.0,936.3904,,,0.12
2000-10-31,3.04,6306080.0,1004.2208,,,0.12
2000-11-30,3.62,25093300.0,1196.1312,,,0.12
2000-12-31,4.41,45790810.0,1459.2029,,,0.12
2001-01-31,4.63,33101580.0,1530.3432,,,0.12
2001-02-28,4.38,63005630.0,1447.6219,,,0.12
2001-03-31,4.0,20034580.0,1323.54,,,0.12
2001-04-30,4.04,10219990.0,1335.121,,,0.12
2001-05-31,4.37,20281460.0,1445.9675,,,0.12
2001-06-30,4.06,29969320.0,1345.0476,,,0.12
2001-07-31,3.59,4452370.0,1186.2228,,,0.12
2001-08-31,3.96,3204110.0,1310.3046,,,0.12
2001-09-30,4.28,7168870.0,1414.5334,,,0.12
2001-10-31,4.43,2427270.0,1465.8206,,,0.12
2001-11-30,4.51,2116400.0,1490.637,,,0.12
2001-12-31,4.8,2199650.0,1588.248,,,0.12
