FORH IN Equity,price,volume,mc,pe,bm,div
2015-03-31,164.6,51530522.0,76177.7721,,1.6147,0.0
2015-04-30,154.8,29527852.0,71647.4094,,1.5186,0.0
2015-05-31,174.4,26835136.0,80726.4112,,1.7109,0.0
2015-06-30,179.55,26175121.0,83110.9706,,1.7614,0.0
2015-07-31,191.3,28416292.0,88549.8673,,1.8767,0.0
2015-08-31,167.95,25329599.0,77741.5066,,1.6476,0.0
2015-09-30,168.9,16799975.0,78181.2472,,1.6569,0.0
2015-10-31,155.1,12585990.0,71793.4366,,1.5216,0.0
2015-11-30,166.2,13563573.0,76945.8627,,1.6304,0.0
2015-12-31,180.05,36644970.0,83385.4365,,1.7663,0.0
2016-01-31,178.5,21267882.0,82667.5946,,1.7511,0.0
2016-02-29,167.35,21954229.0,77503.7645,,1.6417,0.0
2016-03-31,175.5,12987161.0,81279.3105,501.4286,1.9533,0.0
2016-04-30,175.15,12884270.0,81117.215,500.4286,1.9494,0.0
2016-05-31,161.65,10661981.0,74871.4277,461.8571,1.7991,0.0
2016-06-30,157.7,7945227.0,73046.6419,450.5714,1.7552,0.0
2016-07-31,171.75,25972738.0,79554.6021,490.7143,1.9115,0.0
2016-08-31,178.3,64391913.0,82588.5622,509.4286,1.9844,0.0
2016-09-30,167.0,11011390.0,77374.0182,477.1429,1.8587,0.0
2016-10-31,180.75,37738527.0,83744.6335,516.4286,2.0117,0.0
2016-11-30,177.35,20066442.0,82169.3541,506.7143,1.9739,0.0
2016-12-31,180.85,15489206.0,87090.1366,516.7143,2.0128,0.0
2017-01-31,183.75,49847745.0,88486.6608,525.0,2.0451,0.0
2017-02-28,192.8,61018034.0,99794.1696,550.8571,2.1458,0.0
2017-03-31,180.7,76778694.0,93553.3884,20.372,1.8189,0.0
2017-04-30,220.3,125625143.0,114055.4037,24.8365,2.2175,0.0
2017-05-31,195.15,87665264.0,101045.1777,22.0011,1.9643,0.0
2017-06-30,162.0,170552017.0,83989.8116,18.2638,1.6306,0.0
2017-07-31,155.55,196629052.0,80655.4188,17.5366,1.5657,0.0
2017-08-31,146.05,269274789.0,75729.5012,16.4656,1.4701,0.0
2017-09-30,144.0,79248219.0,74666.54,16.2345,1.4495,0.0
2017-10-31,143.9,61930103.0,74614.6883,16.2232,1.4485,0.0
2017-11-30,144.85,154323617.0,75118.8634,16.3303,1.458,0.0
2017-12-31,160.45,218689376.0,83212.1983,18.0891,1.615,0.0
2018-01-31,139.05,239542487.0,72113.781,15.6764,1.3996,0.0
2018-02-28,159.8,791796460.0,82881.4255,18.0158,1.6085,0.0
2018-03-31,123.35,534980752.0,63976.3694,16.0372,1.5751,0.0
2018-04-30,152.4,244098957.0,79046.41,,1.9461,0.0
2018-05-31,147.15,135332947.0,76323.8843,,1.879,0.0
2018-06-30,134.85,55763504.0,69944.3798,,1.722,0.0
2018-07-31,139.65,109933002.0,72434.0573,,1.7832,0.0
2018-08-31,146.6,46919458.0,76038.903,,1.872,0.0
2018-09-30,134.95,34285329.0,69996.248,,1.7232,0.0
2018-10-31,140.35,26121109.0,72853.2753,,1.7922,0.0
2018-11-30,147.7,50380723.0,76668.5341,,1.886,0.0
2018-12-31,140.5,48398580.0,72938.8653,,1.7941,0.0
2019-01-31,135.2,15181181.0,102069.5034,,1.7264,0.0
2019-02-28,134.75,14400054.0,101730.1792,,1.7207,0.0
2019-03-31,135.75,21375627.0,102485.1342,,1.5526,0.0
2019-04-30,138.55,11894032.0,104599.008,,1.5846,0.0
2019-05-31,125.3,16774124.0,94595.855,,1.4331,0.0
2019-06-30,130.1,23424532.0,98219.6387,,1.488,0.0
2019-07-31,120.0,14763644.0,90594.9778,,1.3725,0.0
2019-08-31,124.15,18462364.0,93728.0541,,1.4199,0.0
2019-09-30,135.15,11348576.0,102032.5937,,1.5458,0.0
2019-10-31,146.8,94670628.0,110827.8561,,1.679,0.0
2019-11-30,138.75,122618766.0,104750.443,,1.5869,0.0
2019-12-31,131.9,18606972.0,99578.9797,,1.5086,0.0
2020-01-31,153.45,58066891.0,115848.3278,,1.7551,0.0
2020-02-29,154.05,33500654.0,116301.3027,,1.7619,0.0
2020-03-31,126.15,38033202.0,95237.9704,163.8312,1.4298,0.0
2020-04-30,127.0,22352091.0,95879.6848,164.9351,1.4394,0.0
2020-05-31,115.65,15396856.0,87310.9098,150.1948,1.3108,0.0
2020-06-30,121.95,64313825.0,92067.1461,158.3766,1.3822,0.0
2020-07-31,138.0,62126738.0,104184.2244,179.2208,1.5641,0.0
2020-08-31,132.8,31090612.0,100258.4421,172.4675,1.5051,0.0
2020-09-30,135.3,25554301.0,102145.8374,175.7143,1.5335,0.0
2020-10-31,125.6,51014354.0,94822.7441,163.1169,1.4235,0.0
2020-11-30,150.9,61237045.0,113923.1854,195.974,1.7103,0.0
2020-12-31,155.2,63376813.0,117169.5055,201.5584,1.759,0.0
2021-01-31,161.55,102297218.0,121963.4898,209.8052,1.831,0.0
2021-02-28,158.35,63593955.0,119547.6237,205.6494,1.7947,0.0
2021-03-31,199.15,131065397.0,150349.9164,260.5195,2.4568,0.0
2021-04-30,210.7,96612597.0,159069.683,,2.5993,0.0
2021-05-31,227.65,114207479.0,171866.2238,,2.8084,0.0
2021-06-30,243.4,91997384.0,183756.8147,,3.0027,0.0
2021-07-31,250.7,65167832.0,189268.0077,,3.0927,0.0
2021-08-31,290.5,153723373.0,219315.342,,3.5837,0.0
2021-09-30,263.5,60806988.0,198931.472,,3.2506,0.0
2021-10-31,244.3,40366754.0,184436.2756,,3.0138,0.0
2021-11-30,280.8,88053726.0,211992.248,,3.464,0.0
2021-12-31,297.3,47769857.0,224449.0574,,3.6676,0.0
2022-01-31,270.3,35979882.0,204065.1874,,3.3345,0.0
2022-02-28,245.5,25654494.0,185342.2253,,3.0286,0.0
2022-03-31,290.4,39016496.0,219239.8462,39.5102,3.5486,0.0
2022-04-30,267.15,22185671.0,201687.0692,36.3469,3.2645,0.0
2022-05-31,238.05,23727971.0,179717.7871,32.3878,2.9089,0.0
2022-06-30,240.0,15863658.0,181189.9555,32.6531,2.9327,0.0
2022-07-31,278.45,18060531.0,210218.0963,37.8844,3.4026,0.0
2022-08-31,294.3,31011325.0,222184.183,40.0408,3.5962,0.0
2022-09-30,264.2,98015338.0,199459.9427,35.9456,3.2284,0.0
2022-10-31,277.45,20400603.0,209463.1382,37.7483,3.3903,0.0
2022-11-30,290.1,34302641.0,219013.3587,39.4694,3.5449,0.0
2022-12-31,286.1,18354224.0,215993.5261,38.9252,3.496,0.0
2023-01-31,281.65,13339980.0,212633.9624,38.3197,3.4417,0.0
2023-02-28,267.25,12906747.0,201762.5651,36.3605,3.2657,0.0
2023-03-31,259.9,16769478.0,196213.6227,33.3205,2.7093,0.0
2023-04-30,260.8,14812321.0,196893.085,33.4359,2.7187,0.0
2023-05-31,274.7,20437369.0,207387.0033,35.2179,2.8636,0.0
2023-06-30,315.05,33290342.0,237849.5645,40.391,3.2842,0.0
2023-07-31,345.85,47671915.0,261102.2755,44.3397,3.6053,1.0
2023-08-31,331.65,41063643.0,250381.8698,42.5192,3.4572,1.0
2023-09-30,339.95,26110863.0,256648.0224,43.5833,3.5438,1.0
2023-10-31,322.95,27796018.0,243813.7339,41.4038,3.3665,1.0
2023-11-30,386.0,38039458.0,291413.8451,49.4872,4.0238,1.0
2023-12-31,419.2,36507284.0,316478.4556,53.7436,4.3699,1.0
2024-01-31,431.9,35411277.0,326066.4241,55.3718,4.5023,1.0
2024-02-29,408.0,26304221.0,308022.9244,52.3077,4.2531,1.0
2024-03-31,420.2,39108958.0,317233.4138,52.9887,4.1399,1.0
2024-04-30,438.55,26368523.0,331086.8958,55.3026,4.3206,1.0
2024-05-31,475.1,29824858.0,358680.6161,59.9117,4.6807,1.0
2024-06-30,475.35,35671315.0,358869.3557,59.9433,4.6832,1.0
2024-07-31,501.9,47223138.0,378913.4945,63.2913,4.9448,1.0
2024-08-31,551.8,45678012.0,416585.9061,69.5839,5.4364,1.0
2024-09-30,615.1,31029659.0,464374.7568,77.5662,6.06,1.0
2024-10-31,624.7,27509554.0,471622.3551,78.7768,6.1546,1.0
2024-11-30,659.2,34708864.0,497668.4112,83.1274,6.4945,1.0
2024-12-31,719.85,37884475.0,543456.6228,90.7755,7.0921,1.0
2025-01-31,640.2,37788941.0,483324.2063,80.7314,6.3073,1.0
2025-02-28,612.7,29250453.0,462562.8573,77.2636,6.0364,1.0
2025-03-31,698.35,46033688.0,527225.0227,68.0653,5.9129,1.0
2025-04-30,685.55,38765106.0,517561.5584,66.8177,5.8045,1.0
2025-05-31,706.3,41398599.0,533226.9399,68.8402,5.9802,1.0
2025-06-30,794.5,41799725.0,599814.2486,77.4366,6.727,1.0
2025-07-31,857.45,38027073.0,647338.864,83.5721,7.26,1.0
2025-08-31,911.5,48104650.0,688144.3519,88.8402,7.7176,1.0
2025-09-30,969.8,32899015.0,732158.4119,94.5224,8.2113,1.0
2025-10-31,1023.05,54900156.0,772359.9333,99.7125,8.6621,1.0
2025-11-30,919.1,112407168.0,693882.0338,89.5809,7.782,1.0
2025-12-31,884.0,47658170.0,667383.0028,86.1598,7.4848,1.0
2026-01-31,851.5,40601833.0,642846.863,82.9922,7.2096,1.0
2026-02-28,942.65,33818630.0,711661.2982,91.8762,7.9814,1.0
2026-03-31,919.3,4256232.0,694033.0162,89.6004,7.7837,1.0
