UNITDSPR IN Equity,price,volume,mc,pe,bm,div
2004-09-30,14.23,33586885.0,3679.8781,14.8696,1.3441,0.4
2004-10-31,13.34,6595335.0,3449.7241,13.9396,1.26,0.4
2004-11-30,24.85,96481690.0,6426.2102,25.967,2.3471,0.4
2004-12-31,25.26,90431155.0,6532.2362,26.3954,2.3859,0.4
2005-01-31,27.02,267835935.0,6987.3722,28.2346,2.5521,0.4
2005-02-28,33.5,375010045.0,8663.1002,35.0058,3.1641,0.4
2005-03-31,47.02,398523045.0,12159.3723,97.9158,4.4578,0.4
2005-04-30,55.46,265477295.0,14341.9563,115.4915,5.2579,0.4
2005-05-31,58.0,235290555.0,14998.8004,120.7808,5.4987,0.4
2005-06-30,60.24,136066635.0,15578.0644,125.4455,5.7111,0.4
2005-07-31,64.95,145653235.0,16796.0704,135.2537,6.1576,0.4
2005-08-31,79.15,201573195.0,20468.1905,164.8242,7.5039,0.4
2005-09-30,98.04,446874695.0,25353.1446,204.1613,9.2948,0.4
2005-10-31,91.07,195176180.0,23550.7026,189.6468,8.634,0.4
2005-11-30,90.3,92892180.0,23351.5806,188.0433,8.561,0.4
2005-12-31,99.24,99058140.0,25663.4646,206.6602,9.4085,0.4
2006-01-31,104.25,102305075.0,26959.0506,217.0932,9.8835,0.4
2006-02-28,118.19,117897945.0,30563.9347,246.1222,11.2051,0.4
2006-03-31,164.48,152361395.0,42534.529,49.6025,5.9079,0.4
2006-04-30,158.94,111200670.0,40403.665,47.9318,5.7089,0.4
2006-05-31,104.0,37709570.0,31445.1286,31.3635,3.7356,0.4
2006-06-30,84.84,40440045.0,25651.9684,25.5853,3.0474,0.4
2006-07-31,105.88,58961595.0,32013.5598,31.9304,3.8031,0.4
2006-08-31,114.14,42140930.0,34511.0287,34.4214,4.0998,0.4
2006-09-30,123.95,96156100.0,37477.1509,37.3798,4.4521,0.4
2006-10-31,150.43,96993205.0,45483.5644,45.3654,5.4033,0.4
2006-11-30,162.35,145171260.0,49087.6599,48.9602,5.8314,0.0
2006-12-31,172.89,85736785.0,81674.8811,52.1387,6.21,0.4
2007-01-31,182.29,55921960.0,86115.5306,54.9735,6.5476,0.4
2007-02-28,148.75,39698550.0,70270.9154,44.8588,5.3429,0.4
2007-03-31,166.44,33776125.0,78627.8397,12.1674,5.7425,0.6
2007-04-30,172.57,17657445.0,81523.7101,12.6156,5.954,0.6
2007-05-31,252.84,140512710.0,119444.0219,18.4836,8.7235,0.6
2007-06-30,258.87,60663445.0,122292.6512,18.9244,8.9315,0.6
2007-07-31,275.2,77512570.0,132879.0808,20.1182,9.4949,0.6
2007-08-31,280.14,71618180.0,137053.171,20.4794,9.6654,0.6
2007-09-30,351.01,84910160.0,171900.1258,25.6602,12.1105,0.6
2007-10-31,400.25,77843355.0,196810.9335,29.2599,13.8094,0.6
2007-11-30,413.54,42036105.0,204813.7525,30.2314,14.2679,0.5
2007-12-31,399.7,14601335.0,198015.3785,29.2197,13.7904,0.5
2008-01-31,337.48,29067245.0,167190.968,24.6711,11.6437,0.5
2008-02-29,340.27,12050150.0,169541.7367,24.8751,11.74,0.5
2008-03-31,300.38,14076065.0,150093.427,47.5435,7.242,0.5
2008-04-30,320.99,22744110.0,160392.2722,50.8056,7.7389,0.5
2008-05-31,336.66,31409440.0,168604.8884,53.2859,8.1167,0.2
2008-06-30,249.14,21655260.0,124773.416,39.4334,6.0066,0.2
2008-07-31,255.83,30392860.0,128123.8846,40.4922,6.1679,0.2
2008-08-31,271.77,14125275.0,136106.8996,43.0152,6.5522,0.2
2008-09-30,253.13,40135345.0,126771.6801,40.0649,6.1028,0.2
2008-10-31,177.13,62308055.0,88709.3627,28.0358,4.2705,0.2
2008-11-30,170.17,41530040.0,85223.6903,26.9342,4.1027,0.2
2008-12-31,176.96,22403040.0,88624.2242,28.0089,4.2664,0.3
2009-01-31,118.68,386110350.0,59436.7254,18.7844,2.8613,0.3
2009-02-28,124.55,647902520.0,62376.5095,19.7135,3.0028,0.3
2009-03-31,129.79,353565095.0,65000.7802,20.4574,2.7247,0.3
2009-04-30,141.66,170170870.0,70945.4543,,2.9739,0.3
2009-05-31,167.57,110228385.0,83921.5712,,3.5178,0.3
2009-06-30,174.34,191400285.0,87312.0889,,3.66,0.3
2009-07-31,203.6,95189920.0,101965.9361,,4.2742,0.3
2009-08-31,191.45,109352590.0,103299.1442,,4.0192,0.3
2009-09-30,182.96,76861655.0,98718.2629,,3.8409,0.4
2009-10-31,213.83,98450030.0,134279.1451,,4.489,0.4
2009-11-30,252.95,69838410.0,158845.3901,,5.3103,0.4
2009-12-31,252.06,65999005.0,158286.5033,,5.2916,0.4
2010-01-31,246.99,52767385.0,155102.6721,,5.1851,0.4
2010-02-28,270.83,40300250.0,170073.5204,,5.6856,0.4
2010-03-31,264.28,51415725.0,165960.3071,,4.398,0.4
2010-04-30,251.5,57040550.0,157934.8314,,4.1853,0.4
2010-05-31,244.8,39685300.0,153727.4224,,4.0738,0.4
2010-06-30,262.05,43852670.0,164559.9307,,4.3609,0.4
2010-07-31,277.0,37969595.0,173948.1046,,4.6097,0.4
2010-08-31,286.49,24238165.0,179907.5462,,4.7676,0.4
2010-09-30,314.67,32370055.0,197603.7908,,5.2366,0.5
